Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Surat,526,16,15,0,
2020-04-27,Gujarat,Surat,556,20,19,0,
2020-04-28,Gujarat,Surat,570,20,19,0,
2020-04-29,Gujarat,Surat,601,40,22,0,
2020-04-30,Gujarat,Surat,614,54,25,0,
2020-05-01,Gujarat,Surat,644,67,26,0,
2020-05-02,Gujarat,Surat,661,99,28,0,
2020-05-03,Gujarat,Surat,686,156,30,0,
2020-05-04,Gujarat,Surat,706,206,31,0,
2020-05-05,Gujarat,Surat,723,282,33,0,
2020-05-06,Gujarat,Surat,754,314,33,0,
2020-05-07,Gujarat,Surat,799,365,37,0,
2020-05-08,Gujarat,Surat,824,389,38,0,
2020-05-09,Gujarat,Surat,854,435,38,0,
2020-05-10,Gujarat,Surat,895,468,39,0,
2020-05-11,Gujarat,Surat,914,533,39,0,
2020-05-12,Gujarat,Surat,944,556,40,0,
2020-05-13,Gujarat,Surat,967,562,43,0,
2020-05-14,Gujarat,Surat,983,574,44,0,
2020-05-15,Gujarat,Surat,1015,634,47,0,
2020-05-16,Gujarat,Surat,1049,687,49,0,
2020-05-17,Gujarat,Surat,1094,708,51,0,
2020-05-18,Gujarat,Surat,1127,744,53,0,
2020-05-19,Gujarat,Surat,1156,758,55,0,25921.0
2020-05-20,Gujarat,Surat,1193,783,56,0,26489.0
2020-05-21,Gujarat,Surat,1227,823,57,0,27043.0
2020-05-22,Gujarat,Surat,1256,850,57,0,27585.0
2020-05-23,Gujarat,Surat,1285,878,60,0,27585.0
2020-05-24,Gujarat,Surat,1320,897,61,0,28528.0
2020-05-25,Gujarat,Surat,1351,931,62,0,28926.0
2020-05-26,Gujarat,Surat,1387,956,63,0,29211.0
2020-05-27,Gujarat,Surat,1421,986,65,0,29827.0
2020-05-28,Gujarat,Surat,1465,1007,65,0,30283.0
2020-05-29,Gujarat,Surat,1510,1042,67,0,30283.0
