Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Surendranagar,1,0,0,0,
2020-04-27,Gujarat,Surendranagar,1,0,0,0,
2020-04-28,Gujarat,Surendranagar,1,0,0,0,
2020-04-29,Gujarat,Surendranagar,1,0,0,0,
2020-04-30,Gujarat,Surendranagar,1,0,0,0,
2020-05-01,Gujarat,Surendranagar,1,0,0,0,
2020-05-02,Gujarat,Surendranagar,1,1,0,0,
2020-05-03,Gujarat,Surendranagar,1,1,0,0,
2020-05-04,Gujarat,Surendranagar,1,1,0,0,
2020-05-05,Gujarat,Surendranagar,1,1,0,0,
2020-05-06,Gujarat,Surendranagar,1,1,0,0,
2020-05-07,Gujarat,Surendranagar,1,1,0,0,
2020-05-08,Gujarat,Surendranagar,1,1,0,0,
2020-05-09,Gujarat,Surendranagar,1,1,0,0,
2020-05-10,Gujarat,Surendranagar,3,1,0,0,
2020-05-11,Gujarat,Surendranagar,3,1,0,0,
2020-05-12,Gujarat,Surendranagar,3,1,0,0,
2020-05-13,Gujarat,Surendranagar,3,1,0,0,
2020-05-14,Gujarat,Surendranagar,3,1,0,0,
2020-05-15,Gujarat,Surendranagar,4,1,0,0,
2020-05-16,Gujarat,Surendranagar,4,1,0,0,
2020-05-17,Gujarat,Surendranagar,4,1,0,0,
2020-05-18,Gujarat,Surendranagar,5,1,0,0,
2020-05-19,Gujarat,Surendranagar,10,3,0,0,
2020-05-20,Gujarat,Surendranagar,13,3,0,0,1366.0
2020-05-21,Gujarat,Surendranagar,16,3,0,0,1565.0
2020-05-22,Gujarat,Surendranagar,21,3,0,0,1749.0
2020-05-23,Gujarat,Surendranagar,23,3,0,0,1749.0
2020-05-24,Gujarat,Surendranagar,23,3,0,0,2104.0
2020-05-25,Gujarat,Surendranagar,25,3,0,0,2318.0
2020-05-26,Gujarat,Surendranagar,25,5,0,0,2320.0
2020-05-27,Gujarat,Surendranagar,31,10,0,0,2477.0
2020-05-28,Gujarat,Surendranagar,32,10,1,0,2564.0
2020-05-29,Gujarat,Surendranagar,33,10,1,0,2564.0
2020-05-30,Gujarat,Surendranagar,33,14,1,0,2799.0
2020-05-31,Gujarat,Surendranagar,38,16,1,0,2799.0
2020-06-01,Gujarat,Surendranagar,39,16,1,0,3106.0
2020-06-02,Gujarat,Surendranagar,41,16,1,0,3121.0
2020-06-03,Gujarat,Surendranagar,42,19,1,0,3230.0
2020-06-04,Gujarat,Surendranagar,43,19,1,0,3382.0
2020-06-05,Gujarat,Surendranagar,46,21,2,0,3597.0
2020-06-06,Gujarat,Surendranagar,46,21,2,0,3742.0
