Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Haryana,Ambala,13,10,1,0,
2020-04-27,Haryana,Ambala,14,10,1,0,
2020-04-28,Haryana,Ambala,14,10,1,0,
2020-04-29,Haryana,Ambala,14,10,1,0,
2020-04-30,Haryana,Ambala,14,10,1,0,
2020-05-01,Haryana,Ambala,14,11,1,0,
2020-05-02,Haryana,Ambala,14,11,2,0,
2020-05-03,Haryana,Ambala,14,11,2,0,
2020-05-04,Haryana,Ambala,37,11,2,0,
2020-05-05,Haryana,Ambala,37,11,2,0,
2020-05-06,Haryana,Ambala,41,11,2,0,
2020-05-07,Haryana,Ambala,41,11,2,0,
2020-05-08,Haryana,Ambala,41,11,2,0,
2020-05-09,Haryana,Ambala,41,11,2,0,
2020-05-10,Haryana,Ambala,41,11,2,0,
2020-05-11,Haryana,Ambala,41,38,2,0,
2020-05-12,Haryana,Ambala,42,38,2,0,
2020-05-13,Haryana,Ambala,42,38,2,0,
2020-05-14,Haryana,Ambala,42,38,2,0,
2020-05-15,Haryana,Ambala,42,39,2,0,
2020-05-16,Haryana,Ambala,42,40,2,0,
2020-05-17,Haryana,Ambala,42,40,2,0,
2020-05-18,Haryana,Ambala,42,40,2,0,
2020-05-19,Haryana,Ambala,42,40,2,0,
2020-05-20,Haryana,Ambala,42,40,2,0,
2020-05-21,Haryana,Ambala,42,40,2,0,
2020-05-22,Haryana,Ambala,42,40,2,0,
2020-05-23,Haryana,Ambala,42,40,2,0,
2020-05-24,Haryana,Ambala,42,40,2,0,
2020-05-25,Haryana,Ambala,42,40,2,0,
2020-05-26,Haryana,Ambala,47,40,2,0,
2020-05-27,Haryana,Ambala,47,40,2,0,
2020-05-28,Haryana,Ambala,47,40,2,0,
2020-05-29,Haryana,Ambala,47,40,2,0,
2020-05-30,Haryana,Ambala,50,40,2,0,
2020-05-31,Haryana,Ambala,54,40,2,0,
2020-06-01,Haryana,Ambala,54,40,2,0,
2020-06-02,Haryana,Ambala,61,40,2,0,
2020-06-03,Haryana,Ambala,69,40,2,0,
2020-06-04,Haryana,Ambala,70,40,2,0,
2020-06-05,Haryana,Ambala,76,43,2,0,
2020-06-06,Haryana,Ambala,80,47,2,0,
2020-06-07,Haryana,Ambala,87,53,2,0,
2020-06-08,Haryana,Ambala,95,53,2,0,
2020-06-09,Haryana,Ambala,98,53,2,0,
2020-06-10,Haryana,Ambala,111,53,2,0,
2020-06-11,Haryana,Ambala,124,55,3,0,
2020-06-12,Haryana,Ambala,152,65,3,0,
2020-06-13,Haryana,Ambala,168,65,3,0,
2020-06-14,Haryana,Ambala,183,73,3,0,
2020-06-15,Haryana,Ambala,187,83,3,0,
2020-06-16,Haryana,Ambala,208,91,3,0,
2020-06-17,Haryana,Ambala,212,109,3,0,
2020-06-18,Haryana,Ambala,237,109,3,0,
2020-06-19,Haryana,Ambala,263,142,3,0,
2020-06-20,Haryana,Ambala,269,153,3,0,
2020-06-21,Haryana,Ambala,273,155,3,0,
2020-06-22,Haryana,Ambala,283,161,3,0,
2020-06-23,Haryana,Ambala,292,167,3,0,
2020-06-24,Haryana,Ambala,299,182,3,0,
2020-06-25,Haryana,Ambala,302,193,3,0,
2020-06-26,Haryana,Ambala,309,220,3,0,
2020-06-27,Haryana,Ambala,309,220,3,0,
2020-06-28,Haryana,Ambala,314,256,3,0,
2020-06-29,Haryana,Ambala,319,273,3,0,
2020-06-30,Haryana,Ambala,319,292,3,0,
2020-07-01,Haryana,Ambala,328,293,3,0,
2020-07-02,Haryana,Ambala,344,309,3,0,
2020-07-03,Haryana,Ambala,348,311,3,0,
2020-07-04,Haryana,Ambala,358,315,3,0,
2020-07-05,Haryana,Ambala,371,315,4,0,
2020-07-06,Haryana,Ambala,375,315,4,0,
2020-07-07,Haryana,Ambala,378,332,4,0,
2020-07-08,Haryana,Ambala,392,332,5,0,
2020-07-09,Haryana,Ambala,426,357,5,0,
2020-07-10,Haryana,Ambala,453,357,6,0,
2020-07-11,Haryana,Ambala,495,377,6,0,
2020-07-12,Haryana,Ambala,507,398,6,0,21000.0
2020-07-13,Haryana,Ambala,612,398,6,0,22379.0
2020-07-14,Haryana,Ambala,658,399,6,0,22379.0
2020-07-15,Haryana,Ambala,691,434,6,0,22379.0
2020-07-16,Haryana,Ambala,736,439,6,0,22379.0
2020-07-17,Haryana,Ambala,736,439,6,0,22379.0
2020-07-18,Haryana,Ambala,832,547,8,0,22379.0
2020-07-19,Haryana,Ambala,872,596,9,0,22379.0
2020-07-20,Haryana,Ambala,942,656,9,0,22379.0
2020-07-21,Haryana,Ambala,997,728,9,0,22379.0
2020-07-22,Haryana,Ambala,1052,831,10,0,22379.0
2020-07-23,Haryana,Ambala,1140,911,10,0,22379.0
2020-07-24,Haryana,Ambala,1195,946,10,0,22379.0
2020-07-25,Haryana,Ambala,1222,998,11,0,22379.0
2020-07-26,Haryana,Ambala,1254,1006,11,0,22379.0
2020-07-27,Haryana,Ambala,1334,1052,12,0,22379.0
2020-07-28,Haryana,Ambala,1372,1095,14,0,22379.0
2020-07-29,Haryana,Ambala,1447,1149,14,0,22379.0
2020-07-30,Haryana,Ambala,1495,1182,15,0,22379.0
2020-07-31,Haryana,Ambala,1543,1215,16,0,22379.0
2020-08-01,Haryana,Ambala,1626,1302,16,0,22379.0
2020-08-02,Haryana,Ambala,1701,1360,17,0,22379.0
2020-08-03,Haryana,Ambala,1710,1398,17,0,22379.0
2020-08-04,Haryana,Ambala,1742,1432,17,0,22379.0
2020-08-05,Haryana,Ambala,1810,1495,17,0,22379.0
2020-08-06,Haryana,Ambala,1888,1527,18,0,22379.0
2020-08-07,Haryana,Ambala,1967,1600,19,0,22379.0
2020-08-08,Haryana,Ambala,2055,1648,19,0,22379.0
2020-08-09,Haryana,Ambala,2107,1697,19,0,22379.0
2020-08-10,Haryana,Ambala,2191,1740,19,0,22379.0
2020-08-11,Haryana,Ambala,2260,1810,20,0,22379.0
2020-08-12,Haryana,Ambala,2325,1860,20,0,22379.0
2020-08-13,Haryana,Ambala,2388,1962,21,0,22379.0
2020-08-14,Haryana,Ambala,2446,2050,21,0,22379.0
2020-08-15,Haryana,Ambala,2501,2125,21,0,22379.0
2020-08-16,Haryana,Ambala,2569,2207,21,0,22379.0
2020-08-17,Haryana,Ambala,2640,2267,22,0,22379.0
2020-08-18,Haryana,Ambala,2703,2341,22,0,22379.0
2020-08-19,Haryana,Ambala,2771,2402,24,0,22379.0
2020-08-20,Haryana,Ambala,2863,2457,24,0,22379.0
2020-08-21,Haryana,Ambala,2961,2528,24,0,22379.0
2020-08-22,Haryana,Ambala,3051,2600,24,0,22379.0
2020-08-23,Haryana,Ambala,3148,2647,26,0,22379.0
2020-08-24,Haryana,Ambala,3228,2720,27,0,22379.0
2020-08-25,Haryana,Ambala,3299,2815,28,0,22379.0
2020-08-26,Haryana,Ambala,3359,2880,29,0,22379.0
2020-08-27,Haryana,Ambala,3430,2955,29,0,22379.0
2020-08-28,Haryana,Ambala,3510,3028,29,0,22379.0
2020-08-29,Haryana,Ambala,3608,3137,29,0,22379.0
2020-08-30,Haryana,Ambala,3728,3205,32,0,22379.0
2020-08-31,Haryana,Ambala,3842,3250,32,0,22379.0
