Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Haryana,Faridabad,45,29,0,0,
2020-04-27,Haryana,Faridabad,46,37,0,0,
2020-04-28,Haryana,Faridabad,46,40,0,0,
2020-04-29,Haryana,Faridabad,46,41,0,0,
2020-04-30,Haryana,Faridabad,53,41,1,0,
2020-05-01,Haryana,Faridabad,61,42,1,0,
2020-05-02,Haryana,Faridabad,61,42,1,0,
2020-05-03,Haryana,Faridabad,73,42,1,0,
2020-05-04,Haryana,Faridabad,75,42,2,0,
2020-05-05,Haryana,Faridabad,76,43,2,0,
2020-05-06,Haryana,Faridabad,78,43,2,0,
2020-05-07,Haryana,Faridabad,84,43,2,0,
2020-05-08,Haryana,Faridabad,88,54,2,0,
2020-05-09,Haryana,Faridabad,88,55,2,0,
2020-05-10,Haryana,Faridabad,95,55,3,0,
2020-05-11,Haryana,Faridabad,102,55,4,0,
2020-05-12,Haryana,Faridabad,115,57,4,0,
2020-05-13,Haryana,Faridabad,119,58,4,0,
2020-05-14,Haryana,Faridabad,131,62,4,0,
2020-05-15,Haryana,Faridabad,140,75,5,0,
2020-05-16,Haryana,Faridabad,144,77,5,0,
2020-05-17,Haryana,Faridabad,147,77,6,0,
2020-05-18,Haryana,Faridabad,150,77,6,0,
2020-05-19,Haryana,Faridabad,163,86,6,0,
2020-05-20,Haryana,Faridabad,170,86,6,0,
2020-05-21,Haryana,Faridabad,181,90,6,0,
2020-05-22,Haryana,Faridabad,185,104,6,0,
2020-05-23,Haryana,Faridabad,195,115,6,0,
2020-05-24,Haryana,Faridabad,209,120,6,0,
2020-05-25,Haryana,Faridabad,211,120,6,0,
2020-05-26,Haryana,Faridabad,233,120,6,0,
2020-05-27,Haryana,Faridabad,258,120,7,0,
2020-05-28,Haryana,Faridabad,276,138,7,0,
2020-05-29,Haryana,Faridabad,307,138,7,0,
2020-05-30,Haryana,Faridabad,339,153,8,0,
2020-05-31,Haryana,Faridabad,367,168,8,0,
2020-06-01,Haryana,Faridabad,392,168,8,0,
2020-06-02,Haryana,Faridabad,418,168,10,0,
2020-06-03,Haryana,Faridabad,487,168,10,0,
2020-06-04,Haryana,Faridabad,522,168,10,0,
2020-06-05,Haryana,Faridabad,581,171,10,0,
2020-06-06,Haryana,Faridabad,620,183,10,0,
2020-06-07,Haryana,Faridabad,676,183,13,0,
2020-06-08,Haryana,Faridabad,773,183,13,0,
2020-06-09,Haryana,Faridabad,814,196,15,0,
2020-06-10,Haryana,Faridabad,855,306,18,0,
2020-06-11,Haryana,Faridabad,929,306,22,0,
2020-06-12,Haryana,Faridabad,986,348,26,0,
2020-06-13,Haryana,Faridabad,1086,348,28,0,
2020-06-14,Haryana,Faridabad,1277,385,28,0,
2020-06-15,Haryana,Faridabad,1405,385,33,0,
2020-06-16,Haryana,Faridabad,1579,387,38,0,
2020-06-17,Haryana,Faridabad,1807,437,43,0,
2020-06-18,Haryana,Faridabad,1842,596,46,0,
2020-06-19,Haryana,Faridabad,2003,683,51,0,19110.0
2020-06-20,Haryana,Faridabad,2100,707,52,0,19110.0
2020-06-21,Haryana,Faridabad,2237,918,56,0,19110.0
2020-06-22,Haryana,Faridabad,2413,1052,61,0,19110.0
2020-06-23,Haryana,Faridabad,2596,1228,64,0,19110.0
2020-06-24,Haryana,Faridabad,2797,1306,65,0,19110.0
2020-06-25,Haryana,Faridabad,2940,1497,68,0,19110.0
2020-06-26,Haryana,Faridabad,3134,1735,70,0,19110.0
2020-06-27,Haryana,Faridabad,3325,1829,71,0,19110.0
2020-06-28,Haryana,Faridabad,3456,1829,73,0,19110.0
2020-06-29,Haryana,Faridabad,3590,2103,75,0,19110.0
2020-06-30,Haryana,Faridabad,3733,2401,77,0,19110.0
2020-07-01,Haryana,Faridabad,3898,2581,80,0,23759.0
2020-07-02,Haryana,Faridabad,4028,2781,83,0,23759.0
2020-07-03,Haryana,Faridabad,4184,3174,87,0,25846.0
2020-07-04,Haryana,Faridabad,4364,3519,89,0,25846.0
2020-07-05,Haryana,Faridabad,4525,3609,92,0,27954.0
2020-07-06,Haryana,Faridabad,4648,3714,95,0,28692.0
2020-07-07,Haryana,Faridabad,4770,3794,95,0,29512.0
2020-07-08,Haryana,Faridabad,4926,3849,97,0,30615.0
2020-07-09,Haryana,Faridabad,5108,3987,98,0,31320.0
2020-07-10,Haryana,Faridabad,5108,4119,98,0,32945.0
2020-07-11,Haryana,Faridabad,5198,4245,101,0,33628.0
2020-07-12,Haryana,Faridabad,5420,4387,101,0,35022.0
2020-07-13,Haryana,Faridabad,5550,4551,101,0,35022.0
2020-07-14,Haryana,Faridabad,5665,4671,101,0,36010.0
2020-07-15,Haryana,Faridabad,5881,4741,104,0,38235.0
2020-07-16,Haryana,Faridabad,6051,4861,104,0,38235.0
2020-07-17,Haryana,Faridabad,6211,4996,104,0,40154.0
2020-07-18,Haryana,Faridabad,6350,5076,109,0,41723.0
2020-07-19,Haryana,Faridabad,6465,5161,110,0,42653.0
2020-07-20,Haryana,Faridabad,6568,5161,110,0,43885.0
2020-07-21,Haryana,Faridabad,6679,5313,112,0,46315.0
2020-07-22,Haryana,Faridabad,6853,5411,114,0,46315.0
2020-07-23,Haryana,Faridabad,7073,5553,117,0,50925.0
2020-07-24,Haryana,Faridabad,7276,5673,117,0,52455.0
2020-07-25,Haryana,Faridabad,7474,5782,120,0,53143.0
2020-07-26,Haryana,Faridabad,7693,6052,120,0,53835.0
2020-07-27,Haryana,Faridabad,7911,6217,123,0,54635.0
2020-07-28,Haryana,Faridabad,8097,6356,127,0,60196.0
2020-07-29,Haryana,Faridabad,8295,6521,129,0,65132.0
2020-07-30,Haryana,Faridabad,8479,6915,131,0,70352.0
2020-07-31,Haryana,Faridabad,8655,7295,131,0,75055.0
2020-08-01,Haryana,Faridabad,8830,7547,134,0,79052.0
2020-08-02,Haryana,Faridabad,9002,7694,134,0,82423.0
2020-08-03,Haryana,Faridabad,9172,8106,134,0,83291.0
2020-08-04,Haryana,Faridabad,9341,8286,135,0,83880.0
2020-08-05,Haryana,Faridabad,9510,8405,137,0,84404.0
2020-08-06,Haryana,Faridabad,9671,8622,139,0,86634.0
2020-08-07,Haryana,Faridabad,9830,8807,139,0,88389.0
2020-08-08,Haryana,Faridabad,9979,8968,140,0,88389.0
2020-08-09,Haryana,Faridabad,10129,9155,141,0,88389.0
2020-08-10,Haryana,Faridabad,10283,9259,142,0,93258.0
2020-08-11,Haryana,Faridabad,10404,9332,144,0,95800.0
2020-08-12,Haryana,Faridabad,10517,9494,146,0,97645.0
2020-08-13,Haryana,Faridabad,10653,9599,148,0,97645.0
2020-08-14,Haryana,Faridabad,10782,9733,149,0,100583.0
2020-08-15,Haryana,Faridabad,10913,9913,151,0,102110.0
2020-08-16,Haryana,Faridabad,11030,10032,153,0,103255.0
2020-08-17,Haryana,Faridabad,11137,10181,154,0,104075.0
2020-08-18,Haryana,Faridabad,11236,10305,155,0,106021.0
2020-08-19,Haryana,Faridabad,11315,10437,157,0,107433.0
2020-08-20,Haryana,Faridabad,11403,10559,159,0,107433.0
2020-08-21,Haryana,Faridabad,11530,10669,160,0,110695.0
2020-08-22,Haryana,Faridabad,11627,10777,160,0,110695.0
2020-08-23,Haryana,Faridabad,11725,10856,160,0,110695.0
2020-08-24,Haryana,Faridabad,11850,10919,162,0,110695.0
2020-08-25,Haryana,Faridabad,11982,11042,164,0,110695.0
2020-08-26,Haryana,Faridabad,12093,11179,166,0,110695.0
2020-08-27,Haryana,Faridabad,12189,11320,167,0,110695.0
2020-08-28,Haryana,Faridabad,12304,11428,168,0,127771.0
2020-08-29,Haryana,Faridabad,12462,11550,168,0,127771.0
2020-08-30,Haryana,Faridabad,12581,11668,169,0,134075.0
2020-08-31,Haryana,Faridabad,12684,11776,170,0,136180.0
2020-09-01,Haryana,Faridabad,12816,11850,172,0,138910.0
2020-09-02,Haryana,Faridabad,12968,11972,173,0,141145.0
2020-09-03,Haryana,Faridabad,13118,12070,174,0,143465.0
2020-09-04,Haryana,Faridabad,13338,12194,176,0,145610.0
2020-09-05,Haryana,Faridabad,13622,12412,176,0,147552.0
2020-09-06,Haryana,Faridabad,13898,12594,178,0,147552.0
2020-09-07,Haryana,Faridabad,14168,12760,179,0,151117.0
2020-09-08,Haryana,Faridabad,14434,12941,180,0,152652.0
2020-09-09,Haryana,Faridabad,14721,13059,182,0,155141.0
2020-09-10,Haryana,Faridabad,15003,13207,183,0,157886.0
2020-09-11,Haryana,Faridabad,15284,13412,185,0,157886.0
2020-09-12,Haryana,Faridabad,15562,13607,188,0,163083.0
2020-09-13,Haryana,Faridabad,15860,13935,191,0,165218.0
2020-09-14,Haryana,Faridabad,16139,14188,193,0,167463.0
2020-09-15,Haryana,Faridabad,16409,14441,195,0,169993.0
2020-09-16,Haryana,Faridabad,16701,14669,197,0,172828.0
2020-09-17,Haryana,Faridabad,16983,14947,199,0,175315.0
2020-09-18,Haryana,Faridabad,17270,15245,201,0,177257.0
2020-09-19,Haryana,Faridabad,17560,15521,203,0,179892.0
2020-09-20,Haryana,Faridabad,17763,15816,205,0,182127.0
2020-09-21,Haryana,Faridabad,18014,16101,206,0,184569.0
2020-09-22,Haryana,Faridabad,18205,16393,208,0,186804.0
2020-09-23,Haryana,Faridabad,18467,16692,209,0,188602.0
2020-09-24,Haryana,Faridabad,18707,16940,211,0,190142.0
2020-09-25,Haryana,Faridabad,18928,17193,212,0,190142.0
2020-09-26,Haryana,Faridabad,19123,17491,213,0,193101.0
2020-09-27,Haryana,Faridabad,19301,17729,215,0,193101.0
2020-09-28,Haryana,Faridabad,19496,17977,216,0,196441.0
2020-09-29,Haryana,Faridabad,19664,18186,217,0,198161.0
2020-09-30,Haryana,Faridabad,19819,18392,219,0,199781.0
2020-10-01,Haryana,Faridabad,19982,18638,221,0,199781.0
2020-10-02,Haryana,Faridabad,20139,18860,223,0,202924.0
2020-10-03,Haryana,Faridabad,20273,19058,223,0,204392.0
2020-10-04,Haryana,Faridabad,20397,19233,225,0,204392.0
2020-10-05,Haryana,Faridabad,20526,19395,226,0,204392.0
2020-10-06,Haryana,Faridabad,20674,19547,226,0,207877.0
2020-10-07,Haryana,Faridabad,20852,19707,228,0,209622.0
2020-10-08,Haryana,Faridabad,21034,19867,230,0,211457.0
2020-10-09,Haryana,Faridabad,21187,20032,230,0,213311.0
2020-10-10,Haryana,Faridabad,21336,20190,231,0,215135.0
2020-10-11,Haryana,Faridabad,21474,20334,231,0,215135.0
2020-10-12,Haryana,Faridabad,21636,20493,231,0,215135.0
2020-10-13,Haryana,Faridabad,21804,20666,232,0,215135.0
2020-10-14,Haryana,Faridabad,21967,20848,234,0,221199.0
2020-10-15,Haryana,Faridabad,22161,21002,236,0,221199.0
2020-10-16,Haryana,Faridabad,22350,21239,238,0,221487.0
2020-10-17,Haryana,Faridabad,22509,21387,238,0,225707.0
2020-10-18,Haryana,Faridabad,22686,21539,238,0,227182.0
2020-10-19,Haryana,Faridabad,22839,21740,238,0,228407.0
