Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-27,Haryana,Jhajjar,1,0,0,0,
2020-04-28,Haryana,Jhajjar,5,0,0,0,
2020-04-29,Haryana,Jhajjar,6,0,0,0,
2020-04-30,Haryana,Jhajjar,24,0,0,0,
2020-05-01,Haryana,Jhajjar,28,0,0,0,
2020-05-02,Haryana,Jhajjar,40,0,0,0,
2020-05-03,Haryana,Jhajjar,42,0,0,0,
2020-05-04,Haryana,Jhajjar,56,0,0,0,
2020-05-05,Haryana,Jhajjar,64,0,0,0,
2020-05-06,Haryana,Jhajjar,70,0,0,0,
2020-05-07,Haryana,Jhajjar,73,0,0,0,
2020-05-08,Haryana,Jhajjar,74,0,0,0,
2020-05-09,Haryana,Jhajjar,74,10,0,0,
2020-05-10,Haryana,Jhajjar,74,10,0,0,
2020-05-11,Haryana,Jhajjar,83,10,0,0,
2020-05-12,Haryana,Jhajjar,83,10,0,0,
2020-05-13,Haryana,Jhajjar,84,24,0,0,
2020-05-14,Haryana,Jhajjar,87,24,0,0,
2020-05-15,Haryana,Jhajjar,87,24,0,0,
2020-05-16,Haryana,Jhajjar,90,28,0,0,
2020-05-17,Haryana,Jhajjar,90,53,0,0,
2020-05-18,Haryana,Jhajjar,90,53,0,0,
2020-05-19,Haryana,Jhajjar,90,60,0,0,
2020-05-20,Haryana,Jhajjar,91,62,0,0,
2020-05-21,Haryana,Jhajjar,91,84,0,0,
2020-05-22,Haryana,Jhajjar,91,89,0,0,
2020-05-23,Haryana,Jhajjar,91,90,0,0,
2020-05-24,Haryana,Jhajjar,93,90,0,0,
2020-05-25,Haryana,Jhajjar,93,90,0,0,
2020-05-26,Haryana,Jhajjar,93,90,0,0,
2020-05-27,Haryana,Jhajjar,97,90,0,0,
2020-05-28,Haryana,Jhajjar,97,90,0,0,
2020-05-29,Haryana,Jhajjar,97,90,0,0,
2020-05-30,Haryana,Jhajjar,97,92,0,0,
2020-05-31,Haryana,Jhajjar,97,92,0,0,
2020-06-01,Haryana,Jhajjar,101,92,0,0,
2020-06-02,Haryana,Jhajjar,103,92,0,0,
2020-06-03,Haryana,Jhajjar,103,92,0,0,
2020-06-04,Haryana,Jhajjar,105,92,0,0,
2020-06-05,Haryana,Jhajjar,107,92,0,0,
2020-06-06,Haryana,Jhajjar,107,96,0,0,
2020-06-07,Haryana,Jhajjar,109,96,0,0,
2020-06-08,Haryana,Jhajjar,111,96,0,0,
2020-06-09,Haryana,Jhajjar,112,97,0,0,
2020-06-10,Haryana,Jhajjar,112,99,0,0,
2020-06-11,Haryana,Jhajjar,116,99,0,0,
2020-06-12,Haryana,Jhajjar,119,99,0,0,
2020-06-13,Haryana,Jhajjar,126,100,0,0,
2020-06-14,Haryana,Jhajjar,132,104,1,0,
2020-06-15,Haryana,Jhajjar,141,104,2,0,
2020-06-16,Haryana,Jhajjar,149,108,2,0,
2020-06-17,Haryana,Jhajjar,158,108,2,0,
2020-06-18,Haryana,Jhajjar,167,108,2,0,
2020-06-19,Haryana,Jhajjar,174,108,2,0,
2020-06-20,Haryana,Jhajjar,180,112,2,0,
2020-06-21,Haryana,Jhajjar,185,129,2,0,
2020-06-22,Haryana,Jhajjar,192,129,3,0,
2020-06-23,Haryana,Jhajjar,201,132,3,0,
2020-06-24,Haryana,Jhajjar,208,132,3,0,
2020-06-25,Haryana,Jhajjar,217,136,3,0,
2020-06-26,Haryana,Jhajjar,226,143,3,0,
2020-06-27,Haryana,Jhajjar,235,150,4,0,
2020-06-28,Haryana,Jhajjar,244,150,4,0,
2020-06-29,Haryana,Jhajjar,253,180,4,0,
2020-06-30,Haryana,Jhajjar,261,180,4,0,
2020-07-01,Haryana,Jhajjar,262,186,4,0,
2020-07-02,Haryana,Jhajjar,297,197,4,0,
2020-07-03,Haryana,Jhajjar,313,209,4,0,
2020-07-04,Haryana,Jhajjar,328,213,4,0,
2020-07-05,Haryana,Jhajjar,341,244,4,0,
2020-07-06,Haryana,Jhajjar,349,244,4,0,
2020-07-07,Haryana,Jhajjar,377,247,4,0,
2020-07-08,Haryana,Jhajjar,404,268,4,0,
2020-07-09,Haryana,Jhajjar,420,274,4,0,
2020-07-10,Haryana,Jhajjar,436,282,4,0,11922.0
2020-07-11,Haryana,Jhajjar,464,324,4,0,12626.0
2020-07-12,Haryana,Jhajjar,486,326,4,0,13234.0
2020-07-13,Haryana,Jhajjar,504,339,4,0,14083.0
2020-07-14,Haryana,Jhajjar,530,345,4,0,14083.0
2020-07-15,Haryana,Jhajjar,539,345,4,0,14083.0
2020-07-16,Haryana,Jhajjar,557,399,5,0,14083.0
2020-07-17,Haryana,Jhajjar,582,430,5,0,14083.0
2020-07-18,Haryana,Jhajjar,621,442,5,0,14083.0
2020-07-19,Haryana,Jhajjar,647,459,5,0,14083.0
2020-07-20,Haryana,Jhajjar,671,480,6,0,14083.0
2020-07-21,Haryana,Jhajjar,690,495,7,0,14083.0
2020-07-22,Haryana,Jhajjar,707,505,8,0,14083.0
2020-07-23,Haryana,Jhajjar,719,532,9,0,14083.0
2020-07-24,Haryana,Jhajjar,739,539,9,0,14083.0
2020-07-25,Haryana,Jhajjar,757,570,9,0,14083.0
2020-07-26,Haryana,Jhajjar,768,596,9,0,14083.0
2020-07-27,Haryana,Jhajjar,790,621,9,0,14083.0
2020-07-28,Haryana,Jhajjar,800,649,10,0,14083.0
2020-07-29,Haryana,Jhajjar,802,671,10,0,14083.0
2020-07-30,Haryana,Jhajjar,814,694,10,0,14083.0
2020-07-31,Haryana,Jhajjar,818,719,10,0,14083.0
2020-08-01,Haryana,Jhajjar,823,729,10,0,14083.0
2020-08-02,Haryana,Jhajjar,840,740,10,0,14083.0
2020-08-03,Haryana,Jhajjar,849,740,10,0,14083.0
2020-08-04,Haryana,Jhajjar,865,765,11,0,14083.0
2020-08-05,Haryana,Jhajjar,873,778,12,0,14083.0
2020-08-06,Haryana,Jhajjar,887,795,12,0,14083.0
2020-08-07,Haryana,Jhajjar,887,801,12,0,14083.0
2020-08-08,Haryana,Jhajjar,898,804,12,0,14083.0
2020-08-09,Haryana,Jhajjar,899,819,12,0,14083.0
2020-08-10,Haryana,Jhajjar,909,826,12,0,14083.0
2020-08-11,Haryana,Jhajjar,920,836,12,0,14083.0
2020-08-12,Haryana,Jhajjar,948,853,12,0,14083.0
2020-08-13,Haryana,Jhajjar,953,873,12,0,14083.0
2020-08-14,Haryana,Jhajjar,968,885,13,0,14083.0
2020-08-15,Haryana,Jhajjar,982,891,13,0,14083.0
2020-08-16,Haryana,Jhajjar,989,898,13,0,14083.0
2020-08-17,Haryana,Jhajjar,1001,903,14,0,14083.0
2020-08-18,Haryana,Jhajjar,1011,909,14,0,14083.0
2020-08-19,Haryana,Jhajjar,1021,918,14,0,14083.0
2020-08-20,Haryana,Jhajjar,1027,924,14,0,14083.0
2020-08-21,Haryana,Jhajjar,1039,938,14,0,14083.0
2020-08-22,Haryana,Jhajjar,1052,952,15,0,14083.0
2020-08-23,Haryana,Jhajjar,1077,963,15,0,14083.0
2020-08-24,Haryana,Jhajjar,1096,968,15,0,14083.0
2020-08-25,Haryana,Jhajjar,1104,975,15,0,14083.0
2020-08-26,Haryana,Jhajjar,1118,989,16,0,46571.0
2020-08-27,Haryana,Jhajjar,1142,1008,17,0,46571.0
2020-08-28,Haryana,Jhajjar,1166,1009,17,0,48637.0
2020-08-29,Haryana,Jhajjar,1176,1021,17,0,49495.0
2020-08-30,Haryana,Jhajjar,1198,1029,17,0,49495.0
2020-08-31,Haryana,Jhajjar,1236,1041,17,0,51575.0
2020-09-01,Haryana,Jhajjar,1267,1058,17,0,51575.0
2020-09-02,Haryana,Jhajjar,1306,1085,17,0,53746.0
2020-09-03,Haryana,Jhajjar,1334,1094,17,0,53746.0
2020-09-04,Haryana,Jhajjar,1374,1106,18,0,55603.0
2020-09-05,Haryana,Jhajjar,1409,1142,18,0,56532.0
2020-09-06,Haryana,Jhajjar,1455,1174,18,0,57122.0
2020-09-07,Haryana,Jhajjar,1507,1198,18,0,57122.0
2020-09-08,Haryana,Jhajjar,1550,1212,19,0,59266.0
2020-09-09,Haryana,Jhajjar,1612,1275,19,0,59266.0
2020-09-10,Haryana,Jhajjar,1726,1300,19,0,61426.0
2020-09-11,Haryana,Jhajjar,1789,1336,19,0,61426.0
2020-09-12,Haryana,Jhajjar,1845,1363,19,0,63418.0
2020-09-13,Haryana,Jhajjar,1873,1398,19,0,63418.0
2020-09-14,Haryana,Jhajjar,1917,1450,19,0,64882.0
2020-09-15,Haryana,Jhajjar,1951,1456,19,0,65832.0
2020-09-16,Haryana,Jhajjar,2003,1515,19,0,66773.0
2020-09-17,Haryana,Jhajjar,2030,1664,20,0,66773.0
2020-09-18,Haryana,Jhajjar,2084,1708,21,0,66773.0
2020-09-19,Haryana,Jhajjar,2126,1756,21,0,70269.0
2020-09-20,Haryana,Jhajjar,2150,1796,21,0,71116.0
2020-09-21,Haryana,Jhajjar,2215,1844,21,0,71116.0
2020-09-22,Haryana,Jhajjar,2250,1864,21,0,73201.0
2020-09-23,Haryana,Jhajjar,2276,1914,21,0,73772.0
2020-09-24,Haryana,Jhajjar,2306,1957,21,0,73772.0
2020-09-25,Haryana,Jhajjar,2342,1993,21,0,73772.0
2020-09-26,Haryana,Jhajjar,2397,2027,21,0,76448.0
2020-09-27,Haryana,Jhajjar,2423,2101,21,0,76448.0
2020-09-28,Haryana,Jhajjar,2449,2173,21,0,76448.0
2020-09-29,Haryana,Jhajjar,2464,2195,21,0,76448.0
2020-09-30,Haryana,Jhajjar,2489,2210,24,0,76448.0
2020-10-01,Haryana,Jhajjar,2524,2262,25,0,83092.0
2020-10-02,Haryana,Jhajjar,2561,2301,25,0,83849.0
2020-10-03,Haryana,Jhajjar,2599,2355,25,0,83849.0
2020-10-04,Haryana,Jhajjar,2621,2383,25,0,86204.0
2020-10-05,Haryana,Jhajjar,2653,2416,26,0,86204.0
2020-10-06,Haryana,Jhajjar,2676,2420,26,0,89348.0
2020-10-07,Haryana,Jhajjar,2705,2454,26,0,91225.0
2020-10-08,Haryana,Jhajjar,2736,2471,28,0,91225.0
2020-10-09,Haryana,Jhajjar,2774,2504,30,0,91225.0
2020-10-10,Haryana,Jhajjar,2798,2545,30,0,91225.0
2020-10-11,Haryana,Jhajjar,2817,2569,30,0,91225.0
2020-10-12,Haryana,Jhajjar,2845,2613,32,0,91225.0
2020-10-13,Haryana,Jhajjar,2871,2628,32,0,91225.0
2020-10-14,Haryana,Jhajjar,2901,2654,32,0,91225.0
2020-10-15,Haryana,Jhajjar,2932,2686,32,0,91225.0
2020-10-16,Haryana,Jhajjar,2969,2717,32,0,105598.0
2020-10-17,Haryana,Jhajjar,3012,2749,32,0,105598.0
2020-10-18,Haryana,Jhajjar,3034,2768,32,0,107845.0
2020-10-19,Haryana,Jhajjar,3064,2786,32,0,107845.0
2020-10-20,Haryana,Jhajjar,3091,2815,32,0,110998.0
2020-10-21,Haryana,Jhajjar,3141,2862,33,0,110998.0
2020-10-22,Haryana,Jhajjar,3168,2885,34,0,114419.0
2020-10-23,Haryana,Jhajjar,3217,2925,35,0,116213.0
2020-10-24,Haryana,Jhajjar,3266,2957,35,0,116213.0
2020-10-25,Haryana,Jhajjar,3293,2980,35,0,116213.0
2020-10-26,Haryana,Jhajjar,3326,3022,35,0,116213.0
2020-10-27,Haryana,Jhajjar,3377,3033,35,0,116213.0
2020-10-28,Haryana,Jhajjar,3434,3076,35,0,116213.0
2020-10-29,Haryana,Jhajjar,3434,3076,35,0,116213.0
