Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Haryana,Jind,2,2,0,0,
2020-04-27,Haryana,Jind,2,2,0,0,
2020-04-28,Haryana,Jind,2,2,0,0,
2020-04-29,Haryana,Jind,2,2,0,0,
2020-04-30,Haryana,Jind,2,2,0,0,
2020-05-01,Haryana,Jind,2,2,0,0,
2020-05-02,Haryana,Jind,2,2,0,0,
2020-05-03,Haryana,Jind,8,2,0,0,
2020-05-04,Haryana,Jind,10,2,0,0,
2020-05-05,Haryana,Jind,10,2,0,0,
2020-05-06,Haryana,Jind,11,2,0,0,
2020-05-07,Haryana,Jind,14,2,0,0,
2020-05-08,Haryana,Jind,17,2,0,0,
2020-05-09,Haryana,Jind,17,2,0,0,
2020-05-10,Haryana,Jind,17,2,0,0,
2020-05-11,Haryana,Jind,17,2,0,0,
2020-05-12,Haryana,Jind,18,2,0,0,
2020-05-13,Haryana,Jind,18,10,0,0,
2020-05-14,Haryana,Jind,20,10,0,0,
2020-05-15,Haryana,Jind,20,10,0,0,
2020-05-16,Haryana,Jind,20,10,0,0,
2020-05-17,Haryana,Jind,20,15,0,0,
2020-05-18,Haryana,Jind,20,15,0,0,
2020-05-19,Haryana,Jind,21,15,0,0,
2020-05-20,Haryana,Jind,23,15,0,0,
2020-05-21,Haryana,Jind,23,15,0,0,
2020-05-22,Haryana,Jind,23,15,0,0,
2020-05-23,Haryana,Jind,26,18,0,0,
2020-05-24,Haryana,Jind,26,18,0,0,
2020-05-25,Haryana,Jind,29,18,0,0,
2020-05-26,Haryana,Jind,27,18,0,0,
2020-05-27,Haryana,Jind,27,18,1,0,
2020-05-28,Haryana,Jind,27,18,1,0,
2020-05-29,Haryana,Jind,27,18,1,0,
2020-05-30,Haryana,Jind,27,24,1,0,
2020-05-31,Haryana,Jind,27,24,1,0,
2020-06-01,Haryana,Jind,29,24,1,0,
2020-06-02,Haryana,Jind,32,24,1,0,
2020-06-03,Haryana,Jind,32,24,1,0,
2020-06-04,Haryana,Jind,33,24,2,0,
2020-06-05,Haryana,Jind,35,24,2,0,
2020-06-06,Haryana,Jind,38,26,2,0,
2020-06-07,Haryana,Jind,39,26,2,0,
2020-06-08,Haryana,Jind,42,26,3,0,
2020-06-09,Haryana,Jind,54,26,3,0,
2020-06-10,Haryana,Jind,65,26,3,0,
2020-06-11,Haryana,Jind,68,26,3,0,
2020-06-12,Haryana,Jind,69,26,3,0,
2020-06-13,Haryana,Jind,69,26,3,0,
2020-06-14,Haryana,Jind,71,26,3,0,
2020-06-15,Haryana,Jind,73,26,3,0,
2020-06-16,Haryana,Jind,74,28,4,0,
2020-06-17,Haryana,Jind,80,29,3,0,
2020-06-18,Haryana,Jind,80,29,3,0,
2020-06-19,Haryana,Jind,81,30,3,0,
2020-06-20,Haryana,Jind,84,36,3,0,
2020-06-21,Haryana,Jind,87,36,3,0,
2020-06-22,Haryana,Jind,91,36,3,0,
2020-06-23,Haryana,Jind,93,36,4,0,
2020-06-24,Haryana,Jind,96,36,4,0,
2020-06-25,Haryana,Jind,96,36,4,0,
2020-06-26,Haryana,Jind,100,36,4,0,
2020-06-27,Haryana,Jind,100,36,4,0,
2020-06-28,Haryana,Jind,100,75,4,0,
2020-06-29,Haryana,Jind,103,75,4,0,
2020-06-30,Haryana,Jind,109,75,4,0,
2020-07-01,Haryana,Jind,109,75,4,0,
2020-07-02,Haryana,Jind,111,75,4,0,
2020-07-03,Haryana,Jind,114,88,4,0,
2020-07-04,Haryana,Jind,119,91,4,0,
2020-07-05,Haryana,Jind,119,91,4,0,
2020-07-06,Haryana,Jind,119,91,4,0,
2020-07-07,Haryana,Jind,133,91,4,0,
2020-07-08,Haryana,Jind,135,93,4,0,
2020-07-09,Haryana,Jind,142,93,4,0,
2020-07-10,Haryana,Jind,150,96,4,0,10761.0
2020-07-11,Haryana,Jind,150,96,4,0,10936.0
2020-07-12,Haryana,Jind,150,113,4,0,11007.0
2020-07-13,Haryana,Jind,150,113,4,0,11157.0
2020-07-14,Haryana,Jind,153,113,4,0,11157.0
2020-07-15,Haryana,Jind,156,113,4,0,11157.0
2020-07-16,Haryana,Jind,158,117,4,0,11157.0
2020-07-17,Haryana,Jind,158,117,4,0,11157.0
2020-07-18,Haryana,Jind,172,117,4,0,11157.0
2020-07-19,Haryana,Jind,173,137,4,0,11157.0
2020-07-20,Haryana,Jind,178,167,4,0,11157.0
2020-07-21,Haryana,Jind,181,167,4,0,11157.0
2020-07-22,Haryana,Jind,181,167,4,0,11157.0
2020-07-23,Haryana,Jind,192,167,4,0,11157.0
2020-07-24,Haryana,Jind,192,167,4,0,11157.0
2020-07-25,Haryana,Jind,203,167,5,0,11157.0
2020-07-26,Haryana,Jind,213,167,5,0,11157.0
2020-07-27,Haryana,Jind,213,167,5,0,11157.0
2020-07-28,Haryana,Jind,230,167,5,0,11157.0
2020-07-29,Haryana,Jind,273,191,5,0,11157.0
2020-07-30,Haryana,Jind,273,191,5,0,11157.0
2020-07-31,Haryana,Jind,285,191,5,0,11157.0
2020-08-01,Haryana,Jind,285,191,5,0,11157.0
2020-08-02,Haryana,Jind,306,191,5,0,11157.0
2020-08-03,Haryana,Jind,320,191,5,0,11157.0
2020-08-04,Haryana,Jind,328,191,5,0,11157.0
2020-08-05,Haryana,Jind,333,191,5,0,11157.0
2020-08-06,Haryana,Jind,335,191,5,0,11157.0
2020-08-07,Haryana,Jind,335,191,5,0,11157.0
2020-08-08,Haryana,Jind,339,223,6,0,11157.0
2020-08-09,Haryana,Jind,345,248,6,0,11157.0
2020-08-10,Haryana,Jind,348,248,6,0,11157.0
2020-08-11,Haryana,Jind,364,249,6,0,11157.0
2020-08-12,Haryana,Jind,367,249,6,0,11157.0
2020-08-13,Haryana,Jind,370,249,6,0,11157.0
2020-08-14,Haryana,Jind,375,301,6,0,11157.0
2020-08-15,Haryana,Jind,385,301,6,0,11157.0
2020-08-16,Haryana,Jind,388,319,6,0,11157.0
2020-08-17,Haryana,Jind,389,319,6,0,11157.0
2020-08-18,Haryana,Jind,393,319,6,0,11157.0
2020-08-19,Haryana,Jind,418,319,6,0,11157.0
2020-08-20,Haryana,Jind,423,319,7,0,11157.0
2020-08-21,Haryana,Jind,429,319,7,0,11157.0
2020-08-22,Haryana,Jind,448,337,8,0,11157.0
2020-08-23,Haryana,Jind,457,337,8,0,11157.0
2020-08-24,Haryana,Jind,465,337,8,0,11157.0
2020-08-25,Haryana,Jind,497,371,8,0,11157.0
2020-08-26,Haryana,Jind,512,371,8,0,11157.0
2020-08-27,Haryana,Jind,533,371,8,0,11157.0
2020-08-28,Haryana,Jind,533,371,8,0,11157.0
2020-08-29,Haryana,Jind,533,371,8,0,11157.0
2020-08-30,Haryana,Jind,580,371,8,0,11157.0
2020-08-31,Haryana,Jind,631,371,8,0,11157.0
2020-09-01,Haryana,Jind,668,371,8,0,11157.0
2020-09-02,Haryana,Jind,668,371,8,0,11157.0
2020-09-03,Haryana,Jind,728,371,10,0,11157.0
2020-09-04,Haryana,Jind,781,371,10,0,11157.0
2020-09-05,Haryana,Jind,823,371,10,0,11157.0
2020-09-06,Haryana,Jind,823,417,10,0,11157.0
2020-09-07,Haryana,Jind,999,418,11,0,11157.0
2020-09-08,Haryana,Jind,1045,550,11,0,11157.0
2020-09-09,Haryana,Jind,1075,550,11,0,11157.0
2020-09-10,Haryana,Jind,1079,550,12,0,11157.0
2020-09-11,Haryana,Jind,1079,550,12,0,11157.0
2020-09-12,Haryana,Jind,1253,691,12,0,11157.0
2020-09-13,Haryana,Jind,1303,691,12,0,11157.0
2020-09-14,Haryana,Jind,1365,691,12,0,11157.0
2020-09-15,Haryana,Jind,1391,918,12,0,11157.0
2020-09-16,Haryana,Jind,1438,918,12,0,11157.0
2020-09-17,Haryana,Jind,1502,918,12,0,11157.0
2020-09-18,Haryana,Jind,1578,918,12,0,11157.0
2020-09-19,Haryana,Jind,1674,918,14,0,11157.0
2020-09-20,Haryana,Jind,1674,918,14,0,11157.0
2020-09-21,Haryana,Jind,1676,918,18,0,11157.0
2020-09-22,Haryana,Jind,1807,1266,20,0,11157.0
2020-09-23,Haryana,Jind,1874,1376,22,0,11157.0
2020-09-24,Haryana,Jind,1908,1450,22,0,11157.0
2020-09-25,Haryana,Jind,1990,1565,24,0,11157.0
2020-09-26,Haryana,Jind,2023,1565,27,0,11157.0
2020-09-27,Haryana,Jind,2023,1565,27,0,11157.0
2020-09-28,Haryana,Jind,2043,1565,27,0,11157.0
2020-09-29,Haryana,Jind,2059,1565,27,0,11157.0
2020-09-30,Haryana,Jind,2059,1565,27,0,11157.0
2020-10-01,Haryana,Jind,2059,1565,27,0,11157.0
