Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Haryana,Kaithal,2,2,0,0,
2020-04-27,Haryana,Kaithal,2,2,0,0,
2020-04-28,Haryana,Kaithal,2,2,0,0,
2020-04-29,Haryana,Kaithal,2,2,0,0,
2020-04-30,Haryana,Kaithal,2,2,0,0,
2020-05-01,Haryana,Kaithal,2,2,0,0,
2020-05-02,Haryana,Kaithal,2,2,0,0,
2020-05-03,Haryana,Kaithal,2,2,0,0,
2020-05-04,Haryana,Kaithal,2,2,0,0,
2020-05-05,Haryana,Kaithal,2,2,0,0,
2020-05-06,Haryana,Kaithal,2,2,0,0,
2020-05-07,Haryana,Kaithal,2,2,0,0,
2020-05-08,Haryana,Kaithal,2,2,0,0,
2020-05-09,Haryana,Kaithal,2,2,0,0,
2020-05-10,Haryana,Kaithal,3,2,0,0,
2020-05-11,Haryana,Kaithal,3,2,0,0,
2020-05-12,Haryana,Kaithal,3,2,0,0,
2020-05-13,Haryana,Kaithal,3,2,0,0,
2020-05-14,Haryana,Kaithal,3,2,0,0,
2020-05-15,Haryana,Kaithal,5,2,0,0,
2020-05-16,Haryana,Kaithal,5,2,0,0,
2020-05-17,Haryana,Kaithal,5,2,0,0,
2020-05-18,Haryana,Kaithal,5,2,0,0,
2020-05-19,Haryana,Kaithal,5,3,0,0,
2020-05-20,Haryana,Kaithal,5,3,0,0,
2020-05-21,Haryana,Kaithal,5,3,0,0,
2020-05-22,Haryana,Kaithal,5,3,0,0,
2020-05-23,Haryana,Kaithal,5,3,0,0,
2020-05-24,Haryana,Kaithal,6,3,0,0,
2020-05-25,Haryana,Kaithal,6,3,0,0,
2020-05-26,Haryana,Kaithal,6,4,0,0,
2020-05-27,Haryana,Kaithal,6,4,0,0,
2020-05-28,Haryana,Kaithal,10,4,0,0,
2020-05-29,Haryana,Kaithal,17,4,0,0,
2020-05-30,Haryana,Kaithal,18,5,0,0,
2020-05-31,Haryana,Kaithal,18,5,0,0,
2020-06-01,Haryana,Kaithal,29,5,0,0,
2020-06-02,Haryana,Kaithal,29,6,0,0,
2020-06-03,Haryana,Kaithal,30,6,0,0,
2020-06-04,Haryana,Kaithal,33,6,0,0,
2020-06-05,Haryana,Kaithal,34,7,0,0,
2020-06-06,Haryana,Kaithal,43,7,0,0,
2020-06-07,Haryana,Kaithal,44,11,0,0,
2020-06-08,Haryana,Kaithal,45,17,0,0,
2020-06-09,Haryana,Kaithal,45,18,0,0,
2020-06-10,Haryana,Kaithal,46,28,0,0,
2020-06-11,Haryana,Kaithal,46,28,0,0,
2020-06-12,Haryana,Kaithal,57,28,0,0,
2020-06-13,Haryana,Kaithal,57,30,0,0,
2020-06-14,Haryana,Kaithal,59,30,0,0,
2020-06-15,Haryana,Kaithal,61,30,0,0,
2020-06-16,Haryana,Kaithal,61,30,0,0,
2020-06-17,Haryana,Kaithal,61,52,0,0,
2020-06-18,Haryana,Kaithal,61,52,0,0,
2020-06-19,Haryana,Kaithal,63,52,0,0,
2020-06-20,Haryana,Kaithal,66,52,0,0,
2020-06-21,Haryana,Kaithal,68,52,0,0,
2020-06-22,Haryana,Kaithal,70,52,0,0,
2020-06-23,Haryana,Kaithal,70,52,0,0,
2020-06-24,Haryana,Kaithal,70,52,0,0,
2020-06-25,Haryana,Kaithal,78,54,0,0,
2020-06-26,Haryana,Kaithal,78,54,0,0,
