Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Haryana,Karnal,6,5,1,0,
2020-04-27,Haryana,Karnal,6,5,1,0,
2020-04-28,Haryana,Karnal,6,5,1,0,
2020-04-29,Haryana,Karnal,6,5,1,0,
2020-04-30,Haryana,Karnal,6,5,1,0,
2020-05-01,Haryana,Karnal,6,5,1,0,
2020-05-02,Haryana,Karnal,6,5,1,0,
2020-05-03,Haryana,Karnal,6,5,1,0,
2020-05-04,Haryana,Karnal,6,5,1,0,
2020-05-05,Haryana,Karnal,9,5,1,0,
2020-05-06,Haryana,Karnal,14,5,1,0,
2020-05-07,Haryana,Karnal,14,5,1,0,
2020-05-08,Haryana,Karnal,14,5,1,0,
2020-05-09,Haryana,Karnal,14,5,1,0,
2020-05-10,Haryana,Karnal,14,5,1,0,
2020-05-11,Haryana,Karnal,14,5,1,0,
2020-05-12,Haryana,Karnal,15,5,1,0,
2020-05-13,Haryana,Karnal,15,5,1,0,
2020-05-14,Haryana,Karnal,17,5,1,0,
2020-05-15,Haryana,Karnal,17,5,1,0,
2020-05-16,Haryana,Karnal,17,9,1,0,
2020-05-17,Haryana,Karnal,18,9,1,0,
2020-05-18,Haryana,Karnal,19,9,1,0,
2020-05-19,Haryana,Karnal,20,9,1,0,
2020-05-20,Haryana,Karnal,20,9,1,0,
2020-05-21,Haryana,Karnal,21,11,1,0,
2020-05-22,Haryana,Karnal,23,11,1,0,
2020-05-23,Haryana,Karnal,24,11,1,0,
2020-05-24,Haryana,Karnal,32,11,1,0,
2020-05-25,Haryana,Karnal,33,16,1,0,
2020-05-26,Haryana,Karnal,36,16,1,0,
2020-05-27,Haryana,Karnal,37,16,1,0,
2020-05-28,Haryana,Karnal,42,16,1,0,
2020-05-29,Haryana,Karnal,48,20,1,0,
2020-05-30,Haryana,Karnal,50,20,1,0,
2020-05-31,Haryana,Karnal,52,20,1,0,
2020-06-01,Haryana,Karnal,52,20,1,0,
2020-06-02,Haryana,Karnal,56,20,1,0,
2020-06-03,Haryana,Karnal,66,20,1,0,
2020-06-04,Haryana,Karnal,74,25,1,0,
2020-06-05,Haryana,Karnal,81,36,1,0,
2020-06-06,Haryana,Karnal,91,40,1,0,
2020-06-07,Haryana,Karnal,99,41,1,0,
2020-06-08,Haryana,Karnal,105,41,2,0,
2020-06-09,Haryana,Karnal,108,47,2,0,
2020-06-10,Haryana,Karnal,108,47,2,0,
2020-06-11,Haryana,Karnal,125,47,2,0,
2020-06-12,Haryana,Karnal,125,47,2,0,
2020-06-13,Haryana,Karnal,128,47,2,0,
2020-06-14,Haryana,Karnal,128,47,2,0,
2020-06-15,Haryana,Karnal,146,66,2,0,
2020-06-16,Haryana,Karnal,159,68,2,0,
2020-06-17,Haryana,Karnal,175,90,3,0,
2020-06-18,Haryana,Karnal,187,90,3,0,
2020-06-19,Haryana,Karnal,193,90,3,0,
2020-06-20,Haryana,Karnal,214,107,3,0,
2020-06-21,Haryana,Karnal,218,107,3,0,
2020-06-22,Haryana,Karnal,228,121,3,0,
2020-06-23,Haryana,Karnal,236,146,3,0,
2020-06-24,Haryana,Karnal,236,154,3,0,
2020-06-25,Haryana,Karnal,262,162,4,0,
2020-06-26,Haryana,Karnal,269,162,5,0,
2020-06-27,Haryana,Karnal,273,175,6,0,
2020-06-28,Haryana,Karnal,273,175,6,0,
2020-06-29,Haryana,Karnal,291,197,6,0,
2020-06-30,Haryana,Karnal,311,197,6,0,
2020-07-01,Haryana,Karnal,325,211,6,0,
2020-07-02,Haryana,Karnal,359,216,8,0,
2020-07-03,Haryana,Karnal,367,244,8,0,
2020-07-04,Haryana,Karnal,390,249,8,0,
2020-07-05,Haryana,Karnal,405,249,8,0,
2020-07-06,Haryana,Karnal,421,249,8,0,
2020-07-07,Haryana,Karnal,421,249,8,0,
2020-07-08,Haryana,Karnal,434,283,8,0,
2020-07-09,Haryana,Karnal,458,283,8,0,
2020-07-10,Haryana,Karnal,482,290,8,0,22590.0
2020-07-11,Haryana,Karnal,494,291,8,0,22921.0
2020-07-12,Haryana,Karnal,519,354,8,0,23155.0
2020-07-13,Haryana,Karnal,529,377,8,0,23486.0
2020-07-14,Haryana,Karnal,544,385,8,0,23486.0
2020-07-15,Haryana,Karnal,563,400,8,0,23486.0
2020-07-16,Haryana,Karnal,563,400,8,0,23486.0
2020-07-17,Haryana,Karnal,587,447,8,0,23486.0
2020-07-18,Haryana,Karnal,608,447,8,0,23486.0
2020-07-19,Haryana,Karnal,636,472,8,0,23486.0
2020-07-20,Haryana,Karnal,657,492,8,0,23486.0
2020-07-21,Haryana,Karnal,690,515,10,0,23486.0
2020-07-22,Haryana,Karnal,743,515,10,0,23486.0
2020-07-23,Haryana,Karnal,774,536,10,0,23486.0
2020-07-24,Haryana,Karnal,804,543,10,0,23486.0
2020-07-25,Haryana,Karnal,804,543,10,0,23486.0
2020-07-26,Haryana,Karnal,848,578,10,0,23486.0
2020-07-27,Haryana,Karnal,929,599,10,0,23486.0
2020-07-28,Haryana,Karnal,960,625,10,0,23486.0
2020-07-29,Haryana,Karnal,995,634,10,0,23486.0
2020-07-30,Haryana,Karnal,1029,636,10,0,23486.0
2020-07-31,Haryana,Karnal,1057,684,10,0,23486.0
2020-08-01,Haryana,Karnal,1085,714,10,0,23486.0
2020-08-02,Haryana,Karnal,1100,740,11,0,23486.0
2020-08-03,Haryana,Karnal,1120,740,11,0,23486.0
2020-08-04,Haryana,Karnal,1139,775,11,0,23486.0
2020-08-05,Haryana,Karnal,1155,870,12,0,23486.0
2020-08-06,Haryana,Karnal,1189,898,12,0,23486.0
2020-08-07,Haryana,Karnal,1209,931,13,0,23486.0
2020-08-08,Haryana,Karnal,1209,931,13,0,23486.0
2020-08-09,Haryana,Karnal,1302,1008,13,0,23486.0
2020-08-10,Haryana,Karnal,1334,1025,13,0,23486.0
2020-08-11,Haryana,Karnal,1372,1064,13,0,23486.0
2020-08-12,Haryana,Karnal,1372,1064,13,0,23486.0
2020-08-13,Haryana,Karnal,1434,1073,13,0,23486.0
2020-08-14,Haryana,Karnal,1487,1106,13,0,23486.0
2020-08-15,Haryana,Karnal,1539,1111,13,0,23486.0
2020-08-16,Haryana,Karnal,1596,1154,14,0,23486.0
2020-08-17,Haryana,Karnal,1642,1183,14,0,23486.0
2020-08-18,Haryana,Karnal,1737,1218,18,0,23486.0
2020-08-19,Haryana,Karnal,1815,1276,18,0,23486.0
2020-08-20,Haryana,Karnal,1873,1295,21,0,23486.0
2020-08-21,Haryana,Karnal,1946,1312,22,0,23486.0
2020-08-22,Haryana,Karnal,2037,1342,22,0,23486.0
2020-08-23,Haryana,Karnal,2088,1399,22,0,23486.0
2020-08-24,Haryana,Karnal,2157,1399,22,0,23486.0
2020-08-25,Haryana,Karnal,2237,1475,23,0,23486.0
2020-08-26,Haryana,Karnal,2336,1579,24,0,23486.0
2020-08-27,Haryana,Karnal,2373,1633,25,0,23486.0
2020-08-28,Haryana,Karnal,2473,1703,28,0,47660.0
2020-08-29,Haryana,Karnal,2613,1755,30,0,49158.0
2020-08-30,Haryana,Karnal,2734,1830,30,0,49158.0
2020-08-31,Haryana,Karnal,2869,1911,30,0,50036.0
2020-09-01,Haryana,Karnal,3010,2016,32,0,51252.0
2020-09-02,Haryana,Karnal,3140,2047,34,0,52307.0
2020-09-03,Haryana,Karnal,3252,2070,37,0,53017.0
2020-09-04,Haryana,Karnal,3475,2171,39,0,53410.0
2020-09-05,Haryana,Karnal,3713,2269,41,0,59164.0
2020-09-06,Haryana,Karnal,3959,2400,43,0,55408.0
2020-09-07,Haryana,Karnal,4165,2503,45,0,56371.0
2020-09-08,Haryana,Karnal,4389,2539,48,0,57202.0
2020-09-09,Haryana,Karnal,4549,2703,52,0,58018.0
2020-09-10,Haryana,Karnal,4738,2805,56,0,58715.0
2020-09-11,Haryana,Karnal,4893,2957,60,0,59696.0
2020-09-12,Haryana,Karnal,5165,3357,65,0,60653.0
2020-09-13,Haryana,Karnal,5460,3445,69,0,61174.0
2020-09-14,Haryana,Karnal,5639,3547,73,0,61941.0
2020-09-15,Haryana,Karnal,5788,3864,78,0,62651.0
2020-09-16,Haryana,Karnal,5985,3884,83,0,63483.0
2020-09-17,Haryana,Karnal,6162,4216,86,0,64088.0
2020-09-18,Haryana,Karnal,6291,4283,87,0,64609.0
2020-09-19,Haryana,Karnal,6410,4514,89,0,65442.0
2020-09-20,Haryana,Karnal,6498,4704,92,0,66111.0
2020-09-21,Haryana,Karnal,6602,4704,93,0,67385.0
2020-09-22,Haryana,Karnal,6748,4878,95,0,68254.0
2020-09-23,Haryana,Karnal,6865,5312,97,0,68823.0
2020-09-24,Haryana,Karnal,6925,5367,98,0,69547.0
