Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Haryana,Kurukshetra,2,2,0,0,
2020-04-27,Haryana,Kurukshetra,2,2,0,0,
2020-04-28,Haryana,Kurukshetra,2,2,0,0,
2020-04-29,Haryana,Kurukshetra,2,2,0,0,
2020-04-30,Haryana,Kurukshetra,2,2,0,0,
2020-05-01,Haryana,Kurukshetra,2,2,0,0,
2020-05-02,Haryana,Kurukshetra,2,2,0,0,
2020-05-03,Haryana,Kurukshetra,2,2,0,0,
2020-05-04,Haryana,Kurukshetra,2,2,0,0,
2020-05-05,Haryana,Kurukshetra,2,2,0,0,
2020-05-06,Haryana,Kurukshetra,2,2,0,0,
2020-05-07,Haryana,Kurukshetra,2,2,0,0,
2020-05-08,Haryana,Kurukshetra,2,2,0,0,
2020-05-09,Haryana,Kurukshetra,2,2,0,0,
2020-05-10,Haryana,Kurukshetra,2,2,0,0,
2020-05-11,Haryana,Kurukshetra,2,2,0,0,
2020-05-12,Haryana,Kurukshetra,3,2,0,0,
2020-05-13,Haryana,Kurukshetra,3,2,0,0,
2020-05-14,Haryana,Kurukshetra,3,2,0,0,
2020-05-15,Haryana,Kurukshetra,3,2,0,0,
2020-05-16,Haryana,Kurukshetra,3,2,0,0,
2020-05-17,Haryana,Kurukshetra,3,2,0,0,
2020-05-18,Haryana,Kurukshetra,3,2,0,0,
2020-05-19,Haryana,Kurukshetra,3,2,0,0,
2020-05-20,Haryana,Kurukshetra,7,3,0,0,
2020-05-21,Haryana,Kurukshetra,9,3,0,0,
2020-05-22,Haryana,Kurukshetra,14,3,0,0,
2020-05-23,Haryana,Kurukshetra,15,3,0,0,
2020-05-24,Haryana,Kurukshetra,15,3,0,0,
2020-05-25,Haryana,Kurukshetra,18,3,0,0,
2020-05-26,Haryana,Kurukshetra,21,3,0,0,
2020-05-27,Haryana,Kurukshetra,21,3,0,0,
2020-05-28,Haryana,Kurukshetra,26,7,0,0,
2020-05-29,Haryana,Kurukshetra,27,13,0,0,
2020-05-30,Haryana,Kurukshetra,27,13,0,0,
2020-05-31,Haryana,Kurukshetra,31,13,0,0,
2020-06-01,Haryana,Kurukshetra,35,13,0,0,
2020-06-02,Haryana,Kurukshetra,36,17,0,0,
2020-06-03,Haryana,Kurukshetra,37,18,0,0,
2020-06-04,Haryana,Kurukshetra,37,18,0,0,
2020-06-05,Haryana,Kurukshetra,49,23,0,0,
2020-06-06,Haryana,Kurukshetra,51,25,0,0,
2020-06-07,Haryana,Kurukshetra,52,30,0,0,
2020-06-08,Haryana,Kurukshetra,52,30,0,0,
2020-06-09,Haryana,Kurukshetra,55,31,0,0,
2020-06-10,Haryana,Kurukshetra,60,34,0,0,
2020-06-11,Haryana,Kurukshetra,60,34,0,0,
2020-06-12,Haryana,Kurukshetra,63,37,0,0,
2020-06-13,Haryana,Kurukshetra,66,46,0,0,
2020-06-14,Haryana,Kurukshetra,76,50,0,0,
2020-06-15,Haryana,Kurukshetra,80,51,0,0,
2020-06-16,Haryana,Kurukshetra,83,52,0,0,
2020-06-17,Haryana,Kurukshetra,88,54,0,0,
2020-06-18,Haryana,Kurukshetra,96,54,0,0,
2020-06-19,Haryana,Kurukshetra,99,61,0,0,
2020-06-20,Haryana,Kurukshetra,102,62,0,0,
2020-06-21,Haryana,Kurukshetra,104,62,0,0,
2020-06-22,Haryana,Kurukshetra,107,65,0,0,
2020-06-23,Haryana,Kurukshetra,111,66,0,0,
2020-06-24,Haryana,Kurukshetra,112,66,0,0,
2020-06-25,Haryana,Kurukshetra,112,66,0,0,
2020-06-26,Haryana,Kurukshetra,113,78,0,0,
2020-06-27,Haryana,Kurukshetra,113,78,0,0,
2020-06-28,Haryana,Kurukshetra,115,96,0,0,
2020-06-29,Haryana,Kurukshetra,117,100,0,0,
2020-06-30,Haryana,Kurukshetra,125,100,0,0,
2020-07-01,Haryana,Kurukshetra,129,103,0,0,
2020-07-02,Haryana,Kurukshetra,133,104,0,0,
2020-07-03,Haryana,Kurukshetra,137,107,0,0,
2020-07-04,Haryana,Kurukshetra,137,107,0,0,
2020-07-05,Haryana,Kurukshetra,156,114,0,0,
2020-07-06,Haryana,Kurukshetra,156,114,0,0,
2020-07-07,Haryana,Kurukshetra,177,117,1,0,
2020-07-08,Haryana,Kurukshetra,180,117,1,0,
2020-07-09,Haryana,Kurukshetra,180,126,1,0,
2020-07-10,Haryana,Kurukshetra,181,126,1,0,14297.0
2020-07-11,Haryana,Kurukshetra,190,132,1,0,14297.0
2020-07-12,Haryana,Kurukshetra,198,140,1,0,14715.0
2020-07-13,Haryana,Kurukshetra,207,155,1,0,15094.0
2020-07-14,Haryana,Kurukshetra,207,155,1,0,15094.0
2020-07-15,Haryana,Kurukshetra,215,155,1,0,15094.0
2020-07-16,Haryana,Kurukshetra,223,164,1,0,15094.0
2020-07-17,Haryana,Kurukshetra,232,164,1,0,15094.0
2020-07-18,Haryana,Kurukshetra,239,169,1,0,15094.0
2020-07-19,Haryana,Kurukshetra,261,173,1,0,15094.0
2020-07-20,Haryana,Kurukshetra,266,183,1,0,15094.0
2020-07-21,Haryana,Kurukshetra,279,188,1,0,15094.0
2020-07-22,Haryana,Kurukshetra,286,188,1,0,15094.0
2020-07-23,Haryana,Kurukshetra,286,188,1,0,15094.0
2020-07-24,Haryana,Kurukshetra,311,202,1,0,15094.0
2020-07-25,Haryana,Kurukshetra,319,206,1,0,15094.0
2020-07-26,Haryana,Kurukshetra,347,209,2,0,15094.0
2020-07-27,Haryana,Kurukshetra,366,218,2,0,15094.0
2020-07-28,Haryana,Kurukshetra,394,226,2,0,15094.0
2020-07-29,Haryana,Kurukshetra,407,235,2,0,15094.0
2020-07-30,Haryana,Kurukshetra,423,245,2,0,15094.0
2020-07-31,Haryana,Kurukshetra,423,245,2,0,15094.0
2020-08-01,Haryana,Kurukshetra,460,263,4,0,15094.0
2020-08-02,Haryana,Kurukshetra,510,284,4,0,15094.0
2020-08-03,Haryana,Kurukshetra,537,289,6,0,15094.0
2020-08-04,Haryana,Kurukshetra,553,311,7,0,15094.0
2020-08-05,Haryana,Kurukshetra,562,338,8,0,15094.0
2020-08-06,Haryana,Kurukshetra,598,356,8,0,15094.0
2020-08-07,Haryana,Kurukshetra,614,372,9,0,15094.0
2020-08-08,Haryana,Kurukshetra,647,379,9,0,15094.0
2020-08-09,Haryana,Kurukshetra,686,412,11,0,15094.0
2020-08-10,Haryana,Kurukshetra,729,414,11,0,15094.0
2020-08-11,Haryana,Kurukshetra,769,453,12,0,15094.0
2020-08-12,Haryana,Kurukshetra,802,489,12,0,15094.0
2020-08-13,Haryana,Kurukshetra,838,504,12,0,15094.0
2020-08-14,Haryana,Kurukshetra,855,539,14,0,15094.0
2020-08-15,Haryana,Kurukshetra,855,539,14,0,15094.0
2020-08-16,Haryana,Kurukshetra,927,565,16,0,15094.0
2020-08-17,Haryana,Kurukshetra,978,593,17,0,15094.0
2020-08-18,Haryana,Kurukshetra,1011,620,17,0,15094.0
2020-08-19,Haryana,Kurukshetra,1071,644,18,0,15094.0
2020-08-20,Haryana,Kurukshetra,1104,685,19,0,15094.0
2020-08-21,Haryana,Kurukshetra,1167,711,21,0,15094.0
2020-08-22,Haryana,Kurukshetra,1218,736,23,0,15094.0
2020-08-23,Haryana,Kurukshetra,1293,764,24,0,15094.0
2020-08-24,Haryana,Kurukshetra,1338,799,26,0,15094.0
2020-08-25,Haryana,Kurukshetra,1390,825,26,0,15094.0
2020-08-26,Haryana,Kurukshetra,1451,911,27,0,15094.0
2020-08-27,Haryana,Kurukshetra,1496,937,29,0,15094.0
2020-08-28,Haryana,Kurukshetra,1572,961,30,0,35016.0
2020-08-29,Haryana,Kurukshetra,1647,990,30,0,35016.0
2020-08-30,Haryana,Kurukshetra,1704,1018,32,0,35016.0
2020-08-31,Haryana,Kurukshetra,1761,1061,32,0,35016.0
2020-09-01,Haryana,Kurukshetra,1845,1111,34,0,35016.0
2020-09-02,Haryana,Kurukshetra,1971,1172,36,0,35016.0
2020-09-03,Haryana,Kurukshetra,2071,1201,39,0,40104.0
2020-09-04,Haryana,Kurukshetra,2124,1232,41,0,40104.0
2020-09-05,Haryana,Kurukshetra,2224,1274,44,0,40104.0
2020-09-06,Haryana,Kurukshetra,2454,1303,47,0,40104.0
2020-09-07,Haryana,Kurukshetra,2569,1414,50,0,40104.0
2020-09-08,Haryana,Kurukshetra,2709,1494,53,0,40104.0
2020-09-09,Haryana,Kurukshetra,2944,1543,56,0,40104.0
2020-09-10,Haryana,Kurukshetra,3124,1631,59,0,40104.0
2020-09-11,Haryana,Kurukshetra,3297,1695,60,0,40104.0
2020-09-12,Haryana,Kurukshetra,3470,1835,61,0,40104.0
2020-09-13,Haryana,Kurukshetra,3600,2034,62,0,40104.0
2020-09-14,Haryana,Kurukshetra,3764,2208,63,0,40104.0
2020-09-15,Haryana,Kurukshetra,3909,2302,65,0,40104.0
2020-09-16,Haryana,Kurukshetra,4143,2351,67,0,40104.0
2020-09-17,Haryana,Kurukshetra,4285,2530,70,0,40104.0
2020-09-18,Haryana,Kurukshetra,4416,2658,72,0,40104.0
2020-09-19,Haryana,Kurukshetra,4535,2778,74,0,40104.0
2020-09-20,Haryana,Kurukshetra,4586,2990,77,0,40104.0
2020-09-21,Haryana,Kurukshetra,4685,3225,80,0,40104.0
