Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Haryana,Palwal,34,29,0,0,
2020-04-27,Haryana,Palwal,34,29,0,0,
2020-04-28,Haryana,Palwal,34,32,0,0,
2020-04-29,Haryana,Palwal,34,32,0,0,
2020-04-30,Haryana,Palwal,34,32,0,0,
2020-05-01,Haryana,Palwal,34,32,0,0,
2020-05-02,Haryana,Palwal,34,32,0,0,
2020-05-03,Haryana,Palwal,36,32,0,0,
2020-05-04,Haryana,Palwal,36,32,0,0,
2020-05-05,Haryana,Palwal,36,32,0,0,
2020-05-06,Haryana,Palwal,36,32,0,0,
2020-05-07,Haryana,Palwal,36,32,0,0,
2020-05-08,Haryana,Palwal,36,32,0,0,
2020-05-09,Haryana,Palwal,36,32,0,0,
2020-05-10,Haryana,Palwal,37,33,0,0,
2020-05-11,Haryana,Palwal,37,33,0,0,
2020-05-12,Haryana,Palwal,37,33,0,0,
2020-05-13,Haryana,Palwal,37,34,0,0,
2020-05-14,Haryana,Palwal,37,35,0,0,
2020-05-15,Haryana,Palwal,37,35,0,0,
2020-05-16,Haryana,Palwal,39,35,0,0,
2020-05-17,Haryana,Palwal,39,36,0,0,
2020-05-18,Haryana,Palwal,39,36,0,0,
2020-05-19,Haryana,Palwal,40,36,0,0,
2020-05-20,Haryana,Palwal,40,36,0,0,
2020-05-21,Haryana,Palwal,40,36,0,0,
2020-05-22,Haryana,Palwal,40,37,0,0,
2020-05-23,Haryana,Palwal,41,37,0,0,
2020-05-24,Haryana,Palwal,41,37,0,0,
2020-05-25,Haryana,Palwal,41,37,0,0,
2020-05-26,Haryana,Palwal,43,39,0,0,
2020-05-27,Haryana,Palwal,51,39,0,0,
2020-05-28,Haryana,Palwal,51,39,0,0,
2020-05-29,Haryana,Palwal,58,41,0,0,
2020-05-30,Haryana,Palwal,58,41,0,0,
2020-05-31,Haryana,Palwal,59,41,0,0,
2020-06-01,Haryana,Palwal,70,44,0,0,
2020-06-02,Haryana,Palwal,79,44,0,0,
2020-06-03,Haryana,Palwal,79,44,0,0,
2020-06-04,Haryana,Palwal,86,48,0,0,
2020-06-05,Haryana,Palwal,100,48,0,0,
2020-06-06,Haryana,Palwal,119,48,0,0,
2020-06-07,Haryana,Palwal,124,54,0,0,
2020-06-08,Haryana,Palwal,129,54,0,0,
2020-06-09,Haryana,Palwal,142,54,0,0,
2020-06-10,Haryana,Palwal,142,57,0,0,
2020-06-11,Haryana,Palwal,152,57,0,0,
2020-06-12,Haryana,Palwal,180,70,1,0,
2020-06-13,Haryana,Palwal,185,79,1,0,
2020-06-14,Haryana,Palwal,198,105,1,0,
2020-06-15,Haryana,Palwal,198,105,1,0,
2020-06-16,Haryana,Palwal,204,107,1,0,
2020-06-17,Haryana,Palwal,220,107,1,0,
2020-06-18,Haryana,Palwal,232,125,1,0,
2020-06-19,Haryana,Palwal,249,142,1,0,
2020-06-20,Haryana,Palwal,259,142,1,0,
2020-06-21,Haryana,Palwal,263,155,2,0,
2020-06-22,Haryana,Palwal,263,155,2,0,
2020-06-23,Haryana,Palwal,263,178,2,0,
2020-06-24,Haryana,Palwal,280,190,2,0,
2020-06-25,Haryana,Palwal,290,203,2,0,
2020-06-26,Haryana,Palwal,298,211,2,0,
2020-06-27,Haryana,Palwal,298,211,2,0,
2020-06-28,Haryana,Palwal,309,222,2,0,
2020-06-29,Haryana,Palwal,311,224,2,0,
2020-06-30,Haryana,Palwal,318,234,3,0,
2020-07-01,Haryana,Palwal,328,237,3,0,
2020-07-02,Haryana,Palwal,332,245,3,0,
2020-07-03,Haryana,Palwal,339,252,3,0,
2020-07-04,Haryana,Palwal,347,252,3,0,
2020-07-05,Haryana,Palwal,352,257,3,0,
2020-07-06,Haryana,Palwal,364,263,3,0,
2020-07-07,Haryana,Palwal,379,273,3,0,
2020-07-08,Haryana,Palwal,386,285,3,0,
2020-07-09,Haryana,Palwal,410,303,4,0,
2020-07-10,Haryana,Palwal,425,331,4,0,9961.0
2020-07-11,Haryana,Palwal,445,331,4,0,9961.0
2020-07-12,Haryana,Palwal,480,362,4,0,10246.0
2020-07-13,Haryana,Palwal,506,383,5,0,10325.0
2020-07-14,Haryana,Palwal,529,395,6,0,10633.0
2020-07-15,Haryana,Palwal,555,408,6,0,10929.0
2020-07-16,Haryana,Palwal,580,440,6,0,10929.0
2020-07-17,Haryana,Palwal,592,456,7,0,10929.0
2020-07-18,Haryana,Palwal,615,492,8,0,10929.0
2020-07-19,Haryana,Palwal,629,492,8,0,10929.0
2020-07-20,Haryana,Palwal,664,527,8,0,10929.0
2020-07-21,Haryana,Palwal,692,542,9,0,10929.0
2020-07-22,Haryana,Palwal,720,556,9,0,10929.0
2020-07-23,Haryana,Palwal,720,556,9,0,10929.0
2020-07-24,Haryana,Palwal,735,574,9,0,10929.0
2020-07-25,Haryana,Palwal,791,619,9,0,10929.0
2020-07-26,Haryana,Palwal,810,637,9,0,10929.0
2020-07-27,Haryana,Palwal,810,637,9,0,10929.0
2020-07-28,Haryana,Palwal,848,672,9,0,10929.0
2020-07-29,Haryana,Palwal,865,694,9,0,10929.0
2020-07-30,Haryana,Palwal,880,715,9,0,10929.0
2020-07-31,Haryana,Palwal,917,733,9,0,10929.0
2020-08-01,Haryana,Palwal,932,754,9,0,10929.0
2020-08-02,Haryana,Palwal,963,776,9,0,10929.0
2020-08-03,Haryana,Palwal,978,800,9,0,10929.0
2020-08-04,Haryana,Palwal,993,815,9,0,10929.0
2020-08-05,Haryana,Palwal,1016,836,9,0,10929.0
2020-08-06,Haryana,Palwal,1016,847,9,0,10929.0
2020-08-07,Haryana,Palwal,1057,886,9,0,10929.0
2020-08-08,Haryana,Palwal,1084,903,10,0,10929.0
2020-08-09,Haryana,Palwal,1121,942,10,0,10929.0
2020-08-10,Haryana,Palwal,1121,942,10,0,10929.0
2020-08-11,Haryana,Palwal,1168,995,10,0,10929.0
2020-08-12,Haryana,Palwal,1168,995,10,0,10929.0
2020-08-13,Haryana,Palwal,1219,1070,10,0,10929.0
2020-08-14,Haryana,Palwal,1241,1093,10,0,10929.0
2020-08-15,Haryana,Palwal,1266,1126,10,0,10929.0
2020-08-16,Haryana,Palwal,1288,1162,10,0,10929.0
2020-08-17,Haryana,Palwal,1294,1188,10,0,10929.0
2020-08-18,Haryana,Palwal,1316,1201,10,0,10929.0
2020-08-19,Haryana,Palwal,1322,1201,10,0,10929.0
2020-08-20,Haryana,Palwal,1345,1239,10,0,10929.0
2020-08-21,Haryana,Palwal,1364,1249,11,0,10929.0
2020-08-22,Haryana,Palwal,1382,1265,11,0,10929.0
2020-08-23,Haryana,Palwal,1395,1290,11,0,10929.0
2020-08-24,Haryana,Palwal,1412,1302,11,0,10929.0
2020-08-25,Haryana,Palwal,1419,1309,11,0,10929.0
2020-08-26,Haryana,Palwal,1425,1312,11,0,10929.0
2020-08-27,Haryana,Palwal,1440,1331,11,0,10929.0
2020-08-28,Haryana,Palwal,1453,1357,11,0,30598.0
2020-08-29,Haryana,Palwal,1464,1372,11,0,31500.0
2020-08-30,Haryana,Palwal,1480,1385,11,0,31500.0
2020-08-31,Haryana,Palwal,1504,1401,11,0,32573.0
2020-09-01,Haryana,Palwal,1523,1411,12,0,33353.0
2020-09-02,Haryana,Palwal,1546,1425,12,0,34121.0
2020-09-03,Haryana,Palwal,1568,1431,12,0,34962.0
2020-09-04,Haryana,Palwal,1595,1449,12,0,34962.0
2020-09-05,Haryana,Palwal,1616,1476,13,0,36135.0
2020-09-06,Haryana,Palwal,1631,1507,13,0,36512.0
2020-09-07,Haryana,Palwal,1661,1534,13,0,36971.0
2020-09-08,Haryana,Palwal,1682,1547,13,0,37767.0
2020-09-09,Haryana,Palwal,1752,1593,13,0,38804.0
2020-09-10,Haryana,Palwal,1808,1625,13,0,39755.0
2020-09-11,Haryana,Palwal,1863,1673,14,0,40525.0
2020-09-12,Haryana,Palwal,1903,1716,14,0,41278.0
2020-09-13,Haryana,Palwal,1933,1748,14,0,41278.0
2020-09-14,Haryana,Palwal,1983,1773,14,0,41699.0
2020-09-15,Haryana,Palwal,2033,1805,14,0,42252.0
2020-09-16,Haryana,Palwal,2065,1826,14,0,43314.0
2020-09-17,Haryana,Palwal,2117,1846,14,0,44395.0
2020-09-18,Haryana,Palwal,2191,1897,14,0,44395.0
2020-09-19,Haryana,Palwal,2234,1963,14,0,46195.0
2020-09-20,Haryana,Palwal,2284,2050,14,0,46195.0
2020-09-21,Haryana,Palwal,2337,2119,14,0,46870.0
2020-09-22,Haryana,Palwal,2370,2153,14,0,46870.0
2020-09-23,Haryana,Palwal,2397,2190,14,0,47908.0
2020-09-24,Haryana,Palwal,2452,2209,14,0,48271.0
2020-09-25,Haryana,Palwal,2477,2354,14,0,48798.0
2020-09-26,Haryana,Palwal,2501,2412,15,0,49507.0
2020-09-27,Haryana,Palwal,2520,2442,15,0,49765.0
2020-09-28,Haryana,Palwal,2536,2442,15,0,49922.0
2020-09-29,Haryana,Palwal,2565,2442,16,0,50424.0
2020-09-30,Haryana,Palwal,2596,2462,16,0,50424.0
