Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-09,Haryana,Rewari,3,0,0,0,
2020-05-10,Haryana,Rewari,3,0,0,0,
2020-05-11,Haryana,Rewari,3,0,0,0,
2020-05-12,Haryana,Rewari,4,0,0,0,
2020-05-13,Haryana,Rewari,5,0,0,0,
2020-05-14,Haryana,Rewari,6,0,0,0,
2020-05-15,Haryana,Rewari,6,0,0,0,
2020-05-16,Haryana,Rewari,9,0,0,0,
2020-05-17,Haryana,Rewari,9,0,0,0,
2020-05-18,Haryana,Rewari,9,0,0,0,
2020-05-19,Haryana,Rewari,9,0,0,0,
2020-05-20,Haryana,Rewari,9,0,0,0,
2020-05-21,Haryana,Rewari,9,0,0,0,
2020-05-22,Haryana,Rewari,11,0,0,0,
2020-05-23,Haryana,Rewari,11,0,0,0,
2020-05-24,Haryana,Rewari,16,1,0,0,
2020-05-25,Haryana,Rewari,16,1,0,0,
2020-05-26,Haryana,Rewari,18,1,0,0,
2020-05-27,Haryana,Rewari,18,4,0,0,
2020-05-28,Haryana,Rewari,18,4,0,0,
2020-05-29,Haryana,Rewari,23,4,0,0,
2020-05-30,Haryana,Rewari,23,4,0,0,
2020-05-31,Haryana,Rewari,23,4,0,0,
2020-06-01,Haryana,Rewari,23,4,0,0,
2020-06-02,Haryana,Rewari,23,4,0,0,
2020-06-03,Haryana,Rewari,23,4,0,0,
2020-06-04,Haryana,Rewari,34,12,0,0,
2020-06-05,Haryana,Rewari,45,12,0,0,
2020-06-06,Haryana,Rewari,45,12,0,0,
2020-06-07,Haryana,Rewari,48,12,0,0,
2020-06-08,Haryana,Rewari,48,12,1,0,
2020-06-09,Haryana,Rewari,63,12,0,0,
2020-06-10,Haryana,Rewari,65,12,0,0,
2020-06-11,Haryana,Rewari,73,12,0,0,
2020-06-12,Haryana,Rewari,73,12,0,0,
2020-06-13,Haryana,Rewari,76,12,0,0,
2020-06-14,Haryana,Rewari,76,12,0,0,
2020-06-15,Haryana,Rewari,94,12,0,0,
2020-06-16,Haryana,Rewari,115,12,0,0,
2020-06-17,Haryana,Rewari,123,12,0,0,
2020-06-18,Haryana,Rewari,146,12,0,0,
2020-06-19,Haryana,Rewari,148,12,0,0,
2020-06-20,Haryana,Rewari,148,12,0,0,
2020-06-21,Haryana,Rewari,148,12,0,0,
2020-06-22,Haryana,Rewari,170,46,1,0,
2020-06-23,Haryana,Rewari,170,46,1,0,
