Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Haryana,Sonipat,20,4,0,0,
2020-04-27,Haryana,Sonipat,22,-3,0,0,
2020-04-28,Haryana,Sonipat,24,-3,0,0,
2020-04-29,Haryana,Sonipat,25,-3,0,0,
2020-04-30,Haryana,Sonipat,25,-3,0,0,
2020-05-01,Haryana,Sonipat,26,-3,0,0,
2020-05-02,Haryana,Sonipat,26,-3,0,0,
2020-05-03,Haryana,Sonipat,44,-1,0,0,
2020-05-04,Haryana,Sonipat,73,-1,0,0,
2020-05-05,Haryana,Sonipat,78,-1,0,0,
2020-05-06,Haryana,Sonipat,81,-1,0,0,
2020-05-07,Haryana,Sonipat,84,-1,0,0,
2020-05-08,Haryana,Sonipat,86,2,0,0,
2020-05-09,Haryana,Sonipat,89,2,0,0,
2020-05-10,Haryana,Sonipat,100,7,0,0,
2020-05-11,Haryana,Sonipat,105,17,0,0,
2020-05-12,Haryana,Sonipat,120,17,0,0,
2020-05-13,Haryana,Sonipat,120,47,0,0,
2020-05-14,Haryana,Sonipat,120,57,0,0,
2020-05-15,Haryana,Sonipat,132,62,1,0,
2020-05-16,Haryana,Sonipat,134,68,1,0,
2020-05-17,Haryana,Sonipat,134,68,1,0,
2020-05-18,Haryana,Sonipat,137,86,1,0,
2020-05-19,Haryana,Sonipat,139,93,1,0,
2020-05-20,Haryana,Sonipat,148,93,1,0,
2020-05-21,Haryana,Sonipat,150,101,1,0,
2020-05-22,Haryana,Sonipat,151,105,1,0,
2020-05-23,Haryana,Sonipat,154,116,1,0,
2020-05-24,Haryana,Sonipat,159,116,1,0,
2020-05-25,Haryana,Sonipat,163,124,1,0,
2020-05-26,Haryana,Sonipat,163,124,1,0,
2020-05-27,Haryana,Sonipat,174,124,1,0,
2020-05-28,Haryana,Sonipat,180,139,1,0,
2020-05-29,Haryana,Sonipat,199,142,1,0,
2020-05-30,Haryana,Sonipat,199,146,1,0,
2020-05-31,Haryana,Sonipat,199,148,1,0,
2020-06-01,Haryana,Sonipat,212,148,1,0,
2020-06-02,Haryana,Sonipat,233,148,1,0,
2020-06-03,Haryana,Sonipat,261,158,1,0,
2020-06-04,Haryana,Sonipat,261,158,1,0,
2020-06-05,Haryana,Sonipat,261,158,1,0,
2020-06-06,Haryana,Sonipat,350,164,1,0,
2020-06-07,Haryana,Sonipat,423,164,1,0,
2020-06-08,Haryana,Sonipat,436,164,3,0,
2020-06-09,Haryana,Sonipat,474,186,4,0,
2020-06-10,Haryana,Sonipat,502,208,6,0,
2020-06-11,Haryana,Sonipat,502,218,6,0,
2020-06-12,Haryana,Sonipat,533,218,6,0,
2020-06-13,Haryana,Sonipat,536,263,6,0,
2020-06-14,Haryana,Sonipat,536,263,6,0,
2020-06-15,Haryana,Sonipat,599,263,6,0,
2020-06-16,Haryana,Sonipat,631,263,7,0,
2020-06-17,Haryana,Sonipat,668,263,9,0,
2020-06-18,Haryana,Sonipat,719,418,9,0,
2020-06-19,Haryana,Sonipat,755,418,10,0,
2020-06-20,Haryana,Sonipat,826,424,10,0,
2020-06-21,Haryana,Sonipat,866,456,10,0,
2020-06-22,Haryana,Sonipat,866,486,10,0,
2020-06-23,Haryana,Sonipat,925,515,11,0,
2020-06-24,Haryana,Sonipat,954,574,11,0,
2020-06-25,Haryana,Sonipat,1059,574,15,0,
2020-06-26,Haryana,Sonipat,1094,665,15,0,
2020-06-27,Haryana,Sonipat,1157,700,16,0,
2020-06-28,Haryana,Sonipat,1195,700,18,0,
2020-06-29,Haryana,Sonipat,1208,751,18,0,
2020-06-30,Haryana,Sonipat,1208,773,18,0,
2020-07-01,Haryana,Sonipat,1208,817,18,0,
2020-07-02,Haryana,Sonipat,1339,844,18,0,
2020-07-03,Haryana,Sonipat,1385,860,18,0,
2020-07-04,Haryana,Sonipat,1466,971,18,0,
2020-07-05,Haryana,Sonipat,1466,1004,18,0,
2020-07-06,Haryana,Sonipat,1548,1025,20,0,
2020-07-07,Haryana,Sonipat,1577,1025,20,0,
2020-07-08,Haryana,Sonipat,1643,1114,20,0,
2020-07-09,Haryana,Sonipat,1728,1114,20,0,
2020-07-10,Haryana,Sonipat,1778,1158,20,0,29323.0
2020-07-11,Haryana,Sonipat,1888,1190,22,0,29323.0
2020-07-12,Haryana,Sonipat,1989,1265,24,0,31084.0
2020-07-13,Haryana,Sonipat,2049,1411,24,0,32142.0
2020-07-14,Haryana,Sonipat,2104,1474,24,0,33109.0
2020-07-15,Haryana,Sonipat,2170,1517,24,0,34165.0
2020-07-16,Haryana,Sonipat,2229,1563,24,0,34165.0
2020-07-17,Haryana,Sonipat,2298,1563,24,0,34165.0
2020-07-18,Haryana,Sonipat,2344,1613,25,0,34165.0
2020-07-19,Haryana,Sonipat,2386,1643,25,0,34165.0
2020-07-20,Haryana,Sonipat,2484,1657,28,0,34165.0
2020-07-21,Haryana,Sonipat,2525,1824,28,0,34165.0
2020-07-22,Haryana,Sonipat,2525,1952,28,0,34165.0
2020-07-23,Haryana,Sonipat,2603,1952,29,0,34165.0
2020-07-24,Haryana,Sonipat,2668,2095,30,0,34165.0
2020-07-25,Haryana,Sonipat,2718,2155,31,0,34165.0
2020-07-26,Haryana,Sonipat,2742,2217,31,0,34165.0
2020-07-27,Haryana,Sonipat,2792,2262,31,0,34165.0
2020-07-28,Haryana,Sonipat,2815,2297,31,0,34165.0
2020-07-29,Haryana,Sonipat,2841,2363,32,0,34165.0
2020-07-30,Haryana,Sonipat,2877,2471,32,0,34165.0
2020-07-31,Haryana,Sonipat,2898,2500,32,0,34165.0
2020-08-01,Haryana,Sonipat,2899,2542,32,0,34165.0
2020-08-02,Haryana,Sonipat,2959,2594,33,0,34165.0
2020-08-03,Haryana,Sonipat,2984,2618,33,0,34165.0
2020-08-04,Haryana,Sonipat,3013,2664,33,0,34165.0
2020-08-05,Haryana,Sonipat,3045,2711,33,0,34165.0
2020-08-06,Haryana,Sonipat,3096,2744,33,0,34165.0
2020-08-07,Haryana,Sonipat,3156,2820,33,0,34165.0
2020-08-08,Haryana,Sonipat,3156,2834,33,0,34165.0
2020-08-09,Haryana,Sonipat,3209,2834,34,0,34165.0
2020-08-10,Haryana,Sonipat,3240,2858,34,0,34165.0
2020-08-11,Haryana,Sonipat,3296,2879,35,0,34165.0
2020-08-12,Haryana,Sonipat,3327,2901,35,0,34165.0
2020-08-13,Haryana,Sonipat,3377,2936,36,0,34165.0
2020-08-14,Haryana,Sonipat,3427,2974,38,0,34165.0
2020-08-15,Haryana,Sonipat,3451,3014,40,0,34165.0
2020-08-16,Haryana,Sonipat,3471,3065,40,0,34165.0
2020-08-17,Haryana,Sonipat,3510,3087,40,0,34165.0
2020-08-18,Haryana,Sonipat,3532,3140,40,0,34165.0
2020-08-19,Haryana,Sonipat,3572,3181,40,0,34165.0
2020-08-20,Haryana,Sonipat,3622,3245,40,0,34165.0
2020-08-21,Haryana,Sonipat,3668,3297,40,0,34165.0
2020-08-22,Haryana,Sonipat,3716,3335,41,0,34165.0
2020-08-23,Haryana,Sonipat,3782,3374,41,0,34165.0
2020-08-24,Haryana,Sonipat,3828,3374,41,0,34165.0
2020-08-25,Haryana,Sonipat,3862,3459,41,0,34165.0
2020-08-26,Haryana,Sonipat,3953,3492,41,0,34165.0
2020-08-27,Haryana,Sonipat,4076,3524,41,0,34165.0
2020-08-28,Haryana,Sonipat,4176,3566,41,0,34165.0
2020-08-29,Haryana,Sonipat,4251,3601,41,0,85762.0
2020-08-30,Haryana,Sonipat,4291,3645,41,0,85762.0
2020-08-31,Haryana,Sonipat,4400,3709,41,0,85762.0
2020-09-01,Haryana,Sonipat,4530,3763,41,0,85762.0
2020-09-02,Haryana,Sonipat,4557,3841,41,0,85762.0
2020-09-03,Haryana,Sonipat,4747,3911,41,0,85762.0
2020-09-04,Haryana,Sonipat,4845,3991,41,0,85762.0
2020-09-05,Haryana,Sonipat,4970,4101,41,0,85762.0
2020-09-06,Haryana,Sonipat,5046,4169,41,0,85762.0
2020-09-07,Haryana,Sonipat,5174,4246,41,0,85762.0
2020-09-08,Haryana,Sonipat,5274,4389,41,0,85762.0
2020-09-09,Haryana,Sonipat,5415,4554,41,0,85762.0
2020-09-10,Haryana,Sonipat,5498,4664,41,0,85762.0
2020-09-11,Haryana,Sonipat,5665,4840,41,0,85762.0
2020-09-12,Haryana,Sonipat,5830,4952,41,0,85762.0
2020-09-13,Haryana,Sonipat,5997,5043,41,0,85762.0
2020-09-14,Haryana,Sonipat,6202,5174,42,0,85762.0
2020-09-15,Haryana,Sonipat,6278,5350,42,0,85762.0
2020-09-16,Haryana,Sonipat,6447,5507,42,0,85762.0
2020-09-17,Haryana,Sonipat,6718,5673,42,0,85762.0
2020-09-18,Haryana,Sonipat,6889,5817,42,0,85762.0
2020-09-19,Haryana,Sonipat,7038,5992,42,0,85762.0
2020-09-20,Haryana,Sonipat,7272,6185,44,0,85762.0
2020-09-21,Haryana,Sonipat,7340,6277,44,0,85762.0
2020-09-22,Haryana,Sonipat,7346,6433,44,0,85762.0
2020-09-23,Haryana,Sonipat,7477,6597,44,0,85762.0
2020-09-24,Haryana,Sonipat,7565,6717,44,0,85762.0
2020-09-25,Haryana,Sonipat,7751,6888,44,0,85762.0
2020-09-26,Haryana,Sonipat,7831,7024,44,0,85762.0
2020-09-27,Haryana,Sonipat,7928,7164,44,0,85762.0
2020-09-28,Haryana,Sonipat,8030,7326,44,0,85762.0
2020-09-29,Haryana,Sonipat,8142,7453,44,0,85762.0
2020-09-30,Haryana,Sonipat,8261,7597,44,0,85762.0
2020-10-01,Haryana,Sonipat,8355,7734,44,0,85762.0
2020-10-02,Haryana,Sonipat,8409,7815,44,0,85762.0
2020-10-03,Haryana,Sonipat,8464,7910,44,0,85762.0
2020-10-04,Haryana,Sonipat,8514,8003,44,0,85762.0
2020-10-05,Haryana,Sonipat,8570,8108,46,0,85762.0
2020-10-06,Haryana,Sonipat,8603,8175,48,0,85762.0
2020-10-07,Haryana,Sonipat,8647,8234,48,0,85762.0
2020-10-08,Haryana,Sonipat,8712,8289,48,0,85762.0
2020-10-09,Haryana,Sonipat,8801,8337,48,0,85762.0
2020-10-10,Haryana,Sonipat,8871,8389,48,0,85762.0
2020-10-11,Haryana,Sonipat,8926,8434,48,0,85762.0
2020-10-12,Haryana,Sonipat,8976,8481,48,0,85762.0
2020-10-13,Haryana,Sonipat,9018,8530,48,0,85762.0
2020-10-14,Haryana,Sonipat,9085,8575,48,0,85762.0
2020-10-15,Haryana,Sonipat,9149,8627,48,0,85762.0
2020-10-16,Haryana,Sonipat,9223,8691,48,0,85762.0
2020-10-17,Haryana,Sonipat,9270,8799,48,0,85762.0
2020-10-18,Haryana,Sonipat,9307,8845,48,0,85762.0
2020-10-19,Haryana,Sonipat,9378,8897,48,0,85762.0
2020-10-20,Haryana,Sonipat,9418,8947,48,0,85762.0
2020-10-21,Haryana,Sonipat,9484,8993,48,0,85762.0
2020-10-22,Haryana,Sonipat,9535,9046,50,0,85762.0
2020-10-23,Haryana,Sonipat,9588,9112,50,0,85762.0
2020-10-24,Haryana,Sonipat,9659,9187,50,0,85762.0
2020-10-25,Haryana,Sonipat,9702,9231,50,0,85762.0
2020-10-26,Haryana,Sonipat,9749,9272,50,0,85762.0
2020-10-27,Haryana,Sonipat,9786,9342,50,0,85762.0
2020-10-28,Haryana,Sonipat,9832,9388,50,0,85762.0
2020-10-29,Haryana,Sonipat,9832,9388,50,0,85762.0
