Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-10,Himachal Pradesh,Bilaspur,2,0,0,0,
2020-05-11,Himachal Pradesh,Bilaspur,2,0,0,0,
2020-05-12,Himachal Pradesh,Bilaspur,2,0,0,0,
2020-05-13,Himachal Pradesh,Bilaspur,2,0,0,0,
2020-05-14,Himachal Pradesh,Bilaspur,4,0,0,0,
2020-05-15,Himachal Pradesh,Bilaspur,4,0,0,0,
2020-05-16,Himachal Pradesh,Bilaspur,4,0,0,0,
2020-05-17,Himachal Pradesh,Bilaspur,4,0,0,0,
2020-05-18,Himachal Pradesh,Bilaspur,7,0,0,0,
2020-05-19,Himachal Pradesh,Bilaspur,7,2,0,0,
2020-05-20,Himachal Pradesh,Bilaspur,7,2,0,0,
2020-05-21,Himachal Pradesh,Bilaspur,7,2,0,0,
2020-05-22,Himachal Pradesh,Bilaspur,7,2,0,0,
2020-05-23,Himachal Pradesh,Bilaspur,7,2,0,0,
2020-05-24,Himachal Pradesh,Bilaspur,8,4,0,0,
2020-05-25,Himachal Pradesh,Bilaspur,11,4,0,0,
2020-05-26,Himachal Pradesh,Bilaspur,11,4,0,0,
2020-05-27,Himachal Pradesh,Bilaspur,18,4,0,0,
2020-05-28,Himachal Pradesh,Bilaspur,18,7,0,0,
2020-05-29,Himachal Pradesh,Bilaspur,18,7,0,0,
2020-05-30,Himachal Pradesh,Bilaspur,18,7,0,0,
2020-05-31,Himachal Pradesh,Bilaspur,18,7,0,0,
2020-06-01,Himachal Pradesh,Bilaspur,18,7,0,0,
2020-06-02,Himachal Pradesh,Bilaspur,18,8,0,0,
2020-06-03,Himachal Pradesh,Bilaspur,19,8,0,0,
2020-06-04,Himachal Pradesh,Bilaspur,20,9,0,0,
2020-06-05,Himachal Pradesh,Bilaspur,21,9,0,0,
2020-06-06,Himachal Pradesh,Bilaspur,21,9,0,0,
2020-06-07,Himachal Pradesh,Bilaspur,22,12,0,0,
2020-06-08,Himachal Pradesh,Bilaspur,22,12,0,0,
2020-06-09,Himachal Pradesh,Bilaspur,22,12,0,0,
2020-06-10,Himachal Pradesh,Bilaspur,24,12,0,0,
2020-06-11,Himachal Pradesh,Bilaspur,24,13,0,0,
2020-06-12,Himachal Pradesh,Bilaspur,24,16,0,0,
2020-06-13,Himachal Pradesh,Bilaspur,24,17,0,0,
2020-06-14,Himachal Pradesh,Bilaspur,29,17,0,0,
2020-06-15,Himachal Pradesh,Bilaspur,29,17,0,0,
2020-06-16,Himachal Pradesh,Bilaspur,29,19,0,0,
2020-06-17,Himachal Pradesh,Bilaspur,29,19,0,0,
2020-06-18,Himachal Pradesh,Bilaspur,29,21,0,0,
2020-06-19,Himachal Pradesh,Bilaspur,31,21,0,0,
2020-06-20,Himachal Pradesh,Bilaspur,32,23,0,0,
2020-06-21,Himachal Pradesh,Bilaspur,32,23,0,0,
2020-06-22,Himachal Pradesh,Bilaspur,37,23,0,0,
2020-06-23,Himachal Pradesh,Bilaspur,37,23,0,0,
2020-06-24,Himachal Pradesh,Bilaspur,38,23,0,0,
2020-06-25,Himachal Pradesh,Bilaspur,38,26,0,0,
2020-06-26,Himachal Pradesh,Bilaspur,38,26,0,0,
2020-06-27,Himachal Pradesh,Bilaspur,43,26,0,0,
2020-06-28,Himachal Pradesh,Bilaspur,44,28,0,0,
2020-06-29,Himachal Pradesh,Bilaspur,44,28,0,0,
2020-06-30,Himachal Pradesh,Bilaspur,44,28,0,0,
2020-07-01,Himachal Pradesh,Bilaspur,46,28,0,0,
2020-07-02,Himachal Pradesh,Bilaspur,47,28,0,0,
2020-07-03,Himachal Pradesh,Bilaspur,47,28,0,0,
2020-07-04,Himachal Pradesh,Bilaspur,47,29,0,0,
2020-07-05,Himachal Pradesh,Bilaspur,47,32,0,0,
2020-07-06,Himachal Pradesh,Bilaspur,48,34,0,0,
2020-07-07,Himachal Pradesh,Bilaspur,48,34,0,0,
2020-07-08,Himachal Pradesh,Bilaspur,48,37,0,0,
2020-07-09,Himachal Pradesh,Bilaspur,48,37,0,0,
2020-07-10,Himachal Pradesh,Bilaspur,51,37,0,0,
2020-07-11,Himachal Pradesh,Bilaspur,51,38,0,0,4155.0
2020-07-12,Himachal Pradesh,Bilaspur,52,38,0,0,4216.0
2020-07-13,Himachal Pradesh,Bilaspur,52,38,0,0,4216.0
2020-07-14,Himachal Pradesh,Bilaspur,52,38,0,0,4336.0
2020-07-15,Himachal Pradesh,Bilaspur,63,41,0,0,4390.0
2020-07-16,Himachal Pradesh,Bilaspur,63,41,0,0,4593.0
2020-07-17,Himachal Pradesh,Bilaspur,63,45,0,0,4593.0
2020-07-18,Himachal Pradesh,Bilaspur,63,47,0,0,4701.0
2020-07-19,Himachal Pradesh,Bilaspur,63,47,0,0,4701.0
2020-07-20,Himachal Pradesh,Bilaspur,66,48,0,0,4701.0
2020-07-21,Himachal Pradesh,Bilaspur,66,48,0,0,4701.0
2020-07-22,Himachal Pradesh,Bilaspur,66,48,0,0,4910.0
2020-07-23,Himachal Pradesh,Bilaspur,67,50,0,0,4974.0
2020-07-24,Himachal Pradesh,Bilaspur,68,51,0,0,4974.0
2020-07-25,Himachal Pradesh,Bilaspur,68,51,0,0,4974.0
2020-07-26,Himachal Pradesh,Bilaspur,73,51,0,0,4974.0
2020-07-27,Himachal Pradesh,Bilaspur,84,51,0,0,5565.0
2020-07-28,Himachal Pradesh,Bilaspur,87,51,0,0,5565.0
2020-07-29,Himachal Pradesh,Bilaspur,87,53,0,0,5841.0
2020-07-30,Himachal Pradesh,Bilaspur,88,56,0,0,6002.0
2020-07-31,Himachal Pradesh,Bilaspur,88,63,0,0,6002.0
2020-08-01,Himachal Pradesh,Bilaspur,99,64,0,0,6002.0
2020-08-02,Himachal Pradesh,Bilaspur,101,65,0,0,6002.0
2020-08-03,Himachal Pradesh,Bilaspur,110,66,0,0,6002.0
2020-08-04,Himachal Pradesh,Bilaspur,127,66,0,0,6002.0
2020-08-05,Himachal Pradesh,Bilaspur,127,66,0,0,6775.0
2020-08-06,Himachal Pradesh,Bilaspur,134,69,0,0,6775.0
2020-08-07,Himachal Pradesh,Bilaspur,138,70,0,0,6775.0
2020-08-08,Himachal Pradesh,Bilaspur,138,70,0,0,7157.0
2020-08-09,Himachal Pradesh,Bilaspur,147,74,0,0,7297.0
2020-08-10,Himachal Pradesh,Bilaspur,148,74,0,0,7317.0
2020-08-11,Himachal Pradesh,Bilaspur,148,83,0,0,7457.0
2020-08-12,Himachal Pradesh,Bilaspur,148,83,0,0,7457.0
2020-08-13,Himachal Pradesh,Bilaspur,155,103,0,0,7839.0
2020-08-14,Himachal Pradesh,Bilaspur,160,107,0,0,7994.0
2020-08-15,Himachal Pradesh,Bilaspur,172,112,0,0,7994.0
2020-08-16,Himachal Pradesh,Bilaspur,181,116,0,0,8281.0
2020-08-17,Himachal Pradesh,Bilaspur,182,119,0,0,8281.0
2020-08-18,Himachal Pradesh,Bilaspur,182,129,0,0,8475.0
2020-08-19,Himachal Pradesh,Bilaspur,210,132,0,0,8475.0
2020-08-20,Himachal Pradesh,Bilaspur,210,132,0,0,9173.0
2020-08-21,Himachal Pradesh,Bilaspur,220,141,0,0,9173.0
2020-08-22,Himachal Pradesh,Bilaspur,263,141,0,0,9173.0
2020-08-23,Himachal Pradesh,Bilaspur,263,148,0,0,9375.0
2020-08-24,Himachal Pradesh,Bilaspur,269,157,0,0,9375.0
2020-08-25,Himachal Pradesh,Bilaspur,269,161,0,0,9375.0
2020-08-26,Himachal Pradesh,Bilaspur,285,163,0,0,9375.0
2020-08-27,Himachal Pradesh,Bilaspur,293,163,0,0,10001.0
2020-08-28,Himachal Pradesh,Bilaspur,296,171,0,0,10116.0
2020-08-29,Himachal Pradesh,Bilaspur,300,181,0,0,10116.0
2020-08-30,Himachal Pradesh,Bilaspur,303,215,0,0,10116.0
2020-08-31,Himachal Pradesh,Bilaspur,323,215,0,0,10116.0
