Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Himachal Pradesh,Hamirpur,2,0,0,0,
2020-04-27,Himachal Pradesh,Hamirpur,2,0,0,0,
2020-04-28,Himachal Pradesh,Hamirpur,2,0,0,0,
2020-04-29,Himachal Pradesh,Hamirpur,2,0,0,0,
2020-04-30,Himachal Pradesh,Hamirpur,2,0,0,0,
2020-05-01,Himachal Pradesh,Hamirpur,2,2,0,0,
2020-05-02,Himachal Pradesh,Hamirpur,2,2,0,0,
2020-05-03,Himachal Pradesh,Hamirpur,2,2,0,0,
2020-05-04,Himachal Pradesh,Hamirpur,2,2,0,0,
2020-05-05,Himachal Pradesh,Hamirpur,2,2,0,0,
2020-05-06,Himachal Pradesh,Hamirpur,2,2,0,0,
2020-05-07,Himachal Pradesh,Hamirpur,2,2,0,0,
2020-05-08,Himachal Pradesh,Hamirpur,3,2,0,0,
2020-05-09,Himachal Pradesh,Hamirpur,4,2,0,0,
2020-05-10,Himachal Pradesh,Hamirpur,4,2,0,0,
2020-05-11,Himachal Pradesh,Hamirpur,4,2,0,0,
2020-05-12,Himachal Pradesh,Hamirpur,6,2,0,0,
2020-05-13,Himachal Pradesh,Hamirpur,6,2,0,0,
2020-05-14,Himachal Pradesh,Hamirpur,7,2,0,0,
2020-05-15,Himachal Pradesh,Hamirpur,7,2,0,0,
2020-05-16,Himachal Pradesh,Hamirpur,8,2,0,0,
2020-05-17,Himachal Pradesh,Hamirpur,10,2,0,0,
2020-05-18,Himachal Pradesh,Hamirpur,15,3,0,0,
2020-05-19,Himachal Pradesh,Hamirpur,15,3,1,0,
2020-05-20,Himachal Pradesh,Hamirpur,15,4,1,0,
2020-05-21,Himachal Pradesh,Hamirpur,46,4,1,0,
2020-05-22,Himachal Pradesh,Hamirpur,60,4,1,0,
2020-05-23,Himachal Pradesh,Hamirpur,60,5,1,0,
2020-05-24,Himachal Pradesh,Hamirpur,62,5,1,0,
2020-05-25,Himachal Pradesh,Hamirpur,63,6,1,0,
2020-05-26,Himachal Pradesh,Hamirpur,78,6,1,0,
2020-05-27,Himachal Pradesh,Hamirpur,93,7,1,0,
2020-05-28,Himachal Pradesh,Hamirpur,93,9,1,0,
2020-05-29,Himachal Pradesh,Hamirpur,101,13,1,0,
2020-05-30,Himachal Pradesh,Hamirpur,107,28,1,0,
2020-05-31,Himachal Pradesh,Hamirpur,111,30,1,0,
2020-06-01,Himachal Pradesh,Hamirpur,112,30,1,0,
2020-06-02,Himachal Pradesh,Hamirpur,112,39,1,0,
2020-06-03,Himachal Pradesh,Hamirpur,114,39,1,0,
2020-06-04,Himachal Pradesh,Hamirpur,118,49,1,0,
2020-06-05,Himachal Pradesh,Hamirpur,120,56,1,0,
2020-06-06,Himachal Pradesh,Hamirpur,121,58,1,0,
2020-06-07,Himachal Pradesh,Hamirpur,123,67,1,0,
2020-06-08,Himachal Pradesh,Hamirpur,123,68,1,0,
2020-06-09,Himachal Pradesh,Hamirpur,124,78,1,0,
2020-06-10,Himachal Pradesh,Hamirpur,124,78,1,0,
2020-06-11,Himachal Pradesh,Hamirpur,126,85,1,0,
2020-06-12,Himachal Pradesh,Hamirpur,131,92,1,0,
2020-06-13,Himachal Pradesh,Hamirpur,131,96,1,0,
2020-06-14,Himachal Pradesh,Hamirpur,131,104,1,0,
2020-06-15,Himachal Pradesh,Hamirpur,134,107,1,0,
2020-06-16,Himachal Pradesh,Hamirpur,134,107,1,0,
2020-06-17,Himachal Pradesh,Hamirpur,141,109,1,0,
2020-06-18,Himachal Pradesh,Hamirpur,141,109,1,0,
2020-06-19,Himachal Pradesh,Hamirpur,155,109,1,0,
2020-06-20,Himachal Pradesh,Hamirpur,166,109,1,0,
2020-06-21,Himachal Pradesh,Hamirpur,166,111,1,0,
2020-06-22,Himachal Pradesh,Hamirpur,182,111,1,0,
2020-06-23,Himachal Pradesh,Hamirpur,205,111,1,0,
2020-06-24,Himachal Pradesh,Hamirpur,221,114,1,0,
2020-06-25,Himachal Pradesh,Hamirpur,225,114,1,0,
2020-06-26,Himachal Pradesh,Hamirpur,228,118,1,0,
2020-06-27,Himachal Pradesh,Hamirpur,238,120,1,0,
2020-06-28,Himachal Pradesh,Hamirpur,238,120,1,0,
2020-06-29,Himachal Pradesh,Hamirpur,243,139,1,0,
2020-06-30,Himachal Pradesh,Hamirpur,245,139,2,0,
2020-07-01,Himachal Pradesh,Hamirpur,250,161,2,0,
2020-07-02,Himachal Pradesh,Hamirpur,253,166,2,0,
2020-07-03,Himachal Pradesh,Hamirpur,256,175,2,0,
2020-07-04,Himachal Pradesh,Hamirpur,265,178,3,0,
2020-07-05,Himachal Pradesh,Hamirpur,265,186,3,0,
2020-07-06,Himachal Pradesh,Hamirpur,267,195,3,0,
2020-07-07,Himachal Pradesh,Hamirpur,267,203,3,0,
2020-07-08,Himachal Pradesh,Hamirpur,268,211,3,0,
2020-07-09,Himachal Pradesh,Hamirpur,268,212,3,0,
2020-07-10,Himachal Pradesh,Hamirpur,271,225,3,0,
2020-07-11,Himachal Pradesh,Hamirpur,272,234,3,0,13006.0
2020-07-12,Himachal Pradesh,Hamirpur,272,234,3,0,13079.0
2020-07-13,Himachal Pradesh,Hamirpur,276,242,3,0,13079.0
2020-07-14,Himachal Pradesh,Hamirpur,276,242,3,0,13079.0
2020-07-15,Himachal Pradesh,Hamirpur,276,261,3,0,13287.0
2020-07-16,Himachal Pradesh,Hamirpur,278,262,3,0,13888.0
