Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Himachal Pradesh,Kangra,5,3,1,0,
2020-04-27,Himachal Pradesh,Kangra,5,4,1,0,
2020-04-28,Himachal Pradesh,Kangra,5,4,1,0,
2020-04-29,Himachal Pradesh,Kangra,5,4,1,0,
2020-04-30,Himachal Pradesh,Kangra,5,4,1,0,
2020-05-01,Himachal Pradesh,Kangra,5,4,1,0,
2020-05-02,Himachal Pradesh,Kangra,5,4,1,0,
2020-05-03,Himachal Pradesh,Kangra,5,4,1,0,
2020-05-04,Himachal Pradesh,Kangra,5,4,1,0,
2020-05-05,Himachal Pradesh,Kangra,5,4,1,0,
2020-05-06,Himachal Pradesh,Kangra,6,4,1,0,
2020-05-07,Himachal Pradesh,Kangra,6,4,1,0,
2020-05-08,Himachal Pradesh,Kangra,7,4,1,0,
2020-05-09,Himachal Pradesh,Kangra,8,4,1,0,
2020-05-10,Himachal Pradesh,Kangra,9,4,1,0,
2020-05-11,Himachal Pradesh,Kangra,10,4,1,0,
2020-05-12,Himachal Pradesh,Kangra,16,4,1,0,
2020-05-13,Himachal Pradesh,Kangra,17,4,1,0,
2020-05-14,Himachal Pradesh,Kangra,18,4,1,0,
2020-05-15,Himachal Pradesh,Kangra,19,4,1,0,
2020-05-16,Himachal Pradesh,Kangra,20,4,1,0,
2020-05-17,Himachal Pradesh,Kangra,20,5,1,0,
2020-05-18,Himachal Pradesh,Kangra,21,5,1,0,
2020-05-19,Himachal Pradesh,Kangra,22,8,1,0,
2020-05-20,Himachal Pradesh,Kangra,35,8,1,0,
2020-05-21,Himachal Pradesh,Kangra,41,12,1,0,
2020-05-22,Himachal Pradesh,Kangra,43,12,1,0,
2020-05-23,Himachal Pradesh,Kangra,49,13,1,0,
2020-05-24,Himachal Pradesh,Kangra,51,13,1,0,
2020-05-25,Himachal Pradesh,Kangra,59,16,1,0,
2020-05-26,Himachal Pradesh,Kangra,62,16,1,0,
2020-05-27,Himachal Pradesh,Kangra,65,18,1,0,
2020-05-28,Himachal Pradesh,Kangra,69,20,1,0,
2020-05-29,Himachal Pradesh,Kangra,74,24,1,0,
2020-05-30,Himachal Pradesh,Kangra,79,28,1,0,
2020-05-31,Himachal Pradesh,Kangra,87,32,1,0,
2020-06-01,Himachal Pradesh,Kangra,87,32,1,0,
2020-06-02,Himachal Pradesh,Kangra,90,33,1,0,
2020-06-03,Himachal Pradesh,Kangra,94,39,1,0,
2020-06-04,Himachal Pradesh,Kangra,98,48,1,0,
2020-06-05,Himachal Pradesh,Kangra,101,50,1,0,
2020-06-06,Himachal Pradesh,Kangra,105,50,1,0,
2020-06-07,Himachal Pradesh,Kangra,109,59,1,0,
2020-06-08,Himachal Pradesh,Kangra,109,59,1,0,
2020-06-09,Himachal Pradesh,Kangra,115,63,1,0,
2020-06-10,Himachal Pradesh,Kangra,118,64,1,0,
2020-06-11,Himachal Pradesh,Kangra,126,67,1,0,
2020-06-12,Himachal Pradesh,Kangra,128,71,1,0,
2020-06-13,Himachal Pradesh,Kangra,138,74,1,0,
2020-06-14,Himachal Pradesh,Kangra,142,80,2,0,
2020-06-15,Himachal Pradesh,Kangra,145,87,2,0,
2020-06-16,Himachal Pradesh,Kangra,147,99,2,0,
2020-06-17,Himachal Pradesh,Kangra,155,99,2,0,
2020-06-18,Himachal Pradesh,Kangra,158,100,2,0,
2020-06-19,Himachal Pradesh,Kangra,166,100,2,0,
2020-06-20,Himachal Pradesh,Kangra,170,114,2,0,
2020-06-21,Himachal Pradesh,Kangra,181,118,2,0,
2020-06-22,Himachal Pradesh,Kangra,191,120,2,0,
2020-06-23,Himachal Pradesh,Kangra,208,120,2,0,
2020-06-24,Himachal Pradesh,Kangra,211,122,2,0,
2020-06-25,Himachal Pradesh,Kangra,228,123,3,0,
2020-06-26,Himachal Pradesh,Kangra,244,134,3,0,
2020-06-27,Himachal Pradesh,Kangra,251,136,3,0,
2020-06-28,Himachal Pradesh,Kangra,262,145,3,0,
2020-06-29,Himachal Pradesh,Kangra,268,153,3,0,
2020-06-30,Himachal Pradesh,Kangra,272,158,3,0,
2020-07-01,Himachal Pradesh,Kangra,278,167,3,0,
2020-07-02,Himachal Pradesh,Kangra,280,168,3,0,
2020-07-03,Himachal Pradesh,Kangra,282,185,3,0,
2020-07-04,Himachal Pradesh,Kangra,283,193,3,0,
2020-07-05,Himachal Pradesh,Kangra,288,200,3,0,
2020-07-06,Himachal Pradesh,Kangra,290,211,3,0,
2020-07-07,Himachal Pradesh,Kangra,291,221,3,0,
2020-07-08,Himachal Pradesh,Kangra,298,227,3,0,
2020-07-09,Himachal Pradesh,Kangra,298,233,3,0,
2020-07-10,Himachal Pradesh,Kangra,300,248,3,0,
2020-07-11,Himachal Pradesh,Kangra,303,249,3,0,21671.0
2020-07-12,Himachal Pradesh,Kangra,309,263,3,0,22071.0
2020-07-13,Himachal Pradesh,Kangra,312,264,3,0,22471.0
2020-07-14,Himachal Pradesh,Kangra,314,270,3,0,22871.0
2020-07-15,Himachal Pradesh,Kangra,314,273,3,0,23271.0
2020-07-16,Himachal Pradesh,Kangra,319,274,3,0,23671.0
2020-07-17,Himachal Pradesh,Kangra,322,284,3,0,24071.0
2020-07-18,Himachal Pradesh,Kangra,329,287,3,2,24471.0
2020-07-19,Himachal Pradesh,Kangra,334,292,3,2,24871.0
2020-07-20,Himachal Pradesh,Kangra,346,295,3,2,25271.0
2020-07-21,Himachal Pradesh,Kangra,353,296,3,2,25671.0
2020-07-22,Himachal Pradesh,Kangra,359,302,3,2,26071.0
2020-07-23,Himachal Pradesh,Kangra,370,303,3,2,26071.0
