Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-03,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-04,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-05,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-06,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-07,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-08,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-09,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-10,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-11,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-12,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-13,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-14,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-15,Himachal Pradesh,Kinnaur,2,0,0,0,
2020-06-16,Himachal Pradesh,Kinnaur,3,1,0,0,
2020-06-17,Himachal Pradesh,Kinnaur,3,1,0,0,
2020-06-18,Himachal Pradesh,Kinnaur,3,1,0,0,
2020-06-19,Himachal Pradesh,Kinnaur,3,1,0,0,
2020-06-20,Himachal Pradesh,Kinnaur,3,1,0,0,
2020-06-21,Himachal Pradesh,Kinnaur,3,1,0,0,
2020-06-22,Himachal Pradesh,Kinnaur,3,1,0,0,
2020-06-23,Himachal Pradesh,Kinnaur,3,3,0,0,
2020-06-24,Himachal Pradesh,Kinnaur,3,3,0,0,
2020-06-25,Himachal Pradesh,Kinnaur,4,3,0,0,
2020-06-26,Himachal Pradesh,Kinnaur,4,3,0,0,
2020-06-27,Himachal Pradesh,Kinnaur,7,3,0,0,
2020-06-28,Himachal Pradesh,Kinnaur,8,3,0,0,
2020-06-29,Himachal Pradesh,Kinnaur,8,3,0,0,
2020-06-30,Himachal Pradesh,Kinnaur,8,3,0,0,
2020-07-01,Himachal Pradesh,Kinnaur,13,3,0,0,
2020-07-02,Himachal Pradesh,Kinnaur,30,3,0,0,
2020-07-03,Himachal Pradesh,Kinnaur,34,3,0,0,
2020-07-04,Himachal Pradesh,Kinnaur,34,3,0,0,
2020-07-05,Himachal Pradesh,Kinnaur,34,3,0,0,
