Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-29,Himachal Pradesh,Lahaul and Spiti,2,0,0,0,
2020-06-30,Himachal Pradesh,Lahaul and Spiti,2,0,0,0,
2020-07-01,Himachal Pradesh,Lahaul and Spiti,3,0,0,0,
2020-07-02,Himachal Pradesh,Lahaul and Spiti,4,0,0,0,
2020-07-03,Himachal Pradesh,Lahaul and Spiti,4,0,0,0,
2020-07-04,Himachal Pradesh,Lahaul and Spiti,4,0,0,0,
2020-07-05,Himachal Pradesh,Lahaul and Spiti,4,0,0,0,
2020-07-06,Himachal Pradesh,Lahaul and Spiti,4,0,0,0,
2020-07-07,Himachal Pradesh,Lahaul and Spiti,4,0,0,0,
2020-07-08,Himachal Pradesh,Lahaul and Spiti,4,0,0,0,
2020-07-09,Himachal Pradesh,Lahaul and Spiti,4,0,0,0,
2020-07-10,Himachal Pradesh,Lahaul and Spiti,4,1,0,0,
2020-07-11,Himachal Pradesh,Lahaul and Spiti,4,3,0,0,520.0
2020-07-12,Himachal Pradesh,Lahaul and Spiti,4,3,0,0,520.0
2020-07-13,Himachal Pradesh,Lahaul and Spiti,4,3,0,0,520.0
2020-07-14,Himachal Pradesh,Lahaul and Spiti,4,3,0,0,520.0
2020-07-15,Himachal Pradesh,Lahaul and Spiti,4,3,0,0,520.0
2020-07-16,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-17,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-18,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-19,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-20,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-21,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-22,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-23,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-24,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-25,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
2020-07-26,Himachal Pradesh,Lahaul and Spiti,4,4,0,0,520.0
