Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-07,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-08,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-09,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-10,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-11,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-12,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-13,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-14,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-15,Himachal Pradesh,Shimla,1,0,0,0,
2020-05-16,Himachal Pradesh,Shimla,1,1,0,0,
2020-05-17,Himachal Pradesh,Shimla,1,1,0,0,
2020-05-18,Himachal Pradesh,Shimla,1,1,0,0,
2020-05-19,Himachal Pradesh,Shimla,1,1,0,0,
2020-05-20,Himachal Pradesh,Shimla,1,1,0,0,
2020-05-21,Himachal Pradesh,Shimla,1,1,0,0,
2020-05-22,Himachal Pradesh,Shimla,1,1,0,0,
2020-05-23,Himachal Pradesh,Shimla,2,1,0,0,
2020-05-24,Himachal Pradesh,Shimla,2,1,0,0,
2020-05-25,Himachal Pradesh,Shimla,6,1,0,0,
2020-05-26,Himachal Pradesh,Shimla,9,1,0,0,
2020-05-27,Himachal Pradesh,Shimla,9,1,1,0,
2020-05-28,Himachal Pradesh,Shimla,9,1,1,0,
2020-05-29,Himachal Pradesh,Shimla,9,1,1,0,
2020-05-30,Himachal Pradesh,Shimla,9,1,1,0,
2020-05-31,Himachal Pradesh,Shimla,9,1,1,0,
2020-06-01,Himachal Pradesh,Shimla,9,1,1,0,
2020-06-02,Himachal Pradesh,Shimla,9,1,1,0,
2020-06-03,Himachal Pradesh,Shimla,10,1,1,0,
2020-06-04,Himachal Pradesh,Shimla,11,8,1,0,
2020-06-05,Himachal Pradesh,Shimla,12,8,1,0,
2020-06-06,Himachal Pradesh,Shimla,12,8,1,0,
2020-06-07,Himachal Pradesh,Shimla,13,8,1,0,
2020-06-08,Himachal Pradesh,Shimla,13,8,1,0,
2020-06-09,Himachal Pradesh,Shimla,13,8,1,0,
2020-06-10,Himachal Pradesh,Shimla,14,8,2,0,
2020-06-11,Himachal Pradesh,Shimla,15,9,2,0,
