Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jammu and Kashmir,Baramulla,62,17,3,0,
2020-04-27,Jammu and Kashmir,Baramulla,67,21,3,0,
2020-04-28,Jammu and Kashmir,Baramulla,72,21,3,0,
2020-04-29,Jammu and Kashmir,Baramulla,73,21,3,0,
2020-04-30,Jammu and Kashmir,Baramulla,84,21,3,0,
2020-05-01,Jammu and Kashmir,Baramulla,85,26,3,0,
2020-05-02,Jammu and Kashmir,Baramulla,88,26,3,0,
2020-05-03,Jammu and Kashmir,Baramulla,91,34,3,0,
2020-05-04,Jammu and Kashmir,Baramulla,103,39,3,0,
2020-05-05,Jammu and Kashmir,Baramulla,104,42,3,0,
2020-05-06,Jammu and Kashmir,Baramulla,104,42,3,0,
2020-05-07,Jammu and Kashmir,Baramulla,105,42,3,0,
2020-05-08,Jammu and Kashmir,Baramulla,106,42,3,0,
2020-05-09,Jammu and Kashmir,Baramulla,106,45,3,0,
2020-05-10,Jammu and Kashmir,Baramulla,108,45,3,0,
2020-05-11,Jammu and Kashmir,Baramulla,109,45,3,0,
2020-05-12,Jammu and Kashmir,Baramulla,109,57,3,0,
2020-05-13,Jammu and Kashmir,Baramulla,110,57,3,0,
2020-05-14,Jammu and Kashmir,Baramulla,110,57,3,0,
2020-05-15,Jammu and Kashmir,Baramulla,116,67,3,0,
2020-05-16,Jammu and Kashmir,Baramulla,118,80,3,0,
2020-05-17,Jammu and Kashmir,Baramulla,118,80,3,0,
2020-05-18,Jammu and Kashmir,Baramulla,119,81,3,0,
2020-05-19,Jammu and Kashmir,Baramulla,121,91,4,0,
2020-05-20,Jammu and Kashmir,Baramulla,129,91,4,0,
2020-05-21,Jammu and Kashmir,Baramulla,129,91,4,0,
2020-05-22,Jammu and Kashmir,Baramulla,132,91,4,0,
2020-05-23,Jammu and Kashmir,Baramulla,136,98,4,0,
2020-05-24,Jammu and Kashmir,Baramulla,137,98,4,0,
2020-05-25,Jammu and Kashmir,Baramulla,137,98,4,0,
2020-05-26,Jammu and Kashmir,Baramulla,143,98,4,0,
2020-05-27,Jammu and Kashmir,Baramulla,153,98,4,0,
2020-05-28,Jammu and Kashmir,Baramulla,169,98,5,0,
