Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jammu and Kashmir,Jammu,26,14,0,0,
2020-04-27,Jammu and Kashmir,Jammu,26,15,0,0,
2020-04-28,Jammu and Kashmir,Jammu,26,18,0,0,
2020-04-29,Jammu and Kashmir,Jammu,26,23,0,0,
2020-04-30,Jammu and Kashmir,Jammu,26,26,0,0,
2020-05-01,Jammu and Kashmir,Jammu,26,26,0,0,
2020-05-02,Jammu and Kashmir,Jammu,26,26,0,0,
2020-05-03,Jammu and Kashmir,Jammu,26,26,0,0,
2020-05-04,Jammu and Kashmir,Jammu,27,26,0,0,
2020-05-05,Jammu and Kashmir,Jammu,27,26,0,0,
2020-05-06,Jammu and Kashmir,Jammu,29,26,0,0,
2020-05-07,Jammu and Kashmir,Jammu,31,26,0,0,
2020-05-08,Jammu and Kashmir,Jammu,31,26,0,0,
2020-05-09,Jammu and Kashmir,Jammu,31,26,0,0,
2020-05-10,Jammu and Kashmir,Jammu,32,26,0,0,
2020-05-11,Jammu and Kashmir,Jammu,35,26,0,0,
2020-05-12,Jammu and Kashmir,Jammu,35,26,0,0,
2020-05-13,Jammu and Kashmir,Jammu,38,26,1,0,
2020-05-14,Jammu and Kashmir,Jammu,38,26,1,0,
2020-05-15,Jammu and Kashmir,Jammu,39,26,1,0,
2020-05-16,Jammu and Kashmir,Jammu,39,27,1,0,
2020-05-17,Jammu and Kashmir,Jammu,45,27,1,0,
2020-05-18,Jammu and Kashmir,Jammu,47,27,1,0,
2020-05-19,Jammu and Kashmir,Jammu,47,29,1,0,
2020-05-20,Jammu and Kashmir,Jammu,67,31,1,0,
2020-05-21,Jammu and Kashmir,Jammu,68,31,1,0,
2020-05-22,Jammu and Kashmir,Jammu,68,31,1,0,
2020-05-23,Jammu and Kashmir,Jammu,72,31,1,0,
2020-05-24,Jammu and Kashmir,Jammu,78,34,1,0,
2020-05-25,Jammu and Kashmir,Jammu,99,34,2,0,
2020-05-26,Jammu and Kashmir,Jammu,109,34,2,0,
2020-05-27,Jammu and Kashmir,Jammu,113,36,2,0,
