Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jammu and Kashmir,Kupwara,47,8,0,0,
2020-04-27,Jammu and Kashmir,Kupwara,48,9,0,0,
2020-04-28,Jammu and Kashmir,Kupwara,49,9,0,0,
2020-04-29,Jammu and Kashmir,Kupwara,49,19,0,0,
2020-04-30,Jammu and Kashmir,Kupwara,49,19,0,0,
2020-05-01,Jammu and Kashmir,Kupwara,55,19,0,0,
2020-05-02,Jammu and Kashmir,Kupwara,55,21,0,0,
2020-05-03,Jammu and Kashmir,Kupwara,66,23,0,0,
2020-05-04,Jammu and Kashmir,Kupwara,66,23,0,0,
2020-05-05,Jammu and Kashmir,Kupwara,66,30,0,0,
2020-05-06,Jammu and Kashmir,Kupwara,69,31,0,0,
2020-05-07,Jammu and Kashmir,Kupwara,69,31,0,0,
2020-05-08,Jammu and Kashmir,Kupwara,69,33,0,0,
2020-05-09,Jammu and Kashmir,Kupwara,71,33,0,0,
2020-05-10,Jammu and Kashmir,Kupwara,73,42,0,0,
2020-05-11,Jammu and Kashmir,Kupwara,73,43,0,0,
2020-05-12,Jammu and Kashmir,Kupwara,83,45,0,0,
2020-05-13,Jammu and Kashmir,Kupwara,83,45,0,0,
2020-05-14,Jammu and Kashmir,Kupwara,83,45,0,0,
2020-05-15,Jammu and Kashmir,Kupwara,85,48,0,0,
2020-05-16,Jammu and Kashmir,Kupwara,97,48,0,0,
2020-05-17,Jammu and Kashmir,Kupwara,97,48,0,0,
2020-05-18,Jammu and Kashmir,Kupwara,101,48,0,0,
2020-05-19,Jammu and Kashmir,Kupwara,101,48,0,0,
2020-05-20,Jammu and Kashmir,Kupwara,118,48,0,0,
2020-05-21,Jammu and Kashmir,Kupwara,125,48,0,0,
2020-05-22,Jammu and Kashmir,Kupwara,128,49,0,0,
2020-05-23,Jammu and Kashmir,Kupwara,164,70,0,0,
2020-05-24,Jammu and Kashmir,Kupwara,165,70,0,0,
2020-05-25,Jammu and Kashmir,Kupwara,166,70,0,0,
2020-05-26,Jammu and Kashmir,Kupwara,167,70,0,0,
2020-05-27,Jammu and Kashmir,Kupwara,193,70,0,0,
2020-05-28,Jammu and Kashmir,Kupwara,238,70,0,0,
2020-05-29,Jammu and Kashmir,Kupwara,256,74,0,0,
2020-05-30,Jammu and Kashmir,Kupwara,259,74,0,0,
2020-05-31,Jammu and Kashmir,Kupwara,269,75,0,0,
2020-06-01,Jammu and Kashmir,Kupwara,280,75,0,0,
2020-06-02,Jammu and Kashmir,Kupwara,290,76,1,0,
2020-06-03,Jammu and Kashmir,Kupwara,299,76,1,0,
2020-06-04,Jammu and Kashmir,Kupwara,318,82,1,0,
2020-06-05,Jammu and Kashmir,Kupwara,331,82,1,0,
2020-06-06,Jammu and Kashmir,Kupwara,331,95,2,0,
2020-06-07,Jammu and Kashmir,Kupwara,338,95,2,0,
2020-06-08,Jammu and Kashmir,Kupwara,349,101,3,0,
2020-06-09,Jammu and Kashmir,Kupwara,356,198,3,0,
2020-06-10,Jammu and Kashmir,Kupwara,374,232,3,0,
