Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jammu and Kashmir,Pulwama,3,3,0,0,
2020-04-27,Jammu and Kashmir,Pulwama,3,3,0,0,
2020-04-28,Jammu and Kashmir,Pulwama,5,3,0,0,
2020-04-29,Jammu and Kashmir,Pulwama,5,3,0,0,
2020-04-30,Jammu and Kashmir,Pulwama,7,3,0,0,
2020-05-01,Jammu and Kashmir,Pulwama,7,3,0,0,
2020-05-02,Jammu and Kashmir,Pulwama,7,3,0,0,
2020-05-03,Jammu and Kashmir,Pulwama,8,3,0,0,
2020-05-04,Jammu and Kashmir,Pulwama,9,3,0,0,
2020-05-05,Jammu and Kashmir,Pulwama,9,3,0,0,
2020-05-06,Jammu and Kashmir,Pulwama,9,3,0,0,
2020-05-07,Jammu and Kashmir,Pulwama,12,4,0,0,
2020-05-08,Jammu and Kashmir,Pulwama,12,4,0,0,
2020-05-09,Jammu and Kashmir,Pulwama,13,4,0,0,
2020-05-10,Jammu and Kashmir,Pulwama,13,4,0,0,
2020-05-11,Jammu and Kashmir,Pulwama,13,4,0,0,
2020-05-12,Jammu and Kashmir,Pulwama,13,4,0,0,
2020-05-13,Jammu and Kashmir,Pulwama,13,4,0,0,
2020-05-14,Jammu and Kashmir,Pulwama,14,4,0,0,
2020-05-15,Jammu and Kashmir,Pulwama,15,5,0,0,
2020-05-16,Jammu and Kashmir,Pulwama,15,5,0,0,
2020-05-17,Jammu and Kashmir,Pulwama,16,5,0,0,
2020-05-18,Jammu and Kashmir,Pulwama,17,6,0,0,
2020-05-19,Jammu and Kashmir,Pulwama,18,6,0,0,
2020-05-20,Jammu and Kashmir,Pulwama,19,6,0,0,
2020-05-21,Jammu and Kashmir,Pulwama,19,9,0,0,
2020-05-22,Jammu and Kashmir,Pulwama,21,9,0,0,
2020-05-23,Jammu and Kashmir,Pulwama,25,9,0,0,
2020-05-24,Jammu and Kashmir,Pulwama,25,10,0,0,
2020-05-25,Jammu and Kashmir,Pulwama,26,10,0,0,
2020-05-26,Jammu and Kashmir,Pulwama,28,10,0,0,
2020-05-27,Jammu and Kashmir,Pulwama,49,12,0,0,
2020-05-28,Jammu and Kashmir,Pulwama,52,12,0,0,
2020-05-29,Jammu and Kashmir,Pulwama,65,12,0,0,
2020-05-30,Jammu and Kashmir,Pulwama,70,12,0,0,
2020-05-31,Jammu and Kashmir,Pulwama,73,13,0,0,
2020-06-01,Jammu and Kashmir,Pulwama,77,13,0,0,
2020-06-02,Jammu and Kashmir,Pulwama,91,13,0,0,
2020-06-03,Jammu and Kashmir,Pulwama,105,13,0,0,
2020-06-04,Jammu and Kashmir,Pulwama,119,13,0,0,
2020-06-05,Jammu and Kashmir,Pulwama,121,13,0,0,
2020-06-06,Jammu and Kashmir,Pulwama,121,13,0,0,
2020-06-07,Jammu and Kashmir,Pulwama,181,15,0,0,
2020-06-08,Jammu and Kashmir,Pulwama,188,16,1,0,
2020-06-09,Jammu and Kashmir,Pulwama,189,17,1,0,
2020-06-10,Jammu and Kashmir,Pulwama,190,20,2,0,
2020-06-11,Jammu and Kashmir,Pulwama,199,32,2,0,
2020-06-12,Jammu and Kashmir,Pulwama,203,33,2,0,
2020-06-13,Jammu and Kashmir,Pulwama,212,33,2,0,
2020-06-14,Jammu and Kashmir,Pulwama,245,33,2,0,
2020-06-15,Jammu and Kashmir,Pulwama,252,60,2,0,
2020-06-16,Jammu and Kashmir,Pulwama,259,60,2,0,
2020-06-17,Jammu and Kashmir,Pulwama,261,70,2,0,
2020-06-18,Jammu and Kashmir,Pulwama,282,70,2,0,
2020-06-19,Jammu and Kashmir,Pulwama,301,70,2,0,
2020-06-20,Jammu and Kashmir,Pulwama,312,70,3,0,
2020-06-21,Jammu and Kashmir,Pulwama,313,70,3,0,
2020-06-22,Jammu and Kashmir,Pulwama,323,150,4,0,
2020-06-23,Jammu and Kashmir,Pulwama,368,157,4,0,
2020-06-24,Jammu and Kashmir,Pulwama,387,163,4,0,
2020-06-25,Jammu and Kashmir,Pulwama,386,168,4,0,
2020-06-26,Jammu and Kashmir,Pulwama,409,172,4,0,
2020-06-27,Jammu and Kashmir,Pulwama,429,182,4,0,
2020-06-28,Jammu and Kashmir,Pulwama,440,201,4,0,
2020-06-29,Jammu and Kashmir,Pulwama,469,207,4,0,
2020-06-30,Jammu and Kashmir,Pulwama,484,224,4,0,
2020-07-01,Jammu and Kashmir,Pulwama,508,249,4,0,
2020-07-02,Jammu and Kashmir,Pulwama,518,251,4,0,
2020-07-03,Jammu and Kashmir,Pulwama,518,257,4,0,
2020-07-04,Jammu and Kashmir,Pulwama,534,267,4,0,
2020-07-05,Jammu and Kashmir,Pulwama,538,267,4,0,
2020-07-06,Jammu and Kashmir,Pulwama,572,267,4,0,18578.0
2020-07-07,Jammu and Kashmir,Pulwama,588,271,4,0,18578.0
2020-07-08,Jammu and Kashmir,Pulwama,590,273,4,0,19074.0
2020-07-09,Jammu and Kashmir,Pulwama,593,278,5,0,19074.0
2020-07-10,Jammu and Kashmir,Pulwama,640,304,5,0,19618.0
2020-07-11,Jammu and Kashmir,Pulwama,645,343,5,0,19842.0
2020-07-12,Jammu and Kashmir,Pulwama,656,343,5,0,20214.0
2020-07-13,Jammu and Kashmir,Pulwama,662,366,7,0,20214.0
2020-07-14,Jammu and Kashmir,Pulwama,701,372,7,0,20531.0
2020-07-15,Jammu and Kashmir,Pulwama,742,375,8,0,20531.0
2020-07-16,Jammu and Kashmir,Pulwama,774,388,8,0,20976.0
2020-07-17,Jammu and Kashmir,Pulwama,794,395,10,0,21224.0
2020-07-18,Jammu and Kashmir,Pulwama,842,463,11,0,21622.0
2020-07-19,Jammu and Kashmir,Pulwama,888,504,12,0,21622.0
2020-07-20,Jammu and Kashmir,Pulwama,999,514,14,0,21622.0
2020-07-21,Jammu and Kashmir,Pulwama,1042,534,14,0,22315.0
2020-07-22,Jammu and Kashmir,Pulwama,1072,538,14,0,22315.0
