Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jammu and Kashmir,Srinagar,85,37,1,0,
2020-04-27,Jammu and Kashmir,Srinagar,86,50,1,0,
2020-04-28,Jammu and Kashmir,Srinagar,86,50,2,0,
2020-04-29,Jammu and Kashmir,Srinagar,87,51,2,0,
2020-04-30,Jammu and Kashmir,Srinagar,89,68,2,0,
2020-05-01,Jammu and Kashmir,Srinagar,91,69,2,0,
2020-05-02,Jammu and Kashmir,Srinagar,106,69,2,0,
2020-05-03,Jammu and Kashmir,Srinagar,106,70,2,0,
2020-05-04,Jammu and Kashmir,Srinagar,109,75,2,0,
2020-05-05,Jammu and Kashmir,Srinagar,113,75,2,0,
2020-05-06,Jammu and Kashmir,Srinagar,124,76,2,0,
2020-05-07,Jammu and Kashmir,Srinagar,126,76,3,0,
2020-05-08,Jammu and Kashmir,Srinagar,129,76,3,0,
2020-05-09,Jammu and Kashmir,Srinagar,131,76,3,0,
2020-05-10,Jammu and Kashmir,Srinagar,136,76,3,0,
2020-05-11,Jammu and Kashmir,Srinagar,136,76,4,0,
2020-05-12,Jammu and Kashmir,Srinagar,136,81,4,0,
2020-05-13,Jammu and Kashmir,Srinagar,136,84,4,0,
2020-05-14,Jammu and Kashmir,Srinagar,141,84,4,0,
2020-05-15,Jammu and Kashmir,Srinagar,152,84,4,0,
2020-05-16,Jammu and Kashmir,Srinagar,155,84,4,0,
2020-05-17,Jammu and Kashmir,Srinagar,156,96,5,0,
2020-05-18,Jammu and Kashmir,Srinagar,168,96,5,0,
2020-05-19,Jammu and Kashmir,Srinagar,168,96,5,0,
2020-05-20,Jammu and Kashmir,Srinagar,168,97,5,0,
2020-05-21,Jammu and Kashmir,Srinagar,173,97,6,0,
2020-05-22,Jammu and Kashmir,Srinagar,175,99,6,0,
2020-05-23,Jammu and Kashmir,Srinagar,178,119,6,0,
2020-05-24,Jammu and Kashmir,Srinagar,178,125,6,0,
2020-05-25,Jammu and Kashmir,Srinagar,181,125,6,0,
2020-05-26,Jammu and Kashmir,Srinagar,188,126,6,0,
2020-05-27,Jammu and Kashmir,Srinagar,208,126,7,0,
2020-05-28,Jammu and Kashmir,Srinagar,219,126,7,0,
2020-05-29,Jammu and Kashmir,Srinagar,246,128,7,0,
2020-05-30,Jammu and Kashmir,Srinagar,272,131,7,0,
2020-05-31,Jammu and Kashmir,Srinagar,280,141,7,0,
