Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jammu and Kashmir,Udhampur,20,9,1,0,
2020-04-27,Jammu and Kashmir,Udhampur,20,11,1,0,
2020-04-28,Jammu and Kashmir,Udhampur,20,16,1,0,
2020-04-29,Jammu and Kashmir,Udhampur,20,16,1,0,
2020-04-30,Jammu and Kashmir,Udhampur,20,17,1,0,
2020-05-01,Jammu and Kashmir,Udhampur,20,17,1,0,
2020-05-02,Jammu and Kashmir,Udhampur,20,17,1,0,
2020-05-03,Jammu and Kashmir,Udhampur,20,19,1,0,
2020-05-04,Jammu and Kashmir,Udhampur,20,19,1,0,
2020-05-05,Jammu and Kashmir,Udhampur,21,19,1,0,
2020-05-06,Jammu and Kashmir,Udhampur,21,19,1,0,
2020-05-07,Jammu and Kashmir,Udhampur,22,19,1,0,
2020-05-08,Jammu and Kashmir,Udhampur,22,19,1,0,
2020-05-09,Jammu and Kashmir,Udhampur,22,19,1,0,
2020-05-10,Jammu and Kashmir,Udhampur,22,19,1,0,
2020-05-11,Jammu and Kashmir,Udhampur,22,19,1,0,
2020-05-12,Jammu and Kashmir,Udhampur,22,19,1,0,
2020-05-13,Jammu and Kashmir,Udhampur,22,19,1,0,
2020-05-14,Jammu and Kashmir,Udhampur,23,19,1,0,
2020-05-15,Jammu and Kashmir,Udhampur,24,19,1,0,
2020-05-16,Jammu and Kashmir,Udhampur,24,19,1,0,
2020-05-17,Jammu and Kashmir,Udhampur,25,19,1,0,
2020-05-18,Jammu and Kashmir,Udhampur,26,19,1,0,
2020-05-19,Jammu and Kashmir,Udhampur,28,19,1,0,
2020-05-20,Jammu and Kashmir,Udhampur,33,21,1,0,
2020-05-21,Jammu and Kashmir,Udhampur,33,21,1,0,
2020-05-22,Jammu and Kashmir,Udhampur,33,21,1,0,
2020-05-23,Jammu and Kashmir,Udhampur,33,21,1,0,
2020-05-24,Jammu and Kashmir,Udhampur,35,21,1,0,
2020-05-25,Jammu and Kashmir,Udhampur,37,21,1,0,
