Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jharkhand,Bokaro,10,4,1,0,
2020-04-27,Jharkhand,Bokaro,10,4,1,0,
2020-04-28,Jharkhand,Bokaro,10,4,1,0,
2020-04-29,Jharkhand,Bokaro,10,4,1,0,
2020-04-30,Jharkhand,Bokaro,10,4,1,0,
2020-05-01,Jharkhand,Bokaro,10,6,1,0,
2020-05-02,Jharkhand,Bokaro,10,6,1,0,
2020-05-03,Jharkhand,Bokaro,10,6,1,0,
2020-05-04,Jharkhand,Bokaro,10,6,1,0,
2020-05-05,Jharkhand,Bokaro,10,6,1,0,
2020-05-06,Jharkhand,Bokaro,10,6,1,0,
2020-05-07,Jharkhand,Bokaro,10,9,1,0,
2020-05-08,Jharkhand,Bokaro,10,9,1,0,
2020-05-09,Jharkhand,Bokaro,10,9,1,0,
2020-05-10,Jharkhand,Bokaro,10,9,1,0,
2020-05-11,Jharkhand,Bokaro,10,9,1,0,
2020-05-12,Jharkhand,Bokaro,10,9,1,0,
2020-05-13,Jharkhand,Bokaro,10,9,1,0,
2020-05-14,Jharkhand,Bokaro,10,9,1,0,
2020-05-15,Jharkhand,Bokaro,10,9,1,0,
2020-05-16,Jharkhand,Bokaro,10,9,1,0,
2020-05-17,Jharkhand,Bokaro,10,9,1,0,
2020-05-18,Jharkhand,Bokaro,10,9,1,0,
2020-05-19,Jharkhand,Bokaro,10,9,1,0,
2020-05-20,Jharkhand,Bokaro,10,9,1,0,
2020-05-21,Jharkhand,Bokaro,10,9,1,0,
2020-05-22,Jharkhand,Bokaro,15,9,1,0,
2020-05-23,Jharkhand,Bokaro,15,9,1,0,
2020-05-24,Jharkhand,Bokaro,15,9,1,0,
2020-05-25,Jharkhand,Bokaro,17,9,1,0,
2020-05-26,Jharkhand,Bokaro,17,9,1,0,
2020-05-27,Jharkhand,Bokaro,17,9,1,0,
2020-05-28,Jharkhand,Bokaro,17,9,1,0,
2020-05-29,Jharkhand,Bokaro,22,14,1,0,
2020-05-30,Jharkhand,Bokaro,22,14,1,0,
2020-05-31,Jharkhand,Bokaro,22,14,1,0,
2020-06-01,Jharkhand,Bokaro,22,14,1,0,
2020-06-02,Jharkhand,Bokaro,23,14,1,0,
2020-06-03,Jharkhand,Bokaro,24,15,1,0,
2020-06-04,Jharkhand,Bokaro,24,15,1,0,
2020-06-05,Jharkhand,Bokaro,25,15,1,0,
