Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-20,Jharkhand,Chatra,1,0,0,0,
2020-05-21,Jharkhand,Chatra,1,0,0,0,
2020-05-22,Jharkhand,Chatra,1,0,0,0,
2020-05-23,Jharkhand,Chatra,2,0,0,0,
2020-05-24,Jharkhand,Chatra,2,0,0,0,
2020-05-25,Jharkhand,Chatra,2,0,0,0,
2020-05-26,Jharkhand,Chatra,1,0,0,0,
2020-05-27,Jharkhand,Chatra,1,0,0,0,
2020-05-28,Jharkhand,Chatra,1,0,0,0,
2020-05-29,Jharkhand,Chatra,1,1,0,0,
2020-05-30,Jharkhand,Chatra,1,1,0,0,
2020-05-31,Jharkhand,Chatra,1,1,0,0,
2020-06-01,Jharkhand,Chatra,1,1,0,0,
2020-06-02,Jharkhand,Chatra,1,1,0,0,
2020-06-03,Jharkhand,Chatra,1,1,0,0,
2020-06-04,Jharkhand,Chatra,1,1,0,0,
2020-06-05,Jharkhand,Chatra,1,1,0,0,
2020-06-06,Jharkhand,Chatra,1,1,0,0,
2020-06-07,Jharkhand,Chatra,1,1,0,0,
2020-06-08,Jharkhand,Chatra,18,1,0,0,
2020-06-09,Jharkhand,Chatra,24,1,0,0,
2020-06-10,Jharkhand,Chatra,29,1,0,0,
2020-06-11,Jharkhand,Chatra,29,1,0,0,
2020-06-12,Jharkhand,Chatra,32,14,0,0,
2020-06-13,Jharkhand,Chatra,35,18,0,0,
2020-06-14,Jharkhand,Chatra,36,18,0,0,
2020-06-15,Jharkhand,Chatra,41,20,0,0,
2020-06-16,Jharkhand,Chatra,41,20,0,0,
2020-06-17,Jharkhand,Chatra,41,21,0,0,
2020-06-18,Jharkhand,Chatra,41,23,0,0,
2020-06-19,Jharkhand,Chatra,41,28,0,0,
2020-06-20,Jharkhand,Chatra,41,30,0,0,
2020-06-21,Jharkhand,Chatra,41,30,0,0,
2020-06-22,Jharkhand,Chatra,43,30,0,0,
2020-06-23,Jharkhand,Chatra,43,36,0,0,
2020-06-24,Jharkhand,Chatra,43,36,0,0,
2020-06-25,Jharkhand,Chatra,43,36,0,0,
