Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jharkhand,Deoghar,2,0,0,0,
2020-04-27,Jharkhand,Deoghar,2,0,0,0,
2020-04-28,Jharkhand,Deoghar,2,0,0,0,
2020-04-29,Jharkhand,Deoghar,2,0,0,0,
2020-04-30,Jharkhand,Deoghar,2,0,0,0,
2020-05-01,Jharkhand,Deoghar,2,0,0,0,
2020-05-02,Jharkhand,Deoghar,4,0,0,0,
2020-05-03,Jharkhand,Deoghar,4,2,0,0,
2020-05-04,Jharkhand,Deoghar,4,2,0,0,
2020-05-05,Jharkhand,Deoghar,4,2,0,0,
2020-05-06,Jharkhand,Deoghar,4,2,0,0,
2020-05-07,Jharkhand,Deoghar,4,2,0,0,
2020-05-08,Jharkhand,Deoghar,4,2,0,0,
2020-05-09,Jharkhand,Deoghar,4,2,0,0,
2020-05-10,Jharkhand,Deoghar,4,2,0,0,
2020-05-11,Jharkhand,Deoghar,4,2,0,0,
2020-05-12,Jharkhand,Deoghar,4,2,0,0,
2020-05-13,Jharkhand,Deoghar,4,2,0,0,
2020-05-14,Jharkhand,Deoghar,4,2,0,0,
2020-05-15,Jharkhand,Deoghar,4,2,0,0,
2020-05-16,Jharkhand,Deoghar,4,4,0,0,
2020-05-17,Jharkhand,Deoghar,5,4,0,0,
2020-05-18,Jharkhand,Deoghar,5,4,0,0,
2020-05-19,Jharkhand,Deoghar,5,4,0,0,
2020-05-20,Jharkhand,Deoghar,5,4,0,0,
2020-05-21,Jharkhand,Deoghar,5,4,0,0,
2020-05-22,Jharkhand,Deoghar,5,4,0,0,
2020-05-23,Jharkhand,Deoghar,5,5,0,0,
2020-05-24,Jharkhand,Deoghar,5,5,0,0,
2020-05-25,Jharkhand,Deoghar,5,5,0,0,
2020-05-26,Jharkhand,Deoghar,5,5,0,0,
2020-05-27,Jharkhand,Deoghar,5,5,0,0,
2020-05-28,Jharkhand,Deoghar,5,5,0,0,
2020-05-29,Jharkhand,Deoghar,5,5,0,0,
2020-05-30,Jharkhand,Deoghar,5,5,0,0,
2020-05-31,Jharkhand,Deoghar,5,5,0,0,
2020-06-01,Jharkhand,Deoghar,5,5,0,0,
2020-06-02,Jharkhand,Deoghar,5,5,0,0,
2020-06-03,Jharkhand,Deoghar,5,5,0,0,
2020-06-04,Jharkhand,Deoghar,5,5,0,0,
2020-06-05,Jharkhand,Deoghar,5,5,0,0,
2020-06-06,Jharkhand,Deoghar,5,5,0,0,
2020-06-07,Jharkhand,Deoghar,5,5,0,0,
2020-06-08,Jharkhand,Deoghar,10,5,0,0,
2020-06-09,Jharkhand,Deoghar,10,5,0,0,
2020-06-10,Jharkhand,Deoghar,10,5,0,0,
2020-06-11,Jharkhand,Deoghar,10,5,0,0,
2020-06-12,Jharkhand,Deoghar,10,10,0,0,
2020-06-13,Jharkhand,Deoghar,10,10,0,0,
2020-06-14,Jharkhand,Deoghar,10,10,0,0,
2020-06-15,Jharkhand,Deoghar,10,10,0,0,
2020-06-16,Jharkhand,Deoghar,10,10,0,0,
2020-06-17,Jharkhand,Deoghar,10,10,0,0,
2020-06-18,Jharkhand,Deoghar,10,10,0,0,
2020-06-19,Jharkhand,Deoghar,10,10,0,0,
2020-06-20,Jharkhand,Deoghar,10,10,0,0,
2020-06-21,Jharkhand,Deoghar,21,10,0,0,
2020-06-22,Jharkhand,Deoghar,32,10,0,0,
2020-06-23,Jharkhand,Deoghar,32,10,0,0,
2020-06-24,Jharkhand,Deoghar,33,10,0,0,
