Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jharkhand,Giridih,1,0,0,0,
2020-04-27,Jharkhand,Giridih,1,0,0,0,
2020-04-28,Jharkhand,Giridih,1,0,0,0,
2020-04-29,Jharkhand,Giridih,1,0,0,0,
2020-04-30,Jharkhand,Giridih,1,0,0,0,
2020-05-01,Jharkhand,Giridih,1,0,0,0,
2020-05-02,Jharkhand,Giridih,1,0,0,0,
2020-05-03,Jharkhand,Giridih,1,0,0,0,
2020-05-04,Jharkhand,Giridih,1,0,0,0,
2020-05-05,Jharkhand,Giridih,1,0,0,0,
2020-05-06,Jharkhand,Giridih,1,0,0,0,
2020-05-07,Jharkhand,Giridih,1,1,0,0,
2020-05-08,Jharkhand,Giridih,1,1,0,0,
2020-05-09,Jharkhand,Giridih,1,1,0,0,
2020-05-10,Jharkhand,Giridih,1,1,0,0,
2020-05-11,Jharkhand,Giridih,4,1,0,0,
2020-05-12,Jharkhand,Giridih,7,1,0,0,
2020-05-13,Jharkhand,Giridih,6,1,0,0,
2020-05-14,Jharkhand,Giridih,10,1,0,0,
2020-05-15,Jharkhand,Giridih,10,1,0,0,
2020-05-16,Jharkhand,Giridih,10,1,0,0,
2020-05-17,Jharkhand,Giridih,10,1,0,0,
2020-05-18,Jharkhand,Giridih,10,1,0,0,
2020-05-19,Jharkhand,Giridih,10,1,0,0,
2020-05-20,Jharkhand,Giridih,15,1,0,0,
2020-05-21,Jharkhand,Giridih,16,1,0,0,
2020-05-22,Jharkhand,Giridih,16,1,0,0,
2020-05-23,Jharkhand,Giridih,16,1,0,0,
2020-05-24,Jharkhand,Giridih,16,3,0,0,
2020-05-25,Jharkhand,Giridih,16,3,0,0,
2020-05-26,Jharkhand,Giridih,16,3,0,0,
2020-05-27,Jharkhand,Giridih,16,3,0,0,
2020-05-28,Jharkhand,Giridih,16,3,0,0,
2020-05-29,Jharkhand,Giridih,17,3,1,0,
2020-05-30,Jharkhand,Giridih,17,3,1,0,
2020-05-31,Jharkhand,Giridih,17,3,1,0,
2020-06-01,Jharkhand,Giridih,17,11,1,0,
2020-06-02,Jharkhand,Giridih,18,11,1,0,
2020-06-03,Jharkhand,Giridih,21,11,1,0,
2020-06-04,Jharkhand,Giridih,21,11,1,0,
2020-06-05,Jharkhand,Giridih,21,11,1,0,
2020-06-06,Jharkhand,Giridih,21,20,1,0,
2020-06-07,Jharkhand,Giridih,21,20,1,0,
2020-06-08,Jharkhand,Giridih,33,20,1,0,
2020-06-09,Jharkhand,Giridih,33,20,1,0,
2020-06-10,Jharkhand,Giridih,52,20,1,0,
2020-06-11,Jharkhand,Giridih,52,31,1,0,
2020-06-12,Jharkhand,Giridih,52,31,1,0,
2020-06-13,Jharkhand,Giridih,53,31,1,0,
2020-06-14,Jharkhand,Giridih,53,44,1,0,
2020-06-15,Jharkhand,Giridih,53,45,1,0,
2020-06-16,Jharkhand,Giridih,53,45,1,0,
2020-06-17,Jharkhand,Giridih,53,45,1,0,
2020-06-18,Jharkhand,Giridih,53,50,1,0,
2020-06-19,Jharkhand,Giridih,53,50,1,0,
2020-06-20,Jharkhand,Giridih,57,50,1,0,
2020-06-21,Jharkhand,Giridih,63,50,1,0,
2020-06-22,Jharkhand,Giridih,70,50,1,0,
2020-06-23,Jharkhand,Giridih,72,51,1,0,
2020-06-24,Jharkhand,Giridih,72,51,1,0,
2020-06-25,Jharkhand,Giridih,80,51,1,0,
2020-06-26,Jharkhand,Giridih,86,51,1,0,
2020-06-27,Jharkhand,Giridih,87,51,1,0,
2020-06-28,Jharkhand,Giridih,91,66,1,0,
2020-06-29,Jharkhand,Giridih,91,66,2,0,
2020-06-30,Jharkhand,Giridih,92,80,2,0,
2020-07-01,Jharkhand,Giridih,92,80,2,0,
2020-07-02,Jharkhand,Giridih,99,80,2,0,
2020-07-03,Jharkhand,Giridih,102,80,2,0,
2020-07-04,Jharkhand,Giridih,103,80,2,0,
2020-07-05,Jharkhand,Giridih,104,80,2,0,
2020-07-06,Jharkhand,Giridih,104,81,2,0,
2020-07-07,Jharkhand,Giridih,104,86,2,0,
2020-07-08,Jharkhand,Giridih,104,86,2,0,
2020-07-09,Jharkhand,Giridih,105,86,2,0,
2020-07-10,Jharkhand,Giridih,113,86,2,0,
2020-07-11,Jharkhand,Giridih,119,86,3,0,
2020-07-12,Jharkhand,Giridih,121,86,3,0,6630.0
2020-07-13,Jharkhand,Giridih,127,87,3,0,6630.0
2020-07-14,Jharkhand,Giridih,148,96,3,0,6630.0
2020-07-15,Jharkhand,Giridih,171,96,3,0,7859.0
