Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Jharkhand,Gumla,2,0,0,0,
2020-05-20,Jharkhand,Gumla,3,0,0,0,
2020-05-21,Jharkhand,Gumla,3,0,0,0,
2020-05-22,Jharkhand,Gumla,3,0,0,0,
2020-05-23,Jharkhand,Gumla,10,0,0,0,
2020-05-24,Jharkhand,Gumla,10,0,0,0,
2020-05-25,Jharkhand,Gumla,10,0,0,0,
2020-05-26,Jharkhand,Gumla,11,0,0,0,
2020-05-27,Jharkhand,Gumla,11,0,0,0,
2020-05-28,Jharkhand,Gumla,13,0,0,0,
2020-05-29,Jharkhand,Gumla,20,0,0,0,
2020-05-30,Jharkhand,Gumla,21,0,0,0,
2020-05-31,Jharkhand,Gumla,21,0,0,0,
2020-06-01,Jharkhand,Gumla,22,0,0,0,
2020-06-02,Jharkhand,Gumla,22,0,0,0,
2020-06-03,Jharkhand,Gumla,23,0,0,0,
2020-06-04,Jharkhand,Gumla,26,0,0,0,
2020-06-05,Jharkhand,Gumla,27,0,0,0,
2020-06-06,Jharkhand,Gumla,37,1,0,0,
2020-06-07,Jharkhand,Gumla,41,1,0,0,
2020-06-08,Jharkhand,Gumla,56,6,0,0,
2020-06-09,Jharkhand,Gumla,69,6,0,0,
2020-06-10,Jharkhand,Gumla,69,9,0,0,
2020-06-11,Jharkhand,Gumla,69,9,0,0,
2020-06-12,Jharkhand,Gumla,88,29,0,0,
2020-06-13,Jharkhand,Gumla,88,29,0,0,
2020-06-14,Jharkhand,Gumla,89,40,0,0,
2020-06-15,Jharkhand,Gumla,89,53,1,0,
2020-06-16,Jharkhand,Gumla,90,53,1,0,
2020-06-17,Jharkhand,Gumla,91,53,1,0,
2020-06-18,Jharkhand,Gumla,93,53,1,0,
2020-06-19,Jharkhand,Gumla,93,53,1,0,
2020-06-20,Jharkhand,Gumla,94,53,1,0,
2020-06-21,Jharkhand,Gumla,101,53,1,0,
2020-06-22,Jharkhand,Gumla,101,67,1,0,
2020-06-23,Jharkhand,Gumla,105,67,1,0,
2020-06-24,Jharkhand,Gumla,105,68,1,0,
2020-06-25,Jharkhand,Gumla,110,68,1,0,
2020-06-26,Jharkhand,Gumla,110,68,1,0,
2020-06-27,Jharkhand,Gumla,115,68,1,0,
2020-06-28,Jharkhand,Gumla,117,68,1,0,
2020-06-29,Jharkhand,Gumla,117,70,1,0,
2020-06-30,Jharkhand,Gumla,117,70,1,0,
2020-07-01,Jharkhand,Gumla,118,81,1,0,
2020-07-02,Jharkhand,Gumla,118,81,1,0,
2020-07-03,Jharkhand,Gumla,126,81,1,0,
2020-07-04,Jharkhand,Gumla,119,81,1,0,
2020-07-05,Jharkhand,Gumla,119,81,1,0,
2020-07-06,Jharkhand,Gumla,119,83,1,0,
2020-07-07,Jharkhand,Gumla,119,96,1,0,
2020-07-08,Jharkhand,Gumla,120,96,1,0,
2020-07-09,Jharkhand,Gumla,122,96,1,0,
2020-07-10,Jharkhand,Gumla,122,96,1,0,
2020-07-11,Jharkhand,Gumla,130,96,1,0,
2020-07-12,Jharkhand,Gumla,130,96,1,0,
2020-07-13,Jharkhand,Gumla,130,98,1,0,
2020-07-14,Jharkhand,Gumla,130,98,1,0,
2020-07-15,Jharkhand,Gumla,132,98,1,0,
2020-07-16,Jharkhand,Gumla,137,98,1,0,
2020-07-17,Jharkhand,Gumla,141,98,1,0,
2020-07-18,Jharkhand,Gumla,150,98,1,0,
2020-07-19,Jharkhand,Gumla,156,98,1,0,
2020-07-20,Jharkhand,Gumla,161,98,1,0,
2020-07-21,Jharkhand,Gumla,166,98,1,0,
2020-07-22,Jharkhand,Gumla,195,103,1,0,
2020-07-23,Jharkhand,Gumla,199,103,1,0,
2020-07-24,Jharkhand,Gumla,201,103,1,0,
2020-07-25,Jharkhand,Gumla,201,103,1,0,
2020-07-26,Jharkhand,Gumla,239,103,1,0,
2020-07-27,Jharkhand,Gumla,285,103,1,0,
2020-07-28,Jharkhand,Gumla,294,103,1,0,
2020-07-29,Jharkhand,Gumla,301,103,1,0,
2020-07-30,Jharkhand,Gumla,305,103,1,0,
2020-07-31,Jharkhand,Gumla,341,103,1,0,
2020-08-01,Jharkhand,Gumla,359,103,1,0,
2020-08-02,Jharkhand,Gumla,359,103,1,0,
2020-08-03,Jharkhand,Gumla,382,103,1,0,
2020-08-04,Jharkhand,Gumla,383,103,1,0,
2020-08-05,Jharkhand,Gumla,395,108,1,0,
2020-08-06,Jharkhand,Gumla,400,112,1,0,
2020-08-07,Jharkhand,Gumla,404,140,1,0,
2020-08-08,Jharkhand,Gumla,420,153,1,0,
2020-08-09,Jharkhand,Gumla,432,190,1,0,
2020-08-10,Jharkhand,Gumla,450,250,1,0,
2020-08-11,Jharkhand,Gumla,462,276,1,0,
2020-08-12,Jharkhand,Gumla,477,328,1,0,
2020-08-13,Jharkhand,Gumla,490,336,1,0,
2020-08-14,Jharkhand,Gumla,509,336,1,0,
2020-08-15,Jharkhand,Gumla,512,336,1,0,
2020-08-16,Jharkhand,Gumla,535,344,2,0,
2020-08-17,Jharkhand,Gumla,537,348,2,0,
2020-08-18,Jharkhand,Gumla,577,348,2,0,
2020-08-19,Jharkhand,Gumla,620,372,2,0,
2020-08-20,Jharkhand,Gumla,632,399,2,0,
2020-08-21,Jharkhand,Gumla,637,448,2,0,
2020-08-22,Jharkhand,Gumla,648,476,2,0,
2020-08-23,Jharkhand,Gumla,649,484,2,0,
2020-08-24,Jharkhand,Gumla,660,489,2,0,
2020-08-25,Jharkhand,Gumla,677,509,2,0,
2020-08-26,Jharkhand,Gumla,701,530,2,0,
