Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-27,Jharkhand,Jamtara,1,0,0,0,
2020-04-28,Jharkhand,Jamtara,1,0,0,0,
2020-04-29,Jharkhand,Jamtara,2,0,0,0,
2020-04-30,Jharkhand,Jamtara,2,0,0,0,
2020-05-01,Jharkhand,Jamtara,2,0,0,0,
2020-05-02,Jharkhand,Jamtara,2,0,0,0,
2020-05-03,Jharkhand,Jamtara,2,0,0,0,
2020-05-04,Jharkhand,Jamtara,2,0,0,0,
2020-05-05,Jharkhand,Jamtara,2,0,0,0,
2020-05-06,Jharkhand,Jamtara,2,0,0,0,
2020-05-07,Jharkhand,Jamtara,2,0,0,0,
2020-05-08,Jharkhand,Jamtara,2,0,0,0,
2020-05-09,Jharkhand,Jamtara,2,0,0,0,
2020-05-10,Jharkhand,Jamtara,2,0,0,0,
2020-05-11,Jharkhand,Jamtara,2,0,0,0,
2020-05-12,Jharkhand,Jamtara,2,0,0,0,
2020-05-13,Jharkhand,Jamtara,2,0,0,0,
2020-05-14,Jharkhand,Jamtara,2,0,0,0,
2020-05-15,Jharkhand,Jamtara,2,0,0,0,
2020-05-16,Jharkhand,Jamtara,2,0,0,0,
2020-05-17,Jharkhand,Jamtara,2,0,0,0,
2020-05-18,Jharkhand,Jamtara,2,2,0,0,
2020-05-19,Jharkhand,Jamtara,2,2,0,0,
2020-05-20,Jharkhand,Jamtara,2,2,0,0,
2020-05-21,Jharkhand,Jamtara,2,2,0,0,
2020-05-22,Jharkhand,Jamtara,2,2,0,0,
2020-05-23,Jharkhand,Jamtara,2,2,0,0,
2020-05-24,Jharkhand,Jamtara,2,2,0,0,
2020-05-25,Jharkhand,Jamtara,2,2,0,0,
2020-05-26,Jharkhand,Jamtara,2,2,0,0,
2020-05-27,Jharkhand,Jamtara,2,2,0,0,
2020-05-28,Jharkhand,Jamtara,2,2,0,0,
2020-05-29,Jharkhand,Jamtara,2,2,0,0,
2020-05-30,Jharkhand,Jamtara,2,2,0,0,
2020-05-31,Jharkhand,Jamtara,2,2,0,0,
2020-06-01,Jharkhand,Jamtara,2,2,0,0,
2020-06-02,Jharkhand,Jamtara,2,2,0,0,
2020-06-03,Jharkhand,Jamtara,2,2,0,0,
2020-06-04,Jharkhand,Jamtara,2,2,0,0,
2020-06-05,Jharkhand,Jamtara,2,2,0,0,
2020-06-06,Jharkhand,Jamtara,2,2,0,0,
2020-06-07,Jharkhand,Jamtara,10,2,0,0,
2020-06-08,Jharkhand,Jamtara,28,2,0,0,
2020-06-09,Jharkhand,Jamtara,28,2,0,0,
2020-06-10,Jharkhand,Jamtara,28,2,0,0,
2020-06-11,Jharkhand,Jamtara,28,2,0,0,
2020-06-12,Jharkhand,Jamtara,28,2,0,0,
2020-06-13,Jharkhand,Jamtara,28,2,0,0,
2020-06-14,Jharkhand,Jamtara,28,2,0,0,
2020-06-15,Jharkhand,Jamtara,28,2,0,0,
2020-06-16,Jharkhand,Jamtara,28,2,0,0,
2020-06-17,Jharkhand,Jamtara,28,2,0,0,
2020-06-18,Jharkhand,Jamtara,28,12,0,0,
2020-06-19,Jharkhand,Jamtara,28,12,0,0,
2020-06-20,Jharkhand,Jamtara,28,20,0,0,
2020-06-21,Jharkhand,Jamtara,28,20,0,0,
2020-06-22,Jharkhand,Jamtara,28,20,0,0,
2020-06-23,Jharkhand,Jamtara,28,20,0,0,
2020-06-24,Jharkhand,Jamtara,28,20,0,0,
2020-06-25,Jharkhand,Jamtara,28,20,0,0,
2020-06-26,Jharkhand,Jamtara,28,20,0,0,
2020-06-27,Jharkhand,Jamtara,28,20,0,0,
2020-06-28,Jharkhand,Jamtara,28,20,0,0,
2020-06-29,Jharkhand,Jamtara,28,23,0,0,
2020-06-30,Jharkhand,Jamtara,28,23,0,0,
2020-07-01,Jharkhand,Jamtara,28,28,0,0,
2020-07-02,Jharkhand,Jamtara,28,28,0,0,
2020-07-03,Jharkhand,Jamtara,28,28,0,0,
2020-07-04,Jharkhand,Jamtara,28,28,0,0,
2020-07-05,Jharkhand,Jamtara,28,28,0,0,
2020-07-06,Jharkhand,Jamtara,28,28,0,0,
2020-07-07,Jharkhand,Jamtara,28,28,0,0,
2020-07-08,Jharkhand,Jamtara,28,28,0,0,
2020-07-09,Jharkhand,Jamtara,29,28,0,0,
2020-07-10,Jharkhand,Jamtara,29,28,0,0,
2020-07-11,Jharkhand,Jamtara,31,28,0,0,
2020-07-12,Jharkhand,Jamtara,31,28,0,0,2209.0
2020-07-13,Jharkhand,Jamtara,33,28,0,0,2332.0
2020-07-14,Jharkhand,Jamtara,35,28,0,0,2354.0
2020-07-15,Jharkhand,Jamtara,36,28,0,0,2354.0
2020-07-16,Jharkhand,Jamtara,39,28,0,0,2480.0
2020-07-17,Jharkhand,Jamtara,40,28,0,0,2480.0
2020-07-18,Jharkhand,Jamtara,42,29,0,0,2584.0
2020-07-19,Jharkhand,Jamtara,42,29,0,0,2610.0
2020-07-20,Jharkhand,Jamtara,42,29,0,0,2705.0
2020-07-21,Jharkhand,Jamtara,42,29,0,0,2880.0
2020-07-22,Jharkhand,Jamtara,45,29,0,0,2880.0
2020-07-23,Jharkhand,Jamtara,49,29,0,0,2880.0
2020-07-24,Jharkhand,Jamtara,49,29,0,0,2880.0
2020-07-25,Jharkhand,Jamtara,49,29,0,0,2880.0
2020-07-26,Jharkhand,Jamtara,54,32,0,0,2880.0
2020-07-27,Jharkhand,Jamtara,63,36,0,0,2880.0
2020-07-28,Jharkhand,Jamtara,67,38,0,0,2880.0
2020-07-29,Jharkhand,Jamtara,69,38,0,0,2880.0
2020-07-30,Jharkhand,Jamtara,71,38,0,0,2880.0
2020-07-31,Jharkhand,Jamtara,85,38,0,0,2880.0
2020-08-01,Jharkhand,Jamtara,100,38,0,0,2880.0
2020-08-02,Jharkhand,Jamtara,100,46,0,0,2880.0
2020-08-03,Jharkhand,Jamtara,141,69,0,0,2880.0
2020-08-04,Jharkhand,Jamtara,141,69,0,0,2880.0
2020-08-05,Jharkhand,Jamtara,145,69,0,0,2880.0
2020-08-06,Jharkhand,Jamtara,148,77,0,0,2880.0
2020-08-07,Jharkhand,Jamtara,148,79,0,0,2880.0
2020-08-08,Jharkhand,Jamtara,152,93,0,0,2880.0
2020-08-09,Jharkhand,Jamtara,155,98,0,0,2880.0
2020-08-10,Jharkhand,Jamtara,157,101,0,0,2880.0
2020-08-11,Jharkhand,Jamtara,157,101,0,0,2880.0
2020-08-12,Jharkhand,Jamtara,170,117,0,0,2880.0
2020-08-13,Jharkhand,Jamtara,172,121,0,0,2880.0
2020-08-14,Jharkhand,Jamtara,178,123,0,0,2880.0
2020-08-15,Jharkhand,Jamtara,186,129,0,0,2880.0
2020-08-16,Jharkhand,Jamtara,190,133,0,0,2880.0
2020-08-17,Jharkhand,Jamtara,201,142,0,0,2880.0
2020-08-18,Jharkhand,Jamtara,203,147,0,0,2880.0
2020-08-19,Jharkhand,Jamtara,209,147,0,0,2880.0
2020-08-20,Jharkhand,Jamtara,214,159,0,0,2880.0
2020-08-21,Jharkhand,Jamtara,233,164,0,0,2880.0
2020-08-22,Jharkhand,Jamtara,259,168,0,0,2880.0
2020-08-23,Jharkhand,Jamtara,262,180,0,0,2880.0
2020-08-24,Jharkhand,Jamtara,278,180,0,0,2880.0
2020-08-25,Jharkhand,Jamtara,292,180,0,0,2880.0
2020-08-26,Jharkhand,Jamtara,298,193,0,0,2880.0
2020-08-27,Jharkhand,Jamtara,321,215,0,0,2880.0
2020-08-28,Jharkhand,Jamtara,327,222,0,0,2880.0
2020-08-29,Jharkhand,Jamtara,351,236,0,0,2880.0
2020-08-30,Jharkhand,Jamtara,376,250,0,0,2880.0
2020-08-31,Jharkhand,Jamtara,425,250,0,0,2880.0
2020-09-01,Jharkhand,Jamtara,447,265,0,0,2880.0
2020-09-02,Jharkhand,Jamtara,466,298,0,0,2880.0
2020-09-03,Jharkhand,Jamtara,475,322,0,0,2880.0
2020-09-04,Jharkhand,Jamtara,492,343,0,0,2880.0
2020-09-05,Jharkhand,Jamtara,497,350,0,0,2880.0
2020-09-06,Jharkhand,Jamtara,510,350,0,0,2880.0
2020-09-07,Jharkhand,Jamtara,515,361,0,0,2880.0
2020-09-08,Jharkhand,Jamtara,519,390,0,0,2880.0
2020-09-09,Jharkhand,Jamtara,521,464,0,0,2880.0
2020-09-10,Jharkhand,Jamtara,526,476,0,0,2880.0
2020-09-11,Jharkhand,Jamtara,532,482,1,0,2880.0
2020-09-12,Jharkhand,Jamtara,542,490,1,0,2880.0
2020-09-13,Jharkhand,Jamtara,552,505,1,0,2880.0
2020-09-14,Jharkhand,Jamtara,554,515,1,0,2880.0
2020-09-15,Jharkhand,Jamtara,575,520,1,0,2880.0
2020-09-16,Jharkhand,Jamtara,592,527,1,0,2880.0
2020-09-17,Jharkhand,Jamtara,606,532,1,0,2880.0
2020-09-18,Jharkhand,Jamtara,657,536,2,0,2880.0
2020-09-19,Jharkhand,Jamtara,666,545,2,0,2880.0
2020-09-20,Jharkhand,Jamtara,674,555,2,0,2880.0
2020-09-21,Jharkhand,Jamtara,693,586,2,0,2880.0
2020-09-22,Jharkhand,Jamtara,701,586,2,0,2880.0
2020-09-23,Jharkhand,Jamtara,704,586,2,0,2880.0
2020-09-24,Jharkhand,Jamtara,709,609,2,0,2880.0
2020-09-25,Jharkhand,Jamtara,719,614,2,0,2880.0
2020-09-26,Jharkhand,Jamtara,743,630,2,0,2880.0
2020-09-27,Jharkhand,Jamtara,770,639,2,0,2880.0
2020-09-28,Jharkhand,Jamtara,772,655,2,0,2880.0
2020-09-29,Jharkhand,Jamtara,787,662,2,0,2880.0
2020-09-30,Jharkhand,Jamtara,797,671,2,0,2880.0
2020-10-01,Jharkhand,Jamtara,801,693,2,0,2880.0
2020-10-02,Jharkhand,Jamtara,805,703,2,0,2880.0
2020-10-03,Jharkhand,Jamtara,822,711,2,0,2880.0
2020-10-04,Jharkhand,Jamtara,840,722,2,0,2880.0
2020-10-05,Jharkhand,Jamtara,846,726,2,0,2880.0
2020-10-06,Jharkhand,Jamtara,849,728,2,0,2880.0
2020-10-07,Jharkhand,Jamtara,855,732,2,0,2880.0
2020-10-08,Jharkhand,Jamtara,863,763,2,0,2880.0
2020-10-09,Jharkhand,Jamtara,879,778,2,0,2880.0
2020-10-10,Jharkhand,Jamtara,887,781,2,0,2880.0
2020-10-11,Jharkhand,Jamtara,892,787,2,0,2880.0
2020-10-12,Jharkhand,Jamtara,903,792,2,0,2880.0
2020-10-13,Jharkhand,Jamtara,918,801,2,0,2880.0
2020-10-14,Jharkhand,Jamtara,921,809,2,0,2880.0
2020-10-15,Jharkhand,Jamtara,924,816,2,0,2880.0
2020-10-16,Jharkhand,Jamtara,926,846,2,0,2880.0
2020-10-17,Jharkhand,Jamtara,927,866,2,0,2880.0
2020-10-18,Jharkhand,Jamtara,932,866,2,0,2880.0
2020-10-19,Jharkhand,Jamtara,936,867,2,0,2880.0
2020-10-20,Jharkhand,Jamtara,939,875,2,0,2880.0
2020-10-21,Jharkhand,Jamtara,973,878,2,0,2880.0
