Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-26,Jharkhand,Khunti,1,0,0,0,
2020-05-27,Jharkhand,Khunti,1,0,0,0,
2020-05-28,Jharkhand,Khunti,1,0,0,0,
2020-05-29,Jharkhand,Khunti,3,0,0,0,
2020-05-30,Jharkhand,Khunti,5,0,0,0,
2020-05-31,Jharkhand,Khunti,5,0,0,0,
2020-06-01,Jharkhand,Khunti,5,0,0,0,
2020-06-02,Jharkhand,Khunti,5,0,0,0,
2020-06-03,Jharkhand,Khunti,5,0,0,0,
2020-06-04,Jharkhand,Khunti,8,0,0,0,
2020-06-05,Jharkhand,Khunti,8,0,0,0,
2020-06-06,Jharkhand,Khunti,9,2,0,0,
2020-06-07,Jharkhand,Khunti,10,2,0,0,
2020-06-08,Jharkhand,Khunti,13,2,0,0,
2020-06-09,Jharkhand,Khunti,14,4,0,0,
2020-06-10,Jharkhand,Khunti,16,4,0,0,
2020-06-11,Jharkhand,Khunti,16,5,0,0,
2020-06-12,Jharkhand,Khunti,16,5,0,0,
2020-06-13,Jharkhand,Khunti,16,5,0,0,
2020-06-14,Jharkhand,Khunti,16,5,0,0,
2020-06-15,Jharkhand,Khunti,22,8,0,0,
2020-06-16,Jharkhand,Khunti,22,16,0,0,
2020-06-17,Jharkhand,Khunti,22,16,0,0,
2020-06-18,Jharkhand,Khunti,22,16,0,0,
2020-06-19,Jharkhand,Khunti,22,16,0,0,
2020-06-20,Jharkhand,Khunti,22,22,0,0,
2020-06-21,Jharkhand,Khunti,23,22,0,0,
2020-06-22,Jharkhand,Khunti,23,23,0,0,
2020-06-23,Jharkhand,Khunti,23,23,0,0,
2020-06-24,Jharkhand,Khunti,25,23,0,0,
2020-06-25,Jharkhand,Khunti,28,23,0,0,
2020-06-26,Jharkhand,Khunti,28,23,0,0,
2020-06-27,Jharkhand,Khunti,28,23,0,0,
2020-06-28,Jharkhand,Khunti,28,23,0,0,
2020-06-29,Jharkhand,Khunti,28,26,0,0,
2020-06-30,Jharkhand,Khunti,28,27,0,0,
2020-07-01,Jharkhand,Khunti,29,27,0,0,
2020-07-02,Jharkhand,Khunti,31,27,0,0,
2020-07-03,Jharkhand,Khunti,31,27,0,0,
2020-07-04,Jharkhand,Khunti,31,27,1,0,
2020-07-05,Jharkhand,Khunti,32,27,1,0,
2020-07-06,Jharkhand,Khunti,32,27,1,0,
2020-07-07,Jharkhand,Khunti,32,27,1,0,
2020-07-08,Jharkhand,Khunti,33,27,1,0,
2020-07-09,Jharkhand,Khunti,33,27,1,0,
2020-07-10,Jharkhand,Khunti,33,27,1,0,
2020-07-11,Jharkhand,Khunti,33,28,1,0,
2020-07-12,Jharkhand,Khunti,34,28,1,0,
2020-07-13,Jharkhand,Khunti,35,28,1,0,
2020-07-14,Jharkhand,Khunti,36,31,1,0,
2020-07-15,Jharkhand,Khunti,37,31,1,0,
2020-07-16,Jharkhand,Khunti,38,31,1,0,
2020-07-17,Jharkhand,Khunti,42,31,1,0,
2020-07-18,Jharkhand,Khunti,43,31,1,0,
2020-07-19,Jharkhand,Khunti,44,32,1,0,
2020-07-20,Jharkhand,Khunti,44,32,1,0,
2020-07-21,Jharkhand,Khunti,46,32,1,0,
2020-07-22,Jharkhand,Khunti,46,33,1,0,
2020-07-23,Jharkhand,Khunti,46,36,1,0,
2020-07-24,Jharkhand,Khunti,46,36,1,0,
2020-07-25,Jharkhand,Khunti,46,36,1,0,
2020-07-26,Jharkhand,Khunti,50,36,1,0,
2020-07-27,Jharkhand,Khunti,67,36,1,0,
2020-07-28,Jharkhand,Khunti,72,40,1,0,
2020-07-29,Jharkhand,Khunti,76,40,1,0,3852.0
2020-07-30,Jharkhand,Khunti,79,40,1,0,3852.0
2020-07-31,Jharkhand,Khunti,82,42,1,0,3852.0
2020-08-01,Jharkhand,Khunti,114,42,1,0,3852.0
2020-08-02,Jharkhand,Khunti,114,42,1,0,3852.0
2020-08-03,Jharkhand,Khunti,206,42,1,0,3852.0
2020-08-04,Jharkhand,Khunti,234,42,1,0,3852.0
2020-08-05,Jharkhand,Khunti,261,52,2,0,3852.0
2020-08-06,Jharkhand,Khunti,292,53,2,0,3852.0
2020-08-07,Jharkhand,Khunti,302,59,2,0,3852.0
2020-08-08,Jharkhand,Khunti,332,60,2,0,3852.0
2020-08-09,Jharkhand,Khunti,344,60,2,0,3852.0
2020-08-10,Jharkhand,Khunti,351,60,2,0,3852.0
2020-08-11,Jharkhand,Khunti,358,75,2,0,3852.0
2020-08-12,Jharkhand,Khunti,370,82,2,0,3852.0
2020-08-13,Jharkhand,Khunti,395,101,2,0,3852.0
2020-08-14,Jharkhand,Khunti,401,101,2,0,3852.0
2020-08-15,Jharkhand,Khunti,431,134,2,0,3852.0
2020-08-16,Jharkhand,Khunti,436,159,2,0,3852.0
2020-08-17,Jharkhand,Khunti,440,220,2,0,3852.0
2020-08-18,Jharkhand,Khunti,465,224,2,0,3852.0
2020-08-19,Jharkhand,Khunti,484,264,2,0,3852.0
2020-08-20,Jharkhand,Khunti,503,297,2,0,3852.0
2020-08-21,Jharkhand,Khunti,510,309,2,0,3852.0
2020-08-22,Jharkhand,Khunti,521,329,2,0,3852.0
2020-08-23,Jharkhand,Khunti,535,329,2,0,3852.0
2020-08-24,Jharkhand,Khunti,556,336,2,0,3852.0
2020-08-25,Jharkhand,Khunti,570,357,2,0,3852.0
2020-08-26,Jharkhand,Khunti,585,383,2,0,3852.0
2020-08-27,Jharkhand,Khunti,603,408,2,0,3852.0
2020-08-28,Jharkhand,Khunti,653,444,2,0,3852.0
2020-08-29,Jharkhand,Khunti,695,477,2,0,3852.0
2020-08-30,Jharkhand,Khunti,706,490,2,0,3852.0
2020-08-31,Jharkhand,Khunti,713,526,2,0,3852.0
2020-09-01,Jharkhand,Khunti,752,530,2,0,3852.0
2020-09-02,Jharkhand,Khunti,777,545,2,0,3852.0
2020-09-03,Jharkhand,Khunti,826,553,2,0,3852.0
2020-09-04,Jharkhand,Khunti,874,557,2,0,3852.0
2020-09-05,Jharkhand,Khunti,887,564,2,0,3852.0
2020-09-06,Jharkhand,Khunti,913,597,2,0,3852.0
2020-09-07,Jharkhand,Khunti,939,655,2,0,3852.0
2020-09-08,Jharkhand,Khunti,1020,692,3,0,3852.0
2020-09-09,Jharkhand,Khunti,1025,696,3,0,3852.0
