Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Jharkhand,Koderma,1,0,0,0,
2020-04-27,Jharkhand,Koderma,1,0,0,0,
2020-04-28,Jharkhand,Koderma,1,0,0,0,
2020-04-29,Jharkhand,Koderma,1,0,0,0,
2020-04-30,Jharkhand,Koderma,1,0,0,0,
2020-05-01,Jharkhand,Koderma,1,0,0,0,
2020-05-02,Jharkhand,Koderma,1,0,0,0,
2020-05-03,Jharkhand,Koderma,1,0,0,0,
2020-05-04,Jharkhand,Koderma,1,0,0,0,
2020-05-05,Jharkhand,Koderma,1,1,0,0,
2020-05-06,Jharkhand,Koderma,1,1,0,0,
2020-05-07,Jharkhand,Koderma,1,1,0,0,
2020-05-08,Jharkhand,Koderma,3,1,0,0,
2020-05-09,Jharkhand,Koderma,3,1,0,0,
2020-05-10,Jharkhand,Koderma,3,1,0,0,
2020-05-11,Jharkhand,Koderma,3,1,0,0,
2020-05-12,Jharkhand,Koderma,3,1,0,0,
2020-05-13,Jharkhand,Koderma,5,1,0,0,
2020-05-14,Jharkhand,Koderma,6,1,0,0,
2020-05-15,Jharkhand,Koderma,6,1,0,0,
2020-05-16,Jharkhand,Koderma,6,1,0,0,
2020-05-17,Jharkhand,Koderma,6,1,0,0,
2020-05-18,Jharkhand,Koderma,6,1,0,0,
2020-05-19,Jharkhand,Koderma,9,1,0,0,
2020-05-20,Jharkhand,Koderma,14,1,0,0,
2020-05-21,Jharkhand,Koderma,16,1,0,0,
2020-05-22,Jharkhand,Koderma,16,1,0,0,
2020-05-23,Jharkhand,Koderma,26,1,0,0,
2020-05-24,Jharkhand,Koderma,29,1,1,0,
2020-05-25,Jharkhand,Koderma,29,1,1,0,
2020-05-26,Jharkhand,Koderma,31,1,1,0,
2020-05-27,Jharkhand,Koderma,31,1,1,0,
2020-05-28,Jharkhand,Koderma,31,1,1,0,
2020-05-29,Jharkhand,Koderma,41,6,1,0,
2020-05-30,Jharkhand,Koderma,41,25,1,0,
2020-05-31,Jharkhand,Koderma,41,25,1,0,
2020-06-01,Jharkhand,Koderma,45,25,1,0,
2020-06-02,Jharkhand,Koderma,45,25,1,0,
2020-06-03,Jharkhand,Koderma,46,25,1,0,
2020-06-04,Jharkhand,Koderma,59,25,1,0,
2020-06-05,Jharkhand,Koderma,60,25,1,0,
2020-06-06,Jharkhand,Koderma,60,31,1,0,
2020-06-07,Jharkhand,Koderma,62,31,1,0,
2020-06-08,Jharkhand,Koderma,62,31,1,0,
2020-06-09,Jharkhand,Koderma,78,36,1,0,
2020-06-10,Jharkhand,Koderma,90,36,1,0,
2020-06-11,Jharkhand,Koderma,93,36,1,0,
2020-06-12,Jharkhand,Koderma,93,36,1,0,
2020-06-13,Jharkhand,Koderma,128,42,1,0,
2020-06-14,Jharkhand,Koderma,128,42,1,0,
2020-06-15,Jharkhand,Koderma,128,42,1,0,
2020-06-16,Jharkhand,Koderma,128,64,1,0,
2020-06-17,Jharkhand,Koderma,152,64,1,0,
2020-06-18,Jharkhand,Koderma,152,64,1,0,
2020-06-19,Jharkhand,Koderma,152,77,1,0,
2020-06-20,Jharkhand,Koderma,157,77,1,0,
2020-06-21,Jharkhand,Koderma,159,77,1,0,
2020-06-22,Jharkhand,Koderma,159,109,1,0,
2020-06-23,Jharkhand,Koderma,166,109,1,0,
2020-06-24,Jharkhand,Koderma,166,109,1,0,
2020-06-25,Jharkhand,Koderma,171,109,1,0,
2020-06-26,Jharkhand,Koderma,172,132,1,0,
2020-06-27,Jharkhand,Koderma,173,138,1,0,
2020-06-28,Jharkhand,Koderma,175,138,1,0,
2020-06-29,Jharkhand,Koderma,176,142,1,0,
2020-06-30,Jharkhand,Koderma,178,142,1,0,
2020-07-01,Jharkhand,Koderma,178,142,1,0,
2020-07-02,Jharkhand,Koderma,186,151,1,0,
2020-07-03,Jharkhand,Koderma,188,151,1,0,
2020-07-04,Jharkhand,Koderma,194,151,1,0,
2020-07-05,Jharkhand,Koderma,200,156,1,0,
2020-07-06,Jharkhand,Koderma,204,157,1,0,
2020-07-07,Jharkhand,Koderma,211,162,1,0,
2020-07-08,Jharkhand,Koderma,228,162,1,0,
2020-07-09,Jharkhand,Koderma,241,162,1,0,
2020-07-10,Jharkhand,Koderma,249,162,1,0,
2020-07-11,Jharkhand,Koderma,262,166,1,0,
2020-07-12,Jharkhand,Koderma,276,173,2,0,
2020-07-13,Jharkhand,Koderma,282,173,2,0,
2020-07-14,Jharkhand,Koderma,308,191,2,0,
2020-07-15,Jharkhand,Koderma,308,198,2,0,
2020-07-16,Jharkhand,Koderma,335,198,2,0,
2020-07-17,Jharkhand,Koderma,336,204,2,0,
2020-07-18,Jharkhand,Koderma,348,209,2,0,
2020-07-19,Jharkhand,Koderma,353,209,2,0,
2020-07-20,Jharkhand,Koderma,354,209,2,0,
2020-07-21,Jharkhand,Koderma,359,219,2,0,
2020-07-22,Jharkhand,Koderma,362,222,4,0,
2020-07-23,Jharkhand,Koderma,394,222,4,0,
2020-07-24,Jharkhand,Koderma,411,229,4,0,
2020-07-25,Jharkhand,Koderma,411,232,4,0,
2020-07-26,Jharkhand,Koderma,469,237,4,0,
2020-07-27,Jharkhand,Koderma,476,253,5,0,
2020-07-28,Jharkhand,Koderma,518,253,5,0,
2020-07-29,Jharkhand,Koderma,518,266,5,0,
2020-07-30,Jharkhand,Koderma,524,280,5,0,
2020-07-31,Jharkhand,Koderma,567,286,5,0,
2020-08-01,Jharkhand,Koderma,601,295,5,0,
2020-08-02,Jharkhand,Koderma,657,302,5,0,
2020-08-03,Jharkhand,Koderma,657,304,5,0,
2020-08-04,Jharkhand,Koderma,674,310,5,0,
2020-08-05,Jharkhand,Koderma,680,316,5,0,
2020-08-06,Jharkhand,Koderma,682,348,5,0,
2020-08-07,Jharkhand,Koderma,687,384,5,0,
2020-08-08,Jharkhand,Koderma,695,406,6,0,
2020-08-09,Jharkhand,Koderma,703,414,6,0,
2020-08-10,Jharkhand,Koderma,728,420,6,0,
2020-08-11,Jharkhand,Koderma,748,428,6,0,
2020-08-12,Jharkhand,Koderma,759,433,6,0,
2020-08-13,Jharkhand,Koderma,767,464,6,0,
2020-08-14,Jharkhand,Koderma,850,484,6,0,
2020-08-15,Jharkhand,Koderma,853,522,6,0,
2020-08-16,Jharkhand,Koderma,864,607,7,0,
2020-08-17,Jharkhand,Koderma,877,636,9,0,
2020-08-18,Jharkhand,Koderma,893,636,9,0,
2020-08-19,Jharkhand,Koderma,909,645,9,0,
2020-08-20,Jharkhand,Koderma,918,667,9,0,
2020-08-21,Jharkhand,Koderma,923,685,9,0,
2020-08-22,Jharkhand,Koderma,938,689,9,0,
2020-08-23,Jharkhand,Koderma,957,752,10,0,
2020-08-24,Jharkhand,Koderma,1021,769,11,0,
2020-08-25,Jharkhand,Koderma,1055,796,12,0,
2020-08-26,Jharkhand,Koderma,1081,807,12,0,
2020-08-27,Jharkhand,Koderma,1161,810,13,0,
2020-08-28,Jharkhand,Koderma,1204,836,14,0,
2020-08-29,Jharkhand,Koderma,1239,838,14,0,
