Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-26,Jharkhand,Pakur,4,0,0,0,
2020-05-27,Jharkhand,Pakur,4,0,0,0,
2020-05-28,Jharkhand,Pakur,4,0,0,0,
2020-05-29,Jharkhand,Pakur,4,0,0,0,
2020-05-30,Jharkhand,Pakur,5,0,0,0,
2020-05-31,Jharkhand,Pakur,5,0,0,0,
2020-06-01,Jharkhand,Pakur,5,0,0,0,
2020-06-02,Jharkhand,Pakur,5,0,0,0,
2020-06-03,Jharkhand,Pakur,5,0,0,0,
2020-06-04,Jharkhand,Pakur,5,3,0,0,
2020-06-05,Jharkhand,Pakur,5,6,0,0,
2020-06-06,Jharkhand,Pakur,5,3,0,0,
2020-06-07,Jharkhand,Pakur,5,3,0,0,
2020-06-08,Jharkhand,Pakur,17,3,0,0,
2020-06-09,Jharkhand,Pakur,17,5,0,0,
2020-06-10,Jharkhand,Pakur,29,5,0,0,
2020-06-11,Jharkhand,Pakur,29,5,0,0,
2020-06-12,Jharkhand,Pakur,29,5,0,0,
2020-06-13,Jharkhand,Pakur,29,5,0,0,
2020-06-14,Jharkhand,Pakur,29,5,0,0,
2020-06-15,Jharkhand,Pakur,29,16,0,0,
2020-06-16,Jharkhand,Pakur,29,16,0,0,
2020-06-17,Jharkhand,Pakur,29,16,0,0,
2020-06-18,Jharkhand,Pakur,29,16,0,0,
2020-06-19,Jharkhand,Pakur,30,30,0,0,
2020-06-20,Jharkhand,Pakur,30,30,0,0,
2020-06-21,Jharkhand,Pakur,30,30,0,0,
2020-06-22,Jharkhand,Pakur,30,30,0,0,
2020-06-23,Jharkhand,Pakur,30,30,0,0,
2020-06-24,Jharkhand,Pakur,30,30,0,0,
2020-06-25,Jharkhand,Pakur,30,30,0,0,
2020-06-26,Jharkhand,Pakur,31,30,0,0,
2020-06-27,Jharkhand,Pakur,31,30,0,0,
2020-06-28,Jharkhand,Pakur,31,30,0,0,
2020-06-29,Jharkhand,Pakur,31,30,0,0,
2020-06-30,Jharkhand,Pakur,31,30,0,0,
2020-07-01,Jharkhand,Pakur,33,30,0,0,
2020-07-02,Jharkhand,Pakur,33,30,0,0,
2020-07-03,Jharkhand,Pakur,33,30,0,0,
2020-07-04,Jharkhand,Pakur,34,30,0,0,
2020-07-05,Jharkhand,Pakur,35,30,0,0,
2020-07-06,Jharkhand,Pakur,35,34,0,0,
2020-07-07,Jharkhand,Pakur,35,31,0,0,
2020-07-08,Jharkhand,Pakur,42,31,0,0,
2020-07-09,Jharkhand,Pakur,53,31,0,0,
2020-07-10,Jharkhand,Pakur,70,31,0,0,
2020-07-11,Jharkhand,Pakur,73,31,0,0,
2020-07-12,Jharkhand,Pakur,73,31,0,0,4617.0
2020-07-13,Jharkhand,Pakur,93,31,0,0,5419.0
2020-07-14,Jharkhand,Pakur,104,31,0,0,5609.0
2020-07-15,Jharkhand,Pakur,104,31,0,0,5609.0
2020-07-16,Jharkhand,Pakur,109,31,0,0,5609.0
2020-07-17,Jharkhand,Pakur,112,31,0,0,5609.0
2020-07-18,Jharkhand,Pakur,115,43,0,0,5609.0
2020-07-19,Jharkhand,Pakur,115,49,0,0,5609.0
2020-07-20,Jharkhand,Pakur,124,79,0,0,5609.0
2020-07-21,Jharkhand,Pakur,189,79,0,0,5609.0
2020-07-22,Jharkhand,Pakur,189,79,0,0,5609.0
2020-07-23,Jharkhand,Pakur,193,79,0,0,6429.0
2020-07-24,Jharkhand,Pakur,199,79,0,0,6429.0
2020-07-25,Jharkhand,Pakur,199,79,0,0,6429.0
2020-07-26,Jharkhand,Pakur,203,79,0,0,6429.0
2020-07-27,Jharkhand,Pakur,203,79,0,0,6429.0
2020-07-28,Jharkhand,Pakur,220,79,0,0,6429.0
2020-07-29,Jharkhand,Pakur,230,79,0,0,6429.0
2020-07-30,Jharkhand,Pakur,231,79,0,0,6429.0
2020-07-31,Jharkhand,Pakur,238,79,0,0,6429.0
2020-08-01,Jharkhand,Pakur,239,79,0,0,6429.0
2020-08-02,Jharkhand,Pakur,243,79,0,0,6429.0
2020-08-03,Jharkhand,Pakur,256,79,0,0,6429.0
2020-08-04,Jharkhand,Pakur,281,79,0,0,6429.0
2020-08-05,Jharkhand,Pakur,314,101,0,0,6429.0
2020-08-06,Jharkhand,Pakur,314,101,0,0,6429.0
2020-08-07,Jharkhand,Pakur,314,127,0,0,6429.0
2020-08-08,Jharkhand,Pakur,318,127,0,0,6429.0
2020-08-09,Jharkhand,Pakur,324,127,0,0,6429.0
2020-08-10,Jharkhand,Pakur,325,193,0,0,6429.0
2020-08-11,Jharkhand,Pakur,327,211,0,0,6429.0
2020-08-12,Jharkhand,Pakur,329,301,0,0,6429.0
2020-08-13,Jharkhand,Pakur,337,306,0,0,6429.0
2020-08-14,Jharkhand,Pakur,338,306,0,0,6429.0
2020-08-15,Jharkhand,Pakur,347,306,0,0,6429.0
2020-08-16,Jharkhand,Pakur,350,306,0,0,6429.0
2020-08-17,Jharkhand,Pakur,366,307,0,0,6429.0
2020-08-18,Jharkhand,Pakur,381,307,0,0,6429.0
2020-08-19,Jharkhand,Pakur,393,307,0,0,6429.0
2020-08-20,Jharkhand,Pakur,393,307,0,0,6429.0
2020-08-21,Jharkhand,Pakur,408,313,0,0,6429.0
2020-08-22,Jharkhand,Pakur,418,313,0,0,6429.0
2020-08-23,Jharkhand,Pakur,421,319,0,0,6429.0
2020-08-24,Jharkhand,Pakur,427,331,0,0,6429.0
2020-08-25,Jharkhand,Pakur,435,331,0,0,6429.0
2020-08-26,Jharkhand,Pakur,438,358,0,0,6429.0
2020-08-27,Jharkhand,Pakur,446,363,0,0,6429.0
2020-08-28,Jharkhand,Pakur,449,363,0,0,6429.0
2020-08-29,Jharkhand,Pakur,457,373,0,0,6429.0
2020-08-30,Jharkhand,Pakur,458,390,1,0,6429.0
2020-08-31,Jharkhand,Pakur,515,390,1,0,6429.0
2020-09-01,Jharkhand,Pakur,525,390,1,0,6429.0
2020-09-02,Jharkhand,Pakur,542,399,1,0,6429.0
2020-09-03,Jharkhand,Pakur,544,399,1,0,6429.0
2020-09-04,Jharkhand,Pakur,545,404,1,0,6429.0
2020-09-05,Jharkhand,Pakur,548,439,1,0,6429.0
2020-09-06,Jharkhand,Pakur,550,440,1,0,6429.0
2020-09-07,Jharkhand,Pakur,550,447,1,0,6429.0
2020-09-08,Jharkhand,Pakur,560,485,1,0,6429.0
2020-09-09,Jharkhand,Pakur,569,485,1,0,6429.0
2020-09-10,Jharkhand,Pakur,572,485,1,0,6429.0
2020-09-11,Jharkhand,Pakur,573,500,1,0,6429.0
2020-09-12,Jharkhand,Pakur,574,506,1,0,6429.0
2020-09-13,Jharkhand,Pakur,584,507,1,0,6429.0
