Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-17,Jharkhand,Ramgarh,2,0,0,0,
2020-05-18,Jharkhand,Ramgarh,2,0,0,0,
2020-05-19,Jharkhand,Ramgarh,3,0,0,0,
2020-05-20,Jharkhand,Ramgarh,3,0,0,0,
2020-05-21,Jharkhand,Ramgarh,3,0,0,0,
2020-05-22,Jharkhand,Ramgarh,6,0,0,0,
2020-05-23,Jharkhand,Ramgarh,6,0,0,0,
2020-05-24,Jharkhand,Ramgarh,9,0,0,0,
2020-05-25,Jharkhand,Ramgarh,10,0,0,0,
2020-05-26,Jharkhand,Ramgarh,11,0,0,0,
2020-05-27,Jharkhand,Ramgarh,11,0,0,0,
2020-05-28,Jharkhand,Ramgarh,11,0,0,0,
2020-05-29,Jharkhand,Ramgarh,24,0,0,0,
2020-05-30,Jharkhand,Ramgarh,24,0,0,0,
2020-05-31,Jharkhand,Ramgarh,25,0,0,0,
2020-06-01,Jharkhand,Ramgarh,25,0,0,0,
2020-06-02,Jharkhand,Ramgarh,45,0,0,0,
2020-06-03,Jharkhand,Ramgarh,49,0,0,0,
2020-06-04,Jharkhand,Ramgarh,49,5,0,0,
2020-06-05,Jharkhand,Ramgarh,56,10,0,0,
2020-06-06,Jharkhand,Ramgarh,77,10,0,0,
2020-06-07,Jharkhand,Ramgarh,83,10,0,0,
2020-06-08,Jharkhand,Ramgarh,85,10,0,0,
2020-06-09,Jharkhand,Ramgarh,95,10,0,0,
2020-06-10,Jharkhand,Ramgarh,97,10,0,0,
2020-06-11,Jharkhand,Ramgarh,97,10,0,0,
2020-06-12,Jharkhand,Ramgarh,102,11,0,0,
2020-06-13,Jharkhand,Ramgarh,108,49,0,0,
2020-06-14,Jharkhand,Ramgarh,108,49,0,0,
2020-06-15,Jharkhand,Ramgarh,108,68,0,0,
2020-06-16,Jharkhand,Ramgarh,110,69,0,0,
2020-06-17,Jharkhand,Ramgarh,112,69,0,0,
2020-06-18,Jharkhand,Ramgarh,113,69,0,0,
2020-06-19,Jharkhand,Ramgarh,113,69,0,0,
2020-06-20,Jharkhand,Ramgarh,115,88,0,0,
2020-06-21,Jharkhand,Ramgarh,117,88,0,0,
2020-06-22,Jharkhand,Ramgarh,117,88,0,0,
2020-06-23,Jharkhand,Ramgarh,120,88,0,0,
2020-06-24,Jharkhand,Ramgarh,120,88,0,0,
2020-06-25,Jharkhand,Ramgarh,120,88,0,0,
2020-06-26,Jharkhand,Ramgarh,120,88,0,0,
2020-06-27,Jharkhand,Ramgarh,120,107,0,0,
2020-06-28,Jharkhand,Ramgarh,120,112,0,0,
2020-06-29,Jharkhand,Ramgarh,120,112,0,0,
2020-06-30,Jharkhand,Ramgarh,121,113,0,0,
2020-07-01,Jharkhand,Ramgarh,121,115,0,0,
2020-07-02,Jharkhand,Ramgarh,122,115,0,0,
2020-07-03,Jharkhand,Ramgarh,122,115,0,0,
2020-07-04,Jharkhand,Ramgarh,122,115,0,0,
