Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Jharkhand,Saraikela-Kharsawan,1,0,0,0,
2020-05-20,Jharkhand,Saraikela-Kharsawan,2,0,0,0,
2020-05-21,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-22,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-23,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-24,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-25,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-26,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-27,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-28,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-29,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-30,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-05-31,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-06-01,Jharkhand,Saraikela-Kharsawan,4,0,0,0,
2020-06-02,Jharkhand,Saraikela-Kharsawan,5,0,0,0,
2020-06-03,Jharkhand,Saraikela-Kharsawan,14,0,0,0,
2020-06-04,Jharkhand,Saraikela-Kharsawan,14,0,0,0,
2020-06-05,Jharkhand,Saraikela-Kharsawan,19,0,0,0,
2020-06-06,Jharkhand,Saraikela-Kharsawan,20,5,0,0,
2020-06-07,Jharkhand,Saraikela-Kharsawan,22,5,0,0,
2020-06-08,Jharkhand,Saraikela-Kharsawan,22,6,0,0,
2020-06-09,Jharkhand,Saraikela-Kharsawan,25,6,0,0,
2020-06-10,Jharkhand,Saraikela-Kharsawan,32,6,0,0,
2020-06-11,Jharkhand,Saraikela-Kharsawan,52,6,0,0,
2020-06-12,Jharkhand,Saraikela-Kharsawan,33,8,0,0,
2020-06-13,Jharkhand,Saraikela-Kharsawan,36,8,0,0,
2020-06-14,Jharkhand,Saraikela-Kharsawan,36,13,0,0,
2020-06-15,Jharkhand,Saraikela-Kharsawan,36,13,0,0,
2020-06-16,Jharkhand,Saraikela-Kharsawan,36,13,0,0,
2020-06-17,Jharkhand,Saraikela-Kharsawan,36,17,0,0,
2020-06-18,Jharkhand,Saraikela-Kharsawan,36,20,0,0,
2020-06-19,Jharkhand,Saraikela-Kharsawan,36,23,0,0,
2020-06-20,Jharkhand,Saraikela-Kharsawan,36,23,0,0,
2020-06-21,Jharkhand,Saraikela-Kharsawan,36,23,0,0,
2020-06-22,Jharkhand,Saraikela-Kharsawan,36,28,0,0,
2020-06-23,Jharkhand,Saraikela-Kharsawan,36,29,0,0,
2020-06-24,Jharkhand,Saraikela-Kharsawan,36,29,0,0,
2020-06-25,Jharkhand,Saraikela-Kharsawan,36,30,0,0,
2020-06-26,Jharkhand,Saraikela-Kharsawan,37,32,0,0,
2020-06-27,Jharkhand,Saraikela-Kharsawan,48,32,0,0,
2020-06-28,Jharkhand,Saraikela-Kharsawan,51,32,0,0,
2020-06-29,Jharkhand,Saraikela-Kharsawan,53,32,0,0,
2020-06-30,Jharkhand,Saraikela-Kharsawan,78,33,0,0,
2020-07-01,Jharkhand,Saraikela-Kharsawan,78,33,0,0,
2020-07-02,Jharkhand,Saraikela-Kharsawan,78,33,0,0,
2020-07-03,Jharkhand,Saraikela-Kharsawan,78,35,0,0,
2020-07-04,Jharkhand,Saraikela-Kharsawan,80,35,0,0,
2020-07-05,Jharkhand,Saraikela-Kharsawan,84,38,0,0,
2020-07-06,Jharkhand,Saraikela-Kharsawan,88,38,0,0,
2020-07-07,Jharkhand,Saraikela-Kharsawan,88,37,0,0,
2020-07-08,Jharkhand,Saraikela-Kharsawan,96,44,0,0,
2020-07-09,Jharkhand,Saraikela-Kharsawan,96,46,0,0,
2020-07-10,Jharkhand,Saraikela-Kharsawan,100,49,0,0,
2020-07-11,Jharkhand,Saraikela-Kharsawan,104,50,0,0,
2020-07-12,Jharkhand,Saraikela-Kharsawan,104,50,0,0,
2020-07-13,Jharkhand,Saraikela-Kharsawan,104,53,0,0,
2020-07-14,Jharkhand,Saraikela-Kharsawan,107,53,0,0,
2020-07-15,Jharkhand,Saraikela-Kharsawan,111,58,0,0,
2020-07-16,Jharkhand,Saraikela-Kharsawan,111,60,0,0,
2020-07-17,Jharkhand,Saraikela-Kharsawan,117,63,0,0,
2020-07-18,Jharkhand,Saraikela-Kharsawan,118,67,0,0,
2020-07-19,Jharkhand,Saraikela-Kharsawan,118,67,0,0,
2020-07-20,Jharkhand,Saraikela-Kharsawan,121,67,0,0,
2020-07-21,Jharkhand,Saraikela-Kharsawan,133,70,2,0,
2020-07-22,Jharkhand,Saraikela-Kharsawan,134,75,2,0,
2020-07-23,Jharkhand,Saraikela-Kharsawan,144,76,2,0,
2020-07-24,Jharkhand,Saraikela-Kharsawan,153,76,3,0,
2020-07-25,Jharkhand,Saraikela-Kharsawan,180,78,4,0,
2020-07-26,Jharkhand,Saraikela-Kharsawan,200,80,4,0,
2020-07-27,Jharkhand,Saraikela-Kharsawan,207,84,4,0,
2020-07-28,Jharkhand,Saraikela-Kharsawan,212,84,4,0,
2020-07-29,Jharkhand,Saraikela-Kharsawan,213,88,4,0,
2020-07-30,Jharkhand,Saraikela-Kharsawan,218,88,4,0,
2020-07-31,Jharkhand,Saraikela-Kharsawan,233,95,4,0,
2020-08-01,Jharkhand,Saraikela-Kharsawan,266,101,4,0,
2020-08-02,Jharkhand,Saraikela-Kharsawan,292,131,4,0,
2020-08-03,Jharkhand,Saraikela-Kharsawan,305,131,4,0,
2020-08-04,Jharkhand,Saraikela-Kharsawan,317,131,4,0,
2020-08-05,Jharkhand,Saraikela-Kharsawan,326,142,4,0,
2020-08-06,Jharkhand,Saraikela-Kharsawan,354,147,4,0,
2020-08-07,Jharkhand,Saraikela-Kharsawan,370,153,4,0,
2020-08-08,Jharkhand,Saraikela-Kharsawan,400,154,4,0,
