Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-18,Jharkhand,West Singhbhum,1,0,0,0,
2020-05-19,Jharkhand,West Singhbhum,1,0,0,0,
2020-05-20,Jharkhand,West Singhbhum,1,0,0,0,
2020-05-21,Jharkhand,West Singhbhum,1,0,0,0,
2020-05-22,Jharkhand,West Singhbhum,4,0,0,0,
2020-05-23,Jharkhand,West Singhbhum,4,0,0,0,
2020-05-24,Jharkhand,West Singhbhum,6,0,0,0,
2020-05-25,Jharkhand,West Singhbhum,6,0,0,0,
2020-05-26,Jharkhand,West Singhbhum,14,0,0,0,
2020-05-27,Jharkhand,West Singhbhum,15,0,0,0,
2020-05-28,Jharkhand,West Singhbhum,15,0,0,0,
2020-05-29,Jharkhand,West Singhbhum,15,0,0,0,
2020-05-30,Jharkhand,West Singhbhum,15,1,0,0,
2020-05-31,Jharkhand,West Singhbhum,15,1,0,0,
2020-06-01,Jharkhand,West Singhbhum,15,1,0,0,
2020-06-02,Jharkhand,West Singhbhum,15,1,0,0,
2020-06-03,Jharkhand,West Singhbhum,16,1,0,0,
2020-06-04,Jharkhand,West Singhbhum,16,2,0,0,
2020-06-05,Jharkhand,West Singhbhum,16,3,0,0,
2020-06-06,Jharkhand,West Singhbhum,21,6,0,0,
2020-06-07,Jharkhand,West Singhbhum,22,6,0,0,
2020-06-08,Jharkhand,West Singhbhum,23,6,0,0,
2020-06-09,Jharkhand,West Singhbhum,35,6,0,0,
2020-06-10,Jharkhand,West Singhbhum,37,6,0,0,
2020-06-11,Jharkhand,West Singhbhum,37,6,0,0,
2020-06-12,Jharkhand,West Singhbhum,43,6,0,0,
2020-06-13,Jharkhand,West Singhbhum,46,6,0,0,
2020-06-14,Jharkhand,West Singhbhum,47,7,0,0,
2020-06-15,Jharkhand,West Singhbhum,53,7,0,0,
2020-06-16,Jharkhand,West Singhbhum,53,19,0,0,
2020-06-17,Jharkhand,West Singhbhum,53,19,0,0,
2020-06-18,Jharkhand,West Singhbhum,53,19,0,0,
2020-06-19,Jharkhand,West Singhbhum,53,23,0,0,
2020-06-20,Jharkhand,West Singhbhum,55,26,0,0,
2020-06-21,Jharkhand,West Singhbhum,57,26,0,0,
2020-06-22,Jharkhand,West Singhbhum,57,26,0,0,
2020-06-23,Jharkhand,West Singhbhum,57,37,0,0,
2020-06-24,Jharkhand,West Singhbhum,57,37,0,0,
2020-06-25,Jharkhand,West Singhbhum,57,37,0,0,
2020-06-26,Jharkhand,West Singhbhum,57,37,0,0,
2020-06-27,Jharkhand,West Singhbhum,57,37,0,0,
2020-06-28,Jharkhand,West Singhbhum,58,37,0,0,
2020-06-29,Jharkhand,West Singhbhum,58,41,0,0,
2020-06-30,Jharkhand,West Singhbhum,58,41,0,0,
2020-07-01,Jharkhand,West Singhbhum,58,41,0,0,
2020-07-02,Jharkhand,West Singhbhum,58,48,0,0,
2020-07-03,Jharkhand,West Singhbhum,58,48,0,0,
2020-07-04,Jharkhand,West Singhbhum,61,48,0,0,
2020-07-05,Jharkhand,West Singhbhum,61,48,0,0,
2020-07-06,Jharkhand,West Singhbhum,64,48,0,0,
2020-07-07,Jharkhand,West Singhbhum,69,48,0,0,
2020-07-08,Jharkhand,West Singhbhum,73,57,0,0,
2020-07-09,Jharkhand,West Singhbhum,73,57,0,0,
2020-07-10,Jharkhand,West Singhbhum,92,57,0,0,
2020-07-11,Jharkhand,West Singhbhum,93,57,0,0,
2020-07-12,Jharkhand,West Singhbhum,93,57,0,0,
2020-07-13,Jharkhand,West Singhbhum,96,57,0,0,
2020-07-14,Jharkhand,West Singhbhum,98,58,0,0,
2020-07-15,Jharkhand,West Singhbhum,108,58,0,0,
2020-07-16,Jharkhand,West Singhbhum,112,60,1,0,
2020-07-17,Jharkhand,West Singhbhum,128,64,1,0,
2020-07-18,Jharkhand,West Singhbhum,131,64,1,0,
