Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Ballari,13,5,0,0,
2020-04-27,Karnataka,Ballari,13,5,0,0,
2020-04-28,Karnataka,Ballari,13,5,0,0,
2020-04-29,Karnataka,Ballari,13,5,0,0,
2020-04-30,Karnataka,Ballari,13,5,0,0,
2020-05-01,Karnataka,Ballari,13,7,0,0,
2020-05-02,Karnataka,Ballari,13,7,0,0,
2020-05-03,Karnataka,Ballari,13,8,0,0,
2020-05-04,Karnataka,Ballari,13,8,0,0,
2020-05-05,Karnataka,Ballari,14,8,0,0,
2020-05-06,Karnataka,Ballari,14,8,0,0,
2020-05-07,Karnataka,Ballari,14,9,0,0,
2020-05-08,Karnataka,Ballari,15,11,0,0,
2020-05-09,Karnataka,Ballari,15,11,0,0,
2020-05-10,Karnataka,Ballari,15,11,0,0,
2020-05-11,Karnataka,Ballari,15,11,0,0,
2020-05-12,Karnataka,Ballari,16,11,0,0,
2020-05-13,Karnataka,Ballari,17,12,0,0,
2020-05-14,Karnataka,Ballari,17,12,0,0,
2020-05-15,Karnataka,Ballari,17,13,0,0,
2020-05-16,Karnataka,Ballari,18,13,0,0,
2020-05-17,Karnataka,Ballari,18,13,0,0,
2020-05-18,Karnataka,Ballari,19,13,0,0,
2020-05-19,Karnataka,Ballari,19,13,1,0,
2020-05-20,Karnataka,Ballari,19,13,1,0,5995.0
2020-05-21,Karnataka,Ballari,30,13,1,0,5995.0
2020-05-22,Karnataka,Ballari,30,13,1,0,5995.0
2020-05-23,Karnataka,Ballari,33,13,1,0,5995.0
2020-05-24,Karnataka,Ballari,33,13,1,0,5995.0
2020-05-25,Karnataka,Ballari,36,13,1,0,5995.0
2020-05-26,Karnataka,Ballari,37,13,1,0,5995.0
2020-05-27,Karnataka,Ballari,38,14,1,0,5995.0
2020-05-28,Karnataka,Ballari,38,14,1,0,5995.0
2020-05-29,Karnataka,Ballari,47,14,1,0,5995.0
2020-05-30,Karnataka,Ballari,47,14,1,0,5995.0
2020-05-31,Karnataka,Ballari,48,14,1,0,5995.0
2020-06-01,Karnataka,Ballari,51,16,1,0,9879.0
2020-06-02,Karnataka,Ballari,51,27,1,0,10363.0
2020-06-03,Karnataka,Ballari,52,32,1,0,10556.0
2020-06-04,Karnataka,Ballari,53,35,1,0,10722.0
2020-06-05,Karnataka,Ballari,54,35,1,0,10832.0
2020-06-06,Karnataka,Ballari,54,43,1,0,10895.0
2020-06-07,Karnataka,Ballari,60,43,1,0,11031.0
2020-06-08,Karnataka,Ballari,68,43,1,0,11240.0
2020-06-09,Karnataka,Ballari,68,43,1,0,11240.0
2020-06-10,Karnataka,Ballari,71,43,1,0,11240.0
2020-06-11,Karnataka,Ballari,71,43,1,0,11982.0
2020-06-12,Karnataka,Ballari,168,43,1,0,12075.0
2020-06-13,Karnataka,Ballari,179,49,1,0,12257.0
2020-06-14,Karnataka,Ballari,187,55,1,0,12545.0
2020-06-15,Karnataka,Ballari,197,55,1,0,12761.0
2020-06-16,Karnataka,Ballari,250,55,1,0,12761.0
2020-06-17,Karnataka,Ballari,279,55,2,0,12761.0
2020-06-18,Karnataka,Ballari,327,90,2,0,13293.0
2020-06-19,Karnataka,Ballari,364,90,2,0,13293.0
2020-06-20,Karnataka,Ballari,402,98,2,0,14133.0
2020-06-21,Karnataka,Ballari,442,112,2,0,14879.0
2020-06-22,Karnataka,Ballari,442,112,3,0,15121.0
2020-06-23,Karnataka,Ballari,495,145,4,0,15121.0
2020-06-24,Karnataka,Ballari,529,145,8,0,15401.0
2020-06-25,Karnataka,Ballari,555,194,8,0,15401.0
2020-06-26,Karnataka,Ballari,602,232,9,0,15401.0
2020-06-27,Karnataka,Ballari,626,292,10,0,15806.0
2020-06-28,Karnataka,Ballari,697,313,11,0,15990.0
2020-06-29,Karnataka,Ballari,773,313,23,0,15990.0
2020-06-30,Karnataka,Ballari,834,405,29,0,16512.0
2020-07-01,Karnataka,Ballari,919,405,29,0,16886.0
2020-07-02,Karnataka,Ballari,984,467,33,0,17292.0
2020-07-03,Karnataka,Ballari,1081,495,34,0,17526.0
2020-07-04,Karnataka,Ballari,1154,515,34,0,17809.0
2020-07-05,Karnataka,Ballari,1244,552,35,0,18395.0
2020-07-06,Karnataka,Ballari,1343,570,36,0,18591.0
2020-07-07,Karnataka,Ballari,1388,597,36,0,19572.0
2020-07-08,Karnataka,Ballari,1447,627,40,0,19572.0
2020-07-09,Karnataka,Ballari,1488,665,40,0,19572.0
2020-07-10,Karnataka,Ballari,1554,742,41,0,19572.0
2020-07-11,Karnataka,Ballari,1619,972,42,0,19572.0
2020-07-12,Karnataka,Ballari,1682,992,42,0,19572.0
2020-07-13,Karnataka,Ballari,1788,1024,42,0,19572.0
2020-07-14,Karnataka,Ballari,1887,1041,47,0,19572.0
2020-07-15,Karnataka,Ballari,2023,1102,47,0,19572.0
2020-07-16,Karnataka,Ballari,2067,1147,51,0,19572.0
2020-07-17,Karnataka,Ballari,2200,1181,54,0,19572.0
2020-07-18,Karnataka,Ballari,2355,1203,57,0,19572.0
2020-07-19,Karnataka,Ballari,2428,1288,60,0,19572.0
2020-07-20,Karnataka,Ballari,2662,1324,62,0,19572.0
2020-07-21,Karnataka,Ballari,2855,1332,62,0,19572.0
2020-07-22,Karnataka,Ballari,2989,1371,62,0,19572.0
2020-07-23,Karnataka,Ballari,3153,1407,67,0,19572.0
2020-07-24,Karnataka,Ballari,3289,1460,69,0,19572.0
2020-07-25,Karnataka,Ballari,3511,1540,69,0,19572.0
2020-07-26,Karnataka,Ballari,4090,1557,69,0,19572.0
2020-07-27,Karnataka,Ballari,4930,1600,72,0,19572.0
2020-07-28,Karnataka,Ballari,5382,2129,72,0,19572.0
2020-07-29,Karnataka,Ballari,5720,2229,74,0,19572.0
2020-07-30,Karnataka,Ballari,6063,2566,74,0,19572.0
2020-07-31,Karnataka,Ballari,6403,2710,74,0,19572.0
2020-08-01,Karnataka,Ballari,6672,3118,75,0,19572.0
2020-08-02,Karnataka,Ballari,7049,3223,77,0,19572.0
2020-08-03,Karnataka,Ballari,7354,3241,79,0,19572.0
2020-08-04,Karnataka,Ballari,7638,3724,84,0,58988.0
2020-08-05,Karnataka,Ballari,8269,3876,84,0,60819.0
2020-08-06,Karnataka,Ballari,8700,4299,88,0,62548.0
2020-08-07,Karnataka,Ballari,9384,4926,92,0,65088.0
2020-08-08,Karnataka,Ballari,9991,5106,101,0,65088.0
2020-08-09,Karnataka,Ballari,10371,5254,110,0,70267.0
2020-08-10,Karnataka,Ballari,10624,5447,117,0,71585.0
2020-08-11,Karnataka,Ballari,11360,5851,121,0,74164.0
2020-08-12,Karnataka,Ballari,11995,6231,130,0,74164.0
2020-08-13,Karnataka,Ballari,12440,6671,139,0,80037.0
2020-08-14,Karnataka,Ballari,13048,6948,148,0,80037.0
2020-08-15,Karnataka,Ballari,13807,7504,154,0,80037.0
2020-08-16,Karnataka,Ballari,14188,8208,163,0,80037.0
2020-08-17,Karnataka,Ballari,14507,8554,169,0,80037.0
2020-08-18,Karnataka,Ballari,15180,9054,178,0,92158.0
