Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Belagavi,52,6,1,0,
2020-04-27,Karnataka,Belagavi,52,6,1,0,
2020-04-28,Karnataka,Belagavi,52,6,1,0,
2020-04-29,Karnataka,Belagavi,53,7,1,0,
2020-04-30,Karnataka,Belagavi,67,7,1,0,
2020-05-01,Karnataka,Belagavi,70,7,1,0,
2020-05-02,Karnataka,Belagavi,71,15,1,0,
2020-05-03,Karnataka,Belagavi,71,15,1,0,
2020-05-04,Karnataka,Belagavi,71,26,1,0,
2020-05-05,Karnataka,Belagavi,71,26,1,0,
2020-05-06,Karnataka,Belagavi,71,34,1,0,
2020-05-07,Karnataka,Belagavi,72,34,1,0,
2020-05-08,Karnataka,Belagavi,83,34,1,0,
2020-05-09,Karnataka,Belagavi,83,34,1,0,
2020-05-10,Karnataka,Belagavi,113,37,1,0,
2020-05-11,Karnataka,Belagavi,113,36,1,0,
2020-05-12,Karnataka,Belagavi,113,36,1,0,
2020-05-13,Karnataka,Belagavi,113,41,1,0,
2020-05-14,Karnataka,Belagavi,114,41,1,0,
2020-05-15,Karnataka,Belagavi,114,54,1,0,
2020-05-16,Karnataka,Belagavi,114,54,1,0,
2020-05-17,Karnataka,Belagavi,114,54,1,0,
2020-05-18,Karnataka,Belagavi,116,54,1,0,
2020-05-19,Karnataka,Belagavi,116,56,1,0,
2020-05-20,Karnataka,Belagavi,116,56,1,0,
2020-05-21,Karnataka,Belagavi,125,56,1,0,
2020-05-22,Karnataka,Belagavi,126,57,1,0,
2020-05-23,Karnataka,Belagavi,127,57,1,0,
2020-05-24,Karnataka,Belagavi,127,57,1,0,
2020-05-25,Karnataka,Belagavi,128,66,1,0,
2020-05-26,Karnataka,Belagavi,141,89,1,0,
2020-05-27,Karnataka,Belagavi,145,89,1,0,
2020-05-28,Karnataka,Belagavi,145,92,1,0,
2020-05-29,Karnataka,Belagavi,145,92,1,0,
2020-05-30,Karnataka,Belagavi,146,92,1,0,
2020-05-31,Karnataka,Belagavi,159,92,1,0,
2020-06-01,Karnataka,Belagavi,159,108,1,0,12913.0
2020-06-02,Karnataka,Belagavi,210,117,1,0,12921.0
2020-06-03,Karnataka,Belagavi,210,124,1,0,13041.0
2020-06-04,Karnataka,Belagavi,222,124,1,0,13077.0
2020-06-05,Karnataka,Belagavi,258,124,1,0,13111.0
2020-06-06,Karnataka,Belagavi,263,124,1,0,13088.0
2020-06-07,Karnataka,Belagavi,301,151,1,0,13148.0
2020-06-08,Karnataka,Belagavi,301,151,1,0,13199.0
2020-06-09,Karnataka,Belagavi,301,151,1,0,13199.0
2020-06-10,Karnataka,Belagavi,302,155,1,0,13199.0
2020-06-11,Karnataka,Belagavi,302,155,1,0,13287.0
2020-06-12,Karnataka,Belagavi,303,217,1,0,13500.0
2020-06-13,Karnataka,Belagavi,303,217,1,0,13574.0
2020-06-14,Karnataka,Belagavi,304,223,1,0,13778.0
2020-06-15,Karnataka,Belagavi,304,245,1,0,13971.0
2020-06-16,Karnataka,Belagavi,307,254,1,0,13971.0
2020-06-17,Karnataka,Belagavi,307,254,1,0,13971.0
2020-06-18,Karnataka,Belagavi,307,254,1,0,15181.0
2020-06-19,Karnataka,Belagavi,308,279,1,0,15181.0
