Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Bengaluru Urban,129,53,5,0,
2020-04-27,Karnataka,Bengaluru Urban,130,53,5,1,
2020-04-28,Karnataka,Bengaluru Urban,131,58,5,1,
2020-04-29,Karnataka,Bengaluru Urban,131,58,5,1,
2020-04-30,Karnataka,Bengaluru Urban,141,61,5,1,
2020-05-01,Karnataka,Bengaluru Urban,141,69,5,1,
2020-05-02,Karnataka,Bengaluru Urban,145,71,6,1,
2020-05-03,Karnataka,Bengaluru Urban,149,72,6,1,
2020-05-04,Karnataka,Bengaluru Urban,150,75,6,1,
2020-05-05,Karnataka,Bengaluru Urban,153,75,6,1,
2020-05-06,Karnataka,Bengaluru Urban,155,75,6,1,
2020-05-07,Karnataka,Bengaluru Urban,156,77,6,1,
2020-05-08,Karnataka,Bengaluru Urban,163,84,6,1,
2020-05-09,Karnataka,Bengaluru Urban,175,86,6,1,
2020-05-10,Karnataka,Bengaluru Urban,177,86,7,1,
2020-05-11,Karnataka,Bengaluru Urban,178,91,7,1,
2020-05-12,Karnataka,Bengaluru Urban,182,91,7,1,
2020-05-13,Karnataka,Bengaluru Urban,184,95,7,1,
2020-05-14,Karnataka,Bengaluru Urban,189,97,7,1,
2020-05-15,Karnataka,Bengaluru Urban,202,101,7,1,16791.0
2020-05-16,Karnataka,Bengaluru Urban,216,115,7,1,17881.0
2020-05-17,Karnataka,Bengaluru Urban,216,122,7,1,18972.0
2020-05-18,Karnataka,Bengaluru Urban,240,122,7,1,18972.0
2020-05-19,Karnataka,Bengaluru Urban,246,123,8,1,20039.0
2020-05-20,Karnataka,Bengaluru Urban,250,124,9,1,20303.0
2020-05-21,Karnataka,Bengaluru Urban,258,124,9,1,21544.0
2020-05-22,Karnataka,Bengaluru Urban,263,130,9,1,22177.0
2020-05-23,Karnataka,Bengaluru Urban,267,130,10,1,23609.0
2020-05-24,Karnataka,Bengaluru Urban,268,130,10,1,25182.0
2020-05-25,Karnataka,Bengaluru Urban,276,149,10,1,26237.0
2020-05-26,Karnataka,Bengaluru Urban,278,149,10,1,27534.0
2020-05-27,Karnataka,Bengaluru Urban,284,151,10,1,27680.0
2020-05-28,Karnataka,Bengaluru Urban,293,151,10,1,27680.0
2020-05-29,Karnataka,Bengaluru Urban,305,151,10,1,31329.0
2020-05-30,Karnataka,Bengaluru Urban,338,172,10,1,33070.0
2020-05-31,Karnataka,Bengaluru Urban,359,231,10,1,33070.0
2020-06-01,Karnataka,Bengaluru Urban,383,243,11,1,36544.0
2020-06-02,Karnataka,Bengaluru Urban,395,243,11,1,39581.0
2020-06-03,Karnataka,Bengaluru Urban,415,262,11,1,40772.0
2020-06-04,Karnataka,Bengaluru Urban,424,262,13,1,46151.0
2020-06-05,Karnataka,Bengaluru Urban,434,271,13,1,45102.0
2020-06-06,Karnataka,Bengaluru Urban,452,276,13,1,46383.0
2020-06-07,Karnataka,Bengaluru Urban,475,298,15,1,50070.0
2020-06-08,Karnataka,Bengaluru Urban,493,298,18,1,50415.0
2020-06-09,Karnataka,Bengaluru Urban,522,298,19,1,50415.0
2020-06-10,Karnataka,Bengaluru Urban,564,298,21,1,50415.0
2020-06-11,Karnataka,Bengaluru Urban,581,299,23,1,58309.0
2020-06-12,Karnataka,Bengaluru Urban,617,299,27,1,61395.0
2020-06-13,Karnataka,Bengaluru Urban,648,299,29,1,63711.0
2020-06-14,Karnataka,Bengaluru Urban,690,327,32,1,65996.0
2020-06-15,Karnataka,Bengaluru Urban,725,329,33,1,66807.0
2020-06-16,Karnataka,Bengaluru Urban,772,361,38,1,66807.0
2020-06-17,Karnataka,Bengaluru Urban,827,370,43,1,66807.0
2020-06-18,Karnataka,Bengaluru Urban,844,384,51,1,73615.0
2020-06-19,Karnataka,Bengaluru Urban,982,392,58,1,73615.0
2020-06-20,Karnataka,Bengaluru Urban,1076,394,61,1,77409.0
2020-06-21,Karnataka,Bengaluru Urban,1272,411,64,1,80022.0
2020-06-22,Karnataka,Bengaluru Urban,1398,411,67,1,81884.0
2020-06-23,Karnataka,Bengaluru Urban,1505,435,73,1,81884.0
2020-06-24,Karnataka,Bengaluru Urban,1678,476,78,1,92309.0
2020-06-25,Karnataka,Bengaluru Urban,1791,506,78,1,92309.0
2020-06-26,Karnataka,Bengaluru Urban,1935,527,81,1,92309.0
2020-06-27,Karnataka,Bengaluru Urban,2531,534,84,1,92309.0
2020-06-28,Karnataka,Bengaluru Urban,3314,534,88,1,102666.0
2020-06-29,Karnataka,Bengaluru Urban,4052,534,91,1,110576.0
2020-06-30,Karnataka,Bengaluru Urban,4555,544,95,1,110576.0
2020-07-01,Karnataka,Bengaluru Urban,5290,544,97,1,111510.0
2020-07-02,Karnataka,Bengaluru Urban,6179,574,100,1,115880.0
2020-07-03,Karnataka,Bengaluru Urban,7173,771,105,1,120557.0
2020-07-04,Karnataka,Bengaluru Urban,8345,966,129,1,120557.0
2020-07-05,Karnataka,Bengaluru Urban,9580,1268,145,1,124431.0
2020-07-06,Karnataka,Bengaluru Urban,10561,1546,155,1,129256.0
2020-07-07,Karnataka,Bengaluru Urban,11361,1811,155,1,133418.0
2020-07-08,Karnataka,Bengaluru Urban,12509,2229,177,1,153123.0
2020-07-09,Karnataka,Bengaluru Urban,13882,2835,177,1,156592.0
2020-07-10,Karnataka,Bengaluru Urban,15329,3436,206,1,156592.0
2020-07-11,Karnataka,Bengaluru Urban,16862,3840,229,1,156592.0
2020-07-12,Karnataka,Bengaluru Urban,18387,4046,274,1,175679.0
2020-07-13,Karnataka,Bengaluru Urban,19702,4329,321,1,179679.0
2020-07-14,Karnataka,Bengaluru Urban,20969,4992,377,1,181045.0
2020-07-15,Karnataka,Bengaluru Urban,22942,5455,437,1,185441.0
2020-07-16,Karnataka,Bengaluru Urban,25286,5952,507,1,185441.0
2020-07-17,Karnataka,Bengaluru Urban,27494,6290,582,1,190536.0
2020-07-18,Karnataka,Bengaluru Urban,29619,6540,631,1,190536.0
