Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Bidar,14,8,0,0,
2020-04-27,Karnataka,Bidar,14,8,0,0,
2020-04-28,Karnataka,Bidar,14,8,0,0,
2020-04-29,Karnataka,Bidar,14,8,0,0,
2020-04-30,Karnataka,Bidar,14,8,0,0,
2020-05-01,Karnataka,Bidar,14,8,0,0,
2020-05-02,Karnataka,Bidar,15,10,1,0,
2020-05-03,Karnataka,Bidar,15,10,1,0,
2020-05-04,Karnataka,Bidar,22,10,1,0,
2020-05-05,Karnataka,Bidar,22,10,1,0,
2020-05-06,Karnataka,Bidar,22,10,1,0,
2020-05-07,Karnataka,Bidar,22,13,1,0,
2020-05-08,Karnataka,Bidar,22,13,1,0,
2020-05-09,Karnataka,Bidar,25,13,1,0,
2020-05-10,Karnataka,Bidar,25,13,1,0,
2020-05-11,Karnataka,Bidar,27,13,1,0,
2020-05-12,Karnataka,Bidar,29,13,1,0,
2020-05-13,Karnataka,Bidar,41,14,1,0,
2020-05-14,Karnataka,Bidar,48,14,1,0,
2020-05-15,Karnataka,Bidar,55,14,2,0,
2020-05-16,Karnataka,Bidar,55,14,2,0,
2020-05-17,Karnataka,Bidar,55,14,2,0,
2020-05-18,Karnataka,Bidar,56,14,2,0,
2020-05-19,Karnataka,Bidar,57,21,2,0,
2020-05-20,Karnataka,Bidar,67,21,2,0,
2020-05-21,Karnataka,Bidar,67,21,2,0,
2020-05-22,Karnataka,Bidar,76,21,2,0,
2020-05-23,Karnataka,Bidar,79,21,2,0,
2020-05-24,Karnataka,Bidar,85,21,2,0,
2020-05-25,Karnataka,Bidar,86,21,2,0,
2020-05-26,Karnataka,Bidar,96,21,2,0,
2020-05-27,Karnataka,Bidar,109,24,3,0,
2020-05-28,Karnataka,Bidar,121,24,3,0,
2020-05-29,Karnataka,Bidar,121,24,3,0,
2020-05-30,Karnataka,Bidar,131,27,4,0,
2020-05-31,Karnataka,Bidar,164,27,5,0,
2020-06-01,Karnataka,Bidar,165,41,5,0,25258.0
2020-06-02,Karnataka,Bidar,175,41,5,0,25257.0
2020-06-03,Karnataka,Bidar,175,41,5,0,28120.0
2020-06-04,Karnataka,Bidar,175,41,5,0,28120.0
2020-06-05,Karnataka,Bidar,214,41,5,0,28120.0
2020-06-06,Karnataka,Bidar,215,74,6,0,29420.0
2020-06-07,Karnataka,Bidar,222,97,6,0,29899.0
2020-06-08,Karnataka,Bidar,270,90,6,0,29899.0
2020-06-09,Karnataka,Bidar,279,132,6,0,29899.0
2020-06-10,Karnataka,Bidar,284,151,6,0,29899.0
2020-06-11,Karnataka,Bidar,298,181,6,0,31433.0
2020-06-12,Karnataka,Bidar,308,203,6,0,31611.0
2020-06-13,Karnataka,Bidar,350,203,6,0,31700.0
2020-06-14,Karnataka,Bidar,370,203,6,0,31948.0
2020-06-15,Karnataka,Bidar,381,239,6,0,32301.0
2020-06-16,Karnataka,Bidar,383,239,7,0,32301.0
2020-06-17,Karnataka,Bidar,395,239,8,0,32301.0
2020-06-18,Karnataka,Bidar,401,251,9,0,33512.0
2020-06-19,Karnataka,Bidar,411,254,11,0,33512.0
2020-06-20,Karnataka,Bidar,484,266,13,0,34422.0
2020-06-21,Karnataka,Bidar,497,324,15,0,35167.0
2020-06-22,Karnataka,Bidar,502,324,15,0,35190.0
2020-06-23,Karnataka,Bidar,524,366,15,0,35190.0
2020-06-24,Karnataka,Bidar,529,378,15,0,34805.0
2020-06-25,Karnataka,Bidar,537,396,15,0,34805.0
2020-06-26,Karnataka,Bidar,538,396,16,0,34805.0
2020-06-27,Karnataka,Bidar,555,456,19,0,34805.0
2020-06-28,Karnataka,Bidar,562,456,19,0,35599.0
2020-06-29,Karnataka,Bidar,590,466,19,0,35599.0
2020-06-30,Karnataka,Bidar,607,477,19,0,35599.0
2020-07-01,Karnataka,Bidar,615,500,21,0,35599.0
2020-07-02,Karnataka,Bidar,647,500,21,0,38989.0
2020-07-03,Karnataka,Bidar,675,500,22,0,38989.0
2020-07-04,Karnataka,Bidar,726,512,28,0,39583.0
2020-07-05,Karnataka,Bidar,755,532,37,0,41086.0
2020-07-06,Karnataka,Bidar,799,561,45,0,41086.0
2020-07-07,Karnataka,Bidar,850,561,49,0,41086.0
2020-07-08,Karnataka,Bidar,879,562,50,0,41695.0
2020-07-09,Karnataka,Bidar,894,562,50,0,41839.0
2020-07-10,Karnataka,Bidar,913,562,53,0,41839.0
2020-07-11,Karnataka,Bidar,976,591,54,0,42390.0
2020-07-12,Karnataka,Bidar,1038,612,54,0,43180.0
2020-07-13,Karnataka,Bidar,1061,612,54,0,43487.0
2020-07-14,Karnataka,Bidar,1103,612,51,3,43487.0
2020-07-15,Karnataka,Bidar,1138,667,51,3,43487.0
2020-07-16,Karnataka,Bidar,1191,670,53,3,43487.0
2020-07-17,Karnataka,Bidar,1260,714,53,3,43487.0
2020-07-18,Karnataka,Bidar,1332,714,54,3,45486.0
2020-07-19,Karnataka,Bidar,1377,733,57,3,45486.0
2020-07-20,Karnataka,Bidar,1403,810,61,3,46354.0
2020-07-21,Karnataka,Bidar,1469,835,63,3,46591.0
2020-07-22,Karnataka,Bidar,1546,1021,66,3,47002.0
2020-07-23,Karnataka,Bidar,1640,1021,69,3,47337.0
2020-07-24,Karnataka,Bidar,1727,1171,69,3,47337.0
2020-07-25,Karnataka,Bidar,1789,1196,69,3,47337.0
2020-07-26,Karnataka,Bidar,1866,1228,69,3,47337.0
2020-07-27,Karnataka,Bidar,1908,1308,70,3,47337.0
2020-07-28,Karnataka,Bidar,1947,1357,72,3,47337.0
2020-07-29,Karnataka,Bidar,2038,1357,71,3,47337.0
2020-07-30,Karnataka,Bidar,2107,1401,73,3,47337.0
2020-07-31,Karnataka,Bidar,2211,1474,75,3,47337.0
2020-08-01,Karnataka,Bidar,2263,1535,79,3,47337.0
2020-08-02,Karnataka,Bidar,2398,1580,79,3,47337.0
2020-08-03,Karnataka,Bidar,2448,1670,82,3,47337.0
2020-08-04,Karnataka,Bidar,2562,1692,85,3,47337.0
2020-08-05,Karnataka,Bidar,2614,1706,87,3,51483.0
2020-08-06,Karnataka,Bidar,2712,1803,90,3,51483.0
2020-08-07,Karnataka,Bidar,2796,1832,91,4,51483.0
