Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-01,Karnataka,Chamarajanagara,0,0,0,0,2574.0
2020-06-02,Karnataka,Chamarajanagara,0,0,0,0,2673.0
2020-06-03,Karnataka,Chamarajanagara,0,0,0,0,2774.0
2020-06-04,Karnataka,Chamarajanagara,0,0,0,0,2850.0
2020-06-05,Karnataka,Chamarajanagara,0,0,0,0,2850.0
2020-06-06,Karnataka,Chamarajanagara,0,0,0,0,2982.0
2020-06-07,Karnataka,Chamarajanagara,0,0,0,0,3051.0
2020-06-08,Karnataka,Chamarajanagara,0,0,0,0,3075.0
2020-06-09,Karnataka,Chamarajanagara,1,0,0,0,3075.0
2020-06-10,Karnataka,Chamarajanagara,1,0,0,0,3075.0
2020-06-11,Karnataka,Chamarajanagara,1,0,0,0,3245.0
2020-06-12,Karnataka,Chamarajanagara,1,0,0,0,3307.0
2020-06-13,Karnataka,Chamarajanagara,1,0,0,0,3380.0
2020-06-14,Karnataka,Chamarajanagara,1,0,0,0,3515.0
2020-06-15,Karnataka,Chamarajanagara,1,0,0,0,3476.0
2020-06-16,Karnataka,Chamarajanagara,1,0,0,0,3476.0
2020-06-17,Karnataka,Chamarajanagara,1,0,0,0,3476.0
2020-06-18,Karnataka,Chamarajanagara,1,0,0,0,3736.0
2020-06-19,Karnataka,Chamarajanagara,1,0,0,0,3736.0
2020-06-20,Karnataka,Chamarajanagara,2,1,0,0,4033.0
2020-06-21,Karnataka,Chamarajanagara,2,1,0,0,4033.0
2020-06-22,Karnataka,Chamarajanagara,2,1,0,0,4214.0
2020-06-23,Karnataka,Chamarajanagara,6,1,0,0,4214.0
2020-06-24,Karnataka,Chamarajanagara,8,1,0,0,4575.0
2020-06-25,Karnataka,Chamarajanagara,9,1,0,0,4575.0
2020-06-26,Karnataka,Chamarajanagara,20,1,0,0,4575.0
2020-06-27,Karnataka,Chamarajanagara,33,1,0,0,4575.0
2020-06-28,Karnataka,Chamarajanagara,33,1,0,0,5156.0
2020-06-29,Karnataka,Chamarajanagara,33,1,0,0,5156.0
2020-06-30,Karnataka,Chamarajanagara,33,1,0,0,5156.0
2020-07-01,Karnataka,Chamarajanagara,54,1,0,0,5156.0
2020-07-02,Karnataka,Chamarajanagara,54,1,0,0,5156.0
2020-07-03,Karnataka,Chamarajanagara,78,1,0,0,5156.0
2020-07-04,Karnataka,Chamarajanagara,83,1,0,0,5156.0
2020-07-05,Karnataka,Chamarajanagara,102,1,0,0,5156.0
2020-07-06,Karnataka,Chamarajanagara,114,4,0,0,5156.0
2020-07-07,Karnataka,Chamarajanagara,120,24,0,0,5156.0
2020-07-08,Karnataka,Chamarajanagara,120,31,0,0,5156.0
2020-07-09,Karnataka,Chamarajanagara,132,31,0,0,5156.0
2020-07-10,Karnataka,Chamarajanagara,141,49,0,0,5156.0
2020-07-11,Karnataka,Chamarajanagara,158,49,0,0,5156.0
2020-07-12,Karnataka,Chamarajanagara,171,49,1,0,5156.0
2020-07-13,Karnataka,Chamarajanagara,180,77,1,0,5156.0
2020-07-14,Karnataka,Chamarajanagara,188,93,3,0,5156.0
2020-07-15,Karnataka,Chamarajanagara,196,110,3,0,5156.0
2020-07-16,Karnataka,Chamarajanagara,212,116,3,0,5156.0
2020-07-17,Karnataka,Chamarajanagara,222,135,3,0,5156.0
2020-07-18,Karnataka,Chamarajanagara,256,135,3,0,5156.0
2020-07-19,Karnataka,Chamarajanagara,281,174,3,0,5156.0
2020-07-20,Karnataka,Chamarajanagara,330,187,3,0,5156.0
2020-07-21,Karnataka,Chamarajanagara,364,198,4,0,5156.0
2020-07-22,Karnataka,Chamarajanagara,395,210,5,0,5156.0
2020-07-23,Karnataka,Chamarajanagara,422,232,5,0,5156.0
2020-07-24,Karnataka,Chamarajanagara,455,232,6,0,5156.0
2020-07-25,Karnataka,Chamarajanagara,477,250,6,0,5156.0
2020-07-26,Karnataka,Chamarajanagara,505,270,6,0,5156.0
2020-07-27,Karnataka,Chamarajanagara,521,288,6,0,5156.0
2020-07-28,Karnataka,Chamarajanagara,573,319,6,0,5156.0
2020-07-29,Karnataka,Chamarajanagara,593,334,6,0,5156.0
2020-07-30,Karnataka,Chamarajanagara,625,364,6,0,5156.0
2020-07-31,Karnataka,Chamarajanagara,669,400,7,0,5156.0
2020-08-01,Karnataka,Chamarajanagara,712,415,7,0,5156.0
2020-08-02,Karnataka,Chamarajanagara,743,463,9,0,5156.0
2020-08-03,Karnataka,Chamarajanagara,795,494,10,0,5156.0
2020-08-04,Karnataka,Chamarajanagara,852,517,13,0,5156.0
2020-08-05,Karnataka,Chamarajanagara,890,545,13,0,5156.0
2020-08-06,Karnataka,Chamarajanagara,985,566,14,0,5156.0
2020-08-07,Karnataka,Chamarajanagara,1048,593,15,0,5156.0
2020-08-08,Karnataka,Chamarajanagara,1110,633,18,0,5156.0
2020-08-09,Karnataka,Chamarajanagara,1157,780,20,0,5156.0
2020-08-10,Karnataka,Chamarajanagara,1227,815,21,0,5156.0
2020-08-11,Karnataka,Chamarajanagara,1299,858,22,0,5156.0
2020-08-12,Karnataka,Chamarajanagara,1367,925,25,0,5156.0
2020-08-13,Karnataka,Chamarajanagara,1423,979,26,0,5156.0
2020-08-14,Karnataka,Chamarajanagara,1484,1046,28,0,5156.0
2020-08-15,Karnataka,Chamarajanagara,1548,1073,29,0,5156.0
2020-08-16,Karnataka,Chamarajanagara,1584,1143,21,8,5156.0
2020-08-17,Karnataka,Chamarajanagara,1645,1194,21,8,5156.0
2020-08-18,Karnataka,Chamarajanagara,1666,1246,22,8,5156.0
2020-08-19,Karnataka,Chamarajanagara,1777,1352,22,8,5156.0
2020-08-20,Karnataka,Chamarajanagara,1897,1386,24,8,5156.0
