Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Davanagere,2,2,0,0,
2020-04-27,Karnataka,Davanagere,2,2,0,0,
2020-04-28,Karnataka,Davanagere,2,2,0,0,
2020-04-29,Karnataka,Davanagere,3,2,0,0,
2020-04-30,Karnataka,Davanagere,4,2,0,0,
2020-05-01,Karnataka,Davanagere,10,2,0,0,
2020-05-02,Karnataka,Davanagere,10,2,1,0,
2020-05-03,Karnataka,Davanagere,10,2,1,0,
2020-05-04,Karnataka,Davanagere,32,2,2,0,
2020-05-05,Karnataka,Davanagere,44,2,3,0,
2020-05-06,Karnataka,Davanagere,44,2,3,0,
2020-05-07,Karnataka,Davanagere,47,2,4,0,
2020-05-08,Karnataka,Davanagere,61,2,4,0,
2020-05-09,Karnataka,Davanagere,67,2,4,0,
2020-05-10,Karnataka,Davanagere,68,2,4,0,
2020-05-11,Karnataka,Davanagere,71,2,4,0,
2020-05-12,Karnataka,Davanagere,83,2,4,0,
2020-05-13,Karnataka,Davanagere,85,2,4,0,
2020-05-14,Karnataka,Davanagere,88,2,4,0,
2020-05-15,Karnataka,Davanagere,88,2,4,0,
2020-05-16,Karnataka,Davanagere,89,2,4,0,
2020-05-17,Karnataka,Davanagere,89,2,4,0,
2020-05-18,Karnataka,Davanagere,90,2,4,0,
2020-05-19,Karnataka,Davanagere,110,2,4,0,
2020-05-20,Karnataka,Davanagere,110,9,4,0,
2020-05-21,Karnataka,Davanagere,113,14,4,0,
2020-05-22,Karnataka,Davanagere,116,21,4,0,
2020-05-23,Karnataka,Davanagere,119,28,4,0,
2020-05-24,Karnataka,Davanagere,123,46,4,0,
2020-05-25,Karnataka,Davanagere,123,50,4,0,
2020-05-26,Karnataka,Davanagere,134,64,4,0,
2020-05-27,Karnataka,Davanagere,140,66,4,0,
2020-05-28,Karnataka,Davanagere,140,79,4,0,
2020-05-29,Karnataka,Davanagere,144,84,4,0,
2020-05-30,Karnataka,Davanagere,148,104,4,0,
2020-05-31,Karnataka,Davanagere,154,121,4,0,
2020-06-01,Karnataka,Davanagere,156,121,4,0,7822.0
2020-06-02,Karnataka,Davanagere,163,121,4,0,7986.0
2020-06-03,Karnataka,Davanagere,166,134,5,0,8286.0
2020-06-04,Karnataka,Davanagere,179,141,6,0,8760.0
2020-06-05,Karnataka,Davanagere,180,147,6,0,8560.0
2020-06-06,Karnataka,Davanagere,186,149,6,0,8867.0
2020-06-07,Karnataka,Davanagere,203,150,6,0,9049.0
2020-06-08,Karnataka,Davanagere,203,150,6,0,9779.0
2020-06-09,Karnataka,Davanagere,211,157,6,0,9779.0
2020-06-10,Karnataka,Davanagere,214,165,6,0,9779.0
2020-06-11,Karnataka,Davanagere,223,168,6,0,10247.0
2020-06-12,Karnataka,Davanagere,223,171,6,0,10540.0
2020-06-13,Karnataka,Davanagere,226,184,6,0,10761.0
2020-06-14,Karnataka,Davanagere,226,194,6,0,11032.0
2020-06-15,Karnataka,Davanagere,227,195,6,0,11032.0
