Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Dharwad,9,2,0,0,
2020-04-27,Karnataka,Dharwad,9,2,0,0,
2020-04-28,Karnataka,Dharwad,9,2,0,0,
2020-04-29,Karnataka,Dharwad,9,2,0,0,
2020-04-30,Karnataka,Dharwad,9,2,0,0,
2020-05-01,Karnataka,Dharwad,10,2,0,0,
2020-05-02,Karnataka,Dharwad,10,4,0,0,
2020-05-03,Karnataka,Dharwad,10,4,0,0,
2020-05-04,Karnataka,Dharwad,10,6,0,0,
2020-05-05,Karnataka,Dharwad,11,6,0,0,
2020-05-06,Karnataka,Dharwad,11,6,0,0,
2020-05-07,Karnataka,Dharwad,12,6,0,0,
2020-05-08,Karnataka,Dharwad,12,7,0,0,
2020-05-09,Karnataka,Dharwad,12,7,0,0,
2020-05-10,Karnataka,Dharwad,12,7,0,0,
2020-05-11,Karnataka,Dharwad,12,7,0,0,
2020-05-12,Karnataka,Dharwad,21,7,0,0,
2020-05-13,Karnataka,Dharwad,21,7,0,0,
2020-05-14,Karnataka,Dharwad,21,7,0,0,
2020-05-15,Karnataka,Dharwad,21,7,0,0,
2020-05-16,Karnataka,Dharwad,22,7,0,0,
2020-05-17,Karnataka,Dharwad,26,7,0,0,
2020-05-18,Karnataka,Dharwad,26,7,0,0,
2020-05-19,Karnataka,Dharwad,26,7,0,0,
2020-05-20,Karnataka,Dharwad,26,9,0,0,10522.0
2020-05-21,Karnataka,Dharwad,31,9,0,0,11086.0
2020-05-22,Karnataka,Dharwad,33,9,0,0,11086.0
2020-05-23,Karnataka,Dharwad,38,10,0,0,11086.0
2020-05-24,Karnataka,Dharwad,39,10,0,0,11086.0
2020-05-25,Karnataka,Dharwad,43,10,0,0,11086.0
2020-05-26,Karnataka,Dharwad,43,10,0,0,11086.0
2020-05-27,Karnataka,Dharwad,43,11,0,0,11086.0
2020-05-28,Karnataka,Dharwad,43,11,0,0,11086.0
2020-05-29,Karnataka,Dharwad,44,11,0,0,11086.0
2020-05-30,Karnataka,Dharwad,46,11,0,0,11086.0
2020-05-31,Karnataka,Dharwad,46,11,0,0,11086.0
2020-06-01,Karnataka,Dharwad,48,9,0,0,15491.0
2020-06-02,Karnataka,Dharwad,50,24,0,0,15893.0
2020-06-03,Karnataka,Dharwad,51,25,0,0,16336.0
2020-06-04,Karnataka,Dharwad,51,27,0,0,16838.0
2020-06-05,Karnataka,Dharwad,54,28,0,0,17278.0
2020-06-06,Karnataka,Dharwad,57,32,0,0,17864.0
2020-06-07,Karnataka,Dharwad,60,31,0,0,18230.0
2020-06-08,Karnataka,Dharwad,64,39,0,0,18825.0
2020-06-09,Karnataka,Dharwad,66,39,0,0,18825.0
2020-06-10,Karnataka,Dharwad,70,45,1,0,18825.0
2020-06-11,Karnataka,Dharwad,72,46,1,0,19742.0
2020-06-12,Karnataka,Dharwad,91,46,1,0,20047.0
2020-06-13,Karnataka,Dharwad,111,48,2,0,20342.0
2020-06-14,Karnataka,Dharwad,121,50,2,0,20783.0
2020-06-15,Karnataka,Dharwad,155,50,3,0,21123.0
2020-06-16,Karnataka,Dharwad,163,50,3,0,21632.0
2020-06-17,Karnataka,Dharwad,171,50,3,0,21767.0
2020-06-18,Karnataka,Dharwad,175,50,3,0,21632.0
2020-06-19,Karnataka,Dharwad,178,52,3,0,21632.0
2020-06-20,Karnataka,Dharwad,183,63,3,0,21923.0
2020-06-21,Karnataka,Dharwad,198,75,3,0,22102.0
2020-06-22,Karnataka,Dharwad,202,77,3,0,22257.0
2020-06-23,Karnataka,Dharwad,206,91,3,0,22257.0
2020-06-24,Karnataka,Dharwad,218,98,3,0,22823.0
2020-06-25,Karnataka,Dharwad,244,141,3,0,22823.0
2020-06-26,Karnataka,Dharwad,274,154,4,0,22823.0
2020-06-27,Karnataka,Dharwad,293,158,5,0,24167.0
2020-06-28,Karnataka,Dharwad,311,165,6,0,24386.0
2020-06-29,Karnataka,Dharwad,328,176,6,0,24674.0
2020-06-30,Karnataka,Dharwad,345,181,8,0,25300.0
2020-07-01,Karnataka,Dharwad,380,181,8,0,25814.0
2020-07-02,Karnataka,Dharwad,427,181,8,0,25814.0
2020-07-03,Karnataka,Dharwad,465,201,8,0,26739.0
2020-07-04,Karnataka,Dharwad,510,210,11,0,27151.0
2020-07-05,Karnataka,Dharwad,555,232,12,0,27601.0
2020-07-06,Karnataka,Dharwad,611,254,12,0,27799.0
2020-07-07,Karnataka,Dharwad,668,254,13,0,27799.0
2020-07-08,Karnataka,Dharwad,757,277,20,0,28746.0
2020-07-09,Karnataka,Dharwad,832,294,27,0,28944.0
2020-07-10,Karnataka,Dharwad,882,307,29,0,29808.0
2020-07-11,Karnataka,Dharwad,959,319,32,0,30157.0
2020-07-12,Karnataka,Dharwad,1088,383,33,0,30834.0
2020-07-13,Karnataka,Dharwad,1159,419,38,0,31161.0
2020-07-14,Karnataka,Dharwad,1259,450,39,0,31710.0
2020-07-15,Karnataka,Dharwad,1400,482,44,0,32233.0
2020-07-16,Karnataka,Dharwad,1576,524,44,0,32735.0
2020-07-17,Karnataka,Dharwad,1733,593,52,0,32983.0
2020-07-18,Karnataka,Dharwad,1919,643,58,0,33433.0
2020-07-19,Karnataka,Dharwad,2045,677,62,0,33768.0
2020-07-20,Karnataka,Dharwad,2245,710,68,0,33980.0
2020-07-21,Karnataka,Dharwad,2329,710,73,0,34442.0
2020-07-22,Karnataka,Dharwad,2485,845,78,0,34795.0
2020-07-23,Karnataka,Dharwad,2668,921,80,0,35271.0
2020-07-24,Karnataka,Dharwad,2842,973,85,0,35598.0
2020-07-25,Karnataka,Dharwad,3025,1166,89,0,35818.0
2020-07-26,Karnataka,Dharwad,3190,1222,95,0,35877.0
2020-07-27,Karnataka,Dharwad,3383,1277,103,0,36294.0
2020-07-28,Karnataka,Dharwad,3556,1333,109,0,36699.0
2020-07-29,Karnataka,Dharwad,3731,1513,116,0,37264.0
2020-07-30,Karnataka,Dharwad,3911,1665,124,0,37763.0
2020-07-31,Karnataka,Dharwad,4091,1729,131,0,38281.0
2020-08-01,Karnataka,Dharwad,4275,1779,139,0,38433.0
2020-08-02,Karnataka,Dharwad,4456,1846,147,0,39251.0
2020-08-03,Karnataka,Dharwad,4647,1934,155,0,39251.0
2020-08-04,Karnataka,Dharwad,4835,2226,163,0,44026.0
2020-08-05,Karnataka,Dharwad,5034,2505,164,0,45709.0
2020-08-06,Karnataka,Dharwad,5246,2846,172,0,46627.0
2020-08-07,Karnataka,Dharwad,5512,2967,181,0,47238.0
2020-08-08,Karnataka,Dharwad,5773,3150,187,0,48449.0
2020-08-09,Karnataka,Dharwad,5969,3241,193,0,48449.0
2020-08-10,Karnataka,Dharwad,6126,3516,197,0,49824.0
2020-08-11,Karnataka,Dharwad,6402,3952,206,0,49824.0
2020-08-12,Karnataka,Dharwad,6671,4186,208,0,51726.0
2020-08-13,Karnataka,Dharwad,6928,4325,214,0,51726.0
2020-08-14,Karnataka,Dharwad,7147,4524,222,0,52956.0
2020-08-15,Karnataka,Dharwad,7386,4634,229,0,52956.0
2020-08-16,Karnataka,Dharwad,7654,4834,234,0,54056.0
2020-08-17,Karnataka,Dharwad,7855,5014,239,0,56066.0
2020-08-18,Karnataka,Dharwad,8134,5365,249,0,57710.0
