Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-12,Karnataka,Kolar,5,0,0,0,
2020-05-13,Karnataka,Kolar,5,0,0,0,
2020-05-14,Karnataka,Kolar,5,0,0,0,
2020-05-15,Karnataka,Kolar,6,0,0,0,
2020-05-16,Karnataka,Kolar,6,0,0,0,
2020-05-17,Karnataka,Kolar,9,0,0,0,
2020-05-18,Karnataka,Kolar,9,0,0,0,
2020-05-19,Karnataka,Kolar,9,0,0,0,
2020-05-20,Karnataka,Kolar,9,0,0,0,
2020-05-21,Karnataka,Kolar,11,0,0,0,
2020-05-22,Karnataka,Kolar,11,0,0,0,
2020-05-23,Karnataka,Kolar,14,0,0,0,
2020-05-24,Karnataka,Kolar,14,0,0,0,
2020-05-25,Karnataka,Kolar,16,0,0,0,
2020-05-26,Karnataka,Kolar,18,0,0,0,
2020-05-27,Karnataka,Kolar,19,0,0,0,
2020-05-28,Karnataka,Kolar,19,0,0,0,
2020-05-29,Karnataka,Kolar,19,0,0,0,
2020-05-30,Karnataka,Kolar,22,5,0,0,
2020-05-31,Karnataka,Kolar,23,5,0,0,
2020-06-01,Karnataka,Kolar,25,5,0,0,6653.0
2020-06-02,Karnataka,Kolar,26,9,0,0,6674.0
2020-06-03,Karnataka,Kolar,28,9,0,0,7244.0
2020-06-04,Karnataka,Kolar,28,9,0,0,7240.0
2020-06-05,Karnataka,Kolar,29,9,0,0,7376.0
2020-06-06,Karnataka,Kolar,30,16,0,0,7467.0
2020-06-07,Karnataka,Kolar,30,16,0,0,7543.0
2020-06-08,Karnataka,Kolar,30,16,0,0,7543.0
2020-06-09,Karnataka,Kolar,30,18,0,0,7543.0
2020-06-10,Karnataka,Kolar,30,26,0,0,7543.0
2020-06-11,Karnataka,Kolar,36,26,0,0,7860.0
2020-06-12,Karnataka,Kolar,37,26,0,0,7986.0
2020-06-13,Karnataka,Kolar,41,26,0,0,8035.0
2020-06-14,Karnataka,Kolar,48,26,0,0,8214.0
2020-06-15,Karnataka,Kolar,48,26,0,0,8207.0
2020-06-16,Karnataka,Kolar,48,27,0,0,8207.0
2020-06-17,Karnataka,Kolar,48,27,0,0,8207.0
2020-06-18,Karnataka,Kolar,48,29,0,0,8671.0
2020-06-19,Karnataka,Kolar,52,29,0,0,8671.0
2020-06-20,Karnataka,Kolar,56,32,0,0,8824.0
2020-06-21,Karnataka,Kolar,64,32,0,0,9193.0
2020-06-22,Karnataka,Kolar,66,32,0,0,9201.0
2020-06-23,Karnataka,Kolar,74,32,0,0,9201.0
2020-06-24,Karnataka,Kolar,80,36,0,0,9654.0
2020-06-25,Karnataka,Kolar,84,36,0,0,9654.0
2020-06-26,Karnataka,Kolar,90,42,1,0,9654.0
2020-06-27,Karnataka,Kolar,104,46,1,0,9654.0
2020-06-28,Karnataka,Kolar,115,52,1,0,9797.0
2020-06-29,Karnataka,Kolar,119,52,1,0,9797.0
2020-06-30,Karnataka,Kolar,122,53,2,0,9797.0
2020-07-01,Karnataka,Kolar,127,57,2,0,9797.0
2020-07-02,Karnataka,Kolar,139,57,2,0,9797.0
2020-07-03,Karnataka,Kolar,150,62,2,0,9797.0
2020-07-04,Karnataka,Kolar,161,65,2,0,9797.0
2020-07-05,Karnataka,Kolar,174,72,2,0,9797.0
2020-07-06,Karnataka,Kolar,184,82,2,0,9797.0
2020-07-07,Karnataka,Kolar,190,89,2,0,9797.0
2020-07-08,Karnataka,Kolar,206,90,2,0,9797.0
2020-07-09,Karnataka,Kolar,240,90,2,0,9797.0
2020-07-10,Karnataka,Kolar,249,90,2,0,9797.0
2020-07-11,Karnataka,Kolar,261,114,2,0,9797.0
2020-07-12,Karnataka,Kolar,285,121,2,0,9797.0
2020-07-13,Karnataka,Kolar,306,121,2,0,9797.0
2020-07-14,Karnataka,Kolar,317,124,2,0,9797.0
2020-07-15,Karnataka,Kolar,332,132,2,0,9797.0
2020-07-16,Karnataka,Kolar,375,132,8,0,9797.0
2020-07-17,Karnataka,Kolar,426,132,9,0,9797.0
2020-07-18,Karnataka,Kolar,461,132,9,0,9797.0
2020-07-19,Karnataka,Kolar,486,132,14,0,9797.0
2020-07-20,Karnataka,Kolar,527,184,14,0,9797.0
2020-07-21,Karnataka,Kolar,630,184,18,0,9797.0
2020-07-22,Karnataka,Kolar,718,194,19,0,9797.0
2020-07-23,Karnataka,Kolar,758,244,19,0,9797.0
2020-07-24,Karnataka,Kolar,794,280,20,0,9797.0
2020-07-25,Karnataka,Kolar,862,350,20,0,9797.0
2020-07-26,Karnataka,Kolar,911,358,20,0,9797.0
2020-07-27,Karnataka,Kolar,1053,358,22,0,9797.0
2020-07-28,Karnataka,Kolar,1227,358,23,0,9797.0
2020-07-29,Karnataka,Kolar,1261,358,23,0,9797.0
2020-07-30,Karnataka,Kolar,1293,448,25,0,9797.0
2020-07-31,Karnataka,Kolar,1325,490,25,0,9797.0
2020-08-01,Karnataka,Kolar,1364,490,25,0,9797.0
2020-08-02,Karnataka,Kolar,1415,549,25,0,9797.0
2020-08-03,Karnataka,Kolar,1455,549,25,0,9797.0
2020-08-04,Karnataka,Kolar,1501,587,25,0,9797.0
2020-08-05,Karnataka,Kolar,1550,737,29,0,9797.0
2020-08-06,Karnataka,Kolar,1657,811,33,0,9797.0
2020-08-07,Karnataka,Kolar,1745,854,36,0,9797.0
2020-08-08,Karnataka,Kolar,1802,863,36,0,9797.0
2020-08-09,Karnataka,Kolar,1889,863,44,0,9797.0
2020-08-10,Karnataka,Kolar,1989,901,44,0,9797.0
2020-08-11,Karnataka,Kolar,2058,927,44,0,9797.0
2020-08-12,Karnataka,Kolar,2091,978,46,0,9797.0
2020-08-13,Karnataka,Kolar,2168,1017,46,0,9797.0
2020-08-14,Karnataka,Kolar,2249,1038,46,0,9797.0
2020-08-15,Karnataka,Kolar,2304,1116,46,0,9797.0
2020-08-16,Karnataka,Kolar,2394,1276,46,0,9797.0
2020-08-17,Karnataka,Kolar,2515,1477,46,0,9797.0
2020-08-18,Karnataka,Kolar,2586,1644,46,0,9797.0
2020-08-19,Karnataka,Kolar,2672,1758,46,0,9797.0
2020-08-20,Karnataka,Kolar,2741,1890,47,0,9797.0
2020-08-21,Karnataka,Kolar,2791,1975,49,0,9797.0
2020-08-22,Karnataka,Kolar,2860,2045,49,0,9797.0
2020-08-23,Karnataka,Kolar,2907,2113,51,0,9797.0
2020-08-24,Karnataka,Kolar,2952,2235,51,0,9797.0
2020-08-25,Karnataka,Kolar,2999,2352,53,0,9797.0
2020-08-26,Karnataka,Kolar,3087,2468,56,0,9797.0
2020-08-27,Karnataka,Kolar,3195,2488,56,0,9797.0
2020-08-28,Karnataka,Kolar,3269,2489,59,0,9797.0
2020-08-29,Karnataka,Kolar,3320,2566,62,0,9797.0
2020-08-30,Karnataka,Kolar,3402,2615,62,0,9797.0
2020-08-31,Karnataka,Kolar,3462,2673,63,0,9797.0
2020-09-01,Karnataka,Kolar,3526,2732,64,0,9797.0
2020-09-02,Karnataka,Kolar,3609,2805,64,0,9797.0
2020-09-03,Karnataka,Kolar,3712,2883,64,0,9797.0
2020-09-04,Karnataka,Kolar,3798,2959,65,0,9797.0
2020-09-05,Karnataka,Kolar,3910,3129,66,0,9797.0
2020-09-06,Karnataka,Kolar,4029,3174,66,0,9797.0
