Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-18,Karnataka,Koppal,3,0,0,0,
2020-05-19,Karnataka,Koppal,3,0,0,0,
2020-05-20,Karnataka,Koppal,3,0,0,0,
2020-05-21,Karnataka,Koppal,3,0,0,0,
2020-05-22,Karnataka,Koppal,3,0,0,0,
2020-05-23,Karnataka,Koppal,3,0,0,0,
2020-05-24,Karnataka,Koppal,3,0,0,0,
2020-05-25,Karnataka,Koppal,3,0,0,0,
2020-05-26,Karnataka,Koppal,4,0,0,0,
2020-05-27,Karnataka,Koppal,4,0,0,0,
2020-05-28,Karnataka,Koppal,4,0,0,0,
2020-05-29,Karnataka,Koppal,4,0,0,0,
2020-05-30,Karnataka,Koppal,4,0,0,0,
2020-05-31,Karnataka,Koppal,4,2,0,0,
2020-06-01,Karnataka,Koppal,4,3,0,0,4210.0
2020-06-02,Karnataka,Koppal,4,3,0,0,4315.0
2020-06-03,Karnataka,Koppal,4,3,0,0,4504.0
2020-06-04,Karnataka,Koppal,4,3,0,0,4693.0
2020-06-05,Karnataka,Koppal,4,3,0,0,4801.0
2020-06-06,Karnataka,Koppal,5,3,0,0,4890.0
2020-06-07,Karnataka,Koppal,5,3,0,0,5029.0
2020-06-08,Karnataka,Koppal,6,3,0,0,5073.0
2020-06-09,Karnataka,Koppal,12,4,0,0,5073.0
2020-06-10,Karnataka,Koppal,12,4,0,0,5073.0
2020-06-11,Karnataka,Koppal,13,4,0,0,5707.0
2020-06-12,Karnataka,Koppal,13,4,0,0,5720.0
2020-06-13,Karnataka,Koppal,13,4,0,0,5975.0
2020-06-14,Karnataka,Koppal,13,9,0,0,6147.0
2020-06-15,Karnataka,Koppal,17,9,0,0,6222.0
2020-06-16,Karnataka,Koppal,21,9,0,0,6222.0
2020-06-17,Karnataka,Koppal,21,11,0,0,6222.0
2020-06-18,Karnataka,Koppal,22,11,1,0,6944.0
2020-06-19,Karnataka,Koppal,28,11,1,0,6944.0
2020-06-20,Karnataka,Koppal,28,11,1,0,7355.0
2020-06-21,Karnataka,Koppal,28,12,1,0,7584.0
2020-06-22,Karnataka,Koppal,29,16,1,0,7629.0
2020-06-23,Karnataka,Koppal,33,16,1,0,7629.0
2020-06-24,Karnataka,Koppal,44,18,1,0,8139.0
2020-06-25,Karnataka,Koppal,44,20,1,0,8139.0
2020-06-26,Karnataka,Koppal,80,20,1,0,8139.0
2020-06-27,Karnataka,Koppal,81,21,1,0,8139.0
2020-06-28,Karnataka,Koppal,84,21,1,0,8708.0
2020-06-29,Karnataka,Koppal,84,21,1,0,8708.0
2020-06-30,Karnataka,Koppal,84,27,1,0,8708.0
2020-07-01,Karnataka,Koppal,97,41,1,0,8708.0
2020-07-02,Karnataka,Koppal,101,41,2,0,8708.0
2020-07-03,Karnataka,Koppal,105,67,2,0,8708.0
2020-07-04,Karnataka,Koppal,108,68,2,0,8708.0
2020-07-05,Karnataka,Koppal,130,77,2,0,8708.0
2020-07-06,Karnataka,Koppal,139,77,2,0,8708.0
2020-07-07,Karnataka,Koppal,144,79,2,0,8708.0
2020-07-08,Karnataka,Koppal,155,86,2,0,8708.0
2020-07-09,Karnataka,Koppal,157,86,2,0,8708.0
2020-07-10,Karnataka,Koppal,164,87,2,0,8708.0
2020-07-11,Karnataka,Koppal,187,99,4,0,8708.0
2020-07-12,Karnataka,Koppal,214,113,5,0,8708.0
2020-07-13,Karnataka,Koppal,245,113,5,0,8708.0
2020-07-14,Karnataka,Koppal,343,113,5,0,8708.0
2020-07-15,Karnataka,Koppal,357,136,5,0,8708.0
2020-07-16,Karnataka,Koppal,389,174,5,0,8708.0
2020-07-17,Karnataka,Koppal,419,203,5,0,8708.0
2020-07-18,Karnataka,Koppal,432,219,5,0,8708.0
2020-07-19,Karnataka,Koppal,451,247,9,0,8708.0
2020-07-20,Karnataka,Koppal,513,284,11,0,8708.0
2020-07-21,Karnataka,Koppal,558,315,11,0,8708.0
2020-07-22,Karnataka,Koppal,579,318,11,0,8708.0
2020-07-23,Karnataka,Koppal,596,347,11,0,8708.0
2020-07-24,Karnataka,Koppal,635,379,13,0,8708.0
2020-07-25,Karnataka,Koppal,666,430,15,0,8708.0
2020-07-26,Karnataka,Koppal,706,459,15,0,8708.0
2020-07-27,Karnataka,Koppal,734,507,16,0,8708.0
2020-07-28,Karnataka,Koppal,878,518,17,0,8708.0
2020-07-29,Karnataka,Koppal,962,567,18,0,8708.0
2020-07-30,Karnataka,Koppal,1040,577,19,0,8708.0
2020-07-31,Karnataka,Koppal,1078,595,19,0,8708.0
2020-08-01,Karnataka,Koppal,1185,666,21,0,8708.0
2020-08-02,Karnataka,Koppal,1272,695,23,0,8708.0
2020-08-03,Karnataka,Koppal,1429,713,23,0,8708.0
