Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Mandya,16,4,0,0,
2020-04-27,Karnataka,Mandya,18,4,0,0,
2020-04-28,Karnataka,Mandya,18,4,0,0,
2020-04-29,Karnataka,Mandya,18,4,0,0,
2020-04-30,Karnataka,Mandya,18,4,0,0,
2020-05-01,Karnataka,Mandya,26,4,0,0,
2020-05-02,Karnataka,Mandya,26,4,0,0,
2020-05-03,Karnataka,Mandya,26,4,0,0,
2020-05-04,Karnataka,Mandya,28,7,0,0,
2020-05-05,Karnataka,Mandya,28,7,0,0,
2020-05-06,Karnataka,Mandya,28,11,0,0,
2020-05-07,Karnataka,Mandya,28,11,0,0,
2020-05-08,Karnataka,Mandya,28,11,0,0,
2020-05-09,Karnataka,Mandya,28,14,0,0,
2020-05-10,Karnataka,Mandya,28,14,0,0,
2020-05-11,Karnataka,Mandya,30,14,0,0,
2020-05-12,Karnataka,Mandya,31,14,0,0,
2020-05-13,Karnataka,Mandya,31,19,0,0,
2020-05-14,Karnataka,Mandya,36,19,0,0,
2020-05-15,Karnataka,Mandya,49,19,0,0,
2020-05-16,Karnataka,Mandya,50,19,0,0,
2020-05-17,Karnataka,Mandya,72,19,0,0,
2020-05-18,Karnataka,Mandya,89,21,0,0,
2020-05-19,Karnataka,Mandya,160,21,0,0,
2020-05-20,Karnataka,Mandya,168,24,0,0,
2020-05-21,Karnataka,Mandya,201,25,0,0,
2020-05-22,Karnataka,Mandya,209,25,0,0,
2020-05-23,Karnataka,Mandya,237,26,0,0,
2020-05-24,Karnataka,Mandya,252,26,0,0,
2020-05-25,Karnataka,Mandya,254,27,0,0,
2020-05-26,Karnataka,Mandya,254,28,0,0,
2020-05-27,Karnataka,Mandya,255,28,0,0,
2020-05-28,Karnataka,Mandya,255,28,0,0,
2020-05-29,Karnataka,Mandya,257,33,0,0,
2020-05-30,Karnataka,Mandya,257,33,0,0,
2020-05-31,Karnataka,Mandya,270,61,0,0,
2020-06-01,Karnataka,Mandya,285,61,0,0,10463.0
2020-06-02,Karnataka,Mandya,289,81,0,0,10679.0
2020-06-03,Karnataka,Mandya,302,81,0,0,10904.0
2020-06-04,Karnataka,Mandya,317,133,0,0,11047.0
2020-06-05,Karnataka,Mandya,330,146,0,0,11161.0
2020-06-06,Karnataka,Mandya,333,170,0,0,11274.0
2020-06-07,Karnataka,Mandya,334,211,0,0,11414.0
2020-06-08,Karnataka,Mandya,334,222,0,0,11414.0
2020-06-09,Karnataka,Mandya,334,236,0,0,11414.0
2020-06-10,Karnataka,Mandya,334,247,0,0,11414.0
2020-06-11,Karnataka,Mandya,334,255,0,0,11942.0
2020-06-12,Karnataka,Mandya,336,255,0,0,12117.0
2020-06-13,Karnataka,Mandya,338,261,0,0,11955.0
2020-06-14,Karnataka,Mandya,343,261,0,0,12547.0
2020-06-15,Karnataka,Mandya,343,261,0,0,12542.0
2020-06-16,Karnataka,Mandya,343,282,0,0,12542.0
2020-06-17,Karnataka,Mandya,350,288,0,0,12542.0
2020-06-18,Karnataka,Mandya,357,304,0,0,13108.0
2020-06-19,Karnataka,Mandya,360,318,0,0,13108.0
2020-06-20,Karnataka,Mandya,364,321,0,0,13614.0
2020-06-21,Karnataka,Mandya,369,321,0,0,13531.0
2020-06-22,Karnataka,Mandya,369,321,0,0,13797.0
2020-06-23,Karnataka,Mandya,371,334,0,0,13797.0
2020-06-24,Karnataka,Mandya,373,334,0,0,14381.0
2020-06-25,Karnataka,Mandya,382,334,0,0,14381.0
2020-06-26,Karnataka,Mandya,388,334,0,0,14381.0
2020-06-27,Karnataka,Mandya,400,338,0,0,14381.0
2020-06-28,Karnataka,Mandya,406,338,0,0,14874.0
2020-06-29,Karnataka,Mandya,414,338,0,0,14874.0
2020-06-30,Karnataka,Mandya,416,338,0,0,14874.0
2020-07-01,Karnataka,Mandya,421,340,0,0,14874.0
2020-07-02,Karnataka,Mandya,440,352,0,0,14874.0
2020-07-03,Karnataka,Mandya,473,354,0,0,14874.0
2020-07-04,Karnataka,Mandya,508,354,0,0,14874.0
2020-07-05,Karnataka,Mandya,518,367,0,0,14874.0
2020-07-06,Karnataka,Mandya,557,367,0,0,14874.0
2020-07-07,Karnataka,Mandya,586,381,0,0,14874.0
2020-07-08,Karnataka,Mandya,606,381,0,0,14874.0
2020-07-09,Karnataka,Mandya,630,396,0,0,14874.0
2020-07-10,Karnataka,Mandya,661,431,0,0,14874.0
2020-07-11,Karnataka,Mandya,684,463,0,0,14874.0
2020-07-12,Karnataka,Mandya,688,463,0,0,14874.0
2020-07-13,Karnataka,Mandya,718,505,0,0,14874.0
2020-07-14,Karnataka,Mandya,756,533,0,0,14874.0
2020-07-15,Karnataka,Mandya,787,552,1,0,14874.0
2020-07-16,Karnataka,Mandya,798,579,2,0,14874.0
2020-07-17,Karnataka,Mandya,820,579,4,0,14874.0
2020-07-18,Karnataka,Mandya,862,579,5,0,14874.0
2020-07-19,Karnataka,Mandya,869,609,7,0,14874.0
2020-07-20,Karnataka,Mandya,910,609,7,0,14874.0
2020-07-21,Karnataka,Mandya,923,695,7,0,14874.0
2020-07-22,Karnataka,Mandya,960,695,7,0,14874.0
2020-07-23,Karnataka,Mandya,1010,700,9,0,14874.0
2020-07-24,Karnataka,Mandya,1067,739,9,0,14874.0
2020-07-25,Karnataka,Mandya,1127,783,9,0,14874.0
2020-07-26,Karnataka,Mandya,1191,808,10,0,14874.0
2020-07-27,Karnataka,Mandya,1247,808,10,0,14874.0
2020-07-28,Karnataka,Mandya,1343,864,10,0,14874.0
2020-07-29,Karnataka,Mandya,1413,864,10,0,14874.0
2020-07-30,Karnataka,Mandya,1500,914,10,0,14874.0
2020-07-31,Karnataka,Mandya,1565,956,10,0,14874.0
2020-08-01,Karnataka,Mandya,1660,983,11,0,14874.0
2020-08-02,Karnataka,Mandya,1757,1009,14,0,14874.0
2020-08-03,Karnataka,Mandya,1909,1053,14,0,14874.0
2020-08-04,Karnataka,Mandya,2035,1093,16,0,14874.0
2020-08-05,Karnataka,Mandya,2158,1183,19,0,14874.0
2020-08-06,Karnataka,Mandya,2292,1246,20,0,14874.0
2020-08-07,Karnataka,Mandya,2394,1265,20,0,14874.0
2020-08-08,Karnataka,Mandya,2495,1315,21,0,14874.0
2020-08-09,Karnataka,Mandya,2558,1349,22,0,14874.0
2020-08-10,Karnataka,Mandya,2624,1349,24,0,14874.0
2020-08-11,Karnataka,Mandya,2765,1386,26,0,14874.0
2020-08-12,Karnataka,Mandya,2886,1521,29,0,14874.0
2020-08-13,Karnataka,Mandya,3016,1690,31,0,14874.0
2020-08-14,Karnataka,Mandya,3179,1755,32,0,14874.0
2020-08-15,Karnataka,Mandya,3263,1791,33,0,14874.0
2020-08-16,Karnataka,Mandya,3354,1900,36,0,14874.0
2020-08-17,Karnataka,Mandya,3380,1982,37,0,14874.0
2020-08-18,Karnataka,Mandya,3554,2112,39,0,14874.0
2020-08-19,Karnataka,Mandya,3739,2193,39,0,14874.0
2020-08-20,Karnataka,Mandya,3848,2286,39,0,14874.0
2020-08-21,Karnataka,Mandya,3947,2350,40,0,14874.0
2020-08-22,Karnataka,Mandya,4093,2422,42,0,14874.0
2020-08-23,Karnataka,Mandya,4144,2561,44,0,14874.0
2020-08-24,Karnataka,Mandya,4226,2647,45,0,14874.0
2020-08-25,Karnataka,Mandya,4379,2784,47,0,14874.0
2020-08-26,Karnataka,Mandya,4534,2994,49,0,14874.0
2020-08-27,Karnataka,Mandya,4731,3248,51,0,14874.0
2020-08-28,Karnataka,Mandya,4919,3334,53,0,14874.0
2020-08-29,Karnataka,Mandya,5113,3557,56,0,14874.0
2020-08-30,Karnataka,Mandya,5292,3674,58,0,14874.0
2020-08-31,Karnataka,Mandya,5451,3735,62,0,14874.0
2020-09-01,Karnataka,Mandya,5648,3835,63,0,14874.0
2020-09-02,Karnataka,Mandya,5893,3989,65,0,14874.0
2020-09-03,Karnataka,Mandya,6132,4039,65,0,14874.0
2020-09-04,Karnataka,Mandya,6300,4142,66,0,14874.0
2020-09-05,Karnataka,Mandya,6546,4433,70,0,14874.0
2020-09-06,Karnataka,Mandya,6776,4482,71,0,14874.0
2020-09-07,Karnataka,Mandya,6945,4651,72,0,14874.0
2020-09-08,Karnataka,Mandya,7218,5061,76,0,14874.0
2020-09-09,Karnataka,Mandya,7442,5188,79,0,14874.0
2020-09-10,Karnataka,Mandya,7691,5439,82,0,14874.0
2020-09-11,Karnataka,Mandya,7822,5544,86,0,14874.0
2020-09-12,Karnataka,Mandya,8015,5714,86,0,14874.0
2020-09-13,Karnataka,Mandya,8261,5991,86,0,14874.0
2020-09-14,Karnataka,Mandya,8370,6171,87,0,14874.0
2020-09-15,Karnataka,Mandya,8570,6531,87,0,14874.0
2020-09-16,Karnataka,Mandya,8752,6531,88,0,14874.0
2020-09-17,Karnataka,Mandya,8838,6531,88,0,14874.0
2020-09-18,Karnataka,Mandya,8907,6912,90,0,14874.0
2020-09-19,Karnataka,Mandya,9001,7324,92,0,14874.0
2020-09-20,Karnataka,Mandya,9166,7377,93,0,14874.0
2020-09-21,Karnataka,Mandya,9268,7801,95,0,14874.0
2020-09-22,Karnataka,Mandya,9402,7855,96,0,14874.0
2020-09-23,Karnataka,Mandya,9605,7878,96,0,14874.0
2020-09-24,Karnataka,Mandya,9691,8192,97,0,14874.0
2020-09-25,Karnataka,Mandya,9802,8288,98,0,14874.0
2020-09-26,Karnataka,Mandya,10057,8391,99,0,14874.0
2020-09-27,Karnataka,Mandya,10333,8456,100,0,14874.0
2020-09-28,Karnataka,Mandya,10542,8535,100,0,14874.0
2020-09-29,Karnataka,Mandya,10801,8590,102,0,14874.0
2020-09-30,Karnataka,Mandya,11045,8850,104,0,14874.0
2020-10-01,Karnataka,Mandya,11311,9226,106,0,14874.0
2020-10-02,Karnataka,Mandya,11568,9507,108,0,14874.0
2020-10-03,Karnataka,Mandya,11774,9744,110,0,14874.0
2020-10-04,Karnataka,Mandya,12007,9886,112,0,14874.0
2020-10-05,Karnataka,Mandya,12234,10213,114,0,14874.0
2020-10-06,Karnataka,Mandya,12431,10531,115,0,14874.0
2020-10-07,Karnataka,Mandya,12638,10672,115,0,14874.0
2020-10-08,Karnataka,Mandya,12844,10973,117,0,14874.0
2020-10-09,Karnataka,Mandya,13094,11221,118,0,14874.0
