Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Other State,20,15,0,0,
2020-04-27,Karnataka,Other State,20,15,0,0,
2020-04-28,Karnataka,Other State,20,16,0,0,
2020-04-29,Karnataka,Other State,20,16,0,0,
2020-04-30,Karnataka,Other State,20,18,0,0,
2020-05-01,Karnataka,Other State,20,18,0,0,
2020-05-02,Karnataka,Other State,20,18,0,0,
2020-05-03,Karnataka,Other State,20,18,0,0,
2020-05-04,Karnataka,Other State,20,18,0,0,
2020-05-05,Karnataka,Other State,20,18,0,0,
2020-05-06,Karnataka,Other State,20,18,0,0,
2020-05-07,Karnataka,Other State,20,18,0,0,
2020-05-08,Karnataka,Other State,20,18,0,0,
2020-05-09,Karnataka,Other State,20,18,0,0,
2020-05-10,Karnataka,Other State,21,19,0,0,
2020-05-11,Karnataka,Other State,22,19,0,0,
2020-05-12,Karnataka,Other State,22,19,0,0,
2020-05-13,Karnataka,Other State,22,19,0,0,
2020-05-14,Karnataka,Other State,22,19,1,0,
2020-05-15,Karnataka,Other State,22,19,1,0,
2020-05-16,Karnataka,Other State,22,19,1,0,
2020-05-17,Karnataka,Other State,22,19,1,0,
2020-05-18,Karnataka,Other State,22,20,1,0,
2020-05-19,Karnataka,Other State,22,20,1,0,
2020-05-20,Karnataka,Other State,22,20,1,0,
2020-05-21,Karnataka,Other State,22,20,1,0,
2020-05-22,Karnataka,Other State,22,20,1,0,
2020-05-23,Karnataka,Other State,22,20,1,0,
2020-05-24,Karnataka,Other State,22,20,1,0,
2020-05-25,Karnataka,Other State,22,20,1,0,
2020-05-26,Karnataka,Other State,22,21,1,0,
2020-05-27,Karnataka,Other State,22,21,1,0,
2020-05-28,Karnataka,Other State,22,21,1,0,
2020-05-29,Karnataka,Other State,22,21,1,0,
2020-05-30,Karnataka,Other State,22,21,1,0,
2020-05-31,Karnataka,Other State,22,21,1,0,
2020-06-01,Karnataka,Other State,34,25,1,0,
2020-06-02,Karnataka,Other State,34,25,1,0,
2020-06-03,Karnataka,Other State,34,25,1,0,
2020-06-04,Karnataka,Other State,34,25,1,0,
2020-06-05,Karnataka,Other State,34,25,1,0,
2020-06-06,Karnataka,Other State,34,25,1,0,
2020-06-07,Karnataka,Other State,34,27,1,0,
2020-06-08,Karnataka,Other State,34,27,1,0,
2020-06-09,Karnataka,Other State,34,27,1,0,
2020-06-10,Karnataka,Other State,34,27,1,0,
2020-06-11,Karnataka,Other State,34,27,1,0,
2020-06-12,Karnataka,Other State,34,27,1,0,
2020-06-13,Karnataka,Other State,34,27,1,0,
2020-06-14,Karnataka,Other State,35,28,2,0,
2020-06-15,Karnataka,Other State,35,28,2,0,
2020-06-16,Karnataka,Other State,35,28,2,0,
2020-06-17,Karnataka,Other State,35,28,2,0,
2020-06-18,Karnataka,Other State,35,29,2,0,
2020-06-19,Karnataka,Other State,35,32,2,0,
2020-06-20,Karnataka,Other State,36,32,3,0,
2020-06-21,Karnataka,Other State,36,32,3,0,
2020-06-22,Karnataka,Other State,36,32,3,0,
2020-06-23,Karnataka,Other State,36,32,3,0,
2020-06-24,Karnataka,Other State,36,32,3,0,
2020-06-25,Karnataka,Other State,36,32,3,0,
2020-06-26,Karnataka,Other State,36,32,3,0,
2020-06-27,Karnataka,Other State,36,32,3,0,
2020-06-28,Karnataka,Other State,36,32,3,0,
2020-06-29,Karnataka,Other State,36,32,3,0,
2020-06-30,Karnataka,Other State,36,32,3,0,
2020-07-01,Karnataka,Other State,36,32,3,0,
2020-07-02,Karnataka,Other State,36,32,3,0,
2020-07-03,Karnataka,Other State,36,32,3,0,
2020-07-04,Karnataka,Other State,36,32,3,0,
2020-07-05,Karnataka,Other State,36,32,3,0,
2020-07-06,Karnataka,Other State,36,32,3,0,
2020-07-07,Karnataka,Other State,36,32,3,0,
2020-07-08,Karnataka,Other State,36,32,3,0,
2020-07-09,Karnataka,Other State,36,32,3,0,
2020-07-10,Karnataka,Other State,36,32,3,0,
2020-07-11,Karnataka,Other State,36,32,3,0,
2020-07-12,Karnataka,Other State,36,32,3,0,
2020-07-13,Karnataka,Other State,36,32,3,0,
2020-07-14,Karnataka,Other State,36,32,3,0,
2020-07-15,Karnataka,Other State,36,32,3,0,
2020-07-16,Karnataka,Other State,36,32,3,0,
2020-07-17,Karnataka,Other State,36,32,3,0,
2020-07-18,Karnataka,Other State,36,32,3,0,
2020-07-19,Karnataka,Other State,36,32,3,0,
2020-07-20,Karnataka,Other State,36,32,3,0,
2020-07-21,Karnataka,Other State,36,32,3,0,
2020-07-22,Karnataka,Other State,36,32,3,0,
2020-07-23,Karnataka,Other State,36,32,3,0,
2020-07-24,Karnataka,Other State,36,32,3,0,
2020-07-25,Karnataka,Other State,36,32,3,0,
2020-07-26,Karnataka,Other State,36,32,3,0,
2020-07-27,Karnataka,Other State,36,32,3,0,
2020-07-28,Karnataka,Other State,36,32,3,0,
2020-07-29,Karnataka,Other State,36,32,3,0,
2020-07-30,Karnataka,Other State,36,32,3,0,
2020-07-31,Karnataka,Other State,36,33,3,0,
2020-08-01,Karnataka,Other State,36,33,3,0,
2020-08-02,Karnataka,Other State,36,33,3,0,
2020-08-03,Karnataka,Other State,36,33,3,0,
2020-08-04,Karnataka,Other State,36,33,3,0,
2020-08-05,Karnataka,Other State,36,33,3,0,
2020-08-06,Karnataka,Other State,36,33,3,0,
2020-08-07,Karnataka,Other State,36,33,3,0,
2020-08-08,Karnataka,Other State,36,33,3,0,
2020-08-09,Karnataka,Other State,36,33,3,0,
2020-08-10,Karnataka,Other State,36,33,3,0,
2020-08-11,Karnataka,Other State,36,33,3,0,
2020-08-12,Karnataka,Other State,36,33,3,0,
2020-08-13,Karnataka,Other State,36,33,3,0,
2020-08-14,Karnataka,Other State,36,33,3,0,
2020-08-15,Karnataka,Other State,36,33,3,0,
2020-08-16,Karnataka,Other State,36,33,3,0,
2020-08-17,Karnataka,Other State,36,33,3,0,
2020-08-18,Karnataka,Other State,36,33,3,0,
2020-08-19,Karnataka,Other State,36,33,3,0,
2020-08-20,Karnataka,Other State,36,33,3,0,
2020-08-21,Karnataka,Other State,36,33,3,0,
2020-08-22,Karnataka,Other State,36,33,3,0,
2020-08-23,Karnataka,Other State,36,33,3,0,
2020-08-24,Karnataka,Other State,36,33,3,0,
2020-08-25,Karnataka,Other State,36,33,3,0,
2020-08-26,Karnataka,Other State,36,33,3,0,
2020-08-27,Karnataka,Other State,36,33,3,0,
2020-08-28,Karnataka,Other State,36,33,3,0,
2020-08-29,Karnataka,Other State,36,33,3,0,
2020-08-30,Karnataka,Other State,36,33,3,0,
2020-08-31,Karnataka,Other State,36,33,3,0,
2020-09-01,Karnataka,Other State,36,33,3,0,
2020-09-02,Karnataka,Other State,36,33,3,0,
2020-09-03,Karnataka,Other State,36,33,3,0,
2020-09-04,Karnataka,Other State,36,33,3,0,
2020-09-05,Karnataka,Other State,36,33,3,0,
2020-09-06,Karnataka,Other State,36,33,3,0,
2020-09-07,Karnataka,Other State,36,33,3,0,
2020-09-08,Karnataka,Other State,36,33,3,0,
2020-09-09,Karnataka,Other State,36,33,3,0,
2020-09-10,Karnataka,Other State,36,33,3,0,
2020-09-11,Karnataka,Other State,36,33,3,0,
2020-09-12,Karnataka,Other State,36,33,3,0,
2020-09-13,Karnataka,Other State,36,33,3,0,
2020-09-14,Karnataka,Other State,36,33,3,0,
2020-09-15,Karnataka,Other State,36,33,3,0,
2020-09-16,Karnataka,Other State,36,33,3,0,
2020-09-17,Karnataka,Other State,36,33,3,0,
2020-09-18,Karnataka,Other State,36,33,3,0,
2020-09-19,Karnataka,Other State,36,33,3,0,
2020-09-20,Karnataka,Other State,36,33,3,0,
2020-09-21,Karnataka,Other State,36,33,3,0,
2020-09-22,Karnataka,Other State,36,33,3,0,
2020-09-23,Karnataka,Other State,36,33,3,0,
2020-09-24,Karnataka,Other State,36,33,3,0,
2020-09-25,Karnataka,Other State,36,33,3,0,
2020-09-26,Karnataka,Other State,36,33,3,0,
2020-09-27,Karnataka,Other State,36,33,3,0,
2020-09-28,Karnataka,Other State,36,33,3,0,
2020-09-29,Karnataka,Other State,36,33,3,0,
2020-09-30,Karnataka,Other State,36,33,3,0,
2020-10-01,Karnataka,Other State,36,33,3,0,
