Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-18,Karnataka,Raichur,6,0,0,0,
2020-05-19,Karnataka,Raichur,7,0,0,0,
2020-05-20,Karnataka,Raichur,11,0,0,0,
2020-05-21,Karnataka,Raichur,16,0,0,0,
2020-05-22,Karnataka,Raichur,26,0,0,0,
2020-05-23,Karnataka,Raichur,66,0,0,0,
2020-05-24,Karnataka,Raichur,66,0,0,0,
2020-05-25,Karnataka,Raichur,66,0,0,0,
2020-05-26,Karnataka,Raichur,66,0,0,0,
2020-05-27,Karnataka,Raichur,71,0,0,0,
2020-05-28,Karnataka,Raichur,72,0,0,0,
2020-05-29,Karnataka,Raichur,134,0,0,0,
2020-05-30,Karnataka,Raichur,134,2,0,0,
2020-05-31,Karnataka,Raichur,217,2,1,0,
2020-06-01,Karnataka,Raichur,217,37,1,0,15442.0
2020-06-02,Karnataka,Raichur,233,37,1,0,15759.0
2020-06-03,Karnataka,Raichur,268,37,1,0,15979.0
2020-06-04,Karnataka,Raichur,356,37,1,0,16227.0
2020-06-05,Karnataka,Raichur,356,37,1,0,16554.0
2020-06-06,Karnataka,Raichur,358,37,1,0,16664.0
2020-06-07,Karnataka,Raichur,359,53,1,0,16928.0
2020-06-08,Karnataka,Raichur,359,82,1,0,16928.0
2020-06-09,Karnataka,Raichur,359,82,1,0,16928.0
2020-06-10,Karnataka,Raichur,359,82,1,0,16928.0
2020-06-11,Karnataka,Raichur,374,82,2,0,17324.0
2020-06-12,Karnataka,Raichur,378,82,2,0,17389.0
2020-06-13,Karnataka,Raichur,383,96,2,0,17389.0
2020-06-14,Karnataka,Raichur,385,96,2,0,18141.0
2020-06-15,Karnataka,Raichur,403,91,2,0,18186.0
2020-06-16,Karnataka,Raichur,409,137,2,0,18186.0
2020-06-17,Karnataka,Raichur,410,137,2,0,18186.0
2020-06-18,Karnataka,Raichur,414,137,2,0,18462.0
2020-06-19,Karnataka,Raichur,414,198,2,0,18462.0
2020-06-20,Karnataka,Raichur,429,237,2,0,19412.0
2020-06-21,Karnataka,Raichur,431,271,2,0,19204.0
2020-06-22,Karnataka,Raichur,431,271,2,0,19629.0
2020-06-23,Karnataka,Raichur,434,307,2,0,19629.0
2020-06-24,Karnataka,Raichur,443,307,2,0,20260.0
2020-06-25,Karnataka,Raichur,443,355,2,0,20260.0
2020-06-26,Karnataka,Raichur,457,355,2,0,20260.0
2020-06-27,Karnataka,Raichur,463,396,2,0,20260.0
2020-06-28,Karnataka,Raichur,469,397,2,0,21011.0
2020-06-29,Karnataka,Raichur,473,397,2,0,21011.0
2020-06-30,Karnataka,Raichur,488,397,2,0,21011.0
2020-07-01,Karnataka,Raichur,500,403,2,0,21011.0
2020-07-02,Karnataka,Raichur,511,404,2,0,21011.0
2020-07-03,Karnataka,Raichur,518,404,3,0,21011.0
2020-07-04,Karnataka,Raichur,559,422,3,0,21011.0
2020-07-05,Karnataka,Raichur,569,422,3,0,21011.0
2020-07-06,Karnataka,Raichur,575,422,3,0,21011.0
2020-07-07,Karnataka,Raichur,598,438,3,0,21011.0
2020-07-08,Karnataka,Raichur,615,442,6,0,21011.0
2020-07-09,Karnataka,Raichur,631,442,7,0,21011.0
2020-07-10,Karnataka,Raichur,656,462,8,0,21011.0
2020-07-11,Karnataka,Raichur,670,465,9,0,21011.0
2020-07-12,Karnataka,Raichur,718,465,9,0,21011.0
2020-07-13,Karnataka,Raichur,763,475,9,0,21011.0
2020-07-14,Karnataka,Raichur,788,475,10,1,21011.0
2020-07-15,Karnataka,Raichur,814,483,12,1,21011.0
2020-07-16,Karnataka,Raichur,915,535,12,1,21011.0
2020-07-17,Karnataka,Raichur,948,543,13,1,21011.0
2020-07-18,Karnataka,Raichur,964,569,13,1,21011.0
2020-07-19,Karnataka,Raichur,996,612,13,1,21011.0
2020-07-20,Karnataka,Raichur,999,621,13,1,21011.0
2020-07-21,Karnataka,Raichur,1003,680,13,1,21011.0
2020-07-22,Karnataka,Raichur,1138,692,15,1,21011.0
2020-07-23,Karnataka,Raichur,1396,719,17,1,21011.0
2020-07-24,Karnataka,Raichur,1503,751,18,1,21011.0
2020-07-25,Karnataka,Raichur,1571,794,18,1,21011.0
2020-07-26,Karnataka,Raichur,1702,816,18,1,21011.0
2020-07-27,Karnataka,Raichur,1822,958,20,1,21011.0
2020-07-28,Karnataka,Raichur,1915,1089,21,1,21011.0
2020-07-29,Karnataka,Raichur,1988,1120,23,1,21011.0
2020-07-30,Karnataka,Raichur,2154,1311,23,1,21011.0
2020-07-31,Karnataka,Raichur,2273,1356,25,1,21011.0
2020-08-01,Karnataka,Raichur,2382,1471,25,1,21011.0
2020-08-02,Karnataka,Raichur,2594,1624,27,1,21011.0
2020-08-03,Karnataka,Raichur,2709,1765,28,1,21011.0
2020-08-04,Karnataka,Raichur,2853,1881,30,1,21011.0
2020-08-05,Karnataka,Raichur,2944,1991,32,1,21011.0
2020-08-06,Karnataka,Raichur,3125,2053,34,1,21011.0
2020-08-07,Karnataka,Raichur,3296,2126,36,0,21011.0
2020-08-08,Karnataka,Raichur,3591,2200,38,0,21011.0
2020-08-09,Karnataka,Raichur,3793,2317,40,0,21011.0
2020-08-10,Karnataka,Raichur,3958,2341,40,0,21011.0
2020-08-11,Karnataka,Raichur,4159,2390,42,0,21011.0
2020-08-12,Karnataka,Raichur,4350,2459,46,0,21011.0
2020-08-13,Karnataka,Raichur,4531,2832,49,0,21011.0
2020-08-14,Karnataka,Raichur,4751,2951,51,0,21011.0
2020-08-15,Karnataka,Raichur,4906,3060,54,0,21011.0
2020-08-16,Karnataka,Raichur,5089,3131,57,0,21011.0
2020-08-17,Karnataka,Raichur,5199,3273,60,0,21011.0
2020-08-18,Karnataka,Raichur,5370,3416,64,0,21011.0
2020-08-19,Karnataka,Raichur,5523,3575,66,0,21011.0
2020-08-20,Karnataka,Raichur,5634,3865,68,0,21011.0
2020-08-21,Karnataka,Raichur,5734,4157,71,0,21011.0
2020-08-22,Karnataka,Raichur,5786,4357,74,0,21011.0
2020-08-23,Karnataka,Raichur,5867,4528,76,0,21011.0
2020-08-24,Karnataka,Raichur,6050,4641,78,0,21011.0
2020-08-25,Karnataka,Raichur,6138,4821,78,0,21011.0
2020-08-26,Karnataka,Raichur,6274,4913,80,0,21011.0
2020-08-27,Karnataka,Raichur,6513,4992,81,0,21011.0
2020-08-28,Karnataka,Raichur,6691,5219,82,0,21011.0
2020-08-29,Karnataka,Raichur,6877,5335,84,0,21011.0
2020-08-30,Karnataka,Raichur,7024,5469,86,0,21011.0
2020-08-31,Karnataka,Raichur,7164,5663,88,0,21011.0
2020-09-01,Karnataka,Raichur,7409,5745,91,0,21011.0
2020-09-02,Karnataka,Raichur,7641,5892,94,0,21011.0
2020-09-03,Karnataka,Raichur,7802,6007,97,0,21011.0
2020-09-04,Karnataka,Raichur,7971,6128,100,0,21011.0
2020-09-05,Karnataka,Raichur,8157,6247,103,0,21011.0
2020-09-06,Karnataka,Raichur,8344,6434,105,0,21011.0
2020-09-07,Karnataka,Raichur,8366,6581,107,0,21011.0
2020-09-08,Karnataka,Raichur,8575,6735,109,0,21011.0
2020-09-09,Karnataka,Raichur,8789,6911,112,0,21011.0
2020-09-10,Karnataka,Raichur,8896,7148,115,0,21011.0
2020-09-11,Karnataka,Raichur,9096,7354,117,0,21011.0
2020-09-12,Karnataka,Raichur,9227,7545,119,0,21011.0
2020-09-13,Karnataka,Raichur,9417,7681,121,0,21011.0
2020-09-14,Karnataka,Raichur,9468,7816,124,0,21011.0
2020-09-15,Karnataka,Raichur,9628,7961,127,0,21011.0
2020-09-16,Karnataka,Raichur,9821,8132,127,0,21011.0
2020-09-17,Karnataka,Raichur,10048,8132,127,0,21011.0
2020-09-18,Karnataka,Raichur,10164,8318,128,0,21011.0
2020-09-19,Karnataka,Raichur,10320,8457,129,0,21011.0
2020-09-20,Karnataka,Raichur,10452,8564,130,0,21011.0
2020-09-21,Karnataka,Raichur,10512,8730,132,0,21011.0
2020-09-22,Karnataka,Raichur,10627,8837,133,0,21011.0
2020-09-23,Karnataka,Raichur,10664,8837,133,0,21011.0
2020-09-24,Karnataka,Raichur,10716,8837,133,0,21011.0
2020-09-25,Karnataka,Raichur,10829,8992,133,0,21011.0
2020-09-26,Karnataka,Raichur,10921,9092,133,0,21011.0
2020-09-27,Karnataka,Raichur,11023,9225,134,0,21011.0
2020-09-28,Karnataka,Raichur,11075,9419,135,0,21011.0
2020-09-29,Karnataka,Raichur,11175,9591,135,0,21011.0
2020-09-30,Karnataka,Raichur,11268,9687,135,0,21011.0
2020-10-01,Karnataka,Raichur,11347,9741,136,0,21011.0
2020-10-02,Karnataka,Raichur,11540,9851,136,0,21011.0
2020-10-03,Karnataka,Raichur,11739,10027,137,0,21011.0
2020-10-04,Karnataka,Raichur,11863,10221,137,0,21011.0
2020-10-05,Karnataka,Raichur,11984,10363,138,0,21011.0
2020-10-06,Karnataka,Raichur,12091,10514,139,0,21011.0
2020-10-07,Karnataka,Raichur,12220,10750,139,0,21011.0
2020-10-08,Karnataka,Raichur,12331,10969,140,0,21011.0
2020-10-09,Karnataka,Raichur,12404,11121,141,0,21011.0
2020-10-10,Karnataka,Raichur,12497,11251,142,0,21011.0
2020-10-11,Karnataka,Raichur,12559,11387,142,0,21011.0
2020-10-12,Karnataka,Raichur,12602,11486,142,0,21011.0
2020-10-13,Karnataka,Raichur,12638,11627,142,0,21011.0
2020-10-14,Karnataka,Raichur,12682,11772,143,0,21011.0
2020-10-15,Karnataka,Raichur,12741,11840,144,0,21011.0
2020-10-16,Karnataka,Raichur,12779,11937,144,0,21011.0
2020-10-17,Karnataka,Raichur,12833,12068,145,0,21011.0
2020-10-18,Karnataka,Raichur,12877,12162,145,0,21011.0
2020-10-19,Karnataka,Raichur,12915,12233,145,0,21011.0
2020-10-20,Karnataka,Raichur,12940,12323,146,0,21011.0
2020-10-21,Karnataka,Raichur,12973,12383,146,0,21011.0
2020-10-22,Karnataka,Raichur,13004,12443,146,0,21011.0
2020-10-23,Karnataka,Raichur,13074,12480,147,0,21011.0
2020-10-24,Karnataka,Raichur,13099,12530,147,0,21011.0
2020-10-25,Karnataka,Raichur,13129,12591,147,0,21011.0
2020-10-26,Karnataka,Raichur,13166,12625,147,0,21011.0
2020-10-27,Karnataka,Raichur,13188,12668,148,0,21011.0
2020-10-28,Karnataka,Raichur,13219,12723,149,0,21011.0
2020-10-29,Karnataka,Raichur,13219,12723,149,0,21011.0
