Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-10,Karnataka,Shivamogga,8,0,0,0,
2020-05-11,Karnataka,Shivamogga,8,0,0,0,
2020-05-12,Karnataka,Shivamogga,8,0,0,0,
2020-05-13,Karnataka,Shivamogga,8,0,0,0,
2020-05-14,Karnataka,Shivamogga,8,0,0,0,
2020-05-15,Karnataka,Shivamogga,9,0,0,0,
2020-05-16,Karnataka,Shivamogga,12,0,0,0,
2020-05-17,Karnataka,Shivamogga,14,0,0,0,
2020-05-18,Karnataka,Shivamogga,14,0,0,0,
2020-05-19,Karnataka,Shivamogga,26,0,0,0,
2020-05-20,Karnataka,Shivamogga,26,0,0,0,
2020-05-21,Karnataka,Shivamogga,32,0,0,0,
2020-05-22,Karnataka,Shivamogga,34,0,0,0,
2020-05-23,Karnataka,Shivamogga,34,0,0,0,
2020-05-24,Karnataka,Shivamogga,36,0,0,0,
2020-05-25,Karnataka,Shivamogga,36,0,0,0,
2020-05-26,Karnataka,Shivamogga,36,0,0,0,
2020-05-27,Karnataka,Shivamogga,36,4,0,0,
2020-05-28,Karnataka,Shivamogga,36,4,0,0,
2020-05-29,Karnataka,Shivamogga,37,7,0,0,
2020-05-30,Karnataka,Shivamogga,43,7,0,0,
2020-05-31,Karnataka,Shivamogga,44,24,0,0,
2020-06-01,Karnataka,Shivamogga,51,20,0,0,8453.0
2020-06-02,Karnataka,Shivamogga,51,20,0,0,8682.0
2020-06-03,Karnataka,Shivamogga,53,24,0,0,8790.0
2020-06-04,Karnataka,Shivamogga,53,28,0,0,9015.0
2020-06-05,Karnataka,Shivamogga,53,28,0,0,9171.0
2020-06-06,Karnataka,Shivamogga,53,28,0,0,9381.0
2020-06-07,Karnataka,Shivamogga,65,28,0,0,9600.0
2020-06-08,Karnataka,Shivamogga,69,28,0,0,9700.0
2020-06-09,Karnataka,Shivamogga,73,31,0,0,9700.0
2020-06-10,Karnataka,Shivamogga,73,31,0,0,9700.0
2020-06-11,Karnataka,Shivamogga,83,31,0,0,10147.0
2020-06-12,Karnataka,Shivamogga,89,43,0,0,10329.0
2020-06-13,Karnataka,Shivamogga,89,43,0,0,10492.0
2020-06-14,Karnataka,Shivamogga,91,43,0,0,10569.0
2020-06-15,Karnataka,Shivamogga,94,54,0,0,10652.0
2020-06-16,Karnataka,Shivamogga,101,54,0,0,10652.0
2020-06-17,Karnataka,Shivamogga,105,69,1,0,10652.0
2020-06-18,Karnataka,Shivamogga,106,68,1,0,11061.0
2020-06-19,Karnataka,Shivamogga,107,68,1,0,11061.0
2020-06-20,Karnataka,Shivamogga,109,85,1,0,11381.0
2020-06-21,Karnataka,Shivamogga,111,85,1,0,11529.0
2020-06-22,Karnataka,Shivamogga,111,85,1,0,11618.0
2020-06-23,Karnataka,Shivamogga,116,88,1,0,11618.0
2020-06-24,Karnataka,Shivamogga,119,88,1,0,12106.0
2020-06-25,Karnataka,Shivamogga,123,93,1,0,12106.0
2020-06-26,Karnataka,Shivamogga,129,96,2,0,12106.0
2020-06-27,Karnataka,Shivamogga,142,104,2,0,12106.0
2020-06-28,Karnataka,Shivamogga,146,104,2,0,12739.0
2020-06-29,Karnataka,Shivamogga,151,109,2,0,12739.0
2020-06-30,Karnataka,Shivamogga,173,109,2,0,12739.0
2020-07-01,Karnataka,Shivamogga,176,109,2,0,12739.0
2020-07-02,Karnataka,Shivamogga,199,117,2,0,12739.0
2020-07-03,Karnataka,Shivamogga,222,117,4,0,12739.0
2020-07-04,Karnataka,Shivamogga,253,117,4,0,12739.0
2020-07-05,Karnataka,Shivamogga,261,117,4,0,12739.0
2020-07-06,Karnataka,Shivamogga,285,125,4,0,12739.0
2020-07-07,Karnataka,Shivamogga,318,137,4,0,12739.0
2020-07-08,Karnataka,Shivamogga,335,141,4,0,12739.0
2020-07-09,Karnataka,Shivamogga,372,141,4,0,12739.0
2020-07-10,Karnataka,Shivamogga,378,169,4,0,20313.0
2020-07-11,Karnataka,Shivamogga,404,169,7,0,20775.0
2020-07-12,Karnataka,Shivamogga,446,197,7,0,20775.0
2020-07-13,Karnataka,Shivamogga,520,197,10,0,21298.0
2020-07-14,Karnataka,Shivamogga,530,229,10,0,21841.0
2020-07-15,Karnataka,Shivamogga,559,238,11,0,21841.0
2020-07-16,Karnataka,Shivamogga,605,266,11,0,21841.0
2020-07-17,Karnataka,Shivamogga,615,266,11,0,21841.0
2020-07-18,Karnataka,Shivamogga,729,266,12,0,23276.0
2020-07-19,Karnataka,Shivamogga,833,293,12,0,23276.0
2020-07-20,Karnataka,Shivamogga,852,293,13,0,23276.0
2020-07-21,Karnataka,Shivamogga,872,401,13,0,23276.0
2020-07-22,Karnataka,Shivamogga,931,401,13,0,23276.0
2020-07-23,Karnataka,Shivamogga,1013,424,15,0,23276.0
2020-07-24,Karnataka,Shivamogga,1080,424,18,0,25126.0
2020-07-25,Karnataka,Shivamogga,1122,424,20,0,25446.0
2020-07-26,Karnataka,Shivamogga,1161,491,21,0,25586.0
2020-07-27,Karnataka,Shivamogga,1237,491,22,0,26013.0
2020-07-28,Karnataka,Shivamogga,1291,552,22,0,26198.0
2020-07-29,Karnataka,Shivamogga,1422,582,22,0,26198.0
2020-07-30,Karnataka,Shivamogga,1565,582,23,0,27029.0
2020-07-31,Karnataka,Shivamogga,1723,575,27,0,27029.0
2020-08-01,Karnataka,Shivamogga,1842,706,31,0,27953.0
2020-08-02,Karnataka,Shivamogga,1941,732,35,0,27953.0
2020-08-03,Karnataka,Shivamogga,2096,732,35,0,27953.0
2020-08-04,Karnataka,Shivamogga,2111,775,39,0,29763.0
2020-08-05,Karnataka,Shivamogga,2146,816,45,0,30827.0
2020-08-06,Karnataka,Shivamogga,2438,915,48,0,31733.0
2020-08-07,Karnataka,Shivamogga,2589,1050,49,0,31733.0
2020-08-08,Karnataka,Shivamogga,2662,1129,50,0,31733.0
2020-08-09,Karnataka,Shivamogga,2811,1156,52,0,31733.0
2020-08-10,Karnataka,Shivamogga,2811,1212,55,0,34451.0
2020-08-11,Karnataka,Shivamogga,3000,1665,55,0,34451.0
2020-08-12,Karnataka,Shivamogga,3069,1824,59,0,34451.0
2020-08-13,Karnataka,Shivamogga,3174,1977,59,0,34451.0
2020-08-14,Karnataka,Shivamogga,3587,2051,62,0,34451.0
2020-08-15,Karnataka,Shivamogga,3720,2141,67,0,34451.0
2020-08-16,Karnataka,Shivamogga,3721,2147,69,0,34451.0
2020-08-17,Karnataka,Shivamogga,4118,2211,73,0,34451.0
2020-08-18,Karnataka,Shivamogga,4436,2256,76,0,34451.0
2020-08-19,Karnataka,Shivamogga,5351,2826,78,0,45725.0
2020-08-20,Karnataka,Shivamogga,5539,2839,82,0,47522.0
2020-08-21,Karnataka,Shivamogga,5766,2915,82,0,48760.0
2020-08-22,Karnataka,Shivamogga,5987,3045,86,0,48760.0
2020-08-23,Karnataka,Shivamogga,6233,3316,90,0,48760.0
2020-08-24,Karnataka,Shivamogga,6453,3637,90,0,48760.0
2020-08-25,Karnataka,Shivamogga,6729,3996,95,0,48760.0
2020-08-26,Karnataka,Shivamogga,6895,4439,96,0,48760.0
2020-08-27,Karnataka,Shivamogga,7201,4710,96,0,48760.0
2020-08-28,Karnataka,Shivamogga,7515,4793,103,0,48760.0
2020-08-29,Karnataka,Shivamogga,7848,5005,108,0,48760.0
2020-08-30,Karnataka,Shivamogga,8140,5196,113,0,48760.0
2020-08-31,Karnataka,Shivamogga,8308,5441,117,0,48760.0
2020-09-01,Karnataka,Shivamogga,8541,5645,127,0,48760.0
2020-09-02,Karnataka,Shivamogga,8883,5802,134,0,48760.0
2020-09-03,Karnataka,Shivamogga,9134,6048,142,0,48760.0
2020-09-04,Karnataka,Shivamogga,9484,6464,148,0,48760.0
2020-09-05,Karnataka,Shivamogga,9830,6803,156,0,48760.0
2020-09-06,Karnataka,Shivamogga,10159,7048,159,0,48760.0
2020-09-07,Karnataka,Shivamogga,10309,7317,167,0,48760.0
2020-09-08,Karnataka,Shivamogga,10309,7582,173,0,48760.0
2020-09-09,Karnataka,Shivamogga,10864,7822,179,0,48760.0
2020-09-10,Karnataka,Shivamogga,11413,7966,184,0,48760.0
2020-09-11,Karnataka,Shivamogga,11762,8357,192,0,48760.0
2020-09-12,Karnataka,Shivamogga,11917,8626,197,0,48760.0
2020-09-13,Karnataka,Shivamogga,12216,8839,202,0,48760.0
2020-09-14,Karnataka,Shivamogga,12436,9121,207,0,48760.0
2020-09-15,Karnataka,Shivamogga,12804,9121,207,0,48760.0
2020-09-16,Karnataka,Shivamogga,13097,9120,206,0,48760.0
2020-09-17,Karnataka,Shivamogga,13315,9120,206,0,48760.0
2020-09-18,Karnataka,Shivamogga,13572,10262,224,0,48760.0
2020-09-19,Karnataka,Shivamogga,13678,10406,225,0,48760.0
2020-09-20,Karnataka,Shivamogga,13973,10753,231,0,48760.0
2020-09-21,Karnataka,Shivamogga,14321,10979,238,0,48760.0
2020-09-22,Karnataka,Shivamogga,14555,11146,243,0,48760.0
2020-09-23,Karnataka,Shivamogga,14742,11420,250,0,48760.0
2020-09-24,Karnataka,Shivamogga,14976,11525,256,0,48760.0
2020-09-25,Karnataka,Shivamogga,15159,11788,264,0,48760.0
2020-09-26,Karnataka,Shivamogga,15413,11966,272,0,48760.0
2020-09-27,Karnataka,Shivamogga,15577,12209,277,0,48760.0
2020-09-28,Karnataka,Shivamogga,15758,12418,283,0,48760.0
2020-09-29,Karnataka,Shivamogga,16105,12601,289,0,48760.0
2020-09-30,Karnataka,Shivamogga,16353,12926,293,0,48760.0
2020-10-01,Karnataka,Shivamogga,16491,13011,297,0,48760.0
2020-10-02,Karnataka,Shivamogga,16798,13179,300,0,48760.0
2020-10-03,Karnataka,Shivamogga,17135,14045,303,0,48760.0
2020-10-04,Karnataka,Shivamogga,17414,14349,307,0,48760.0
2020-10-05,Karnataka,Shivamogga,17574,14501,309,0,48760.0
2020-10-06,Karnataka,Shivamogga,17798,14710,310,0,48760.0
2020-10-07,Karnataka,Shivamogga,18001,14826,310,0,48760.0
2020-10-08,Karnataka,Shivamogga,18251,15068,312,0,48760.0
2020-10-09,Karnataka,Shivamogga,18391,15332,315,0,48760.0
2020-10-10,Karnataka,Shivamogga,18650,15614,317,0,48760.0
2020-10-11,Karnataka,Shivamogga,18780,15862,319,0,48760.0
2020-10-12,Karnataka,Shivamogga,18846,16124,321,0,48760.0
2020-10-13,Karnataka,Shivamogga,19016,16424,323,0,48760.0
2020-10-14,Karnataka,Shivamogga,19099,16721,323,0,48760.0
2020-10-15,Karnataka,Shivamogga,19268,16883,326,0,48760.0
2020-10-16,Karnataka,Shivamogga,19404,17195,329,0,48760.0
2020-10-17,Karnataka,Shivamogga,19533,17378,330,0,48760.0
2020-10-18,Karnataka,Shivamogga,19636,17589,332,0,48760.0
2020-10-19,Karnataka,Shivamogga,19700,17789,334,0,48760.0
2020-10-20,Karnataka,Shivamogga,19816,18084,336,0,48760.0
2020-10-21,Karnataka,Shivamogga,19993,18194,337,0,48760.0
2020-10-22,Karnataka,Shivamogga,20086,18347,337,0,48760.0
2020-10-23,Karnataka,Shivamogga,20133,18453,339,0,48760.0
2020-10-24,Karnataka,Shivamogga,20212,18572,340,0,48760.0
2020-10-25,Karnataka,Shivamogga,20244,18745,340,0,48760.0
2020-10-26,Karnataka,Shivamogga,20247,18844,341,0,48760.0
2020-10-27,Karnataka,Shivamogga,20350,18914,341,0,48760.0
2020-10-28,Karnataka,Shivamogga,20417,19106,342,0,48760.0
2020-10-29,Karnataka,Shivamogga,20417,19106,342,0,48760.0
