Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Udupi,3,3,0,0,
2020-04-27,Karnataka,Udupi,3,3,0,0,
2020-04-28,Karnataka,Udupi,3,3,0,0,
2020-04-29,Karnataka,Udupi,3,3,0,0,
2020-04-30,Karnataka,Udupi,3,3,0,0,
2020-05-01,Karnataka,Udupi,3,3,0,0,
2020-05-02,Karnataka,Udupi,3,3,0,0,
2020-05-03,Karnataka,Udupi,3,3,0,0,
2020-05-04,Karnataka,Udupi,3,3,0,0,
2020-05-05,Karnataka,Udupi,3,3,0,0,
2020-05-06,Karnataka,Udupi,3,3,0,0,
2020-05-07,Karnataka,Udupi,3,3,0,0,
2020-05-08,Karnataka,Udupi,3,3,0,0,
2020-05-09,Karnataka,Udupi,3,3,0,0,
2020-05-10,Karnataka,Udupi,3,3,0,0,
2020-05-11,Karnataka,Udupi,3,3,0,0,
2020-05-12,Karnataka,Udupi,3,3,0,0,
2020-05-13,Karnataka,Udupi,3,3,0,0,
2020-05-14,Karnataka,Udupi,3,3,0,0,
2020-05-15,Karnataka,Udupi,8,3,0,0,
2020-05-16,Karnataka,Udupi,9,3,0,0,
2020-05-17,Karnataka,Udupi,10,3,1,0,
2020-05-18,Karnataka,Udupi,11,3,1,0,
2020-05-19,Karnataka,Udupi,15,3,1,0,
2020-05-20,Karnataka,Udupi,21,3,1,0,
2020-05-21,Karnataka,Udupi,47,3,1,0,
2020-05-22,Karnataka,Udupi,50,3,1,0,
2020-05-23,Karnataka,Udupi,53,3,1,0,
2020-05-24,Karnataka,Udupi,76,3,1,0,
2020-05-25,Karnataka,Udupi,108,3,1,0,
2020-05-26,Karnataka,Udupi,111,3,1,0,
2020-05-27,Karnataka,Udupi,120,3,1,0,
2020-05-28,Karnataka,Udupi,149,3,1,0,
2020-05-29,Karnataka,Udupi,164,5,1,0,
2020-05-30,Karnataka,Udupi,177,6,1,0,
2020-05-31,Karnataka,Udupi,187,63,1,0,
2020-06-01,Karnataka,Udupi,260,62,1,0,12559.0
2020-06-02,Karnataka,Udupi,410,62,1,0,12295.0
2020-06-03,Karnataka,Udupi,472,62,1,0,12619.0
2020-06-04,Karnataka,Udupi,564,82,1,0,12631.0
2020-06-05,Karnataka,Udupi,768,82,1,0,12718.0
2020-06-06,Karnataka,Udupi,889,103,1,0,12776.0
2020-06-07,Karnataka,Udupi,902,103,1,0,12908.0
2020-06-08,Karnataka,Udupi,947,234,1,0,12960.0
2020-06-09,Karnataka,Udupi,947,234,1,0,12960.0
2020-06-10,Karnataka,Udupi,947,327,1,0,12960.0
2020-06-11,Karnataka,Udupi,969,349,1,0,13262.0
2020-06-12,Karnataka,Udupi,991,474,1,0,13412.0
2020-06-13,Karnataka,Udupi,1005,584,1,0,13454.0
2020-06-14,Karnataka,Udupi,1026,714,1,0,13417.0
2020-06-15,Karnataka,Udupi,1028,736,1,0,13534.0
2020-06-16,Karnataka,Udupi,1035,817,1,0,13534.0
2020-06-17,Karnataka,Udupi,1039,904,1,0,13534.0
2020-06-18,Karnataka,Udupi,1039,940,1,0,13767.0
2020-06-19,Karnataka,Udupi,1050,944,1,0,13767.0
2020-06-20,Karnataka,Udupi,1063,953,2,0,13934.0
2020-06-21,Karnataka,Udupi,1063,959,2,0,14068.0
2020-06-22,Karnataka,Udupi,1077,961,2,0,15009.0
2020-06-23,Karnataka,Udupi,1088,969,2,0,15009.0
2020-06-24,Karnataka,Udupi,1102,978,2,0,14387.0
2020-06-25,Karnataka,Udupi,1116,1011,2,0,14387.0
2020-06-26,Karnataka,Udupi,1125,1028,2,0,14387.0
2020-06-27,Karnataka,Udupi,1139,1038,2,0,14387.0
2020-06-28,Karnataka,Udupi,1179,1042,2,0,14233.0
2020-06-29,Karnataka,Udupi,1197,1045,2,0,14268.0
2020-06-30,Karnataka,Udupi,1206,1056,2,0,14556.0
2020-07-01,Karnataka,Udupi,1228,1058,2,0,14556.0
2020-07-02,Karnataka,Udupi,1242,1079,3,0,15630.0
2020-07-03,Karnataka,Udupi,1258,1093,3,0,16498.0
2020-07-04,Karnataka,Udupi,1276,1103,3,0,17545.0
2020-07-05,Karnataka,Udupi,1321,1125,3,0,17824.0
2020-07-06,Karnataka,Udupi,1361,1143,3,0,18542.0
2020-07-07,Karnataka,Udupi,1389,1171,3,0,19773.0
2020-07-08,Karnataka,Udupi,1420,1178,3,0,20493.0
2020-07-09,Karnataka,Udupi,1442,1206,3,0,20711.0
2020-07-10,Karnataka,Udupi,1476,1213,3,0,21409.0
2020-07-11,Karnataka,Udupi,1566,1234,3,0,21678.0
2020-07-12,Karnataka,Udupi,1609,1262,3,0,22327.0
2020-07-13,Karnataka,Udupi,1662,1269,3,0,22533.0
2020-07-14,Karnataka,Udupi,1735,1349,3,0,22648.0
2020-07-15,Karnataka,Udupi,1787,1371,3,0,23108.0
2020-07-16,Karnataka,Udupi,1900,1451,3,0,23645.0
2020-07-17,Karnataka,Udupi,1980,1532,6,0,23858.0
2020-07-18,Karnataka,Udupi,2089,1575,8,0,24382.0
2020-07-19,Karnataka,Udupi,2223,1617,9,0,24837.0
2020-07-20,Karnataka,Udupi,2321,1617,10,0,24891.0
2020-07-21,Karnataka,Udupi,2405,1731,10,0,25346.0
2020-07-22,Karnataka,Udupi,2686,1765,11,0,25748.0
2020-07-23,Karnataka,Udupi,2846,1830,11,0,26370.0
2020-07-24,Karnataka,Udupi,3036,1918,14,0,26873.0
2020-07-25,Karnataka,Udupi,3218,1997,14,0,27375.0
2020-07-26,Karnataka,Udupi,3387,2122,14,0,28287.0
2020-07-27,Karnataka,Udupi,3612,2173,14,0,28510.0
2020-07-28,Karnataka,Udupi,3721,2228,21,0,29436.0
2020-07-29,Karnataka,Udupi,3894,2311,25,0,30260.0
2020-07-30,Karnataka,Udupi,4142,2372,29,0,31044.0
2020-07-31,Karnataka,Udupi,4355,2428,29,0,31665.0
2020-08-01,Karnataka,Udupi,4491,2528,35,0,32401.0
2020-08-02,Karnataka,Udupi,4673,2606,35,0,33378.0
2020-08-03,Karnataka,Udupi,4799,2728,36,0,34500.0
2020-08-04,Karnataka,Udupi,4969,2889,42,0,36200.0
2020-08-05,Karnataka,Udupi,5142,2978,44,0,38053.0
2020-08-06,Karnataka,Udupi,5359,3058,50,0,40044.0
2020-08-07,Karnataka,Udupi,5605,3161,55,0,41411.0
2020-08-08,Karnataka,Udupi,5918,3260,60,0,43441.0
2020-08-09,Karnataka,Udupi,6200,3345,60,0,44824.0
2020-08-10,Karnataka,Udupi,6290,3462,66,0,44824.0
2020-08-11,Karnataka,Udupi,6509,3623,66,0,44824.0
2020-08-12,Karnataka,Udupi,6772,3848,69,0,44824.0
2020-08-13,Karnataka,Udupi,7174,4138,70,0,44824.0
2020-08-14,Karnataka,Udupi,7496,4752,77,0,54794.0
2020-08-15,Karnataka,Udupi,7737,4981,79,0,54794.0
2020-08-16,Karnataka,Udupi,7974,5240,79,0,55363.0
2020-08-17,Karnataka,Udupi,8242,5509,80,0,55739.0
2020-08-18,Karnataka,Udupi,8663,5830,80,0,57576.0
2020-08-19,Karnataka,Udupi,9038,6011,80,0,59173.0
2020-08-20,Karnataka,Udupi,9389,6370,82,0,61251.0
2020-08-21,Karnataka,Udupi,9667,6735,82,0,62767.0
2020-08-22,Karnataka,Udupi,10015,6970,82,0,63925.0
2020-08-23,Karnataka,Udupi,10132,7279,84,0,64892.0
2020-08-24,Karnataka,Udupi,10236,7435,88,0,65306.0
2020-08-25,Karnataka,Udupi,10453,7615,90,0,66694.0
2020-08-26,Karnataka,Udupi,10704,7861,91,0,67818.0
2020-08-27,Karnataka,Udupi,10913,8075,92,0,68787.0
2020-08-28,Karnataka,Udupi,11089,8262,94,0,69302.0
