Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Karnataka,Uttara Kannada,11,10,0,0,
2020-04-27,Karnataka,Uttara Kannada,11,10,0,0,
2020-04-28,Karnataka,Uttara Kannada,11,10,0,0,
2020-04-29,Karnataka,Uttara Kannada,11,10,0,0,
2020-04-30,Karnataka,Uttara Kannada,11,10,0,0,
2020-05-01,Karnataka,Uttara Kannada,11,11,0,0,
2020-05-02,Karnataka,Uttara Kannada,11,11,0,0,
2020-05-03,Karnataka,Uttara Kannada,11,11,0,0,
2020-05-04,Karnataka,Uttara Kannada,11,11,0,0,
2020-05-05,Karnataka,Uttara Kannada,12,11,0,0,
2020-05-06,Karnataka,Uttara Kannada,12,11,0,0,
2020-05-07,Karnataka,Uttara Kannada,12,11,0,0,
2020-05-08,Karnataka,Uttara Kannada,24,11,0,0,
2020-05-09,Karnataka,Uttara Kannada,32,11,0,0,
2020-05-10,Karnataka,Uttara Kannada,39,11,0,0,
2020-05-11,Karnataka,Uttara Kannada,39,11,0,0,
2020-05-12,Karnataka,Uttara Kannada,39,11,0,0,
2020-05-13,Karnataka,Uttara Kannada,41,11,0,0,
2020-05-14,Karnataka,Uttara Kannada,41,11,0,0,
2020-05-15,Karnataka,Uttara Kannada,41,11,0,0,
2020-05-16,Karnataka,Uttara Kannada,41,11,0,0,
2020-05-17,Karnataka,Uttara Kannada,42,11,0,0,
2020-05-18,Karnataka,Uttara Kannada,51,11,0,0,
2020-05-19,Karnataka,Uttara Kannada,55,12,0,0,
2020-05-20,Karnataka,Uttara Kannada,56,12,0,0,
2020-05-21,Karnataka,Uttara Kannada,65,12,0,0,
2020-05-22,Karnataka,Uttara Kannada,66,12,0,0,
2020-05-23,Karnataka,Uttara Kannada,68,12,0,0,
2020-05-24,Karnataka,Uttara Kannada,70,32,0,0,
2020-05-25,Karnataka,Uttara Kannada,71,33,0,0,
2020-05-26,Karnataka,Uttara Kannada,71,40,0,0,
2020-05-27,Karnataka,Uttara Kannada,77,40,0,0,
2020-05-28,Karnataka,Uttara Kannada,77,40,0,0,
2020-05-29,Karnataka,Uttara Kannada,77,43,0,0,
2020-05-30,Karnataka,Uttara Kannada,79,43,0,0,
2020-05-31,Karnataka,Uttara Kannada,84,43,0,0,
2020-06-01,Karnataka,Uttara Kannada,85,43,0,0,5646.0
