Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Kerala,Kollam,14,5,0,0,
2020-04-27,Kerala,Kollam,14,5,0,0,
2020-04-28,Kerala,Kollam,14,5,0,0,
2020-04-29,Kerala,Kollam,20,5,0,0,
2020-04-30,Kerala,Kollam,20,8,0,0,
2020-05-01,Kerala,Kollam,20,8,0,0,
2020-05-02,Kerala,Kollam,20,8,0,0,
2020-05-03,Kerala,Kollam,20,8,0,0,
2020-05-04,Kerala,Kollam,20,17,0,0,
2020-05-05,Kerala,Kollam,20,17,0,0,
2020-05-06,Kerala,Kollam,20,17,0,0,
2020-05-07,Kerala,Kollam,20,17,0,0,
2020-05-08,Kerala,Kollam,20,17,0,0,
2020-05-09,Kerala,Kollam,20,17,0,0,
2020-05-10,Kerala,Kollam,20,17,0,0,
2020-05-11,Kerala,Kollam,20,17,0,0,
2020-05-12,Kerala,Kollam,20,17,0,0,
2020-05-13,Kerala,Kollam,20,18,0,0,
2020-05-14,Kerala,Kollam,20,20,0,0,
2020-05-15,Kerala,Kollam,21,20,0,0,
2020-05-16,Kerala,Kollam,21,20,0,0,
2020-05-17,Kerala,Kollam,22,20,0,0,
2020-05-18,Kerala,Kollam,28,20,0,0,
2020-05-19,Kerala,Kollam,28,20,0,0,
2020-05-20,Kerala,Kollam,28,20,0,0,
2020-05-21,Kerala,Kollam,30,20,0,0,
2020-05-22,Kerala,Kollam,31,20,0,0,
2020-05-23,Kerala,Kollam,34,21,0,0,
2020-05-24,Kerala,Kollam,37,21,0,0,
2020-05-25,Kerala,Kollam,39,23,0,0,
2020-05-26,Kerala,Kollam,43,23,0,0,
2020-05-27,Kerala,Kollam,47,23,0,0,
2020-05-28,Kerala,Kollam,48,23,0,0,
2020-05-29,Kerala,Kollam,50,23,0,0,
2020-05-30,Kerala,Kollam,54,23,0,0,
2020-05-31,Kerala,Kollam,60,23,0,0,
2020-06-01,Kerala,Kollam,65,23,0,0,
2020-06-02,Kerala,Kollam,73,23,0,0,
2020-06-03,Kerala,Kollam,78,25,0,0,
2020-06-04,Kerala,Kollam,89,25,1,0,
2020-06-05,Kerala,Kollam,91,25,1,0,
2020-06-06,Kerala,Kollam,110,27,1,0,
2020-06-07,Kerala,Kollam,119,30,1,0,
2020-06-08,Kerala,Kollam,124,30,1,0,
2020-06-09,Kerala,Kollam,129,33,1,0,
2020-06-10,Kerala,Kollam,133,37,1,0,
