Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Kerala,Kozhikode,24,13,0,0,
2020-04-27,Kerala,Kozhikode,24,17,0,0,
2020-04-28,Kerala,Kozhikode,24,17,0,0,
2020-04-29,Kerala,Kozhikode,24,20,0,0,
2020-04-30,Kerala,Kozhikode,24,21,0,0,
2020-05-01,Kerala,Kozhikode,24,21,0,0,
2020-05-02,Kerala,Kozhikode,24,21,0,0,
2020-05-03,Kerala,Kozhikode,24,21,0,0,
2020-05-04,Kerala,Kozhikode,24,24,0,0,
2020-05-05,Kerala,Kozhikode,24,24,0,0,
2020-05-06,Kerala,Kozhikode,24,24,0,0,
2020-05-07,Kerala,Kozhikode,24,24,0,0,
2020-05-08,Kerala,Kozhikode,24,24,0,0,
2020-05-09,Kerala,Kozhikode,24,24,0,0,
2020-05-10,Kerala,Kozhikode,24,24,0,0,
2020-05-11,Kerala,Kozhikode,24,24,0,0,
2020-05-12,Kerala,Kozhikode,24,24,0,0,
2020-05-13,Kerala,Kozhikode,25,24,0,0,
2020-05-14,Kerala,Kozhikode,26,24,0,0,
2020-05-15,Kerala,Kozhikode,28,24,0,0,
2020-05-16,Kerala,Kozhikode,31,24,0,0,
2020-05-17,Kerala,Kozhikode,33,24,0,0,
2020-05-18,Kerala,Kozhikode,35,24,0,0,
2020-05-19,Kerala,Kozhikode,35,24,0,0,
2020-05-20,Kerala,Kozhikode,36,24,0,0,
2020-05-21,Kerala,Kozhikode,36,25,0,0,
2020-05-22,Kerala,Kozhikode,41,25,0,0,
2020-05-23,Kerala,Kozhikode,45,25,0,0,
2020-05-24,Kerala,Kozhikode,46,25,0,0,
2020-05-25,Kerala,Kozhikode,50,25,0,0,
2020-05-26,Kerala,Kozhikode,50,25,0,0,
2020-05-27,Kerala,Kozhikode,52,25,0,0,
2020-05-28,Kerala,Kozhikode,58,26,0,0,
2020-05-29,Kerala,Kozhikode,60,28,0,0,
2020-05-30,Kerala,Kozhikode,64,28,0,0,
2020-05-31,Kerala,Kozhikode,66,32,0,0,
2020-06-01,Kerala,Kozhikode,66,32,1,0,
2020-06-02,Kerala,Kozhikode,71,32,1,0,
2020-06-03,Kerala,Kozhikode,78,37,1,0,
2020-06-04,Kerala,Kozhikode,88,43,1,0,
2020-06-05,Kerala,Kozhikode,92,43,1,0,
2020-06-06,Kerala,Kozhikode,96,50,1,0,
2020-06-07,Kerala,Kozhikode,102,50,1,0,
2020-06-08,Kerala,Kozhikode,115,50,1,0,
2020-06-09,Kerala,Kozhikode,122,53,1,0,
2020-06-10,Kerala,Kozhikode,132,56,1,0,
2020-06-11,Kerala,Kozhikode,133,61,1,0,
2020-06-12,Kerala,Kozhikode,137,63,1,0,
2020-06-13,Kerala,Kozhikode,149,65,1,0,
2020-06-14,Kerala,Kozhikode,157,66,1,0,
2020-06-15,Kerala,Kozhikode,163,70,1,0,
2020-06-16,Kerala,Kozhikode,167,70,1,0,
2020-06-17,Kerala,Kozhikode,173,81,1,0,
2020-06-18,Kerala,Kozhikode,178,82,1,0,
2020-06-19,Kerala,Kozhikode,184,85,1,0,
2020-06-20,Kerala,Kozhikode,196,96,1,0,
2020-06-21,Kerala,Kozhikode,206,100,1,0,
2020-06-22,Kerala,Kozhikode,211,108,1,0,
2020-06-23,Kerala,Kozhikode,217,108,1,0,
2020-06-24,Kerala,Kozhikode,220,141,1,0,
2020-06-25,Kerala,Kozhikode,227,147,1,0,
2020-06-26,Kerala,Kozhikode,234,158,1,0,
2020-06-27,Kerala,Kozhikode,242,158,1,0,
2020-06-28,Kerala,Kozhikode,249,164,1,0,
2020-06-29,Kerala,Kozhikode,258,172,1,0,
2020-06-30,Kerala,Kozhikode,262,174,1,0,
2020-07-01,Kerala,Kozhikode,268,186,2,0,
2020-07-02,Kerala,Kozhikode,275,186,2,0,
2020-07-03,Kerala,Kozhikode,289,197,2,0,
2020-07-04,Kerala,Kozhikode,297,198,2,0,
2020-07-05,Kerala,Kozhikode,317,203,2,0,
2020-07-06,Kerala,Kozhikode,332,208,2,0,
2020-07-07,Kerala,Kozhikode,347,213,2,0,
2020-07-08,Kerala,Kozhikode,362,219,2,0,
2020-07-09,Kerala,Kozhikode,370,220,2,0,
2020-07-10,Kerala,Kozhikode,382,220,2,0,
2020-07-11,Kerala,Kozhikode,399,224,2,0,
2020-07-12,Kerala,Kozhikode,403,242,2,0,
2020-07-13,Kerala,Kozhikode,419,249,2,0,
2020-07-14,Kerala,Kozhikode,477,269,2,0,
2020-07-15,Kerala,Kozhikode,541,283,2,0,
2020-07-16,Kerala,Kozhikode,574,293,2,0,
2020-07-17,Kerala,Kozhikode,606,302,2,0,
2020-07-18,Kerala,Kozhikode,632,311,2,0,
2020-07-19,Kerala,Kozhikode,664,319,2,0,
2020-07-20,Kerala,Kozhikode,756,325,2,0,
2020-07-21,Kerala,Kozhikode,795,363,2,0,
2020-07-22,Kerala,Kozhikode,820,377,2,0,
2020-07-23,Kerala,Kozhikode,887,393,3,0,
2020-07-24,Kerala,Kozhikode,969,459,3,0,
2020-07-25,Kerala,Kozhikode,1079,521,5,0,
2020-07-26,Kerala,Kozhikode,1136,529,5,1,
2020-07-27,Kerala,Kozhikode,1204,570,6,1,
2020-07-28,Kerala,Kozhikode,1271,583,6,1,
2020-07-29,Kerala,Kozhikode,1338,613,6,1,
2020-07-30,Kerala,Kozhikode,1380,670,7,1,
2020-07-31,Kerala,Kozhikode,1464,745,7,1,
2020-08-01,Kerala,Kozhikode,1559,794,8,1,
2020-08-02,Kerala,Kozhikode,1609,887,8,1,
2020-08-03,Kerala,Kozhikode,1642,913,8,1,
2020-08-04,Kerala,Kozhikode,1739,957,9,1,
2020-08-05,Kerala,Kozhikode,1778,1029,12,1,
2020-08-06,Kerala,Kozhikode,1952,1045,12,1,
2020-08-07,Kerala,Kozhikode,2101,1081,12,2,
2020-08-08,Kerala,Kozhikode,2274,1191,13,2,
2020-08-09,Kerala,Kozhikode,2343,1221,13,3,
2020-08-10,Kerala,Kozhikode,2409,1292,14,4,
2020-08-11,Kerala,Kozhikode,2567,1395,14,4,
2020-08-12,Kerala,Kozhikode,2660,1517,14,4,
2020-08-13,Kerala,Kozhikode,2758,1529,15,4,
2020-08-14,Kerala,Kozhikode,2857,1640,15,4,
2020-08-15,Kerala,Kozhikode,3008,1696,15,4,
2020-08-16,Kerala,Kozhikode,3126,1739,15,4,
2020-08-17,Kerala,Kozhikode,3172,1815,16,4,
2020-08-18,Kerala,Kozhikode,3319,2010,18,4,
2020-08-19,Kerala,Kozhikode,3397,2184,18,4,
2020-08-20,Kerala,Kozhikode,3527,2441,19,4,
2020-08-21,Kerala,Kozhikode,3685,2604,24,4,
2020-08-22,Kerala,Kozhikode,3917,2624,24,4,
2020-08-23,Kerala,Kozhikode,4036,2636,25,5,
2020-08-24,Kerala,Kozhikode,4117,2766,25,5,
2020-08-25,Kerala,Kozhikode,4377,2906,26,5,
2020-08-26,Kerala,Kozhikode,4592,3056,26,5,
2020-08-27,Kerala,Kozhikode,4830,3146,27,5,169786.0
2020-08-28,Kerala,Kozhikode,5004,3252,27,5,176377.0
2020-08-29,Kerala,Kozhikode,5156,3383,28,5,181078.0
2020-08-30,Kerala,Kozhikode,5460,3493,29,5,185278.0
2020-08-31,Kerala,Kozhikode,5577,3690,31,5,185278.0
2020-09-01,Kerala,Kozhikode,5732,3930,31,5,191704.0
2020-09-02,Kerala,Kozhikode,5936,4124,31,5,195954.0
2020-09-03,Kerala,Kozhikode,6067,4310,31,5,200686.0
