Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Kerala,Malappuram,22,19,1,0,
2020-04-27,Kerala,Malappuram,23,20,1,0,
2020-04-28,Kerala,Malappuram,23,20,1,0,
2020-04-29,Kerala,Malappuram,23,20,1,0,
2020-04-30,Kerala,Malappuram,24,21,1,0,
2020-05-01,Kerala,Malappuram,24,21,1,0,
2020-05-02,Kerala,Malappuram,24,21,1,0,
2020-05-03,Kerala,Malappuram,24,21,1,0,
2020-05-04,Kerala,Malappuram,24,23,1,0,
2020-05-05,Kerala,Malappuram,24,23,1,0,
2020-05-06,Kerala,Malappuram,24,23,1,0,
2020-05-07,Kerala,Malappuram,24,23,1,0,
2020-05-08,Kerala,Malappuram,24,23,1,0,
2020-05-09,Kerala,Malappuram,26,23,1,0,
2020-05-10,Kerala,Malappuram,27,23,1,0,
2020-05-11,Kerala,Malappuram,28,23,1,0,
2020-05-12,Kerala,Malappuram,31,23,1,0,
2020-05-13,Kerala,Malappuram,34,23,1,0,
2020-05-14,Kerala,Malappuram,39,23,1,0,
2020-05-15,Kerala,Malappuram,43,23,1,0,
2020-05-16,Kerala,Malappuram,45,23,1,0,
2020-05-17,Kerala,Malappuram,49,23,1,0,
2020-05-18,Kerala,Malappuram,50,23,1,0,
2020-05-19,Kerala,Malappuram,53,23,1,0,
2020-05-20,Kerala,Malappuram,57,23,1,0,
2020-05-21,Kerala,Malappuram,62,25,1,0,
2020-05-22,Kerala,Malappuram,66,27,1,0,
2020-05-23,Kerala,Malappuram,74,27,1,0,
2020-05-24,Kerala,Malappuram,79,27,1,0,
2020-05-25,Kerala,Malappuram,79,28,1,0,
2020-05-26,Kerala,Malappuram,84,31,1,0,
2020-05-27,Kerala,Malappuram,84,36,1,0,
2020-05-28,Kerala,Malappuram,92,37,1,0,
2020-05-29,Kerala,Malappuram,97,38,1,0,
2020-05-30,Kerala,Malappuram,97,40,1,0,
2020-05-31,Kerala,Malappuram,100,42,1,0,
2020-06-01,Kerala,Malappuram,114,49,1,0,
2020-06-02,Kerala,Malappuram,129,50,1,0,
2020-06-03,Kerala,Malappuram,140,50,1,0,
2020-06-04,Kerala,Malappuram,148,59,2,0,
2020-06-05,Kerala,Malappuram,166,59,2,0,
2020-06-06,Kerala,Malappuram,178,59,3,0,
2020-06-07,Kerala,Malappuram,205,60,3,0,
2020-06-08,Kerala,Malappuram,219,60,3,0,
2020-06-09,Kerala,Malappuram,225,60,3,0,
2020-06-10,Kerala,Malappuram,232,60,3,0,
2020-06-11,Kerala,Malappuram,242,62,3,0,
2020-06-12,Kerala,Malappuram,256,62,3,0,
2020-06-13,Kerala,Malappuram,271,69,3,0,
2020-06-14,Kerala,Malappuram,274,74,3,0,
2020-06-15,Kerala,Malappuram,280,84,3,0,
2020-06-16,Kerala,Malappuram,295,90,3,0,
2020-06-17,Kerala,Malappuram,306,92,3,0,
2020-06-18,Kerala,Malappuram,310,94,3,0,
2020-06-19,Kerala,Malappuram,328,109,3,0,
2020-06-20,Kerala,Malappuram,333,110,3,0,
2020-06-21,Kerala,Malappuram,343,138,3,0,
2020-06-22,Kerala,Malappuram,360,161,3,0,
2020-06-23,Kerala,Malappuram,371,177,3,0,
2020-06-24,Kerala,Malappuram,381,184,3,0,
2020-06-25,Kerala,Malappuram,387,195,3,0,
2020-06-26,Kerala,Malappuram,403,213,3,0,
2020-06-27,Kerala,Malappuram,450,232,3,0,
2020-06-28,Kerala,Malappuram,455,232,3,0,
2020-06-29,Kerala,Malappuram,469,239,4,0,
2020-06-30,Kerala,Malappuram,501,261,4,0,
2020-07-01,Kerala,Malappuram,535,275,4,0,
2020-07-02,Kerala,Malappuram,559,331,4,0,
2020-07-03,Kerala,Malappuram,594,341,4,0,
2020-07-04,Kerala,Malappuram,631,348,4,0,
2020-07-05,Kerala,Malappuram,657,376,4,0,
2020-07-06,Kerala,Malappuram,692,389,5,0,
2020-07-07,Kerala,Malappuram,755,399,5,0,
2020-07-08,Kerala,Malappuram,801,411,5,0,
2020-07-09,Kerala,Malappuram,856,417,5,0,
2020-07-10,Kerala,Malappuram,897,435,5,0,
