Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Kerala,Palakkad,12,7,0,0,
2020-04-27,Kerala,Palakkad,13,7,0,0,
2020-04-28,Kerala,Palakkad,13,7,0,0,
2020-04-29,Kerala,Palakkad,13,7,0,0,
2020-04-30,Kerala,Palakkad,13,11,0,0,
2020-05-01,Kerala,Palakkad,13,11,0,0,
2020-05-02,Kerala,Palakkad,13,11,0,0,
2020-05-03,Kerala,Palakkad,13,11,0,0,
2020-05-04,Kerala,Palakkad,13,12,0,0,
2020-05-05,Kerala,Palakkad,13,12,0,0,
2020-05-06,Kerala,Palakkad,13,12,0,0,
2020-05-07,Kerala,Palakkad,13,12,0,0,
2020-05-08,Kerala,Palakkad,13,12,0,0,
2020-05-09,Kerala,Palakkad,13,12,0,0,
2020-05-10,Kerala,Palakkad,13,13,0,0,
2020-05-11,Kerala,Palakkad,14,13,0,0,
2020-05-12,Kerala,Palakkad,14,13,0,0,
2020-05-13,Kerala,Palakkad,16,13,0,0,
2020-05-14,Kerala,Palakkad,19,13,0,0,
2020-05-15,Kerala,Palakkad,20,13,0,0,
2020-05-16,Kerala,Palakkad,22,13,0,0,
2020-05-17,Kerala,Palakkad,24,13,0,0,
2020-05-18,Kerala,Palakkad,25,13,0,0,
2020-05-19,Kerala,Palakkad,26,13,0,0,
2020-05-20,Kerala,Palakkad,33,13,0,0,
2020-05-21,Kerala,Palakkad,34,13,0,0,
2020-05-22,Kerala,Palakkad,39,13,0,0,
2020-05-23,Kerala,Palakkad,58,13,0,0,
2020-05-24,Kerala,Palakkad,62,13,0,0,
2020-05-25,Kerala,Palakkad,67,13,0,0,
2020-05-26,Kerala,Palakkad,96,15,0,0,
2020-05-27,Kerala,Palakkad,104,15,0,0,
2020-05-28,Kerala,Palakkad,120,15,0,0,
2020-05-29,Kerala,Palakkad,134,15,0,0,
2020-05-30,Kerala,Palakkad,143,17,0,0,
2020-05-31,Kerala,Palakkad,155,17,0,0,
2020-06-01,Kerala,Palakkad,157,18,0,0,
2020-06-02,Kerala,Palakkad,162,18,0,0,
2020-06-03,Kerala,Palakkad,167,18,0,0,
2020-06-04,Kerala,Palakkad,174,30,1,0,
2020-06-05,Kerala,Palakkad,214,31,1,-1,
2020-06-06,Kerala,Palakkad,225,61,1,0,
2020-06-07,Kerala,Palakkad,231,68,1,0,
2020-06-08,Kerala,Palakkad,232,70,1,0,
2020-06-09,Kerala,Palakkad,246,70,1,0,
2020-06-10,Kerala,Palakkad,252,70,1,0,
2020-06-11,Kerala,Palakkad,265,83,1,0,
2020-06-12,Kerala,Palakkad,270,89,1,0,
