Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Kerala,Pathanamthitta,17,14,0,0,
2020-04-27,Kerala,Pathanamthitta,17,14,0,0,
2020-04-28,Kerala,Pathanamthitta,17,14,0,0,
2020-04-29,Kerala,Pathanamthitta,17,15,0,0,
2020-04-30,Kerala,Pathanamthitta,17,16,0,0,
2020-05-01,Kerala,Pathanamthitta,17,16,0,0,
2020-05-02,Kerala,Pathanamthitta,17,16,0,0,
2020-05-03,Kerala,Pathanamthitta,17,16,0,0,
2020-05-04,Kerala,Pathanamthitta,17,16,0,0,
2020-05-05,Kerala,Pathanamthitta,17,16,0,0,
2020-05-06,Kerala,Pathanamthitta,17,17,0,0,
2020-05-07,Kerala,Pathanamthitta,17,17,0,0,
2020-05-08,Kerala,Pathanamthitta,17,17,0,0,
2020-05-09,Kerala,Pathanamthitta,17,17,0,0,
2020-05-10,Kerala,Pathanamthitta,17,17,0,0,
2020-05-11,Kerala,Pathanamthitta,17,17,0,0,
2020-05-12,Kerala,Pathanamthitta,18,17,0,0,
2020-05-13,Kerala,Pathanamthitta,18,17,0,0,
2020-05-14,Kerala,Pathanamthitta,19,17,0,0,
2020-05-15,Kerala,Pathanamthitta,19,17,0,0,
2020-05-16,Kerala,Pathanamthitta,19,17,0,0,
2020-05-17,Kerala,Pathanamthitta,19,17,0,0,
2020-05-18,Kerala,Pathanamthitta,21,17,0,0,
2020-05-19,Kerala,Pathanamthitta,22,17,0,0,
2020-05-20,Kerala,Pathanamthitta,24,17,0,0,
2020-05-21,Kerala,Pathanamthitta,24,17,0,0,
2020-05-22,Kerala,Pathanamthitta,25,17,0,0,
2020-05-23,Kerala,Pathanamthitta,25,17,0,0,
2020-05-24,Kerala,Pathanamthitta,27,17,0,0,
2020-05-25,Kerala,Pathanamthitta,30,17,0,0,
2020-05-26,Kerala,Pathanamthitta,30,17,0,0,
2020-05-27,Kerala,Pathanamthitta,33,17,0,0,
2020-05-28,Kerala,Pathanamthitta,39,17,0,0,
2020-05-29,Kerala,Pathanamthitta,44,17,1,0,
2020-05-30,Kerala,Pathanamthitta,44,17,1,0,
2020-05-31,Kerala,Pathanamthitta,48,19,1,0,
2020-06-01,Kerala,Pathanamthitta,52,20,1,0,
2020-06-02,Kerala,Pathanamthitta,53,21,1,0,
2020-06-03,Kerala,Pathanamthitta,55,23,1,0,
2020-06-04,Kerala,Pathanamthitta,69,24,1,0,
2020-06-05,Kerala,Pathanamthitta,80,24,1,0,
2020-06-06,Kerala,Pathanamthitta,89,24,1,0,
2020-06-07,Kerala,Pathanamthitta,102,25,1,0,
2020-06-08,Kerala,Pathanamthitta,105,25,1,0,
2020-06-09,Kerala,Pathanamthitta,112,31,1,0,
2020-06-10,Kerala,Pathanamthitta,115,37,1,0,
2020-06-11,Kerala,Pathanamthitta,120,38,1,0,
2020-06-12,Kerala,Pathanamthitta,127,38,1,0,
2020-06-13,Kerala,Pathanamthitta,128,39,1,0,
2020-06-14,Kerala,Pathanamthitta,130,39,1,0,
2020-06-15,Kerala,Pathanamthitta,141,39,1,0,
2020-06-16,Kerala,Pathanamthitta,147,43,1,0,
2020-06-17,Kerala,Pathanamthitta,148,49,1,0,
2020-06-18,Kerala,Pathanamthitta,159,52,1,0,
2020-06-19,Kerala,Pathanamthitta,168,52,1,0,
2020-06-20,Kerala,Pathanamthitta,185,64,1,0,
2020-06-21,Kerala,Pathanamthitta,193,68,1,0,
2020-06-22,Kerala,Pathanamthitta,197,68,1,0,
2020-06-23,Kerala,Pathanamthitta,224,74,1,0,
2020-06-24,Kerala,Pathanamthitta,249,75,1,0,
2020-06-25,Kerala,Pathanamthitta,262,84,1,0,
2020-06-26,Kerala,Pathanamthitta,266,84,1,0,
2020-06-27,Kerala,Pathanamthitta,272,101,1,0,
2020-06-28,Kerala,Pathanamthitta,275,103,1,0,
2020-06-29,Kerala,Pathanamthitta,288,103,1,0,
2020-06-30,Kerala,Pathanamthitta,289,103,1,0,
2020-07-01,Kerala,Pathanamthitta,295,108,1,0,
2020-07-02,Kerala,Pathanamthitta,322,108,1,0,
2020-07-03,Kerala,Pathanamthitta,329,137,1,0,
2020-07-04,Kerala,Pathanamthitta,351,157,1,0,
2020-07-05,Kerala,Pathanamthitta,354,166,1,0,
2020-07-06,Kerala,Pathanamthitta,380,193,1,0,
2020-07-07,Kerala,Pathanamthitta,392,213,1,0,
2020-07-08,Kerala,Pathanamthitta,399,217,1,0,
2020-07-09,Kerala,Pathanamthitta,406,224,1,0,
2020-07-10,Kerala,Pathanamthitta,438,224,1,0,
2020-07-11,Kerala,Pathanamthitta,492,267,1,0,
2020-07-12,Kerala,Pathanamthitta,531,292,1,0,
2020-07-13,Kerala,Pathanamthitta,578,294,1,0,
2020-07-14,Kerala,Pathanamthitta,581,294,1,0,
2020-07-15,Kerala,Pathanamthitta,645,314,1,0,
2020-07-16,Kerala,Pathanamthitta,684,332,1,0,
2020-07-17,Kerala,Pathanamthitta,771,333,1,0,
2020-07-18,Kerala,Pathanamthitta,799,351,1,0,
2020-07-19,Kerala,Pathanamthitta,834,368,1,0,
2020-07-20,Kerala,Pathanamthitta,837,386,1,0,
2020-07-21,Kerala,Pathanamthitta,877,386,1,0,
2020-07-22,Kerala,Pathanamthitta,926,424,1,0,
2020-07-23,Kerala,Pathanamthitta,953,424,1,0,
2020-07-24,Kerala,Pathanamthitta,976,505,1,0,
2020-07-25,Kerala,Pathanamthitta,1028,655,1,0,
2020-07-26,Kerala,Pathanamthitta,1119,703,1,0,
2020-07-27,Kerala,Pathanamthitta,1136,752,1,1,
2020-07-28,Kerala,Pathanamthitta,1199,780,1,1,
2020-07-29,Kerala,Pathanamthitta,1253,821,1,1,
2020-07-30,Kerala,Pathanamthitta,1312,902,1,1,
2020-07-31,Kerala,Pathanamthitta,1442,946,1,1,
2020-08-01,Kerala,Pathanamthitta,1527,1004,1,1,
2020-08-02,Kerala,Pathanamthitta,1552,1004,1,1,
2020-08-03,Kerala,Pathanamthitta,1588,1063,1,1,
2020-08-04,Kerala,Pathanamthitta,1620,1125,1,1,
2020-08-05,Kerala,Pathanamthitta,1657,1171,1,1,
2020-08-06,Kerala,Pathanamthitta,1690,1217,1,1,
2020-08-07,Kerala,Pathanamthitta,1729,1267,1,1,
2020-08-08,Kerala,Pathanamthitta,1767,1345,1,1,
2020-08-09,Kerala,Pathanamthitta,1797,1461,1,1,
2020-08-10,Kerala,Pathanamthitta,1801,1522,1,1,
2020-08-11,Kerala,Pathanamthitta,1821,1563,1,1,
2020-08-12,Kerala,Pathanamthitta,1840,1589,1,1,
2020-08-13,Kerala,Pathanamthitta,1915,1597,1,1,
2020-08-14,Kerala,Pathanamthitta,1955,1629,1,1,
2020-08-15,Kerala,Pathanamthitta,2004,1666,1,1,
2020-08-16,Kerala,Pathanamthitta,2048,1690,2,1,
2020-08-17,Kerala,Pathanamthitta,2050,1722,2,1,
2020-08-18,Kerala,Pathanamthitta,2115,1751,2,1,
2020-08-19,Kerala,Pathanamthitta,2202,1769,3,1,
2020-08-20,Kerala,Pathanamthitta,2321,1788,3,1,
2020-08-21,Kerala,Pathanamthitta,2399,1825,3,1,
2020-08-22,Kerala,Pathanamthitta,2492,1854,3,1,
2020-08-23,Kerala,Pathanamthitta,2596,1899,3,1,
2020-08-24,Kerala,Pathanamthitta,2602,1930,3,1,
2020-08-25,Kerala,Pathanamthitta,2695,1962,3,1,
2020-08-26,Kerala,Pathanamthitta,2875,2005,3,1,
2020-08-27,Kerala,Pathanamthitta,3042,2042,3,1,51940.0
2020-08-28,Kerala,Pathanamthitta,3130,2091,3,1,52681.0
2020-08-29,Kerala,Pathanamthitta,3205,2180,3,1,53289.0
2020-08-30,Kerala,Pathanamthitta,3338,2312,3,1,53289.0
2020-08-31,Kerala,Pathanamthitta,3445,2384,3,1,53289.0
2020-09-01,Kerala,Pathanamthitta,3457,2462,3,1,53921.0
2020-09-02,Kerala,Pathanamthitta,3474,2574,3,1,54494.0
2020-09-03,Kerala,Pathanamthitta,3592,2610,3,1,55460.0
2020-09-04,Kerala,Pathanamthitta,3733,2715,3,1,56250.0
2020-09-05,Kerala,Pathanamthitta,3881,2855,3,1,56923.0
2020-09-06,Kerala,Pathanamthitta,3994,2943,3,1,56923.0
2020-09-07,Kerala,Pathanamthitta,4018,3066,3,1,57830.0
2020-09-08,Kerala,Pathanamthitta,4178,3156,3,1,58586.0
2020-09-09,Kerala,Pathanamthitta,4368,3272,3,1,59322.0
2020-09-10,Kerala,Pathanamthitta,4503,3325,3,1,59975.0
2020-09-11,Kerala,Pathanamthitta,4596,3360,3,1,60970.0
2020-09-12,Kerala,Pathanamthitta,4684,3414,3,1,61762.0
2020-09-13,Kerala,Pathanamthitta,4786,3605,3,1,61762.0
2020-09-14,Kerala,Pathanamthitta,4802,3708,3,1,62707.0
2020-09-15,Kerala,Pathanamthitta,4948,3830,3,1,63621.0
2020-09-16,Kerala,Pathanamthitta,5184,3987,3,1,64348.0
2020-09-17,Kerala,Pathanamthitta,5320,4089,3,1,65099.0
2020-09-18,Kerala,Pathanamthitta,5421,4217,3,1,65773.0
2020-09-19,Kerala,Pathanamthitta,5642,4371,3,1,66574.0
2020-09-20,Kerala,Pathanamthitta,5832,4460,3,1,66574.0
2020-09-21,Kerala,Pathanamthitta,5848,4539,3,1,67416.0
2020-09-22,Kerala,Pathanamthitta,6055,4656,3,1,68606.0
2020-09-23,Kerala,Pathanamthitta,6278,4783,3,1,106154.0
2020-09-24,Kerala,Pathanamthitta,6467,4882,3,1,108245.0
2020-09-25,Kerala,Pathanamthitta,6658,5002,4,1,109998.0
2020-09-26,Kerala,Pathanamthitta,6987,5151,5,1,112114.0
2020-09-27,Kerala,Pathanamthitta,7250,5276,5,1,112117.0
2020-09-28,Kerala,Pathanamthitta,7288,5426,5,1,114656.0
2020-09-29,Kerala,Pathanamthitta,7559,5563,5,1,116903.0
2020-09-30,Kerala,Pathanamthitta,7845,5767,6,1,118704.0
2020-10-01,Kerala,Pathanamthitta,8068,5849,6,1,121052.0
2020-10-02,Kerala,Pathanamthitta,8307,6067,6,1,122580.0
2020-10-03,Kerala,Pathanamthitta,8603,6198,6,1,124475.0
2020-10-04,Kerala,Pathanamthitta,8918,6365,6,1,124523.0
2020-10-05,Kerala,Pathanamthitta,8943,6467,6,1,127323.0
2020-10-06,Kerala,Pathanamthitta,9273,6647,6,1,130012.0
2020-10-07,Kerala,Pathanamthitta,9666,6869,6,1,132331.0
2020-10-08,Kerala,Pathanamthitta,9961,7008,6,1,134551.0
2020-10-09,Kerala,Pathanamthitta,10251,7230,6,1,137220.0
2020-10-10,Kerala,Pathanamthitta,10599,7439,6,1,139138.0
2020-10-11,Kerala,Pathanamthitta,10977,7679,6,1,139156.0
2020-10-12,Kerala,Pathanamthitta,11163,7830,6,1,141510.0
2020-10-13,Kerala,Pathanamthitta,11407,8033,6,1,143951.0
2020-10-14,Kerala,Pathanamthitta,11576,8354,6,1,146130.0
2020-10-15,Kerala,Pathanamthitta,11824,8656,6,1,148413.0
2020-10-16,Kerala,Pathanamthitta,12120,8913,7,1,150330.0
2020-10-17,Kerala,Pathanamthitta,12323,9215,7,1,152527.0
2020-10-18,Kerala,Pathanamthitta,12502,9590,7,1,152620.0
2020-10-19,Kerala,Pathanamthitta,12534,9772,7,1,154864.0
2020-10-20,Kerala,Pathanamthitta,12782,10073,8,1,156982.0
2020-10-21,Kerala,Pathanamthitta,13029,10403,9,1,158855.0
2020-10-22,Kerala,Pathanamthitta,13224,10653,9,1,160782.0
2020-10-23,Kerala,Pathanamthitta,13509,10980,9,1,162774.0
2020-10-24,Kerala,Pathanamthitta,13840,11230,9,1,163442.0
2020-10-25,Kerala,Pathanamthitta,14143,11336,10,1,163509.0
2020-10-26,Kerala,Pathanamthitta,14167,11516,10,1,165326.0
2020-10-27,Kerala,Pathanamthitta,14279,11669,10,1,167349.0
2020-10-28,Kerala,Pathanamthitta,14539,11934,10,1,169533.0
2020-10-29,Kerala,Pathanamthitta,14539,11934,10,1,169533.0
