Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Kerala,Thiruvananthapuram,15,13,1,0,
2020-04-27,Kerala,Thiruvananthapuram,15,14,1,0,
2020-04-28,Kerala,Thiruvananthapuram,15,14,1,0,
2020-04-29,Kerala,Thiruvananthapuram,17,14,1,0,
2020-04-30,Kerala,Thiruvananthapuram,17,14,1,0,
2020-05-01,Kerala,Thiruvananthapuram,17,14,1,0,
2020-05-02,Kerala,Thiruvananthapuram,17,14,1,0,
2020-05-03,Kerala,Thiruvananthapuram,17,14,1,0,
2020-05-04,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-05,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-06,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-07,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-08,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-09,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-10,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-11,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-12,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-13,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-14,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-15,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-16,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-17,Kerala,Thiruvananthapuram,17,16,1,0,
2020-05-18,Kerala,Thiruvananthapuram,20,16,1,0,
2020-05-19,Kerala,Thiruvananthapuram,20,16,1,0,
2020-05-20,Kerala,Thiruvananthapuram,22,16,1,0,
2020-05-21,Kerala,Thiruvananthapuram,24,16,1,0,
2020-05-22,Kerala,Thiruvananthapuram,24,16,1,0,
2020-05-23,Kerala,Thiruvananthapuram,24,16,1,0,
2020-05-24,Kerala,Thiruvananthapuram,37,16,1,0,
2020-05-25,Kerala,Thiruvananthapuram,42,16,1,0,
2020-05-26,Kerala,Thiruvananthapuram,42,16,1,0,
2020-05-27,Kerala,Thiruvananthapuram,42,16,1,0,
2020-05-28,Kerala,Thiruvananthapuram,50,16,2,0,
2020-05-29,Kerala,Thiruvananthapuram,55,16,2,0,
2020-05-30,Kerala,Thiruvananthapuram,57,17,2,0,
2020-05-31,Kerala,Thiruvananthapuram,61,18,2,0,
2020-06-01,Kerala,Thiruvananthapuram,64,21,2,0,
2020-06-02,Kerala,Thiruvananthapuram,71,23,3,0,
2020-06-03,Kerala,Thiruvananthapuram,85,28,3,0,
2020-06-04,Kerala,Thiruvananthapuram,90,29,3,0,
2020-06-05,Kerala,Thiruvananthapuram,95,30,3,0,
2020-06-06,Kerala,Thiruvananthapuram,98,30,3,0,
2020-06-07,Kerala,Thiruvananthapuram,102,31,3,0,
2020-06-08,Kerala,Thiruvananthapuram,105,31,3,0,
2020-06-09,Kerala,Thiruvananthapuram,115,42,3,0,
2020-06-10,Kerala,Thiruvananthapuram,121,45,3,0,
2020-06-11,Kerala,Thiruvananthapuram,121,58,3,0,
2020-06-12,Kerala,Thiruvananthapuram,122,60,3,0,
2020-06-13,Kerala,Thiruvananthapuram,122,64,3,0,
2020-06-14,Kerala,Thiruvananthapuram,126,68,3,0,
2020-06-15,Kerala,Thiruvananthapuram,127,71,4,0,
2020-06-16,Kerala,Thiruvananthapuram,131,85,4,0,
2020-06-17,Kerala,Thiruvananthapuram,134,95,4,0,
2020-06-18,Kerala,Thiruvananthapuram,139,103,4,0,
2020-06-19,Kerala,Thiruvananthapuram,147,107,4,0,
2020-06-20,Kerala,Thiruvananthapuram,152,109,4,0,
2020-06-21,Kerala,Thiruvananthapuram,161,109,4,0,
2020-06-22,Kerala,Thiruvananthapuram,172,109,4,0,
2020-06-23,Kerala,Thiruvananthapuram,176,110,4,0,
2020-06-24,Kerala,Thiruvananthapuram,180,110,4,0,
2020-06-25,Kerala,Thiruvananthapuram,182,110,4,0,
2020-06-26,Kerala,Thiruvananthapuram,189,110,4,0,
2020-06-27,Kerala,Thiruvananthapuram,193,113,4,0,
2020-06-28,Kerala,Thiruvananthapuram,202,114,4,0,
2020-06-29,Kerala,Thiruvananthapuram,206,117,4,0,
2020-06-30,Kerala,Thiruvananthapuram,211,123,5,0,
2020-07-01,Kerala,Thiruvananthapuram,215,126,5,0,
2020-07-02,Kerala,Thiruvananthapuram,224,141,5,0,
2020-07-03,Kerala,Thiruvananthapuram,241,146,5,0,
2020-07-04,Kerala,Thiruvananthapuram,257,156,5,0,
2020-07-05,Kerala,Thiruvananthapuram,284,166,5,0,
2020-07-06,Kerala,Thiruvananthapuram,291,173,5,0,
2020-07-07,Kerala,Thiruvananthapuram,345,176,5,0,
2020-07-08,Kerala,Thiruvananthapuram,409,181,5,0,
2020-07-09,Kerala,Thiruvananthapuram,504,190,5,0,
2020-07-10,Kerala,Thiruvananthapuram,633,195,5,0,
2020-07-11,Kerala,Thiruvananthapuram,702,201,6,0,
2020-07-12,Kerala,Thiruvananthapuram,742,203,6,0,
2020-07-13,Kerala,Thiruvananthapuram,805,207,6,0,
2020-07-14,Kerala,Thiruvananthapuram,1006,223,6,0,
2020-07-15,Kerala,Thiruvananthapuram,1163,233,6,0,
