Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Kerala,Thrissur,13,13,0,0,
2020-04-27,Kerala,Thrissur,13,13,0,0,
2020-04-28,Kerala,Thrissur,13,13,0,0,
2020-04-29,Kerala,Thrissur,13,13,0,0,
2020-04-30,Kerala,Thrissur,13,13,0,0,
2020-05-01,Kerala,Thrissur,13,13,0,0,
2020-05-02,Kerala,Thrissur,13,13,0,0,
2020-05-03,Kerala,Thrissur,13,13,0,0,
2020-05-04,Kerala,Thrissur,13,13,0,0,
2020-05-05,Kerala,Thrissur,13,13,0,0,
2020-05-06,Kerala,Thrissur,13,13,0,0,
2020-05-07,Kerala,Thrissur,13,13,0,0,
2020-05-08,Kerala,Thrissur,13,13,0,0,
2020-05-09,Kerala,Thrissur,13,13,0,0,
2020-05-10,Kerala,Thrissur,15,13,0,0,
2020-05-11,Kerala,Thrissur,15,13,0,0,
2020-05-12,Kerala,Thrissur,15,13,0,0,
2020-05-13,Kerala,Thrissur,15,13,0,0,
2020-05-14,Kerala,Thrissur,15,13,0,0,
2020-05-15,Kerala,Thrissur,15,13,0,0,
2020-05-16,Kerala,Thrissur,19,13,0,0,
2020-05-17,Kerala,Thrissur,20,13,0,0,
2020-05-18,Kerala,Thrissur,24,13,0,0,
2020-05-19,Kerala,Thrissur,25,13,0,0,
2020-05-20,Kerala,Thrissur,27,15,0,0,
2020-05-21,Kerala,Thrissur,30,15,0,0,
2020-05-22,Kerala,Thrissur,34,15,1,0,
2020-05-23,Kerala,Thrissur,34,15,1,0,
2020-05-24,Kerala,Thrissur,34,15,1,0,
2020-05-25,Kerala,Thrissur,34,15,1,0,
2020-05-26,Kerala,Thrissur,38,15,1,0,
2020-05-27,Kerala,Thrissur,38,15,1,0,
2020-05-28,Kerala,Thrissur,45,15,1,0,
2020-05-29,Kerala,Thrissur,51,15,1,0,
2020-05-30,Kerala,Thrissur,61,18,1,0,
2020-05-31,Kerala,Thrissur,64,18,1,0,
2020-06-01,Kerala,Thrissur,73,19,1,0,
2020-06-02,Kerala,Thrissur,79,19,1,0,
2020-06-03,Kerala,Thrissur,83,20,1,0,
2020-06-04,Kerala,Thrissur,87,22,1,0,
2020-06-05,Kerala,Thrissur,95,28,1,0,
2020-06-06,Kerala,Thrissur,111,28,1,0,
2020-06-07,Kerala,Thrissur,137,41,1,0,
2020-06-08,Kerala,Thrissur,164,41,2,0,
2020-06-09,Kerala,Thrissur,170,45,2,0,
2020-06-10,Kerala,Thrissur,179,45,3,0,
2020-06-11,Kerala,Thrissur,204,52,3,0,
2020-06-12,Kerala,Thrissur,218,56,3,0,
2020-06-13,Kerala,Thrissur,222,59,3,0,
2020-06-14,Kerala,Thrissur,229,67,3,0,
2020-06-15,Kerala,Thrissur,232,73,3,0,
2020-06-16,Kerala,Thrissur,239,75,3,0,
2020-06-17,Kerala,Thrissur,247,85,3,0,
2020-06-18,Kerala,Thrissur,253,107,3,0,
2020-06-19,Kerala,Thrissur,254,120,3,0,
2020-06-20,Kerala,Thrissur,260,120,3,0,
2020-06-21,Kerala,Thrissur,276,158,3,0,
2020-06-22,Kerala,Thrissur,288,164,3,0,
2020-06-23,Kerala,Thrissur,302,174,3,0,
2020-06-24,Kerala,Thrissur,317,179,3,0,
2020-06-25,Kerala,Thrissur,327,182,3,0,
2020-06-26,Kerala,Thrissur,334,197,3,0,
2020-06-27,Kerala,Thrissur,356,204,3,0,
2020-06-28,Kerala,Thrissur,373,209,3,0,
2020-06-29,Kerala,Thrissur,399,214,3,0,
2020-06-30,Kerala,Thrissur,403,227,3,0,
2020-07-01,Kerala,Thrissur,419,243,3,0,
2020-07-02,Kerala,Thrissur,428,251,3,0,
2020-07-03,Kerala,Thrissur,449,256,3,0,
2020-07-04,Kerala,Thrissur,469,266,3,0,
2020-07-05,Kerala,Thrissur,481,278,3,0,
2020-07-06,Kerala,Thrissur,495,294,3,0,
2020-07-07,Kerala,Thrissur,505,300,3,0,
2020-07-08,Kerala,Thrissur,530,311,3,0,
2020-07-09,Kerala,Thrissur,557,340,3,0,
2020-07-10,Kerala,Thrissur,574,359,3,0,
2020-07-11,Kerala,Thrissur,603,376,3,0,
2020-07-12,Kerala,Thrissur,622,396,4,0,
2020-07-13,Kerala,Thrissur,631,412,4,0,
2020-07-14,Kerala,Thrissur,673,422,4,0,
2020-07-15,Kerala,Thrissur,678,424,4,0,
2020-07-16,Kerala,Thrissur,710,432,5,0,
2020-07-17,Kerala,Thrissur,742,463,6,0,
2020-07-18,Kerala,Thrissur,763,474,6,0,
2020-07-19,Kerala,Thrissur,824,495,6,0,
2020-07-20,Kerala,Thrissur,866,540,7,0,
2020-07-21,Kerala,Thrissur,885,546,7,0,
2020-07-22,Kerala,Thrissur,941,579,7,0,
2020-07-23,Kerala,Thrissur,1024,600,7,0,
2020-07-24,Kerala,Thrissur,1057,612,7,0,
2020-07-25,Kerala,Thrissur,1093,649,7,0,
2020-07-26,Kerala,Thrissur,1134,706,8,0,
2020-07-27,Kerala,Thrissur,1174,751,8,0,
2020-07-28,Kerala,Thrissur,1283,796,8,0,
2020-07-29,Kerala,Thrissur,1314,852,8,0,
2020-07-30,Kerala,Thrissur,1397,920,8,0,
2020-07-31,Kerala,Thrissur,1457,947,8,0,
2020-08-01,Kerala,Thrissur,1533,1001,9,0,
2020-08-02,Kerala,Thrissur,1591,1064,9,0,
2020-08-03,Kerala,Thrissur,1676,1116,9,0,
2020-08-04,Kerala,Thrissur,1748,1161,9,0,
2020-08-05,Kerala,Thrissur,1834,1212,9,0,
2020-08-06,Kerala,Thrissur,1908,1260,9,0,
2020-08-07,Kerala,Thrissur,1941,1320,9,1,
2020-08-08,Kerala,Thrissur,2005,1392,9,1,
2020-08-09,Kerala,Thrissur,2029,1449,9,1,
2020-08-10,Kerala,Thrissur,2069,1509,9,1,
2020-08-11,Kerala,Thrissur,2101,1574,9,1,
2020-08-12,Kerala,Thrissur,2120,1629,9,1,
2020-08-13,Kerala,Thrissur,2195,1676,9,1,
2020-08-14,Kerala,Thrissur,2275,1729,10,1,
2020-08-15,Kerala,Thrissur,2360,1792,10,1,
2020-08-16,Kerala,Thrissur,2390,1856,10,1,
2020-08-17,Kerala,Thrissur,2546,1898,10,1,
2020-08-18,Kerala,Thrissur,2594,1931,10,3,
2020-08-19,Kerala,Thrissur,2691,1959,10,3,
2020-08-20,Kerala,Thrissur,2763,1994,10,4,
2020-08-21,Kerala,Thrissur,2882,2049,10,4,
2020-08-22,Kerala,Thrissur,3061,2099,12,4,
2020-08-23,Kerala,Thrissur,3177,2169,12,4,
