Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Kerala,Wayanad,3,3,0,0,
2020-04-27,Kerala,Wayanad,3,3,0,0,
2020-04-28,Kerala,Wayanad,3,3,0,0,
2020-04-29,Kerala,Wayanad,3,3,0,0,
2020-04-30,Kerala,Wayanad,3,3,0,0,
2020-05-01,Kerala,Wayanad,3,3,0,0,
2020-05-02,Kerala,Wayanad,4,3,0,0,
2020-05-03,Kerala,Wayanad,4,3,0,0,
2020-05-04,Kerala,Wayanad,4,3,0,0,
2020-05-05,Kerala,Wayanad,7,3,0,0,
2020-05-06,Kerala,Wayanad,7,3,0,0,
2020-05-07,Kerala,Wayanad,7,3,0,0,
2020-05-08,Kerala,Wayanad,7,3,0,0,
2020-05-09,Kerala,Wayanad,7,3,0,0,
2020-05-10,Kerala,Wayanad,10,3,0,0,
2020-05-11,Kerala,Wayanad,11,3,0,0,
2020-05-12,Kerala,Wayanad,11,3,0,0,
2020-05-13,Kerala,Wayanad,13,3,0,0,
2020-05-14,Kerala,Wayanad,16,3,0,0,
2020-05-15,Kerala,Wayanad,21,3,0,0,
2020-05-16,Kerala,Wayanad,21,5,0,0,
2020-05-17,Kerala,Wayanad,21,5,0,0,
2020-05-18,Kerala,Wayanad,21,5,0,0,
2020-05-19,Kerala,Wayanad,21,5,0,0,
2020-05-20,Kerala,Wayanad,21,6,0,0,
2020-05-21,Kerala,Wayanad,21,10,0,0,
2020-05-22,Kerala,Wayanad,22,10,0,0,
2020-05-23,Kerala,Wayanad,23,10,0,0,
2020-05-24,Kerala,Wayanad,23,13,1,0,
2020-05-25,Kerala,Wayanad,23,14,1,0,
2020-05-26,Kerala,Wayanad,23,14,1,0,
2020-05-27,Kerala,Wayanad,26,15,1,0,
2020-05-28,Kerala,Wayanad,26,15,1,0,
2020-05-29,Kerala,Wayanad,28,20,1,0,
2020-05-30,Kerala,Wayanad,28,20,1,0,
2020-05-31,Kerala,Wayanad,31,20,1,0,
2020-06-01,Kerala,Wayanad,31,21,1,0,
2020-06-02,Kerala,Wayanad,37,21,1,0,
2020-06-03,Kerala,Wayanad,37,21,1,0,
2020-06-04,Kerala,Wayanad,39,23,1,0,
2020-06-05,Kerala,Wayanad,42,23,1,0,
2020-06-06,Kerala,Wayanad,42,23,1,0,
2020-06-07,Kerala,Wayanad,42,23,1,0,
2020-06-08,Kerala,Wayanad,44,25,1,0,
2020-06-09,Kerala,Wayanad,50,26,1,0,
2020-06-10,Kerala,Wayanad,54,32,1,0,
2020-06-11,Kerala,Wayanad,54,32,1,0,
2020-06-12,Kerala,Wayanad,54,32,1,0,
2020-06-13,Kerala,Wayanad,55,33,1,0,
2020-06-14,Kerala,Wayanad,56,34,1,0,
2020-06-15,Kerala,Wayanad,57,34,1,0,
2020-06-16,Kerala,Wayanad,57,39,1,0,
2020-06-17,Kerala,Wayanad,60,40,1,0,
2020-06-18,Kerala,Wayanad,60,42,1,0,
2020-06-19,Kerala,Wayanad,64,42,1,0,
2020-06-20,Kerala,Wayanad,69,44,1,0,
2020-06-21,Kerala,Wayanad,69,44,1,0,
2020-06-22,Kerala,Wayanad,74,44,1,0,
2020-06-23,Kerala,Wayanad,76,47,1,0,
2020-06-24,Kerala,Wayanad,78,47,1,0,
2020-06-25,Kerala,Wayanad,80,47,1,0,
2020-06-26,Kerala,Wayanad,85,47,1,0,
2020-06-27,Kerala,Wayanad,90,47,1,0,
2020-06-28,Kerala,Wayanad,95,48,1,0,
2020-06-29,Kerala,Wayanad,95,48,1,0,
2020-06-30,Kerala,Wayanad,95,52,1,0,
2020-07-01,Kerala,Wayanad,98,55,1,0,
2020-07-02,Kerala,Wayanad,99,55,1,0,
2020-07-03,Kerala,Wayanad,100,65,1,0,
2020-07-04,Kerala,Wayanad,102,65,1,0,
2020-07-05,Kerala,Wayanad,108,71,1,0,
2020-07-06,Kerala,Wayanad,116,71,1,0,
2020-07-07,Kerala,Wayanad,119,75,1,0,
2020-07-08,Kerala,Wayanad,133,75,1,0,
2020-07-09,Kerala,Wayanad,140,78,1,0,
2020-07-10,Kerala,Wayanad,140,82,1,0,
2020-07-11,Kerala,Wayanad,151,82,1,0,
2020-07-12,Kerala,Wayanad,170,82,1,0,
2020-07-13,Kerala,Wayanad,184,98,1,0,
