Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Ladakh,Kargil,5,4,0,0,
2020-04-27,Ladakh,Kargil,5,4,0,0,
2020-04-28,Ladakh,Kargil,7,4,0,0,
2020-04-29,Ladakh,Kargil,7,4,0,0,
2020-04-30,Ladakh,Kargil,7,4,0,0,
2020-05-01,Ladakh,Kargil,7,4,0,0,626.0
2020-05-02,Ladakh,Kargil,8,4,0,0,626.0
2020-05-03,Ladakh,Kargil,9,4,0,0,626.0
2020-05-04,Ladakh,Kargil,9,4,0,0,626.0
2020-05-05,Ladakh,Kargil,9,4,0,0,626.0
2020-05-06,Ladakh,Kargil,9,4,0,0,626.0
2020-05-07,Ladakh,Kargil,9,4,0,0,626.0
2020-05-08,Ladakh,Kargil,9,4,0,0,626.0
2020-05-09,Ladakh,Kargil,9,4,0,0,1103.0
2020-05-10,Ladakh,Kargil,9,7,0,0,1103.0
2020-05-11,Ladakh,Kargil,9,7,0,0,1103.0
2020-05-12,Ladakh,Kargil,9,7,0,0,1103.0
2020-05-13,Ladakh,Kargil,9,7,0,0,1325.0
2020-05-14,Ladakh,Kargil,9,7,0,0,1325.0
2020-05-15,Ladakh,Kargil,9,9,0,0,1325.0
2020-05-16,Ladakh,Kargil,9,9,0,0,1381.0
2020-05-17,Ladakh,Kargil,9,9,0,0,1381.0
2020-05-18,Ladakh,Kargil,9,9,0,0,1463.0
2020-05-19,Ladakh,Kargil,9,9,0,0,1472.0
2020-05-20,Ladakh,Kargil,9,9,0,0,1472.0
2020-05-21,Ladakh,Kargil,9,9,0,0,1480.0
2020-05-22,Ladakh,Kargil,11,9,0,0,1480.0
2020-05-23,Ladakh,Kargil,14,9,0,0,1809.0
2020-05-24,Ladakh,Kargil,17,9,0,0,1895.0
2020-05-25,Ladakh,Kargil,18,9,0,0,1983.0
2020-05-26,Ladakh,Kargil,18,9,0,0,1983.0
2020-05-27,Ladakh,Kargil,18,9,0,0,1983.0
2020-05-28,Ladakh,Kargil,35,9,0,0,1983.0
2020-05-29,Ladakh,Kargil,35,9,0,0,1983.0
2020-05-30,Ladakh,Kargil,36,9,0,0,1983.0
2020-05-31,Ladakh,Kargil,36,13,0,0,1983.0
2020-06-01,Ladakh,Kargil,36,13,0,0,1983.0
2020-06-02,Ladakh,Kargil,39,13,0,0,2769.0
2020-06-03,Ladakh,Kargil,46,13,0,0,2769.0
2020-06-04,Ladakh,Kargil,49,13,0,0,2769.0
2020-06-05,Ladakh,Kargil,51,13,0,0,3009.0
2020-06-06,Ladakh,Kargil,53,13,0,0,3014.0
2020-06-07,Ladakh,Kargil,54,13,0,0,3019.0
2020-06-08,Ladakh,Kargil,54,13,0,0,3020.0
2020-06-09,Ladakh,Kargil,54,13,0,0,3144.0
2020-06-10,Ladakh,Kargil,54,13,0,0,3146.0
2020-06-11,Ladakh,Kargil,54,17,0,0,3251.0
2020-06-12,Ladakh,Kargil,123,21,0,0,3513.0
2020-06-13,Ladakh,Kargil,321,21,0,0,4033.0
2020-06-14,Ladakh,Kargil,425,21,0,0,4137.0
2020-06-15,Ladakh,Kargil,428,22,0,0,5153.0
2020-06-16,Ladakh,Kargil,478,25,0,0,5356.0
2020-06-17,Ladakh,Kargil,505,26,0,0,5480.0
2020-06-18,Ladakh,Kargil,505,29,0,0,5800.0
2020-06-19,Ladakh,Kargil,555,29,0,0,5800.0
2020-06-20,Ladakh,Kargil,623,51,0,0,6033.0
2020-06-21,Ladakh,Kargil,623,68,0,0,6033.0
2020-06-22,Ladakh,Kargil,625,68,0,0,6140.0
2020-06-23,Ladakh,Kargil,690,68,0,0,6140.0
2020-06-24,Ladakh,Kargil,690,187,0,0,6257.0
2020-06-25,Ladakh,Kargil,690,255,0,0,6351.0
2020-06-26,Ladakh,Kargil,692,330,0,0,6398.0
2020-06-27,Ladakh,Kargil,701,400,0,0,6436.0
2020-06-28,Ladakh,Kargil,701,432,0,0,6436.0
2020-06-29,Ladakh,Kargil,702,453,0,0,6512.0
2020-06-30,Ladakh,Kargil,702,485,0,0,6512.0
2020-07-01,Ladakh,Kargil,714,531,0,0,6653.0
2020-07-02,Ladakh,Kargil,714,547,0,0,6660.0
