Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Agar Malwa,11,0,1,0,
2020-04-27,Madhya Pradesh,Agar Malwa,11,0,1,0,
2020-04-28,Madhya Pradesh,Agar Malwa,11,0,1,0,
2020-04-29,Madhya Pradesh,Agar Malwa,12,0,1,0,
2020-04-30,Madhya Pradesh,Agar Malwa,12,0,1,0,
2020-05-01,Madhya Pradesh,Agar Malwa,12,0,1,0,
2020-05-02,Madhya Pradesh,Agar Malwa,12,0,1,0,
2020-05-03,Madhya Pradesh,Agar Malwa,12,0,1,0,
2020-05-04,Madhya Pradesh,Agar Malwa,12,0,1,0,
2020-05-05,Madhya Pradesh,Agar Malwa,12,0,1,0,
2020-05-06,Madhya Pradesh,Agar Malwa,13,10,1,0,
2020-05-07,Madhya Pradesh,Agar Malwa,13,10,1,0,
2020-05-08,Madhya Pradesh,Agar Malwa,13,10,1,0,
2020-05-09,Madhya Pradesh,Agar Malwa,13,10,1,0,
2020-05-10,Madhya Pradesh,Agar Malwa,13,10,1,0,
2020-05-11,Madhya Pradesh,Agar Malwa,13,10,1,0,
2020-05-12,Madhya Pradesh,Agar Malwa,13,10,1,0,
2020-05-13,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-14,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-15,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-16,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-17,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-18,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-19,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-20,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-21,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-22,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-23,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-24,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-25,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-26,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-27,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-28,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-29,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-30,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-05-31,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-06-01,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-06-02,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-06-03,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-06-04,Madhya Pradesh,Agar Malwa,13,12,1,0,
2020-06-05,Madhya Pradesh,Agar Malwa,14,12,1,0,
2020-06-06,Madhya Pradesh,Agar Malwa,14,12,1,0,
2020-06-07,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-08,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-09,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-10,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-11,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-12,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-13,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-14,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-15,Madhya Pradesh,Agar Malwa,15,12,1,0,
2020-06-16,Madhya Pradesh,Agar Malwa,16,12,1,0,
2020-06-17,Madhya Pradesh,Agar Malwa,16,12,1,0,
2020-06-18,Madhya Pradesh,Agar Malwa,16,13,1,0,
2020-06-19,Madhya Pradesh,Agar Malwa,16,13,1,0,
2020-06-20,Madhya Pradesh,Agar Malwa,16,13,1,0,
2020-06-21,Madhya Pradesh,Agar Malwa,16,13,1,0,
2020-06-22,Madhya Pradesh,Agar Malwa,16,13,1,0,
2020-06-23,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-06-24,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-06-25,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-06-26,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-06-27,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-06-28,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-06-29,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-06-30,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-07-01,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-07-02,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-07-03,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-07-04,Madhya Pradesh,Agar Malwa,16,14,1,0,
2020-07-05,Madhya Pradesh,Agar Malwa,17,14,1,0,
2020-07-06,Madhya Pradesh,Agar Malwa,18,14,2,0,
2020-07-07,Madhya Pradesh,Agar Malwa,19,14,2,0,
2020-07-08,Madhya Pradesh,Agar Malwa,19,14,2,0,
2020-07-09,Madhya Pradesh,Agar Malwa,21,14,2,0,
2020-07-10,Madhya Pradesh,Agar Malwa,23,14,2,0,
2020-07-11,Madhya Pradesh,Agar Malwa,25,14,2,0,
2020-07-12,Madhya Pradesh,Agar Malwa,27,15,2,0,
2020-07-13,Madhya Pradesh,Agar Malwa,35,15,2,0,
2020-07-14,Madhya Pradesh,Agar Malwa,35,16,2,0,
2020-07-15,Madhya Pradesh,Agar Malwa,41,16,2,0,
2020-07-16,Madhya Pradesh,Agar Malwa,42,17,2,0,
2020-07-17,Madhya Pradesh,Agar Malwa,43,21,2,0,
2020-07-18,Madhya Pradesh,Agar Malwa,43,21,2,0,
2020-07-19,Madhya Pradesh,Agar Malwa,49,28,2,0,
2020-07-20,Madhya Pradesh,Agar Malwa,50,28,3,0,
2020-07-21,Madhya Pradesh,Agar Malwa,58,34,3,0,
2020-07-22,Madhya Pradesh,Agar Malwa,64,39,3,0,
2020-07-23,Madhya Pradesh,Agar Malwa,67,39,3,0,
2020-07-24,Madhya Pradesh,Agar Malwa,68,40,3,0,
2020-07-25,Madhya Pradesh,Agar Malwa,74,48,3,0,
2020-07-26,Madhya Pradesh,Agar Malwa,76,49,3,0,
2020-07-27,Madhya Pradesh,Agar Malwa,78,49,3,0,
2020-07-28,Madhya Pradesh,Agar Malwa,80,59,3,0,
2020-07-29,Madhya Pradesh,Agar Malwa,80,59,3,0,
2020-07-30,Madhya Pradesh,Agar Malwa,83,60,3,0,
2020-07-31,Madhya Pradesh,Agar Malwa,85,65,3,0,
2020-08-01,Madhya Pradesh,Agar Malwa,89,68,3,0,
2020-08-02,Madhya Pradesh,Agar Malwa,91,71,3,0,
2020-08-03,Madhya Pradesh,Agar Malwa,91,71,3,0,
2020-08-04,Madhya Pradesh,Agar Malwa,91,74,3,0,
2020-08-05,Madhya Pradesh,Agar Malwa,96,74,4,0,
2020-08-06,Madhya Pradesh,Agar Malwa,101,74,4,0,
2020-08-07,Madhya Pradesh,Agar Malwa,101,76,4,0,
2020-08-08,Madhya Pradesh,Agar Malwa,101,82,4,0,
2020-08-09,Madhya Pradesh,Agar Malwa,102,83,4,0,
2020-08-10,Madhya Pradesh,Agar Malwa,106,85,4,0,
2020-08-11,Madhya Pradesh,Agar Malwa,110,89,4,0,
2020-08-12,Madhya Pradesh,Agar Malwa,118,89,4,0,
2020-08-13,Madhya Pradesh,Agar Malwa,128,90,4,0,
2020-08-14,Madhya Pradesh,Agar Malwa,133,92,4,0,
2020-08-15,Madhya Pradesh,Agar Malwa,135,93,4,0,
2020-08-16,Madhya Pradesh,Agar Malwa,139,94,5,0,
2020-08-17,Madhya Pradesh,Agar Malwa,139,96,5,0,
2020-08-18,Madhya Pradesh,Agar Malwa,144,100,5,0,
2020-08-19,Madhya Pradesh,Agar Malwa,150,101,5,0,
2020-08-20,Madhya Pradesh,Agar Malwa,159,111,5,0,
2020-08-21,Madhya Pradesh,Agar Malwa,161,117,5,0,
2020-08-22,Madhya Pradesh,Agar Malwa,165,120,5,0,
2020-08-23,Madhya Pradesh,Agar Malwa,172,123,5,0,
2020-08-24,Madhya Pradesh,Agar Malwa,172,126,5,0,
2020-08-25,Madhya Pradesh,Agar Malwa,174,128,5,0,
2020-08-26,Madhya Pradesh,Agar Malwa,177,131,5,0,
2020-08-27,Madhya Pradesh,Agar Malwa,179,139,5,0,
2020-08-28,Madhya Pradesh,Agar Malwa,186,147,5,0,
2020-08-29,Madhya Pradesh,Agar Malwa,191,151,5,0,
2020-08-30,Madhya Pradesh,Agar Malwa,193,156,5,0,
2020-08-31,Madhya Pradesh,Agar Malwa,196,156,5,0,
2020-09-01,Madhya Pradesh,Agar Malwa,213,160,5,0,
