Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-04-27,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-04-28,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-04-29,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-04-30,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-05-01,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-05-02,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-05-03,Madhya Pradesh,Alirajpur,3,1,0,0,
2020-05-04,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-05,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-06,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-07,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-08,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-09,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-10,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-11,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-12,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-13,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-14,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-15,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-16,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-17,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-18,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-19,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-20,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-21,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-22,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-23,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-24,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-25,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-26,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-27,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-28,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-29,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-30,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-05-31,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-01,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-02,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-03,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-04,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-05,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-06,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-07,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-08,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-09,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-10,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-11,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-12,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-13,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-14,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-15,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-16,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-17,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-18,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-19,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-20,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-21,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-22,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-23,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-24,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-25,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-26,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-27,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-28,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-29,Madhya Pradesh,Alirajpur,3,3,0,0,
2020-06-30,Madhya Pradesh,Alirajpur,4,3,0,0,
2020-07-01,Madhya Pradesh,Alirajpur,4,3,0,0,
2020-07-02,Madhya Pradesh,Alirajpur,4,3,0,0,
2020-07-03,Madhya Pradesh,Alirajpur,4,3,0,0,
2020-07-04,Madhya Pradesh,Alirajpur,8,3,0,0,
2020-07-05,Madhya Pradesh,Alirajpur,8,3,0,0,
2020-07-06,Madhya Pradesh,Alirajpur,8,3,0,0,
2020-07-07,Madhya Pradesh,Alirajpur,9,3,0,0,
2020-07-08,Madhya Pradesh,Alirajpur,9,4,0,0,
2020-07-09,Madhya Pradesh,Alirajpur,10,4,1,0,
2020-07-10,Madhya Pradesh,Alirajpur,11,4,1,0,
2020-07-11,Madhya Pradesh,Alirajpur,13,4,1,0,
2020-07-12,Madhya Pradesh,Alirajpur,16,4,1,0,
2020-07-13,Madhya Pradesh,Alirajpur,24,4,1,0,
2020-07-14,Madhya Pradesh,Alirajpur,32,7,1,0,
2020-07-15,Madhya Pradesh,Alirajpur,33,7,1,0,
2020-07-16,Madhya Pradesh,Alirajpur,35,7,1,0,
2020-07-17,Madhya Pradesh,Alirajpur,38,7,1,0,
2020-07-18,Madhya Pradesh,Alirajpur,44,7,1,0,
2020-07-19,Madhya Pradesh,Alirajpur,54,8,1,0,
2020-07-20,Madhya Pradesh,Alirajpur,59,10,1,0,
2020-07-21,Madhya Pradesh,Alirajpur,76,11,1,0,
2020-07-22,Madhya Pradesh,Alirajpur,90,18,1,0,
2020-07-23,Madhya Pradesh,Alirajpur,91,18,1,0,
2020-07-24,Madhya Pradesh,Alirajpur,96,18,1,0,
2020-07-25,Madhya Pradesh,Alirajpur,105,18,1,0,
2020-07-26,Madhya Pradesh,Alirajpur,116,25,1,0,
2020-07-27,Madhya Pradesh,Alirajpur,126,29,1,0,
2020-07-28,Madhya Pradesh,Alirajpur,129,33,1,0,
2020-07-29,Madhya Pradesh,Alirajpur,136,37,1,0,
2020-07-30,Madhya Pradesh,Alirajpur,142,41,1,0,
2020-07-31,Madhya Pradesh,Alirajpur,166,42,1,0,
2020-08-01,Madhya Pradesh,Alirajpur,169,61,1,0,
2020-08-02,Madhya Pradesh,Alirajpur,171,69,1,0,
2020-08-03,Madhya Pradesh,Alirajpur,178,75,1,0,
2020-08-04,Madhya Pradesh,Alirajpur,178,87,1,0,
2020-08-05,Madhya Pradesh,Alirajpur,181,105,1,0,
2020-08-06,Madhya Pradesh,Alirajpur,186,114,1,0,
2020-08-07,Madhya Pradesh,Alirajpur,186,128,1,0,
2020-08-08,Madhya Pradesh,Alirajpur,196,130,1,0,
2020-08-09,Madhya Pradesh,Alirajpur,206,144,2,0,
2020-08-10,Madhya Pradesh,Alirajpur,212,149,2,0,
