Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-01,Madhya Pradesh,Anuppur,2,0,0,0,
2020-05-02,Madhya Pradesh,Anuppur,2,0,0,0,
2020-05-03,Madhya Pradesh,Anuppur,2,0,0,0,
2020-05-04,Madhya Pradesh,Anuppur,2,0,0,0,
2020-05-05,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-06,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-07,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-08,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-09,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-10,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-11,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-12,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-13,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-14,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-15,Madhya Pradesh,Anuppur,3,0,0,0,
2020-05-16,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-17,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-18,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-19,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-20,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-21,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-22,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-23,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-24,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-25,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-26,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-27,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-28,Madhya Pradesh,Anuppur,3,3,0,0,
2020-05-29,Madhya Pradesh,Anuppur,5,3,0,0,
2020-05-30,Madhya Pradesh,Anuppur,5,3,0,0,
2020-05-31,Madhya Pradesh,Anuppur,17,3,0,0,
2020-06-01,Madhya Pradesh,Anuppur,17,3,0,0,
2020-06-02,Madhya Pradesh,Anuppur,18,3,0,0,
2020-06-03,Madhya Pradesh,Anuppur,19,3,0,0,
2020-06-04,Madhya Pradesh,Anuppur,20,3,0,0,
2020-06-05,Madhya Pradesh,Anuppur,21,3,0,0,
2020-06-06,Madhya Pradesh,Anuppur,23,3,0,0,
2020-06-07,Madhya Pradesh,Anuppur,23,5,0,0,
2020-06-08,Madhya Pradesh,Anuppur,24,5,0,0,
2020-06-09,Madhya Pradesh,Anuppur,24,17,0,0,
2020-06-10,Madhya Pradesh,Anuppur,24,17,0,0,
2020-06-11,Madhya Pradesh,Anuppur,26,17,0,0,
2020-06-12,Madhya Pradesh,Anuppur,26,22,0,0,
2020-06-13,Madhya Pradesh,Anuppur,26,22,0,0,
2020-06-14,Madhya Pradesh,Anuppur,28,22,0,0,
2020-06-15,Madhya Pradesh,Anuppur,29,24,0,0,
2020-06-16,Madhya Pradesh,Anuppur,29,24,0,0,
2020-06-17,Madhya Pradesh,Anuppur,29,24,0,0,
2020-06-18,Madhya Pradesh,Anuppur,29,24,0,0,
2020-06-19,Madhya Pradesh,Anuppur,29,25,0,0,
2020-06-20,Madhya Pradesh,Anuppur,29,25,0,0,991.0
2020-06-21,Madhya Pradesh,Anuppur,29,25,0,0,991.0
2020-06-22,Madhya Pradesh,Anuppur,29,25,0,0,991.0
2020-06-23,Madhya Pradesh,Anuppur,29,25,0,0,991.0
2020-06-24,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-06-25,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-06-26,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-06-27,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-06-28,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-06-29,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-06-30,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-07-01,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-07-02,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-07-03,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-07-04,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-07-05,Madhya Pradesh,Anuppur,29,29,0,0,991.0
2020-07-06,Madhya Pradesh,Anuppur,29,29,0,0,1251.0
2020-07-07,Madhya Pradesh,Anuppur,29,29,0,0,1251.0
2020-07-08,Madhya Pradesh,Anuppur,29,29,0,0,1251.0
2020-07-09,Madhya Pradesh,Anuppur,29,29,0,0,1251.0
2020-07-10,Madhya Pradesh,Anuppur,31,29,0,0,1251.0
2020-07-11,Madhya Pradesh,Anuppur,31,29,0,0,1251.0
2020-07-12,Madhya Pradesh,Anuppur,31,29,0,0,1251.0
2020-07-13,Madhya Pradesh,Anuppur,31,29,0,0,1251.0
2020-07-14,Madhya Pradesh,Anuppur,32,29,0,0,1251.0
2020-07-15,Madhya Pradesh,Anuppur,32,29,0,0,1251.0
2020-07-16,Madhya Pradesh,Anuppur,35,29,0,0,1251.0
2020-07-17,Madhya Pradesh,Anuppur,35,29,0,0,1251.0
2020-07-18,Madhya Pradesh,Anuppur,35,29,0,0,1251.0
2020-07-19,Madhya Pradesh,Anuppur,47,31,0,0,1251.0
2020-07-20,Madhya Pradesh,Anuppur,52,31,0,0,1251.0
2020-07-21,Madhya Pradesh,Anuppur,52,31,0,0,1251.0
2020-07-22,Madhya Pradesh,Anuppur,52,32,0,0,1251.0
2020-07-23,Madhya Pradesh,Anuppur,67,32,0,0,1251.0
2020-07-24,Madhya Pradesh,Anuppur,67,32,0,0,1251.0
2020-07-25,Madhya Pradesh,Anuppur,69,35,0,0,1251.0
2020-07-26,Madhya Pradesh,Anuppur,69,35,0,0,1251.0
2020-07-27,Madhya Pradesh,Anuppur,69,35,0,0,1251.0
2020-07-28,Madhya Pradesh,Anuppur,69,35,0,0,1251.0
2020-07-29,Madhya Pradesh,Anuppur,71,47,0,0,1251.0
2020-07-30,Madhya Pradesh,Anuppur,71,52,0,0,1251.0
2020-07-31,Madhya Pradesh,Anuppur,72,52,0,0,1251.0
2020-08-01,Madhya Pradesh,Anuppur,72,52,0,0,1251.0
2020-08-02,Madhya Pradesh,Anuppur,72,67,0,0,1251.0
2020-08-03,Madhya Pradesh,Anuppur,72,69,0,0,1251.0
2020-08-04,Madhya Pradesh,Anuppur,72,69,0,0,1251.0
2020-08-05,Madhya Pradesh,Anuppur,75,69,0,0,1251.0
2020-08-06,Madhya Pradesh,Anuppur,75,69,0,0,1251.0
2020-08-07,Madhya Pradesh,Anuppur,75,71,0,0,1251.0
2020-08-08,Madhya Pradesh,Anuppur,83,71,0,0,1251.0
2020-08-09,Madhya Pradesh,Anuppur,85,71,0,0,1251.0
