Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-28,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-04-29,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-04-30,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-01,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-02,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-03,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-04,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-05,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-06,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-07,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-08,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-09,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-10,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-05-11,Madhya Pradesh,Ashoknagar,2,0,1,0,
2020-05-12,Madhya Pradesh,Ashoknagar,2,0,1,0,
2020-05-13,Madhya Pradesh,Ashoknagar,2,0,1,0,
2020-05-14,Madhya Pradesh,Ashoknagar,2,0,1,0,
2020-05-15,Madhya Pradesh,Ashoknagar,2,0,1,0,
2020-05-16,Madhya Pradesh,Ashoknagar,2,0,1,0,
2020-05-17,Madhya Pradesh,Ashoknagar,2,0,1,0,
2020-05-18,Madhya Pradesh,Ashoknagar,3,0,1,0,
2020-05-19,Madhya Pradesh,Ashoknagar,3,0,1,0,
2020-05-20,Madhya Pradesh,Ashoknagar,5,0,1,0,
2020-05-21,Madhya Pradesh,Ashoknagar,6,1,1,0,
2020-05-22,Madhya Pradesh,Ashoknagar,6,1,1,0,
2020-05-23,Madhya Pradesh,Ashoknagar,10,1,1,0,
2020-05-24,Madhya Pradesh,Ashoknagar,10,1,1,0,
2020-05-25,Madhya Pradesh,Ashoknagar,12,2,1,0,
2020-05-26,Madhya Pradesh,Ashoknagar,12,2,1,0,
2020-05-27,Madhya Pradesh,Ashoknagar,12,2,1,0,
2020-05-28,Madhya Pradesh,Ashoknagar,12,2,1,0,
2020-05-29,Madhya Pradesh,Ashoknagar,12,2,1,0,
2020-05-30,Madhya Pradesh,Ashoknagar,12,4,1,0,
2020-05-31,Madhya Pradesh,Ashoknagar,12,4,1,0,
2020-06-01,Madhya Pradesh,Ashoknagar,12,4,1,0,
2020-06-02,Madhya Pradesh,Ashoknagar,12,11,1,0,
2020-06-03,Madhya Pradesh,Ashoknagar,12,11,1,0,
2020-06-04,Madhya Pradesh,Ashoknagar,12,11,1,0,
2020-06-05,Madhya Pradesh,Ashoknagar,13,11,1,0,
2020-06-06,Madhya Pradesh,Ashoknagar,13,11,1,0,
2020-06-07,Madhya Pradesh,Ashoknagar,13,11,1,0,
2020-06-08,Madhya Pradesh,Ashoknagar,16,11,1,0,
2020-06-09,Madhya Pradesh,Ashoknagar,32,11,1,0,
2020-06-10,Madhya Pradesh,Ashoknagar,32,11,1,0,
2020-06-11,Madhya Pradesh,Ashoknagar,40,11,1,0,
2020-06-12,Madhya Pradesh,Ashoknagar,40,11,1,0,
2020-06-13,Madhya Pradesh,Ashoknagar,41,11,1,0,
2020-06-14,Madhya Pradesh,Ashoknagar,41,20,1,0,
2020-06-15,Madhya Pradesh,Ashoknagar,41,25,1,0,
2020-06-16,Madhya Pradesh,Ashoknagar,41,35,1,0,
2020-06-17,Madhya Pradesh,Ashoknagar,41,35,1,0,
2020-06-18,Madhya Pradesh,Ashoknagar,41,39,1,0,
2020-06-19,Madhya Pradesh,Ashoknagar,42,40,1,0,
2020-06-20,Madhya Pradesh,Ashoknagar,42,40,1,0,2084.0
2020-06-21,Madhya Pradesh,Ashoknagar,42,40,1,0,2084.0
2020-06-22,Madhya Pradesh,Ashoknagar,43,40,1,0,2084.0
2020-06-23,Madhya Pradesh,Ashoknagar,43,40,1,0,2064.0
2020-06-24,Madhya Pradesh,Ashoknagar,43,40,1,0,2064.0
2020-06-25,Madhya Pradesh,Ashoknagar,43,40,1,0,2077.0
